Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5640x2880
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5640x2880
Scaled Tile Size: 48x48
Total Mask: 95.37%, Total Tissue: 4.63%
Tiles: 118x60 = 7080
    94 ( 1.33%) tiles >=80% tissue
   517 ( 7.30%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
499,5,27,16.32,MEDIUM,1248,192,1296,240,48,48,  79,1.00,0.20,0.0698
500,5,28,20.96,MEDIUM,1296,192,1344,240,48,48,  79,1.00,0.20,0.1103
501,5,29,50.48,MEDIUM,1344,192,1392,240,48,48,  65,1.00,0.20,0.4026
502,5,30,46.79,MEDIUM,1392,192,1440,240,48,48,  57,1.00,0.20,0.3546
614,6,24,21.70,MEDIUM,1104,240,1152,288,48,48,  97,1.00,0.20,0.1244
615,6,25,53.86,MEDIUM,1152,240,1200,288,48,48,  30,1.00,0.20,0.3594
616,6,26,88.89,HIGH,1200,240,1248,288,48,48,  17,1.00,1.00,0.6942
617,6,27,95.53,HIGH,1248,240,1296,288,48,48,   5,1.00,1.00,0.6286
618,6,28,92.36,HIGH,1296,240,1344,288,48,48,   5,1.00,1.00,0.6072
619,6,29,91.15,HIGH,1344,240,1392,288,48,48,   7,1.00,1.00,0.6344
620,6,30,92.53,HIGH,1392,240,1440,288,48,48,   5,1.00,1.00,0.6090
621,6,31,92.27,HIGH,1440,240,1488,288,48,48,  16,1.00,1.00,0.7081
622,6,32,79.56,MEDIUM,1488,240,1536,288,48,48,  29,1.00,0.20,0.5485
623,6,33,61.85,MEDIUM,1536,240,1584,288,48,48,  13,1.00,0.20,0.3288
624,6,34,17.75,MEDIUM,1584,240,1632,288,48,48,  35,1.00,0.20,0.0615
731,7,23,52.30,MEDIUM,1056,288,1104,336,48,48,  57,1.00,0.20,0.4074
732,7,24,79.30,MEDIUM,1104,288,1152,336,48,48,   8,1.00,0.20,0.3814
733,7,25,82.60,HIGH,1152,288,1200,336,48,48,   6,1.00,1.00,0.5630
734,7,26,80.25,HIGH,1200,288,1248,336,48,48,  15,1.00,1.00,0.6426
735,7,27,77.00,MEDIUM,1248,288,1296,336,48,48,   9,1.00,0.20,0.3763
736,7,28,76.48,MEDIUM,1296,288,1344,336,48,48,  14,1.00,0.20,0.4398
737,7,29,78.17,MEDIUM,1344,288,1392,336,48,48,  10,1.00,0.20,0.4028
738,7,30,73.83,MEDIUM,1392,288,1440,336,48,48,   8,1.00,0.20,0.3423
739,7,31,79.60,MEDIUM,1440,288,1488,336,48,48,   5,1.00,0.20,0.3021
740,7,32,89.67,HIGH,1488,288,1536,336,48,48,   8,1.00,1.00,0.6370
741,7,33,94.18,HIGH,1536,288,1584,336,48,48,   9,1.00,1.00,0.6667
742,7,34,93.97,HIGH,1584,288,1632,336,48,48,   7,1.00,1.00,0.6467
743,7,35,27.99,MEDIUM,1632,288,1680,336,48,48,  49,1.00,0.20,0.1569
807,7,99,14.32,MEDIUM,4704,288,4752,336,48,48, 105,1.00,0.20,0.0597
808,7,100,34.64,MEDIUM,4752,288,4800,336,48,48,  44,1.00,0.20,0.2154
809,7,101,45.92,MEDIUM,4800,288,4848,336,48,48,  49,1.00,0.20,0.3341
810,7,102,57.64,MEDIUM,4848,288,4896,336,48,48,  70,1.00,0.20,0.4731
811,7,103,57.77,MEDIUM,4896,288,4944,336,48,48,  32,1.00,0.20,0.4017
812,7,104,40.67,MEDIUM,4944,288,4992,336,48,48,  76,1.00,0.20,0.3150
813,7,105,31.47,MEDIUM,4992,288,5040,336,48,48,  71,1.00,0.20,0.2122
814,7,106,13.15,MEDIUM,5040,288,5088,336,48,48, 110,1.00,0.20,0.0514
849,8,23,23.09,MEDIUM,1056,336,1104,384,48,48,  21,1.00,0.20,0.0799
850,8,24,65.23,MEDIUM,1104,336,1152,384,48,48,  13,1.00,0.20,0.3529
851,8,25,64.15,MEDIUM,1152,336,1200,384,48,48,   5,1.00,0.20,0.2333
852,8,26,62.80,MEDIUM,1200,336,1248,384,48,48,   3,1.00,0.20,0.1388
853,8,27,68.10,MEDIUM,1248,336,1296,384,48,48,   9,1.00,0.20,0.3210
854,8,28,68.92,MEDIUM,1296,336,1344,384,48,48,   2,1.00,0.20,0.1587
855,8,29,67.75,MEDIUM,1344,336,1392,384,48,48,   7,1.00,0.20,0.2893
856,8,30,59.59,MEDIUM,1392,336,1440,384,48,48,   7,1.00,0.20,0.2371
857,8,31,71.31,MEDIUM,1440,336,1488,384,48,48,   3,1.00,0.20,0.2038
858,8,32,66.80,MEDIUM,1488,336,1536,384,48,48,  17,1.00,0.20,0.3985
859,8,33,38.06,MEDIUM,1536,336,1584,384,48,48,   6,1.00,0.20,0.0996
860,8,34,27.43,MEDIUM,1584,336,1632,384,48,48,  10,1.00,0.20,0.0773
924,8,98,19.92,MEDIUM,4656,336,4704,384,48,48,  57,1.00,0.20,0.0907
925,8,99,15.71,MEDIUM,4704,336,4752,384,48,48,  10,1.00,0.20,0.0268
926,8,100,14.93,MEDIUM,4752,336,4800,384,48,48,   2,1.00,0.20,0.0067
927,8,101,51.30,MEDIUM,4800,336,4848,384,48,48,  11,1.00,0.20,0.2349
928,8,102,65.71,MEDIUM,4848,336,4896,384,48,48,  12,1.00,0.20,0.3489
929,8,103,67.62,MEDIUM,4896,336,4944,384,48,48,   6,1.00,0.20,0.2645
930,8,104,83.38,HIGH,4944,336,4992,384,48,48,   5,1.00,1.00,0.5437
931,8,105,85.37,HIGH,4992,336,5040,384,48,48,   5,1.00,1.00,0.5629
932,8,106,81.38,HIGH,5040,336,5088,384,48,48,  29,1.00,1.00,0.6926
933,8,107,22.22,MEDIUM,5088,336,5136,384,48,48,  86,1.00,0.20,0.1255
968,9,24,26.04,MEDIUM,1104,384,1152,432,48,48,   6,1.00,0.20,0.0489
969,9,25,55.95,MEDIUM,1152,384,1200,432,48,48,  11,1.00,0.20,0.2641
970,9,26,60.89,MEDIUM,1200,384,1248,432,48,48,   2,1.00,0.20,0.1136
971,9,27,58.55,MEDIUM,1248,384,1296,432,48,48,   6,1.00,0.20,0.2029
972,9,28,75.30,MEDIUM,1296,384,1344,432,48,48,   1,1.00,0.20,0.1238
973,9,29,64.50,MEDIUM,1344,384,1392,432,48,48,   4,1.00,0.20,0.1836
974,9,30,55.08,MEDIUM,1392,384,1440,432,48,48,   3,1.00,0.20,0.1339
975,9,31,32.16,MEDIUM,1440,384,1488,432,48,48,   0,1.00,0.20,0.0000
1046,9,102,35.50,MEDIUM,4848,384,4896,432,48,48,   8,1.00,0.20,0.1102
1048,9,104,43.27,MEDIUM,4944,384,4992,432,48,48,   5,1.00,0.20,0.1123
1049,9,105,40.02,MEDIUM,4992,384,5040,432,48,48,   7,1.00,0.20,0.1251
1050,9,106,62.67,MEDIUM,5040,384,5088,432,48,48,   8,1.00,0.20,0.2708
1051,9,107,81.38,HIGH,5088,384,5136,432,48,48,  16,1.00,1.00,0.6505
1052,9,108,59.38,MEDIUM,5136,384,5184,432,48,48,  25,1.00,0.20,0.3864
1088,10,26,27.43,MEDIUM,1200,432,1248,480,48,48,  35,1.00,0.20,0.1352
1089,10,27,29.04,MEDIUM,1248,432,1296,480,48,48,  21,1.00,0.20,0.1232
1090,10,28,14.41,MEDIUM,1296,432,1344,480,48,48, 971,1.00,0.20,0.0987
1091,10,29,19.01,MEDIUM,1344,432,1392,480,48,48,  38,1.00,0.20,0.0724
1166,10,104,22.83,MEDIUM,4944,432,4992,480,48,48,   1,1.00,0.20,0.0125
1168,10,106,13.93,MEDIUM,5040,432,5088,480,48,48,   1,1.00,0.20,0.0018
1169,10,107,58.42,MEDIUM,5088,432,5136,480,48,48,   2,1.00,0.20,0.0865
1170,10,108,84.51,HIGH,5136,432,5184,480,48,48,  11,1.00,1.00,0.6398
1171,10,109,70.66,MEDIUM,5184,432,5232,480,48,48,  18,1.00,0.20,0.4291
1284,11,104,22.31,MEDIUM,4944,480,4992,528,48,48, 277,1.00,0.20,0.1672
1286,11,106,17.88,MEDIUM,5040,480,5088,528,48,48, 200,1.00,0.20,0.1061
1287,11,107,39.76,MEDIUM,5088,480,5136,528,48,48,  23,1.00,0.20,0.2123
1288,11,108,34.29,MEDIUM,5136,480,5184,528,48,48,  12,1.00,0.20,0.1245
1289,11,109,51.74,MEDIUM,5184,480,5232,528,48,48,   1,1.00,0.20,0.0584
1290,11,110,26.39,MEDIUM,5232,480,5280,528,48,48,  26,1.00,0.20,0.1133
1337,12,39,25.43,MEDIUM,1824,528,1872,576,48,48, 243,1.00,0.20,0.2016
1338,12,40,44.27,MEDIUM,1872,528,1920,576,48,48,  62,1.00,0.20,0.3368
1339,12,41,45.53,MEDIUM,1920,528,1968,576,48,48,  87,1.00,0.20,0.3764
1340,12,42,46.09,MEDIUM,1968,528,2016,576,48,48,  47,1.00,0.20,0.3325
1341,12,43,41.45,MEDIUM,2016,528,2064,576,48,48,  23,1.00,0.20,0.2290
1342,12,44,30.86,MEDIUM,2064,528,2112,576,48,48,  60,1.00,0.20,0.1963
1453,13,37,58.72,MEDIUM,1728,576,1776,624,48,48, 120,1.00,0.20,0.5260
1454,13,38,81.42,HIGH,1776,576,1824,624,48,48,  22,1.00,1.00,0.6767
1455,13,39,91.67,HIGH,1824,576,1872,624,48,48,  11,1.00,1.00,0.6731
1456,13,40,88.50,HIGH,1872,576,1920,624,48,48,  11,1.00,1.00,0.6568
1457,13,41,83.55,HIGH,1920,576,1968,624,48,48,   6,1.00,1.00,0.5800
1458,13,42,77.26,MEDIUM,1968,576,2016,624,48,48,   6,1.00,0.20,0.3233
1459,13,43,78.52,MEDIUM,2016,576,2064,624,48,48,  11,1.00,0.20,0.4216
1460,13,44,73.57,MEDIUM,2064,576,2112,624,48,48,  20,1.00,0.20,0.4648
1461,13,45,69.05,MEDIUM,2112,576,2160,624,48,48,  70,1.00,0.20,0.5632
1462,13,46,60.63,MEDIUM,2160,576,2208,624,48,48, 101,1.00,0.20,0.5286
1556,14,22,43.06,MEDIUM,1008,624,1056,672,48,48,  36,1.00,0.20,0.2818
1557,14,23,57.81,MEDIUM,1056,624,1104,672,48,48,  72,1.00,0.20,0.4771
1558,14,24,77.08,MEDIUM,1104,624,1152,672,48,48,  54,1.00,0.20,0.5949
1559,14,25,25.35,MEDIUM,1152,624,1200,672,48,48,  23,1.00,0.20,0.0991
1569,14,35,31.47,MEDIUM,1632,624,1680,672,48,48, 213,1.00,0.20,0.2721
1570,14,36,88.50,HIGH,1680,624,1728,672,48,48,  33,1.00,1.00,0.7337
1571,14,37,87.33,HIGH,1728,624,1776,672,48,48,   5,1.00,1.00,0.5806
1572,14,38,75.61,MEDIUM,1776,624,1824,672,48,48,  27,1.00,0.20,0.5154
1573,14,39,77.78,MEDIUM,1824,624,1872,672,48,48,  10,1.00,0.20,0.3962
