Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1920x1792
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1920x1792
Scaled Tile Size: 48x48
Total Mask: 78.70%, Total Tissue: 21.30%
Tiles: 40x38 = 1520
   237 (15.59%) tiles >=80% tissue
   193 (12.70%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
145,4,25,24.00,MEDIUM,1152,144,1200,192,48,48,   8,1.00,0.20,0.0540
185,5,25,97.48,HIGH,1152,192,1200,240,48,48,  31,1.00,1.00,0.7673
186,5,26,77.43,MEDIUM,1200,192,1248,240,48,48,  12,1.00,0.20,0.4269
225,6,25,93.10,HIGH,1152,240,1200,288,48,48,  31,1.00,1.00,0.7510
226,6,26,95.49,HIGH,1200,240,1248,288,48,48,  12,1.00,1.00,0.6986
227,6,27,31.90,MEDIUM,1248,240,1296,288,48,48,  16,1.00,0.20,0.1256
265,7,25,86.07,HIGH,1152,288,1200,336,48,48,  11,1.00,1.00,0.6475
266,7,26,99.44,HIGH,1200,288,1248,336,48,48,   6,1.00,1.00,0.6602
267,7,27,90.23,HIGH,1248,288,1296,336,48,48,   9,1.00,1.00,0.6491
268,7,28,46.31,MEDIUM,1296,288,1344,336,48,48,  12,1.00,0.20,0.2055
305,8,25,44.01,MEDIUM,1152,336,1200,384,48,48, 130,1.00,0.20,0.3898
306,8,26,97.05,HIGH,1200,336,1248,384,48,48,   4,1.00,1.00,0.5995
307,8,27,95.57,HIGH,1248,336,1296,384,48,48,   0,1.00,1.00,0.1667
308,8,28,98.18,HIGH,1296,336,1344,384,48,48,   5,1.00,1.00,0.6417
309,8,29,17.66,MEDIUM,1344,336,1392,384,48,48,  18,1.00,0.20,0.0455
323,9,3,44.27,MEDIUM,96,384,144,432,48,48,   5,1.00,0.20,0.1185
324,9,4,57.90,MEDIUM,144,384,192,432,48,48,   4,1.00,0.20,0.1692
325,9,5,33.77,MEDIUM,192,384,240,432,48,48,  12,1.00,0.20,0.1225
345,9,25,36.50,MEDIUM,1152,384,1200,432,48,48, 820,1.00,0.20,0.4049
346,9,26,94.84,HIGH,1200,384,1248,432,48,48,   5,1.00,1.00,0.6167
347,9,27,92.36,HIGH,1248,384,1296,432,48,48,   1,1.00,1.00,0.4003
348,9,28,96.48,HIGH,1296,384,1344,432,48,48,   2,1.00,1.00,0.5116
349,9,29,97.61,HIGH,1344,384,1392,432,48,48,   4,1.00,1.00,0.6170
350,9,30,85.94,HIGH,1392,384,1440,432,48,48,   5,1.00,1.00,0.5671
351,9,31,24.22,MEDIUM,1440,384,1488,432,48,48,  11,1.00,0.20,0.0628
362,10,2,37.24,MEDIUM,48,432,96,480,48,48,   4,1.00,0.20,0.0758
363,10,3,91.06,HIGH,96,432,144,480,48,48,   3,1.00,1.00,0.5505
364,10,4,83.64,HIGH,144,432,192,480,48,48,   1,1.00,1.00,0.2581
365,10,5,96.40,HIGH,192,432,240,480,48,48,   7,1.00,1.00,0.6652
366,10,6,45.36,MEDIUM,240,432,288,480,48,48,  14,1.00,0.20,0.2134
378,10,18,52.91,MEDIUM,816,432,864,480,48,48,  32,1.00,0.20,0.3577
379,10,19,77.04,MEDIUM,864,432,912,480,48,48,   4,1.00,0.20,0.2554
380,10,20,80.08,HIGH,912,432,960,480,48,48,   8,1.00,1.00,0.5820
381,10,21,72.05,MEDIUM,960,432,1008,480,48,48,   6,1.00,0.20,0.3000
382,10,22,75.26,MEDIUM,1008,432,1056,480,48,48,   6,1.00,0.20,0.3020
386,10,26,83.90,HIGH,1200,432,1248,480,48,48,  69,1.00,1.00,0.7493
387,10,27,92.80,HIGH,1248,432,1296,480,48,48,   1,1.00,1.00,0.3311
388,10,28,93.71,HIGH,1296,432,1344,480,48,48,   5,1.00,1.00,0.6002
389,10,29,92.49,HIGH,1344,432,1392,480,48,48,   2,1.00,1.00,0.4830
390,10,30,92.19,HIGH,1392,432,1440,480,48,48,   2,1.00,1.00,0.4825
391,10,31,97.70,HIGH,1440,432,1488,480,48,48,  19,1.00,1.00,0.7402
392,10,32,48.09,MEDIUM,1488,432,1536,480,48,48,  14,1.00,0.20,0.2379
402,11,2,43.97,MEDIUM,48,480,96,528,48,48,  11,1.00,0.20,0.1812
403,11,3,60.03,MEDIUM,96,480,144,528,48,48,   4,1.00,0.20,0.1795
404,11,4,84.20,HIGH,144,480,192,528,48,48, 100,1.00,1.00,0.7660
405,11,5,89.37,HIGH,192,480,240,528,48,48,   5,1.00,1.00,0.5922
406,11,6,94.62,HIGH,240,480,288,528,48,48,   3,1.00,1.00,0.5494
407,11,7,51.00,MEDIUM,288,480,336,528,48,48,  19,1.00,0.20,0.2921
418,11,18,78.21,MEDIUM,816,480,864,528,48,48,  65,1.00,0.20,0.6170
419,11,19,94.88,HIGH,864,480,912,528,48,48,   1,1.00,1.00,0.3393
420,11,20,89.76,HIGH,912,480,960,528,48,48,   1,1.00,1.00,0.4232
421,11,21,93.23,HIGH,960,480,1008,528,48,48,   3,1.00,1.00,0.5281
422,11,22,95.36,HIGH,1008,480,1056,528,48,48,   1,1.00,1.00,0.4036
423,11,23,95.49,HIGH,1056,480,1104,528,48,48,   5,1.00,1.00,0.6234
424,11,24,29.12,MEDIUM,1104,480,1152,528,48,48,   5,1.00,0.20,0.0550
426,11,26,57.99,MEDIUM,1200,480,1248,528,48,48, 203,1.00,0.20,0.5562
427,11,27,90.89,HIGH,1248,480,1296,528,48,48,   0,1.00,1.00,0.2212
