Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2048x2688
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2048x2688
Scaled Tile Size: 48x48
Total Mask: 92.84%, Total Tissue: 7.16%
Tiles: 43x56 = 2408
   134 ( 5.56%) tiles >=80% tissue
    85 ( 3.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
100,3,14,29.64,MEDIUM,624,96,672,144,48,48,   0,1.00,0.20,0.0000
101,3,15,22.31,MEDIUM,672,96,720,144,48,48,   0,1.00,0.20,0.0000
220,6,5,13.24,MEDIUM,192,240,240,288,48,48,   1,1.00,0.20,0.0031
349,9,5,33.51,MEDIUM,192,384,240,432,48,48,   1,1.00,0.20,0.0209
478,12,5,13.89,MEDIUM,192,528,240,576,48,48,   1,1.00,0.20,0.0026
539,13,23,27.91,MEDIUM,1056,576,1104,624,48,48,   1,1.00,0.20,0.0101
625,15,23,20.31,MEDIUM,1056,672,1104,720,48,48,   0,0.49,0.20,0.0000
665,16,20,16.41,MEDIUM,912,720,960,768,48,48,  36,0.49,0.20,0.0389
704,17,16,15.71,MEDIUM,720,768,768,816,48,48,   5,0.49,0.20,0.0098
711,17,23,16.45,MEDIUM,1056,768,1104,816,48,48,   1,1.00,0.20,0.0051
712,17,24,29.64,MEDIUM,1104,768,1152,816,48,48,  26,1.00,0.20,0.1385
747,18,16,18.01,MEDIUM,720,816,768,864,48,48, 158,0.49,0.20,0.0834
1028,24,39,26.61,MEDIUM,1824,1104,1872,1152,48,48,  21,1.00,0.20,0.1044
1029,24,40,29.12,MEDIUM,1872,1104,1920,1152,48,48,   3,1.00,0.20,0.0401
1070,25,38,86.46,HIGH,1776,1152,1824,1200,48,48,   2,1.00,1.00,0.4279
1071,25,39,87.63,HIGH,1824,1152,1872,1200,48,48,   2,1.00,1.00,0.4804
1111,26,36,47.35,MEDIUM,1680,1200,1728,1248,48,48,   1,1.00,0.20,0.0242
1112,26,37,81.73,HIGH,1728,1200,1776,1248,48,48,   0,1.00,1.00,0.0621
1113,26,38,86.33,HIGH,1776,1200,1824,1248,48,48, 663,1.00,1.00,0.8288
1154,27,36,68.97,MEDIUM,1680,1248,1728,1296,48,48,   0,1.00,0.20,0.0087
1155,27,37,69.92,MEDIUM,1728,1248,1776,1296,48,48,   0,1.00,0.20,0.0421
1156,27,38,83.20,HIGH,1776,1248,1824,1296,48,48,   2,1.00,1.00,0.4587
1196,28,35,58.90,MEDIUM,1632,1296,1680,1344,48,48,   0,1.00,0.20,0.0086
1197,28,36,72.05,MEDIUM,1680,1296,1728,1344,48,48,   0,1.00,0.20,0.0000
1198,28,37,73.05,MEDIUM,1728,1296,1776,1344,48,48,   0,1.00,0.20,0.0000
1199,28,38,56.03,MEDIUM,1776,1296,1824,1344,48,48,   9,1.00,0.20,0.2463
1238,29,34,50.09,MEDIUM,1584,1344,1632,1392,48,48,   1,1.00,0.20,0.0516
1239,29,35,82.90,HIGH,1632,1344,1680,1392,48,48,   2,1.00,1.00,0.4489
