Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3856x7808
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3856x7808
Scaled Tile Size: 48x48
Total Mask: 94.82%, Total Tissue: 5.18%
Tiles: 81x163 = 13203
   376 ( 2.85%) tiles >=80% tissue
   649 ( 4.92%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1618,20,79,29.90,MEDIUM,3744,912,3792,960,48,48,   0,1.00,0.20,0.0000
1699,21,79,37.72,MEDIUM,3744,960,3792,1008,48,48,   0,1.00,0.20,0.0000
1941,24,78,24.65,MEDIUM,3696,1104,3744,1152,48,48,   0,1.00,0.20,0.0000
2022,25,78,45.01,MEDIUM,3696,1152,3744,1200,48,48,   0,1.00,0.20,0.0000
2346,29,78,31.77,MEDIUM,3696,1344,3744,1392,48,48,   0,1.00,0.20,0.0000
2427,30,78,30.38,MEDIUM,3696,1392,3744,1440,48,48,   0,1.00,0.20,0.0000
2508,31,78,31.99,MEDIUM,3696,1440,3744,1488,48,48,   0,1.00,0.20,0.0000
2588,32,77,27.69,MEDIUM,3648,1488,3696,1536,48,48,   0,1.00,0.20,0.0000
2589,32,78,30.12,MEDIUM,3696,1488,3744,1536,48,48,   0,1.00,0.20,0.0000
2669,33,77,30.82,MEDIUM,3648,1536,3696,1584,48,48,   0,1.00,0.20,0.0000
2670,33,78,32.77,MEDIUM,3696,1536,3744,1584,48,48,   0,1.00,0.20,0.0000
2750,34,77,25.04,MEDIUM,3648,1584,3696,1632,48,48,   0,1.00,0.20,0.0000
2831,35,77,32.20,MEDIUM,3648,1632,3696,1680,48,48,   0,1.00,0.20,0.0000
2912,36,77,29.47,MEDIUM,3648,1680,3696,1728,48,48,   0,1.00,0.20,0.0000
2993,37,77,31.12,MEDIUM,3648,1728,3696,1776,48,48,   0,1.00,0.20,0.0000
3075,38,78,29.77,MEDIUM,3696,1776,3744,1824,48,48,   0,1.00,0.20,0.0000
3155,39,77,29.86,MEDIUM,3648,1824,3696,1872,48,48,   0,1.00,0.20,0.0000
3156,39,78,22.01,MEDIUM,3696,1824,3744,1872,48,48,   0,1.00,0.20,0.0000
3237,40,78,30.30,MEDIUM,3696,1872,3744,1920,48,48,   0,1.00,0.20,0.0000
3318,41,78,28.65,MEDIUM,3696,1920,3744,1968,48,48,   0,1.00,0.20,0.0000
3399,42,78,35.50,MEDIUM,3696,1968,3744,2016,48,48,   0,1.00,0.20,0.0000
3642,45,78,38.63,MEDIUM,3696,2112,3744,2160,48,48,   0,1.00,0.20,0.0000
3886,48,79,21.48,MEDIUM,3744,2256,3792,2304,48,48,   0,1.00,0.20,0.0000
3967,49,79,32.68,MEDIUM,3744,2304,3792,2352,48,48,   0,1.00,0.20,0.0000
4048,50,79,48.91,MEDIUM,3744,2352,3792,2400,48,48,   0,1.00,0.20,0.0000
4292,53,80,27.82,MEDIUM,3792,2496,3840,2544,48,48,   0,1.00,0.20,0.0000
4483,56,28,28.69,MEDIUM,1296,2640,1344,2688,48,48,   0,1.00,0.20,0.0000
4484,56,29,31.99,MEDIUM,1344,2640,1392,2688,48,48,   0,1.00,0.20,0.0000
4562,57,26,70.66,MEDIUM,1200,2688,1248,2736,48,48,   0,1.00,0.20,0.0000
4563,57,27,17.23,MEDIUM,1248,2688,1296,2736,48,48,   0,1.00,0.20,0.0000
4565,57,29,94.62,HIGH,1344,2688,1392,2736,48,48,   0,1.00,1.00,0.0000
4566,57,30,41.75,MEDIUM,1392,2688,1440,2736,48,48,   0,1.00,0.20,0.0000
4580,57,44,44.23,MEDIUM,2064,2688,2112,2736,48,48,   0,1.00,0.20,0.0173
4581,57,45,34.46,MEDIUM,2112,2688,2160,2736,48,48,   0,1.00,0.20,0.0000
4642,58,25,32.38,MEDIUM,1152,2736,1200,2784,48,48,   7,1.00,0.20,0.0835
4643,58,26,58.64,MEDIUM,1200,2736,1248,2784,48,48,   0,1.00,0.20,0.0000
4644,58,27,36.55,MEDIUM,1248,2736,1296,2784,48,48,   0,1.00,0.20,0.0034
4645,58,28,35.37,MEDIUM,1296,2736,1344,2784,48,48,   0,1.00,0.20,0.0000
4646,58,29,92.23,HIGH,1344,2736,1392,2784,48,48,   0,1.00,1.00,0.0000
4647,58,30,61.28,MEDIUM,1392,2736,1440,2784,48,48,   0,1.00,0.20,0.0000
4661,58,44,85.11,HIGH,2064,2736,2112,2784,48,48, 111,1.00,1.00,0.7736
4662,58,45,98.09,HIGH,2112,2736,2160,2784,48,48,   0,0.49,1.00,0.0516
4663,58,46,47.09,MEDIUM,2160,2736,2208,2784,48,48,   0,1.00,0.20,0.0046
4723,59,25,30.56,MEDIUM,1152,2784,1200,2832,48,48,   4,1.00,0.20,0.0508
4724,59,26,73.87,MEDIUM,1200,2784,1248,2832,48,48,   0,1.00,0.20,0.0000
4725,59,27,45.53,MEDIUM,1248,2784,1296,2832,48,48,   0,1.00,0.20,0.0000
4727,59,29,76.22,MEDIUM,1344,2784,1392,2832,48,48,   1,1.00,0.20,0.0534
4728,59,30,82.90,HIGH,1392,2784,1440,2832,48,48,   0,1.00,1.00,0.0000
4741,59,43,44.88,MEDIUM,2016,2784,2064,2832,48,48,   4,1.00,0.20,0.1036
4742,59,44,74.00,MEDIUM,2064,2784,2112,2832,48,48,   0,1.00,0.20,0.0000
4743,59,45,86.41,HIGH,2112,2784,2160,2832,48,48,   2,1.00,1.00,0.4436
4744,59,46,95.83,HIGH,2160,2784,2208,2832,48,48,   4,1.00,1.00,0.5810
4745,59,47,16.58,MEDIUM,2208,2784,2256,2832,48,48,   1,1.00,0.20,0.0047
4805,60,26,50.52,MEDIUM,1200,2832,1248,2880,48,48,   0,1.00,0.20,0.0030
4806,60,27,78.30,MEDIUM,1248,2832,1296,2880,48,48,   0,1.00,0.20,0.0000
4807,60,28,53.43,MEDIUM,1296,2832,1344,2880,48,48,   0,1.00,0.20,0.0000
4808,60,29,19.97,MEDIUM,1344,2832,1392,2880,48,48,   0,1.00,0.20,0.0000
4809,60,30,67.14,MEDIUM,1392,2832,1440,2880,48,48,   0,1.00,0.20,0.0000
4822,60,43,39.71,MEDIUM,2016,2832,2064,2880,48,48,  39,1.00,0.20,0.2548
4823,60,44,86.24,HIGH,2064,2832,2112,2880,48,48,   1,1.00,1.00,0.3358
4824,60,45,74.70,MEDIUM,2112,2832,2160,2880,48,48,   0,1.00,0.20,0.0426
4825,60,46,95.36,HIGH,2160,2832,2208,2880,48,48,   0,1.00,1.00,0.1003
4887,61,27,18.14,MEDIUM,1248,2880,1296,2928,48,48,   0,1.00,0.20,0.0027
4888,61,28,48.09,MEDIUM,1296,2880,1344,2928,48,48,   2,1.00,0.20,0.0814
4889,61,29,49.31,MEDIUM,1344,2880,1392,2928,48,48,   1,1.00,0.20,0.0309
4890,61,30,50.74,MEDIUM,1392,2880,1440,2928,48,48,   0,1.00,0.20,0.0000
4891,61,31,24.57,MEDIUM,1440,2880,1488,2928,48,48,   6,1.00,0.20,0.0473
4903,61,43,40.84,MEDIUM,2016,2880,2064,2928,48,48,   0,1.00,0.20,0.0118
4904,61,44,78.04,MEDIUM,2064,2880,2112,2928,48,48,   0,1.00,0.20,0.0293
4905,61,45,89.67,HIGH,2112,2880,2160,2928,48,48,   0,1.00,1.00,0.1689
4906,61,46,90.80,HIGH,2160,2880,2208,2928,48,48,   0,1.00,1.00,0.1246
4970,62,29,46.40,MEDIUM,1344,2928,1392,2976,48,48,   1,1.00,0.20,0.0227
4971,62,30,22.83,MEDIUM,1392,2928,1440,2976,48,48,   0,1.00,0.20,0.0000
4972,62,31,29.69,MEDIUM,1440,2928,1488,2976,48,48,   0,1.00,0.20,0.0023
4982,62,41,26.43,MEDIUM,1920,2928,1968,2976,48,48,   3,1.00,0.20,0.0347
4985,62,44,75.78,MEDIUM,2064,2928,2112,2976,48,48,   0,1.00,0.20,0.0000
4986,62,45,89.02,HIGH,2112,2928,2160,2976,48,48,   0,1.00,1.00,0.0000
4987,62,46,61.24,MEDIUM,2160,2928,2208,2976,48,48,   4,1.00,0.20,0.1795
5048,63,26,48.44,MEDIUM,1200,2976,1248,3024,48,48,   1,1.00,0.20,0.0320
5050,63,28,24.57,MEDIUM,1296,2976,1344,3024,48,48,   2,1.00,0.20,0.0204
5051,63,29,21.57,MEDIUM,1344,2976,1392,3024,48,48,   0,1.00,0.20,0.0000
5052,63,30,64.02,MEDIUM,1392,2976,1440,3024,48,48,   0,1.00,0.20,0.0139
5053,63,31,26.61,MEDIUM,1440,2976,1488,3024,48,48,   0,1.00,0.20,0.0000
5062,63,40,63.63,MEDIUM,1872,2976,1920,3024,48,48,   3,1.00,0.20,0.1441
5063,63,41,61.24,MEDIUM,1920,2976,1968,3024,48,48,   0,1.00,0.20,0.0096
5064,63,42,23.13,MEDIUM,1968,2976,2016,3024,48,48,   0,1.00,0.20,0.0000
5066,63,44,67.66,MEDIUM,2064,2976,2112,3024,48,48,   0,1.00,0.20,0.0000
5067,63,45,95.53,HIGH,2112,2976,2160,3024,48,48,   0,1.00,1.00,0.0000
5068,63,46,39.19,MEDIUM,2160,2976,2208,3024,48,48,   1,1.00,0.20,0.0323
5127,64,24,20.79,MEDIUM,1104,3024,1152,3072,48,48,   4,1.00,0.20,0.0231
5128,64,25,48.35,MEDIUM,1152,3024,1200,3072,48,48,   0,1.00,0.20,0.0000
5129,64,26,51.04,MEDIUM,1200,3024,1248,3072,48,48,   0,1.00,0.20,0.0000
5131,64,28,36.59,MEDIUM,1296,3024,1344,3072,48,48,   0,1.00,0.20,0.0000
5132,64,29,38.02,MEDIUM,1344,3024,1392,3072,48,48,   0,1.00,0.20,0.0000
5133,64,30,56.29,MEDIUM,1392,3024,1440,3072,48,48,   0,1.00,0.20,0.0252
5134,64,31,18.06,MEDIUM,1440,3024,1488,3072,48,48,   0,1.00,0.20,0.0000
5141,64,38,13.85,MEDIUM,1776,3024,1824,3072,48,48,   0,1.00,0.20,0.0001
5142,64,39,14.54,MEDIUM,1824,3024,1872,3072,48,48,   0,1.00,0.20,0.0000
5143,64,40,33.12,MEDIUM,1872,3024,1920,3072,48,48,   0,1.00,0.20,0.0000
5144,64,41,36.59,MEDIUM,1920,3024,1968,3072,48,48,   0,1.00,0.20,0.0000
5145,64,42,13.24,MEDIUM,1968,3024,2016,3072,48,48,   0,1.00,0.20,0.0000
5146,64,43,17.84,MEDIUM,2016,3024,2064,3072,48,48,   0,1.00,0.20,0.0000
5147,64,44,89.97,HIGH,2064,3024,2112,3072,48,48,   1,1.00,1.00,0.3400
5148,64,45,98.44,HIGH,2112,3024,2160,3072,48,48,   0,0.49,1.00,0.0000
5149,64,46,28.69,MEDIUM,2160,3024,2208,3072,48,48,   2,1.00,0.20,0.0247
5204,65,20,25.22,MEDIUM,912,3072,960,3120,48,48,   3,1.00,0.20,0.0280
5205,65,21,29.12,MEDIUM,960,3072,1008,3120,48,48,   0,1.00,0.20,0.0001
5208,65,24,16.02,MEDIUM,1104,3072,1152,3120,48,48,   0,1.00,0.20,0.0000
5209,65,25,60.68,MEDIUM,1152,3072,1200,3120,48,48,   0,1.00,0.20,0.0000
5210,65,26,66.15,MEDIUM,1200,3072,1248,3120,48,48,   0,1.00,0.20,0.0111
5211,65,27,56.16,MEDIUM,1248,3072,1296,3120,48,48,   0,1.00,0.20,0.0000
5212,65,28,54.64,MEDIUM,1296,3072,1344,3120,48,48,   0,1.00,0.20,0.0000
5214,65,30,23.78,MEDIUM,1392,3072,1440,3120,48,48,   0,1.00,0.20,0.0052
5222,65,38,59.98,MEDIUM,1776,3072,1824,3120,48,48,  62,1.00,0.20,0.4832
5223,65,39,34.07,MEDIUM,1824,3072,1872,3120,48,48,   0,1.00,0.20,0.0000
5224,65,40,17.14,MEDIUM,1872,3072,1920,3120,48,48,   0,1.00,0.20,0.0000
5225,65,41,53.21,MEDIUM,1920,3072,1968,3120,48,48,   0,1.00,0.20,0.0000
