Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x4608
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x4608
Scaled Tile Size: 48x48
Total Mask: 81.07%, Total Tissue: 18.93%
Tiles: 62x96 = 5952
   638 (10.72%) tiles >=80% tissue
  1005 (16.89%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
135,3,11,20.57,MEDIUM,480,96,528,144,48,48,   0,1.00,0.20,0.0000
136,3,12,24.39,MEDIUM,528,96,576,144,48,48,   0,1.00,0.20,0.0000
137,3,13,27.78,MEDIUM,576,96,624,144,48,48,   0,1.00,0.20,0.0000
138,3,14,42.93,MEDIUM,624,96,672,144,48,48,   0,1.00,0.20,0.0022
139,3,15,46.05,MEDIUM,672,96,720,144,48,48,   0,1.00,0.20,0.0039
140,3,16,23.91,MEDIUM,720,96,768,144,48,48,   0,1.00,0.20,0.0007
141,3,17,27.52,MEDIUM,768,96,816,144,48,48,   0,1.00,0.20,0.0002
194,4,8,20.88,MEDIUM,336,144,384,192,48,48,   0,1.00,0.20,0.0000
195,4,9,33.16,MEDIUM,384,144,432,192,48,48,   0,1.00,0.20,0.0022
196,4,10,36.11,MEDIUM,432,144,480,192,48,48,   0,1.00,0.20,0.0000
197,4,11,39.63,MEDIUM,480,144,528,192,48,48,   0,1.00,0.20,0.0000
198,4,12,56.60,MEDIUM,528,144,576,192,48,48,   0,1.00,0.20,0.0000
199,4,13,66.62,MEDIUM,576,144,624,192,48,48,   0,1.00,0.20,0.0000
200,4,14,42.10,MEDIUM,624,144,672,192,48,48,   0,1.00,0.20,0.0000
201,4,15,83.85,HIGH,672,144,720,192,48,48,   1,1.00,1.00,0.3081
202,4,16,77.08,MEDIUM,720,144,768,192,48,48,   1,1.00,0.20,0.0972
203,4,17,81.42,HIGH,768,144,816,192,48,48,   2,1.00,1.00,0.4105
204,4,18,75.56,MEDIUM,816,144,864,192,48,48,   3,1.00,0.20,0.2055
205,4,19,60.68,MEDIUM,864,144,912,192,48,48,   2,1.00,0.20,0.0976
