Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5640x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5640x3240
Scaled Tile Size: 48x48
Total Mask: 83.97%, Total Tissue: 16.03%
Tiles: 118x68 = 8024
   833 (10.38%) tiles >=80% tissue
  1004 (12.51%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
523,5,51,25.48,MEDIUM,2400,192,2448,240,48,48,  56,1.00,0.20,0.1393
524,5,52,32.86,MEDIUM,2448,192,2496,240,48,48,  63,1.00,0.20,0.2194
525,5,53,28.91,MEDIUM,2496,192,2544,240,48,48,  60,1.00,0.20,0.1767
526,5,54,31.94,MEDIUM,2544,192,2592,240,48,48,  13,1.00,0.20,0.1167
527,5,55,60.24,MEDIUM,2592,192,2640,240,48,48,  10,1.00,0.20,0.2896
528,5,56,72.92,MEDIUM,2640,192,2688,240,48,48,   4,1.00,0.20,0.2446
529,5,57,80.82,HIGH,2688,192,2736,240,48,48,   4,1.00,1.00,0.5167
530,5,58,77.26,MEDIUM,2736,192,2784,240,48,48,   6,1.00,0.20,0.3090
531,5,59,75.22,MEDIUM,2784,192,2832,240,48,48,   4,1.00,0.20,0.2381
532,5,60,76.82,MEDIUM,2832,192,2880,240,48,48,   7,1.00,0.20,0.3501
533,5,61,89.93,HIGH,2880,192,2928,240,48,48,   4,1.00,1.00,0.5641
534,5,62,90.10,HIGH,2928,192,2976,240,48,48,   4,1.00,1.00,0.5716
535,5,63,81.47,HIGH,2976,192,3024,240,48,48,   8,1.00,1.00,0.5922
536,5,64,84.77,HIGH,3024,192,3072,240,48,48,   5,1.00,1.00,0.5700
537,5,65,76.74,MEDIUM,3072,192,3120,240,48,48,   6,1.00,0.20,0.3134
538,5,66,58.98,MEDIUM,3120,192,3168,240,48,48,  15,1.00,0.20,0.3271
539,5,67,36.55,MEDIUM,3168,192,3216,240,48,48,  10,1.00,0.20,0.1252
636,6,46,26.82,MEDIUM,2160,240,2208,288,48,48, 110,1.00,0.20,0.1840
637,6,47,60.76,MEDIUM,2208,240,2256,288,48,48,  76,1.00,0.20,0.5068
638,6,48,59.46,MEDIUM,2256,240,2304,288,48,48,  62,1.00,0.20,0.4787
639,6,49,50.04,MEDIUM,2304,240,2352,288,48,48,  38,1.00,0.20,0.3502
640,6,50,89.54,HIGH,2352,240,2400,288,48,48,  44,1.00,1.00,0.7534
641,6,51,99.52,HIGH,2400,240,2448,288,48,48,  25,0.49,1.00,0.7204
642,6,52,99.96,HIGH,2448,240,2496,288,48,48,   8,0.16,1.00,0.4476
643,6,53,99.35,HIGH,2496,240,2544,288,48,48,   5,0.49,1.00,0.5463
644,6,54,99.39,HIGH,2544,240,2592,288,48,48,   4,0.16,1.00,0.3068
645,6,55,99.52,HIGH,2592,240,2640,288,48,48,   8,0.16,1.00,0.4434
646,6,56,99.44,HIGH,2640,240,2688,288,48,48,  18,0.49,1.00,0.6944
647,6,57,99.26,HIGH,2688,240,2736,288,48,48,  17,0.49,1.00,0.6858
648,6,58,99.52,HIGH,2736,240,2784,288,48,48,  23,0.49,1.00,0.7142
649,6,59,99.26,HIGH,2784,240,2832,288,48,48,  75,0.49,1.00,0.7818
650,6,60,99.31,HIGH,2832,240,2880,288,48,48, 133,0.49,1.00,0.8051
651,6,61,99.48,HIGH,2880,240,2928,288,48,48, 308,0.49,1.00,0.8326
652,6,62,99.44,HIGH,2928,240,2976,288,48,48, 455,0.49,1.00,0.8425
653,6,63,99.74,HIGH,2976,240,3024,288,48,48, 812,0.49,1.00,0.8563
654,6,64,99.52,HIGH,3024,240,3072,288,48,48, 555,0.49,1.00,0.8475
655,6,65,99.52,HIGH,3072,240,3120,288,48,48, 267,0.49,1.00,0.8286
656,6,66,99.52,HIGH,3120,240,3168,288,48,48, 152,0.49,1.00,0.8107
657,6,67,99.44,HIGH,3168,240,3216,288,48,48,  63,0.49,1.00,0.7739
658,6,68,99.48,HIGH,3216,240,3264,288,48,48,  34,0.49,1.00,0.7402
659,6,69,87.67,HIGH,3264,240,3312,288,48,48,  30,1.00,1.00,0.7256
660,6,70,60.85,MEDIUM,3312,240,3360,288,48,48,  14,1.00,0.20,0.3304
661,6,71,66.28,MEDIUM,3360,240,3408,288,48,48,   8,1.00,0.20,0.2929
662,6,72,53.26,MEDIUM,3408,240,3456,288,48,48,   3,1.00,0.20,0.1042
663,6,73,24.09,MEDIUM,3456,240,3504,288,48,48,   4,1.00,0.20,0.0312
753,7,45,30.34,MEDIUM,2112,288,2160,336,48,48,  56,1.00,0.20,0.1876
754,7,46,91.54,HIGH,2160,288,2208,336,48,48,  42,1.00,1.00,0.7589
755,7,47,98.35,HIGH,2208,288,2256,336,48,48,  12,0.49,1.00,0.6522
