Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x5632
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x5632
Scaled Tile Size: 48x48
Total Mask: 86.82%, Total Tissue: 13.18%
Tiles: 62x118 = 7316
   540 ( 7.38%) tiles >=80% tissue
   850 (11.62%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
29,1,29,65.67,MEDIUM,1344,0,1392,48,48,48, 111,1.00,0.20,0.5752
34,1,34,38.28,MEDIUM,1584,0,1632,48,48,48, 110,1.00,0.20,0.3148
91,2,29,55.73,MEDIUM,1344,48,1392,96,48,48, 173,1.00,0.20,0.5259
96,2,34,41.23,MEDIUM,1584,48,1632,96,48,48,  84,1.00,0.20,0.3286
152,3,28,23.09,MEDIUM,1296,96,1344,144,48,48,  15,1.00,0.20,0.0698
153,3,29,51.69,MEDIUM,1344,96,1392,144,48,48, 191,1.00,0.20,0.4951
158,3,34,50.95,MEDIUM,1584,96,1632,144,48,48, 109,1.00,0.20,0.4482
214,4,28,80.77,HIGH,1296,144,1344,192,48,48, 132,1.00,1.00,0.7612
215,4,29,49.78,MEDIUM,1344,144,1392,192,48,48, 277,1.00,0.20,0.4998
220,4,34,53.65,MEDIUM,1584,144,1632,192,48,48, 127,1.00,0.20,0.4851
221,4,35,28.08,MEDIUM,1632,144,1680,192,48,48,  13,0.49,0.20,0.0605
275,5,27,77.47,MEDIUM,1248,192,1296,240,48,48,  32,1.00,0.20,0.5457
276,5,28,99.00,HIGH,1296,192,1344,240,48,48, 105,1.00,1.00,0.8205
277,5,29,86.72,HIGH,1344,192,1392,240,48,48, 103,1.00,1.00,0.7776
278,5,30,19.23,MEDIUM,1392,192,1440,240,48,48,  62,1.00,0.20,0.0877
281,5,33,74.44,MEDIUM,1536,192,1584,240,48,48,  44,1.00,0.20,0.5575
282,5,34,97.48,HIGH,1584,192,1632,240,48,48,  40,1.00,1.00,0.7790
283,5,35,42.19,MEDIUM,1632,192,1680,240,48,48,  18,1.00,0.20,0.2158
337,6,27,94.53,HIGH,1248,240,1296,288,48,48,  46,0.49,1.00,0.7381
338,6,28,97.74,HIGH,1296,240,1344,288,48,48, 130,0.49,1.00,0.7994
339,6,29,98.65,HIGH,1344,240,1392,288,48,48, 118,0.49,1.00,0.7986
340,6,30,47.74,MEDIUM,1392,240,1440,288,48,48, 159,1.00,0.20,0.4431
342,6,32,75.52,MEDIUM,1488,240,1536,288,48,48,  43,1.00,0.20,0.5644
343,6,33,98.26,HIGH,1536,240,1584,288,48,48,  71,0.16,1.00,0.7081
344,6,34,96.96,HIGH,1584,240,1632,288,48,48, 126,0.16,1.00,0.7417
345,6,35,79.30,MEDIUM,1632,240,1680,288,48,48,  88,1.00,0.20,0.6474
398,7,26,28.34,MEDIUM,1200,288,1248,336,48,48,  11,0.49,0.20,0.0557
399,7,27,98.96,HIGH,1248,288,1296,336,48,48,  49,0.49,1.00,0.7594
400,7,28,98.70,HIGH,1296,288,1344,336,48,48, 181,0.16,1.00,0.7681
401,7,29,98.09,HIGH,1344,288,1392,336,48,48, 141,0.49,1.00,0.8035
402,7,30,70.83,MEDIUM,1392,288,1440,336,48,48,  99,1.00,0.20,0.6036
403,7,31,63.54,MEDIUM,1440,288,1488,336,48,48,  21,1.00,0.20,0.3981
