Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1792x2464
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1792x2464
Scaled Tile Size: 48x48
Total Mask: 75.61%, Total Tissue: 24.39%
Tiles: 38x52 = 1976
   335 (16.95%) tiles >=80% tissue
   303 (15.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
63,2,25,25.13,MEDIUM,1152,48,1200,96,48,48, 213,1.00,0.20,0.1926
64,2,26,47.09,MEDIUM,1200,48,1248,96,48,48, 218,1.00,0.20,0.4571
100,3,24,69.18,MEDIUM,1104,96,1152,144,48,48, 162,1.00,0.20,0.6269
101,3,25,94.97,HIGH,1152,96,1200,144,48,48,  60,1.00,1.00,0.7875
102,3,26,97.70,HIGH,1200,96,1248,144,48,48,   0,0.49,1.00,0.0000
103,3,27,80.99,HIGH,1248,96,1296,144,48,48,   2,1.00,1.00,0.3989
104,3,28,27.43,MEDIUM,1296,96,1344,144,48,48,   0,1.00,0.20,0.0000
137,4,23,29.95,MEDIUM,1056,144,1104,192,48,48,  55,1.00,0.20,0.1820
138,4,24,95.66,HIGH,1104,144,1152,192,48,48, 106,1.00,1.00,0.8105
139,4,25,90.58,HIGH,1152,144,1200,192,48,48,  12,1.00,1.00,0.6793
140,4,26,87.89,HIGH,1200,144,1248,192,48,48,  33,1.00,1.00,0.7319
141,4,27,86.94,HIGH,1248,144,1296,192,48,48,  53,1.00,1.00,0.7508
142,4,28,55.69,MEDIUM,1296,144,1344,192,48,48,   1,1.00,0.20,0.0725
143,4,29,34.94,MEDIUM,1344,144,1392,192,48,48,   0,1.00,0.20,0.0000
175,5,23,89.97,HIGH,1056,192,1104,240,48,48, 283,1.00,1.00,0.8205
176,5,24,97.40,HIGH,1104,192,1152,240,48,48,  67,0.49,1.00,0.7698
177,5,25,93.23,HIGH,1152,192,1200,240,48,48,  14,1.00,1.00,0.6995
178,5,26,91.23,HIGH,1200,192,1248,240,48,48,   7,1.00,1.00,0.6306
179,5,27,83.46,HIGH,1248,192,1296,240,48,48,  13,1.00,1.00,0.6449
180,5,28,17.71,MEDIUM,1296,192,1344,240,48,48,  26,1.00,0.20,0.0541
181,5,29,44.14,MEDIUM,1344,192,1392,240,48,48,   0,1.00,0.20,0.0000
206,6,16,28.60,MEDIUM,720,240,768,288,48,48,   0,1.00,0.20,0.0000
208,6,18,21.09,MEDIUM,816,240,864,288,48,48, 128,1.00,0.20,0.1274
209,6,19,18.01,MEDIUM,864,240,912,288,48,48, 176,1.00,0.20,0.1043
212,6,22,35.89,MEDIUM,1008,240,1056,288,48,48, 205,1.00,0.20,0.3249
213,6,23,99.18,HIGH,1056,240,1104,288,48,48, 205,1.00,1.00,0.8398
214,6,24,91.62,HIGH,1104,240,1152,288,48,48, 121,1.00,1.00,0.8012
215,6,25,80.64,HIGH,1152,240,1200,288,48,48,   6,1.00,1.00,0.5604
216,6,26,86.46,HIGH,1200,240,1248,288,48,48,   0,1.00,1.00,0.2238
217,6,27,73.96,MEDIUM,1248,240,1296,288,48,48,   0,1.00,0.20,0.0000
218,6,28,56.51,MEDIUM,1296,240,1344,288,48,48,   0,1.00,0.20,0.0000
219,6,29,44.88,MEDIUM,1344,240,1392,288,48,48,   5,1.00,0.20,0.1203
220,6,30,31.03,MEDIUM,1392,240,1440,288,48,48,  60,1.00,0.20,0.1977
243,7,15,59.68,MEDIUM,672,288,720,336,48,48,  13,1.00,0.20,0.3132
244,7,16,70.10,MEDIUM,720,288,768,336,48,48,   0,1.00,0.20,0.0423
245,7,17,43.01,MEDIUM,768,288,816,336,48,48,   5,1.00,0.20,0.1156
246,7,18,71.79,MEDIUM,816,288,864,336,48,48,  16,1.00,0.20,0.4247
247,7,19,93.79,HIGH,864,288,912,336,48,48, 250,1.00,1.00,0.8294
248,7,20,21.31,MEDIUM,912,288,960,336,48,48, 179,1.00,0.20,0.1407
250,7,22,45.62,MEDIUM,1008,288,1056,336,48,48, 273,1.00,0.20,0.4554
251,7,23,97.92,HIGH,1056,288,1104,336,48,48, 170,1.00,1.00,0.8314
252,7,24,88.72,HIGH,1104,288,1152,336,48,48,  15,1.00,1.00,0.6852
253,7,25,74.70,MEDIUM,1152,288,1200,336,48,48,   0,1.00,0.20,0.0478
254,7,26,26.35,MEDIUM,1200,288,1248,336,48,48, 101,1.00,0.20,0.1751
255,7,27,61.41,MEDIUM,1248,288,1296,336,48,48,   0,1.00,0.20,0.0328
256,7,28,79.73,MEDIUM,1296,288,1344,336,48,48,   0,1.00,0.20,0.0000
257,7,29,92.27,HIGH,1344,288,1392,336,48,48,   1,1.00,1.00,0.3058
