Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3968
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2944x3968
Scaled Tile Size: 48x48
Total Mask: 54.79%, Total Tissue: 45.21%
Tiles: 62x83 = 5146
  1831 (35.58%) tiles >=80% tissue
   981 (19.06%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
90,2,28,28.82,MEDIUM,1296,48,1344,96,48,48,  27,1.00,0.20,0.1327
91,2,29,33.07,MEDIUM,1344,48,1392,96,48,48,  51,1.00,0.20,0.2086
150,3,26,74.65,MEDIUM,1200,96,1248,144,48,48,  86,1.00,0.20,0.6176
151,3,27,88.41,HIGH,1248,96,1296,144,48,48,  47,1.00,1.00,0.7513
152,3,28,97.05,HIGH,1296,96,1344,144,48,48,  51,1.00,1.00,0.7880
153,3,29,93.23,HIGH,1344,96,1392,144,48,48,  27,1.00,1.00,0.7429
154,3,30,60.29,MEDIUM,1392,96,1440,144,48,48,  26,1.00,0.20,0.3980
210,4,24,55.82,MEDIUM,1104,144,1152,192,48,48,  39,1.00,0.20,0.4050
211,4,25,90.19,HIGH,1152,144,1200,192,48,48, 111,1.00,1.00,0.7932
212,4,26,88.67,HIGH,1200,144,1248,192,48,48,   5,1.00,1.00,0.5794
213,4,27,96.35,HIGH,1248,144,1296,192,48,48,   3,1.00,1.00,0.5699
214,4,28,92.71,HIGH,1296,144,1344,192,48,48,   1,1.00,1.00,0.4149
215,4,29,90.36,HIGH,1344,144,1392,192,48,48,   1,1.00,1.00,0.3799
216,4,30,85.07,HIGH,1392,144,1440,192,48,48,   1,1.00,1.00,0.3518
217,4,31,27.21,MEDIUM,1440,144,1488,192,48,48,  28,1.00,0.20,0.1226
271,5,23,90.41,HIGH,1056,192,1104,240,48,48, 116,1.00,1.00,0.7955
272,5,24,98.52,HIGH,1104,192,1152,240,48,48,  36,1.00,1.00,0.7780
273,5,25,97.87,HIGH,1152,192,1200,240,48,48,   6,1.00,1.00,0.6516
274,5,26,81.99,HIGH,1200,192,1248,240,48,48,   3,1.00,1.00,0.4647
275,5,27,96.01,HIGH,1248,192,1296,240,48,48,   1,1.00,1.00,0.4219
276,5,28,89.63,HIGH,1296,192,1344,240,48,48,   5,1.00,1.00,0.5908
277,5,29,75.04,MEDIUM,1344,192,1392,240,48,48,   1,1.00,0.20,0.0739
278,5,30,73.05,MEDIUM,1392,192,1440,240,48,48,   9,1.00,0.20,0.3594
279,5,31,72.27,MEDIUM,1440,192,1488,240,48,48,  17,1.00,0.20,0.4353
332,6,22,89.32,HIGH,1008,240,1056,288,48,48, 114,1.00,1.00,0.7911
333,6,23,99.18,HIGH,1056,240,1104,288,48,48,  69,1.00,1.00,0.8070
334,6,24,98.39,HIGH,1104,240,1152,288,48,48,   4,1.00,1.00,0.6041
335,6,25,96.74,HIGH,1152,240,1200,288,48,48,   2,1.00,1.00,0.4816
336,6,26,80.16,HIGH,1200,240,1248,288,48,48,   2,1.00,1.00,0.3767
337,6,27,79.43,MEDIUM,1248,240,1296,288,48,48,   7,1.00,0.20,0.3533
338,6,28,56.73,MEDIUM,1296,240,1344,288,48,48,   4,1.00,0.20,0.1606
339,6,29,38.76,MEDIUM,1344,240,1392,288,48,48,  10,1.00,0.20,0.1439
393,7,21,86.28,HIGH,960,288,1008,336,48,48,  43,1.00,1.00,0.7380
394,7,22,99.61,HIGH,1008,288,1056,336,48,48,  29,1.00,1.00,0.7708
395,7,23,99.31,HIGH,1056,288,1104,336,48,48,   7,1.00,1.00,0.6785
396,7,24,90.62,HIGH,1104,288,1152,336,48,48,   6,1.00,1.00,0.6150
397,7,25,95.27,HIGH,1152,288,1200,336,48,48,   8,1.00,1.00,0.6708
398,7,26,81.25,HIGH,1200,288,1248,336,48,48,   0,1.00,1.00,0.0422
399,7,27,74.05,MEDIUM,1248,288,1296,336,48,48,   1,1.00,0.20,0.1244
400,7,28,44.57,MEDIUM,1296,288,1344,336,48,48,   4,1.00,0.20,0.1047
401,7,29,39.54,MEDIUM,1344,288,1392,336,48,48,  11,1.00,0.20,0.1567
429,7,57,39.11,MEDIUM,2688,288,2736,336,48,48,  70,1.00,0.20,0.2933
454,8,20,54.34,MEDIUM,912,336,960,384,48,48,  41,1.00,0.20,0.3968
455,8,21,99.09,HIGH,960,336,1008,384,48,48, 127,1.00,1.00,0.8264
456,8,22,99.70,HIGH,1008,336,1056,384,48,48,  14,1.00,1.00,0.7271
457,8,23,96.01,HIGH,1056,336,1104,384,48,48,   7,1.00,1.00,0.6621
458,8,24,87.41,HIGH,1104,336,1152,384,48,48,   6,1.00,1.00,0.6024
459,8,25,77.26,MEDIUM,1152,336,1200,384,48,48,   4,1.00,0.20,0.2523
460,8,26,74.96,MEDIUM,1200,336,1248,384,48,48,   2,1.00,0.20,0.1526
461,8,27,89.54,HIGH,1248,336,1296,384,48,48,   3,1.00,1.00,0.5240
462,8,28,64.19,MEDIUM,1296,336,1344,384,48,48,   8,1.00,0.20,0.2840
463,8,29,78.43,MEDIUM,1344,336,1392,384,48,48,   1,1.00,0.20,0.0911
464,8,30,55.38,MEDIUM,1392,336,1440,384,48,48,   1,1.00,0.20,0.0373
465,8,31,23.44,MEDIUM,1440,336,1488,384,48,48,   1,1.00,0.20,0.0059
466,8,32,45.36,MEDIUM,1488,336,1536,384,48,48,   0,1.00,0.20,0.0070
488,8,54,57.25,MEDIUM,2544,336,2592,384,48,48,  89,1.00,0.20,0.4899
489,8,55,91.97,HIGH,2592,336,2640,384,48,48, 115,1.00,1.00,0.8008
490,8,56,96.27,HIGH,2640,336,2688,384,48,48,  44,1.00,1.00,0.7794
491,8,57,99.22,HIGH,2688,336,2736,384,48,48,  32,1.00,1.00,0.7756
