Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3324x2638
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3324x2638
Scaled Tile Size: 48x48
Total Mask: 97.40%, Total Tissue: 2.60%
Tiles: 70x55 = 3850
    12 ( 0.31%) tiles >=80% tissue
   197 ( 5.12%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
335,5,55,12.15,MEDIUM,2592,192,2640,240,48,48,  62,1.00,0.20,0.0370
336,5,56,43.66,MEDIUM,2640,192,2688,240,48,48,  62,1.00,0.20,0.3310
337,5,57,59.68,MEDIUM,2688,192,2736,240,48,48,  80,1.00,0.20,0.5019
338,5,58,82.99,HIGH,2736,192,2784,240,48,48,  81,1.00,1.00,0.7522
339,5,59,89.71,HIGH,2784,192,2832,240,48,48,  76,1.00,1.00,0.7777
340,5,60,79.51,MEDIUM,2832,192,2880,240,48,48,  98,1.00,0.20,0.6564
341,5,61,73.57,MEDIUM,2880,192,2928,240,48,48,  58,1.00,0.20,0.5783
342,5,62,39.50,MEDIUM,2928,192,2976,240,48,48,  68,1.00,0.20,0.2953
363,6,13,36.85,MEDIUM,576,240,624,288,48,48,  71,1.00,0.20,0.2703
364,6,14,52.13,MEDIUM,624,240,672,288,48,48,  74,1.00,0.20,0.4280
365,6,15,39.11,MEDIUM,672,240,720,288,48,48,  90,1.00,0.20,0.3105
366,6,16,43.40,MEDIUM,720,240,768,288,48,48,  59,1.00,0.20,0.3243
403,6,53,32.51,MEDIUM,2496,240,2544,288,48,48,  72,1.00,0.20,0.2241
404,6,54,68.92,MEDIUM,2544,240,2592,288,48,48,  87,1.00,0.20,0.5808
405,6,55,80.86,HIGH,2592,240,2640,288,48,48, 102,1.00,1.00,0.7520
406,6,56,62.37,MEDIUM,2640,240,2688,288,48,48, 163,1.00,0.20,0.5776
407,6,57,36.94,MEDIUM,2688,240,2736,288,48,48, 138,1.00,0.20,0.3137
408,6,58,51.48,MEDIUM,2736,240,2784,288,48,48, 188,1.00,0.20,0.4919
409,6,59,51.91,MEDIUM,2784,240,2832,288,48,48, 188,1.00,0.20,0.4961
410,6,60,56.64,MEDIUM,2832,240,2880,288,48,48, 274,1.00,0.20,0.5633
411,6,61,65.06,MEDIUM,2880,240,2928,288,48,48, 157,1.00,0.20,0.5955
412,6,62,24.48,MEDIUM,2928,240,2976,288,48,48, 105,1.00,0.20,0.1563
430,7,10,38.15,MEDIUM,432,288,480,336,48,48,  70,1.00,0.20,0.2829
431,7,11,71.79,MEDIUM,480,288,528,336,48,48,  82,1.00,0.20,0.5953
432,7,12,69.70,MEDIUM,528,288,576,336,48,48, 126,1.00,0.20,0.6131
433,7,13,75.35,MEDIUM,576,288,624,336,48,48, 147,1.00,0.20,0.6597
434,7,14,69.75,MEDIUM,624,288,672,336,48,48, 169,1.00,0.20,0.6331
435,7,15,70.96,MEDIUM,672,288,720,336,48,48, 168,1.00,0.20,0.6408
436,7,16,78.65,MEDIUM,720,288,768,336,48,48, 105,1.00,0.20,0.6563
437,7,17,30.08,MEDIUM,768,288,816,336,48,48, 110,1.00,0.20,0.2211
472,7,52,55.16,MEDIUM,2448,288,2496,336,48,48,  57,1.00,0.20,0.4340
473,7,53,81.21,HIGH,2496,288,2544,336,48,48, 101,1.00,1.00,0.7531
474,7,54,71.27,MEDIUM,2544,288,2592,336,48,48, 163,1.00,0.20,0.6408
475,7,55,35.37,MEDIUM,2592,288,2640,336,48,48, 114,1.00,0.20,0.2839
498,8,8,34.11,MEDIUM,336,336,384,384,48,48, 103,1.00,0.20,0.2633
499,8,9,79.47,MEDIUM,384,336,432,384,48,48, 127,1.00,0.20,0.6741
500,8,10,64.32,MEDIUM,432,336,480,384,48,48, 170,1.00,0.20,0.5954
501,8,11,31.51,MEDIUM,480,336,528,384,48,48, 207,1.00,0.20,0.2713
541,8,51,31.03,MEDIUM,2400,336,2448,384,48,48,  46,1.00,0.20,0.1825
542,8,52,80.16,HIGH,2448,336,2496,384,48,48, 114,1.00,1.00,0.7531
543,8,53,35.63,MEDIUM,2496,336,2544,384,48,48, 164,1.00,0.20,0.3088
567,9,7,25.65,MEDIUM,288,384,336,432,48,48,  68,1.00,0.20,0.1497
568,9,8,68.49,MEDIUM,336,384,384,432,48,48, 151,1.00,0.20,0.6174
569,9,9,32.38,MEDIUM,384,384,432,432,48,48, 214,1.00,0.20,0.2839
611,9,51,55.03,MEDIUM,2400,384,2448,432,48,48,  88,1.00,0.20,0.4695
612,9,52,18.53,MEDIUM,2448,384,2496,432,48,48, 210,1.00,0.20,0.1144
637,10,7,55.86,MEDIUM,288,432,336,480,48,48, 138,1.00,0.20,0.5113
638,10,8,15.54,MEDIUM,336,432,384,480,48,48, 204,1.00,0.20,0.0827
706,11,6,21.14,MEDIUM,240,480,288,528,48,48, 149,1.00,0.20,0.1328
707,11,7,12.67,MEDIUM,288,480,336,528,48,48, 264,1.00,0.20,0.0601
1388,20,58,19.44,MEDIUM,2736,912,2784,960,48,48,  56,1.00,0.20,0.0864
1389,20,59,35.68,MEDIUM,2784,912,2832,960,48,48,  42,1.00,0.20,0.2218
1390,20,60,48.65,MEDIUM,2832,912,2880,960,48,48,  54,1.00,0.20,0.3695
1391,20,61,62.98,MEDIUM,2880,912,2928,960,48,48,  44,1.00,0.20,0.4756
1392,20,62,79.77,MEDIUM,2928,912,2976,960,48,48,  63,1.00,0.20,0.6242
1393,20,63,72.09,MEDIUM,2976,912,3024,960,48,48,  51,1.00,0.20,0.5570
1415,21,15,14.41,MEDIUM,672,960,720,1008,48,48,  43,1.00,0.20,0.0448
1416,21,16,16.75,MEDIUM,720,960,768,1008,48,48,  48,1.00,0.20,0.0621
1417,21,17,17.14,MEDIUM,768,960,816,1008,48,48,  64,1.00,0.20,0.0716
1455,21,55,19.18,MEDIUM,2592,960,2640,1008,48,48,  41,1.00,0.20,0.0753
1456,21,56,78.95,MEDIUM,2640,960,2688,1008,48,48,  66,1.00,0.20,0.6230
1457,21,57,88.67,HIGH,2688,960,2736,1008,48,48, 105,1.00,1.00,0.7856
1458,21,58,54.90,MEDIUM,2736,960,2784,1008,48,48, 149,1.00,0.20,0.5081
1459,21,59,37.80,MEDIUM,2784,960,2832,1008,48,48, 129,1.00,0.20,0.3196
1460,21,60,28.12,MEDIUM,2832,960,2880,1008,48,48, 126,1.00,0.20,0.2052
1461,21,61,37.80,MEDIUM,2880,960,2928,1008,48,48, 221,1.00,0.20,0.3527
1462,21,62,68.62,MEDIUM,2928,960,2976,1008,48,48, 200,1.00,0.20,0.6361
1463,21,63,88.11,HIGH,2976,960,3024,1008,48,48, 118,1.00,1.00,0.7877
1464,21,64,15.28,MEDIUM,3024,960,3072,1008,48,48,  90,1.00,0.20,0.0642
1482,22,12,26.87,MEDIUM,528,1008,576,1056,48,48,  72,1.00,0.20,0.1645
1483,22,13,47.44,MEDIUM,576,1008,624,1056,48,48, 107,1.00,0.20,0.4117
1484,22,14,52.82,MEDIUM,624,1008,672,1056,48,48, 112,1.00,0.20,0.4683
1485,22,15,45.70,MEDIUM,672,1008,720,1056,48,48, 118,1.00,0.20,0.4010
1486,22,16,61.85,MEDIUM,720,1008,768,1056,48,48, 135,1.00,0.20,0.5604
1487,22,17,68.32,MEDIUM,768,1008,816,1056,48,48, 156,1.00,0.20,0.6185
1488,22,18,27.86,MEDIUM,816,1008,864,1056,48,48, 110,1.00,0.20,0.1956
1524,22,54,29.82,MEDIUM,2544,1008,2592,1056,48,48,  72,1.00,0.20,0.1957
1525,22,55,50.39,MEDIUM,2592,1008,2640,1056,48,48,  59,1.00,0.20,0.3930
1526,22,56,67.75,MEDIUM,2640,1008,2688,1056,48,48, 187,1.00,0.20,0.6263
1527,22,57,23.26,MEDIUM,2688,1008,2736,1056,48,48, 145,1.00,0.20,0.1555
1533,22,63,16.67,MEDIUM,2976,1008,3024,1056,48,48, 156,1.00,0.20,0.0880
