Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1280x4416
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1280x4416
Scaled Tile Size: 48x48
Total Mask: 84.56%, Total Tissue: 15.44%
Tiles: 27x92 = 2484
   312 (12.56%) tiles >=80% tissue
   160 ( 6.44%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
66,3,12,45.53,MEDIUM,528,96,576,144,48,48,   2,1.00,0.20,0.0553
67,3,13,57.38,MEDIUM,576,96,624,144,48,48,   2,1.00,0.20,0.1033
68,3,14,52.78,MEDIUM,624,96,672,144,48,48,  20,1.00,0.20,0.3110
92,4,11,36.59,MEDIUM,480,144,528,192,48,48,   4,1.00,0.20,0.0763
93,4,12,97.53,HIGH,528,144,576,192,48,48,   3,1.00,1.00,0.5882
94,4,13,98.35,HIGH,576,144,624,192,48,48, 166,1.00,1.00,0.8320
95,4,14,89.11,HIGH,624,144,672,192,48,48, 172,1.00,1.00,0.8035
96,4,15,90.71,HIGH,672,144,720,192,48,48,   3,1.00,1.00,0.5228
120,5,12,51.04,MEDIUM,528,192,576,240,48,48,  44,1.00,0.20,0.3737
121,5,13,51.48,MEDIUM,576,192,624,240,48,48, 304,1.00,0.20,0.5221
122,5,14,95.53,HIGH,624,192,672,240,48,48,  49,1.00,1.00,0.7814
123,5,15,96.61,HIGH,672,192,720,240,48,48,   1,1.00,1.00,0.4133
124,5,16,83.29,HIGH,720,192,768,240,48,48,   2,1.00,1.00,0.4034
147,6,12,64.02,MEDIUM,528,240,576,288,48,48,  11,1.00,0.20,0.3216
148,6,13,90.71,HIGH,576,240,624,288,48,48,  47,1.00,1.00,0.7613
149,6,14,87.76,HIGH,624,240,672,288,48,48,   5,1.00,1.00,0.5846
150,6,15,92.66,HIGH,672,240,720,288,48,48,   1,1.00,1.00,0.4130
151,6,16,96.40,HIGH,720,240,768,288,48,48,   3,1.00,1.00,0.5623
152,6,17,70.10,MEDIUM,768,240,816,288,48,48,   0,1.00,0.20,0.0219
174,7,12,58.77,MEDIUM,528,288,576,336,48,48,   0,1.00,0.20,0.0000
175,7,13,89.54,HIGH,576,288,624,336,48,48,   0,1.00,1.00,0.0000
176,7,14,85.98,HIGH,624,288,672,336,48,48,   0,1.00,1.00,0.0000
177,7,15,90.41,HIGH,672,288,720,336,48,48,  17,1.00,1.00,0.7012
178,7,16,94.23,HIGH,720,288,768,336,48,48,   3,1.00,1.00,0.5385
179,7,17,98.91,HIGH,768,288,816,336,48,48,  64,0.49,1.00,0.7727
180,7,18,49.44,MEDIUM,816,288,864,336,48,48,   8,1.00,0.20,0.1929
201,8,12,40.71,MEDIUM,528,336,576,384,48,48,   7,1.00,0.20,0.1235
202,8,13,84.11,HIGH,576,336,624,384,48,48,   0,1.00,1.00,0.0000
203,8,14,86.02,HIGH,624,336,672,384,48,48,   0,1.00,1.00,0.0000
204,8,15,86.94,HIGH,672,336,720,384,48,48,   0,1.00,1.00,0.0000
205,8,16,90.45,HIGH,720,336,768,384,48,48,  18,1.00,1.00,0.7077
206,8,17,98.00,HIGH,768,336,816,384,48,48,  40,0.49,1.00,0.7439
207,8,18,89.76,HIGH,816,336,864,384,48,48,  34,1.00,1.00,0.7414
228,9,12,41.41,MEDIUM,528,384,576,432,48,48,   0,1.00,0.20,0.0152
229,9,13,46.83,MEDIUM,576,384,624,432,48,48,   0,1.00,0.20,0.0000
230,9,14,58.55,MEDIUM,624,384,672,432,48,48,  56,1.00,0.20,0.4612
231,9,15,77.39,MEDIUM,672,384,720,432,48,48,   8,1.00,0.20,0.3631
232,9,16,95.88,HIGH,720,384,768,432,48,48, 236,1.00,1.00,0.8340
233,9,17,98.35,HIGH,768,384,816,432,48,48, 175,1.00,1.00,0.8333
234,9,18,99.74,HIGH,816,384,864,432,48,48,  68,1.00,1.00,0.8079
235,9,19,42.71,MEDIUM,864,384,912,432,48,48,  21,1.00,0.20,0.2311
254,10,11,31.29,MEDIUM,480,432,528,480,48,48,  16,1.00,0.20,0.1237
255,10,12,81.29,HIGH,528,432,576,480,48,48,   0,1.00,1.00,0.0000
256,10,13,84.77,HIGH,576,432,624,480,48,48,   0,1.00,1.00,0.0000
257,10,14,87.80,HIGH,624,432,672,480,48,48,   0,1.00,1.00,0.0000
258,10,15,91.93,HIGH,672,432,720,480,48,48,   1,1.00,1.00,0.3540
259,10,16,96.66,HIGH,720,432,768,480,48,48,  59,1.00,1.00,0.7927
260,10,17,99.00,HIGH,768,432,816,480,48,48, 351,1.00,1.00,0.8518
261,10,18,99.78,HIGH,816,432,864,480,48,48, 119,1.00,1.00,0.8267
262,10,19,56.29,MEDIUM,864,432,912,480,48,48,  49,1.00,0.20,0.4300
281,11,11,40.84,MEDIUM,480,480,528,528,48,48,  18,1.00,0.20,0.2041
282,11,12,81.16,HIGH,528,480,576,528,48,48,   0,1.00,1.00,0.0000
283,11,13,74.39,MEDIUM,576,480,624,528,48,48,   6,1.00,0.20,0.2966
284,11,14,83.72,HIGH,624,480,672,528,48,48,   0,1.00,1.00,0.0000
285,11,15,90.15,HIGH,672,480,720,528,48,48,  42,1.00,1.00,0.7535
286,11,16,97.53,HIGH,720,480,768,528,48,48, 135,1.00,1.00,0.8236
287,11,17,99.83,HIGH,768,480,816,528,48,48, 231,1.00,1.00,0.8444
288,11,18,99.70,HIGH,816,480,864,528,48,48,  89,1.00,1.00,0.8172
289,11,19,52.30,MEDIUM,864,480,912,528,48,48,  22,1.00,0.20,0.3177
308,12,11,80.12,HIGH,480,528,528,576,48,48,   0,1.00,1.00,0.0000
309,12,12,83.51,HIGH,528,528,576,576,48,48,   0,1.00,1.00,0.0000
310,12,13,39.11,MEDIUM,576,528,624,576,48,48,   3,1.00,0.20,0.0586
311,12,14,46.66,MEDIUM,624,528,672,576,48,48,  14,1.00,0.20,0.2231
312,12,15,89.15,HIGH,672,528,720,576,48,48,  47,1.00,1.00,0.7551
313,12,16,99.70,HIGH,720,528,768,576,48,48, 180,1.00,1.00,0.8378
314,12,17,99.70,HIGH,768,528,816,576,48,48, 129,1.00,1.00,0.8288
315,12,18,97.48,HIGH,816,528,864,576,48,48,  68,1.00,1.00,0.8007
316,12,19,49.78,MEDIUM,864,528,912,576,48,48,  37,1.00,0.20,0.3442
335,13,11,67.27,MEDIUM,480,576,528,624,48,48,   0,1.00,0.20,0.0115
336,13,12,88.24,HIGH,528,576,576,624,48,48,   0,1.00,1.00,0.0000
337,13,13,64.84,MEDIUM,576,576,624,624,48,48,   0,1.00,0.20,0.0375
338,13,14,74.31,MEDIUM,624,576,672,624,48,48, 437,1.00,0.20,0.7122
339,13,15,98.05,HIGH,672,576,720,624,48,48, 164,0.49,1.00,0.8088
340,13,16,99.31,HIGH,720,576,768,624,48,48,  85,1.00,1.00,0.8144
341,13,17,99.09,HIGH,768,576,816,624,48,48,  72,1.00,1.00,0.8080
342,13,18,98.52,HIGH,816,576,864,624,48,48,  56,1.00,1.00,0.7969
343,13,19,32.81,MEDIUM,864,576,912,624,48,48,  18,1.00,0.20,0.1409
362,14,11,43.45,MEDIUM,480,624,528,672,48,48,   0,1.00,0.20,0.0000
363,14,12,88.06,HIGH,528,624,576,672,48,48,   5,1.00,1.00,0.5849
364,14,13,82.03,HIGH,576,624,624,672,48,48,  26,1.00,1.00,0.6887
365,14,14,90.76,HIGH,624,624,672,672,48,48,  83,1.00,1.00,0.7847
366,14,15,96.18,HIGH,672,624,720,672,48,48,  90,1.00,1.00,0.8069
367,14,16,99.39,HIGH,720,624,768,672,48,48,  43,1.00,1.00,0.7891
368,14,17,99.70,HIGH,768,624,816,672,48,48,  98,1.00,1.00,0.8205
369,14,18,98.31,HIGH,816,624,864,672,48,48, 111,1.00,1.00,0.8202
389,15,11,67.06,MEDIUM,480,672,528,720,48,48,   3,1.00,0.20,0.1568
390,15,12,84.33,HIGH,528,672,576,720,48,48,   0,1.00,1.00,0.0802
391,15,13,87.63,HIGH,576,672,624,720,48,48,  30,1.00,1.00,0.7241
392,15,14,88.06,HIGH,624,672,672,720,48,48, 103,1.00,1.00,0.7829
