Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5544x12304
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5544x12304
Scaled Tile Size: 48x48
Total Mask: 97.90%, Total Tissue: 2.10%
Tiles: 116x257 = 29812
   237 ( 0.79%) tiles >=80% tissue
   937 ( 3.14%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
4703,41,63,15.28,MEDIUM,2976,1920,3024,1968,48,48,   1,1.00,0.20,0.0060
4704,41,64,44.84,MEDIUM,3024,1920,3072,1968,48,48,   1,1.00,0.20,0.0463
4820,42,64,46.96,MEDIUM,3024,1968,3072,2016,48,48,   2,1.00,0.20,0.0818
4912,43,40,16.54,MEDIUM,1872,2016,1920,2064,48,48,   8,1.00,0.20,0.0245
4936,43,64,13.50,MEDIUM,3024,2016,3072,2064,48,48,   1,1.00,0.20,0.0033
4937,43,65,43.40,MEDIUM,3072,2016,3120,2064,48,48,   3,1.00,0.20,0.0858
5028,44,40,41.88,MEDIUM,1872,2064,1920,2112,48,48,   6,1.00,0.20,0.1206
5029,44,41,16.54,MEDIUM,1920,2064,1968,2112,48,48,  24,1.00,0.20,0.0459
5053,44,65,44.88,MEDIUM,3072,2064,3120,2112,48,48,   6,1.00,0.20,0.1365
5054,44,66,18.19,MEDIUM,3120,2064,3168,2112,48,48,   7,1.00,0.20,0.0276
5145,45,41,46.48,MEDIUM,1920,2112,1968,2160,48,48,  68,1.00,0.20,0.3667
5146,45,42,47.92,MEDIUM,1968,2112,2016,2160,48,48, 493,1.00,0.20,0.5137
5147,45,43,14.19,MEDIUM,2016,2112,2064,2160,48,48, 247,1.00,0.20,0.0732
5161,45,57,50.91,MEDIUM,2688,2112,2736,2160,48,48,   4,1.00,0.20,0.1211
5169,45,65,22.01,MEDIUM,3072,2112,3120,2160,48,48, 129,1.00,0.20,0.1373
5170,45,66,39.32,MEDIUM,3120,2112,3168,2160,48,48,   9,1.00,0.20,0.1355
5261,46,41,28.47,MEDIUM,1920,2160,1968,2208,48,48, 718,1.00,0.20,0.2874
5262,46,42,75.61,MEDIUM,1968,2160,2016,2208,48,48, 622,1.00,0.20,0.7342
5263,46,43,34.81,MEDIUM,2016,2160,2064,2208,48,48, 573,1.00,0.20,0.3653
5278,46,58,23.31,MEDIUM,2736,2160,2784,2208,48,48, 461,1.00,0.20,0.1976
5279,46,59,17.01,MEDIUM,2784,2160,2832,2208,48,48, 732,1.00,0.20,0.1263
5285,46,65,44.36,MEDIUM,3072,2160,3120,2208,48,48, 919,1.00,0.20,0.5066
5286,46,66,66.88,MEDIUM,3120,2160,3168,2208,48,48,  27,1.00,0.20,0.4525
5379,47,43,45.66,MEDIUM,2016,2208,2064,2256,48,48, 782,1.00,0.20,0.5133
5380,47,44,70.44,MEDIUM,2064,2208,2112,2256,48,48, 550,1.00,0.20,0.7003
5381,47,45,74.35,MEDIUM,2112,2208,2160,2256,48,48, 410,1.00,0.20,0.7095
5382,47,46,13.80,MEDIUM,2160,2208,2208,2256,48,48, 160,1.00,0.20,0.0625
5394,47,58,38.59,MEDIUM,2736,2208,2784,2256,48,48,1206,1.00,0.20,0.4497
5395,47,59,37.37,MEDIUM,2784,2208,2832,2256,48,48,4906,1.00,0.20,0.4904
5396,47,60,27.47,MEDIUM,2832,2208,2880,2256,48,48,7083,1.00,0.20,0.3539
5400,47,64,18.84,MEDIUM,3024,2208,3072,2256,48,48, 826,1.00,0.20,0.1536
