Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x3168
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x3168
Scaled Tile Size: 48x48
Total Mask: 74.93%, Total Tissue: 25.07%
Tiles: 59x66 = 3894
   403 (10.35%) tiles >=80% tissue
  1118 (28.71%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
155,3,37,19.23,MEDIUM,1728,96,1776,144,48,48,  25,1.00,0.20,0.0619
156,3,38,25.17,MEDIUM,1776,96,1824,144,48,48,   9,1.00,0.20,0.0616
157,3,39,60.76,MEDIUM,1824,96,1872,144,48,48,   0,1.00,0.20,0.0000
158,3,40,74.52,MEDIUM,1872,96,1920,144,48,48,   0,1.00,0.20,0.0000
159,3,41,82.16,HIGH,1920,96,1968,144,48,48,   0,1.00,1.00,0.0000
160,3,42,65.89,MEDIUM,1968,96,2016,144,48,48,  61,1.00,0.20,0.5277
161,3,43,78.95,MEDIUM,2016,96,2064,144,48,48,   0,1.00,0.20,0.0000
162,3,44,48.74,MEDIUM,2064,96,2112,144,48,48,   0,1.00,0.20,0.0000
163,3,45,25.52,MEDIUM,2112,96,2160,144,48,48,  95,1.00,0.20,0.1632
164,3,46,28.30,MEDIUM,2160,96,2208,144,48,48,  36,1.00,0.20,0.1447
212,4,35,36.68,MEDIUM,1632,144,1680,192,48,48,   0,1.00,0.20,0.0000
213,4,36,69.97,MEDIUM,1680,144,1728,192,48,48,   0,1.00,0.20,0.0000
214,4,37,71.61,MEDIUM,1728,144,1776,192,48,48,   2,1.00,0.20,0.1698
215,4,38,77.78,MEDIUM,1776,144,1824,192,48,48,   0,1.00,0.20,0.0000
216,4,39,79.90,MEDIUM,1824,144,1872,192,48,48,   2,1.00,0.20,0.1884
217,4,40,85.11,HIGH,1872,144,1920,192,48,48,   0,1.00,1.00,0.0000
218,4,41,88.93,HIGH,1920,144,1968,192,48,48,   0,1.00,1.00,0.0000
219,4,42,85.59,HIGH,1968,144,2016,192,48,48,  12,1.00,1.00,0.6516
220,4,43,85.72,HIGH,2016,144,2064,192,48,48,   7,1.00,1.00,0.6077
221,4,44,90.76,HIGH,2064,144,2112,192,48,48,   0,1.00,1.00,0.0000
222,4,45,92.88,HIGH,2112,144,2160,192,48,48,   0,1.00,1.00,0.0324
223,4,46,96.61,HIGH,2160,144,2208,192,48,48, 132,1.00,1.00,0.8202
224,4,47,66.32,MEDIUM,2208,144,2256,192,48,48, 106,1.00,0.20,0.5770
268,5,32,21.22,MEDIUM,1488,192,1536,240,48,48,   0,1.00,0.20,0.0000
269,5,33,19.23,MEDIUM,1536,192,1584,240,48,48,   0,1.00,0.20,0.0000
270,5,34,38.93,MEDIUM,1584,192,1632,240,48,48,  25,1.00,0.20,0.2139
271,5,35,74.87,MEDIUM,1632,192,1680,240,48,48,   0,1.00,0.20,0.0000
272,5,36,82.99,HIGH,1680,192,1728,240,48,48,   0,1.00,1.00,0.0000
273,5,37,79.86,MEDIUM,1728,192,1776,240,48,48,   0,1.00,0.20,0.0000
274,5,38,84.24,HIGH,1776,192,1824,240,48,48,   0,1.00,1.00,0.0000
275,5,39,78.08,MEDIUM,1824,192,1872,240,48,48,   0,1.00,0.20,0.0000
276,5,40,52.04,MEDIUM,1872,192,1920,240,48,48,   9,1.00,0.20,0.2154
277,5,41,57.25,MEDIUM,1920,192,1968,240,48,48,   4,1.00,0.20,0.1548
278,5,42,87.50,HIGH,1968,192,2016,240,48,48,   0,1.00,1.00,0.0000
279,5,43,92.01,HIGH,2016,192,2064,240,48,48,   0,1.00,1.00,0.0000
280,5,44,87.33,HIGH,2064,192,2112,240,48,48,   1,1.00,1.00,0.2569
281,5,45,92.84,HIGH,2112,192,2160,240,48,48,   1,1.00,1.00,0.3952
282,5,46,86.11,HIGH,2160,192,2208,240,48,48,   0,1.00,1.00,0.0000
283,5,47,91.97,HIGH,2208,192,2256,240,48,48,  73,1.00,1.00,0.7844
284,5,48,78.60,MEDIUM,2256,192,2304,240,48,48,  16,1.00,0.20,0.4677
