Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5899x2734
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 5899x2734
Scaled Tile Size: 48x48
Total Mask: 97.13%, Total Tissue: 2.87%
Tiles: 123x57 = 7011
    55 ( 0.78%) tiles >=80% tissue
   345 ( 4.92%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
853,7,115,14.28,MEDIUM,5472,288,5520,336,48,48, 620,0.49,0.20,0.0776
974,8,113,25.30,MEDIUM,5376,336,5424,384,48,48,1253,1.00,0.20,0.2614
975,8,114,53.39,MEDIUM,5424,336,5472,384,48,48,1770,1.00,0.20,0.6260
1552,13,76,18.23,MEDIUM,3600,576,3648,624,48,48, 428,1.00,0.20,0.1291
1553,13,77,20.18,MEDIUM,3648,576,3696,624,48,48, 461,1.00,0.20,0.1559
1596,13,120,14.41,MEDIUM,5712,576,5760,624,48,48,1230,0.49,0.20,0.0906
1674,14,75,21.27,MEDIUM,3552,624,3600,672,48,48,  17,1.00,0.20,0.0636
1716,14,117,23.61,MEDIUM,5568,624,5616,672,48,48,1145,1.00,0.20,0.2327
1717,14,118,23.57,MEDIUM,5616,624,5664,672,48,48, 813,1.00,0.20,0.2206
1718,14,119,19.70,MEDIUM,5664,624,5712,672,48,48, 989,1.00,0.20,0.1705
1746,15,24,23.48,MEDIUM,1104,672,1152,720,48,48, 301,1.00,0.20,0.1849
1747,15,25,16.93,MEDIUM,1152,672,1200,720,48,48,   6,1.00,0.20,0.0229
1797,15,75,17.75,MEDIUM,3552,672,3600,720,48,48,  55,1.00,0.20,0.0727
1801,15,79,64.45,MEDIUM,3744,672,3792,720,48,48,  13,1.00,0.20,0.3497
1818,15,96,24.44,MEDIUM,4560,672,4608,720,48,48, 121,1.00,0.20,0.1614
1838,15,116,46.53,MEDIUM,5520,672,5568,720,48,48,1458,1.00,0.20,0.5514
1869,16,24,30.64,MEDIUM,1104,720,1152,768,48,48, 446,1.00,0.20,0.2971
1870,16,25,23.26,MEDIUM,1152,720,1200,768,48,48, 173,1.00,0.20,0.1620
1871,16,26,21.66,MEDIUM,1200,720,1248,768,48,48,   5,1.00,0.20,0.0325
1924,16,79,18.49,MEDIUM,3744,720,3792,768,48,48,  36,1.00,0.20,0.0670
1941,16,96,72.05,MEDIUM,4560,720,4608,768,48,48, 632,1.00,0.20,0.7156
1961,16,116,81.29,HIGH,5520,720,5568,768,48,48, 781,1.00,1.00,0.8149
2045,17,77,17.19,MEDIUM,3648,768,3696,816,48,48,  35,1.00,0.20,0.0579
2064,17,96,58.07,MEDIUM,4560,768,4608,816,48,48, 521,1.00,0.20,0.6109
2065,17,97,14.97,MEDIUM,4608,768,4656,816,48,48, 725,1.00,0.20,0.1005
2082,17,114,28.39,MEDIUM,5424,768,5472,816,48,48,2385,0.49,0.20,0.3055
2083,17,115,73.48,MEDIUM,5472,768,5520,816,48,48, 803,1.00,0.20,0.7330
2084,17,116,53.60,MEDIUM,5520,768,5568,816,48,48, 130,1.00,0.20,0.4866
2114,18,23,14.76,MEDIUM,1056,816,1104,864,48,48,  33,1.00,0.20,0.0424
2115,18,24,42.14,MEDIUM,1104,816,1152,864,48,48,  18,1.00,0.20,0.2146
2116,18,25,39.54,MEDIUM,1152,816,1200,864,48,48,   9,1.00,0.20,0.1357
2117,18,26,17.97,MEDIUM,1200,816,1248,864,48,48,   5,1.00,0.20,0.0213
2168,18,77,13.37,MEDIUM,3648,816,3696,864,48,48,  40,1.00,0.20,0.0378
2187,18,96,36.50,MEDIUM,4560,816,4608,864,48,48, 325,1.00,0.20,0.3582
2188,18,97,20.96,MEDIUM,4608,816,4656,864,48,48, 350,1.00,0.20,0.1578
2202,18,111,36.37,MEDIUM,5280,816,5328,864,48,48,1011,1.00,0.20,0.4128
2203,18,112,78.08,MEDIUM,5328,816,5376,864,48,48, 556,1.00,0.20,0.7421
2204,18,113,71.83,MEDIUM,5376,816,5424,864,48,48, 516,1.00,0.20,0.7056
2205,18,114,82.77,HIGH,5424,816,5472,864,48,48, 497,1.00,1.00,0.8097
2206,18,115,27.21,MEDIUM,5472,816,5520,864,48,48, 194,1.00,0.20,0.2144
2236,19,22,14.63,MEDIUM,1008,864,1056,912,48,48,  25,1.00,0.20,0.0372
2237,19,23,39.67,MEDIUM,1056,864,1104,912,48,48,  52,1.00,0.20,0.2772
2238,19,24,70.66,MEDIUM,1104,864,1152,912,48,48,  24,1.00,0.20,0.4682
2239,19,25,50.30,MEDIUM,1152,864,1200,912,48,48,  18,1.00,0.20,0.2808
2279,19,65,28.17,MEDIUM,3072,864,3120,912,48,48,  24,1.00,0.20,0.1230
2296,19,82,23.74,MEDIUM,3888,864,3936,912,48,48, 250,1.00,0.20,0.1814
2311,19,97,34.11,MEDIUM,4608,864,4656,912,48,48, 425,1.00,0.20,0.3414
2322,19,108,26.43,MEDIUM,5136,864,5184,912,48,48, 893,0.49,0.20,0.2385
2323,19,109,33.20,MEDIUM,5184,864,5232,912,48,48, 543,1.00,0.20,0.3412
2324,19,110,57.99,MEDIUM,5232,864,5280,912,48,48, 368,1.00,0.20,0.5918
2325,19,111,70.62,MEDIUM,5280,864,5328,912,48,48, 379,1.00,0.20,0.6841
2326,19,112,22.83,MEDIUM,5328,864,5376,912,48,48,  96,1.00,0.20,0.1353
2327,19,113,29.25,MEDIUM,5376,864,5424,912,48,48, 206,1.00,0.20,0.2425
2334,19,120,22.79,MEDIUM,5712,864,5760,912,48,48,1205,1.00,0.20,0.2218
2335,19,121,24.35,MEDIUM,5760,864,5808,912,48,48, 471,1.00,0.20,0.2126
2359,20,22,47.57,MEDIUM,1008,912,1056,960,48,48,  18,1.00,0.20,0.2543
2360,20,23,18.06,MEDIUM,1056,912,1104,960,48,48,  73,1.00,0.20,0.0821
2361,20,24,22.66,MEDIUM,1104,912,1152,960,48,48,  70,1.00,0.20,0.1219
2407,20,70,21.92,MEDIUM,3312,912,3360,960,48,48, 176,1.00,0.20,0.1470
2416,20,79,22.70,MEDIUM,3744,912,3792,960,48,48, 247,1.00,0.20,0.1680
2417,20,80,25.26,MEDIUM,3792,912,3840,960,48,48, 208,1.00,0.20,0.1932
2418,20,81,23.26,MEDIUM,3840,912,3888,960,48,48, 154,1.00,0.20,0.1577
2434,20,97,33.55,MEDIUM,4608,912,4656,960,48,48, 336,1.00,0.20,0.3222
2438,20,101,33.68,MEDIUM,4800,912,4848,960,48,48,3990,1.00,0.20,0.4312
2444,20,107,34.72,MEDIUM,5088,912,5136,960,48,48,1204,0.49,0.20,0.3655
