Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x3232
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2432x3232
Scaled Tile Size: 48x48
Total Mask: 84.38%, Total Tissue: 15.62%
Tiles: 51x68 = 3468
   361 (10.41%) tiles >=80% tissue
   385 (11.10%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
115,3,13,37.11,MEDIUM,576,96,624,144,48,48,  29,1.00,0.20,0.2079
116,3,14,39.89,MEDIUM,624,96,672,144,48,48,   0,1.00,0.20,0.0000
117,3,15,39.15,MEDIUM,672,96,720,144,48,48,   2,1.00,0.20,0.0558
118,3,16,30.99,MEDIUM,720,96,768,144,48,48,   4,1.00,0.20,0.0563
119,3,17,17.97,MEDIUM,768,96,816,144,48,48,   6,1.00,0.20,0.0240
120,3,18,27.82,MEDIUM,816,96,864,144,48,48,   0,1.00,0.20,0.0000
121,3,19,20.92,MEDIUM,864,96,912,144,48,48,   0,1.00,0.20,0.0000
163,4,10,67.93,MEDIUM,432,144,480,192,48,48,   7,1.00,0.20,0.2865
164,4,11,80.64,HIGH,480,144,528,192,48,48,  77,1.00,1.00,0.7390
165,4,12,92.32,HIGH,528,144,576,192,48,48,   0,1.00,1.00,0.0000
166,4,13,89.15,HIGH,576,144,624,192,48,48,   5,1.00,1.00,0.5921
167,4,14,86.68,HIGH,624,144,672,192,48,48,   2,1.00,1.00,0.4260
168,4,15,91.28,HIGH,672,144,720,192,48,48,  79,1.00,1.00,0.7850
169,4,16,84.20,HIGH,720,144,768,192,48,48,  30,1.00,1.00,0.7089
170,4,17,82.55,HIGH,768,144,816,192,48,48,  11,1.00,1.00,0.6265
171,4,18,86.94,HIGH,816,144,864,192,48,48,   0,1.00,1.00,0.0000
172,4,19,71.79,MEDIUM,864,144,912,192,48,48,   0,1.00,0.20,0.0086
