Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 48x48
Total Mask: 92.34%, Total Tissue: 7.66%
Tiles: 135x68 = 9180
   217 ( 2.36%) tiles >=80% tissue
  1230 (13.40%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1035,8,90,25.74,MEDIUM,4272,336,4320,384,48,48,  18,1.00,0.20,0.0920
1169,9,89,37.50,MEDIUM,4224,384,4272,432,48,48,   9,1.00,0.20,0.1260
1170,9,90,47.40,MEDIUM,4272,384,4320,432,48,48,  16,1.00,0.20,0.2417
1171,9,91,29.43,MEDIUM,4320,384,4368,432,48,48,  15,1.00,0.20,0.1081
1298,10,83,30.21,MEDIUM,3936,432,3984,480,48,48,   3,1.00,0.20,0.0460
1300,10,85,19.75,MEDIUM,4032,432,4080,480,48,48,   0,1.00,0.20,0.0000
1301,10,86,21.14,MEDIUM,4080,432,4128,480,48,48,   5,1.00,0.20,0.0290
1430,11,80,52.78,MEDIUM,3792,480,3840,528,48,48,  27,1.00,0.20,0.3425
1431,11,81,40.80,MEDIUM,3840,480,3888,528,48,48,  40,1.00,0.20,0.2674
1432,11,82,27.08,MEDIUM,3888,480,3936,528,48,48,  39,1.00,0.20,0.1381
1436,11,86,14.80,MEDIUM,4080,480,4128,528,48,48,   0,1.00,0.20,0.0000
1442,11,92,17.84,MEDIUM,4368,480,4416,528,48,48,   7,1.00,0.20,0.0283
1559,12,74,17.10,MEDIUM,3504,528,3552,576,48,48,   0,1.00,0.20,0.0000
1565,12,80,19.40,MEDIUM,3792,528,3840,576,48,48,   6,1.00,0.20,0.0277
1566,12,81,14.06,MEDIUM,3840,528,3888,576,48,48,  36,1.00,0.20,0.0401
1569,12,84,27.56,MEDIUM,3984,528,4032,576,48,48,  11,1.00,0.20,0.0799
1577,12,92,33.03,MEDIUM,4368,528,4416,576,48,48,   1,1.00,0.20,0.0221
1578,12,93,31.42,MEDIUM,4416,528,4464,576,48,48,   0,1.00,0.20,0.0000
1693,13,73,31.29,MEDIUM,3456,576,3504,624,48,48,   0,1.00,0.20,0.0000
1694,13,74,26.65,MEDIUM,3504,576,3552,624,48,48,   2,1.00,0.20,0.0265
1702,13,82,28.30,MEDIUM,3888,576,3936,624,48,48,   5,1.00,0.20,0.0559
1715,13,95,23.96,MEDIUM,4512,576,4560,624,48,48,   4,1.00,0.20,0.0319
1829,14,74,15.62,MEDIUM,3504,624,3552,672,48,48,   0,1.00,0.20,0.0022
1832,14,77,32.47,MEDIUM,3648,624,3696,672,48,48,   0,1.00,0.20,0.0000
1834,14,79,34.16,MEDIUM,3744,624,3792,672,48,48,   0,1.00,0.20,0.0000
1836,14,81,24.00,MEDIUM,3840,624,3888,672,48,48,   1,1.00,0.20,0.0134
1848,14,93,19.97,MEDIUM,4416,624,4464,672,48,48, 168,1.00,0.20,0.1239
1962,15,72,19.70,MEDIUM,3408,672,3456,720,48,48,   0,1.00,0.20,0.0000
1963,15,73,19.10,MEDIUM,3456,672,3504,720,48,48,   9,1.00,0.20,0.0359
1983,15,93,36.24,MEDIUM,4416,672,4464,720,48,48,   3,1.00,0.20,0.0510
1985,15,95,14.71,MEDIUM,4512,672,4560,720,48,48,   0,1.00,0.20,0.0000
2096,16,71,14.41,MEDIUM,3360,720,3408,768,48,48,   0,1.00,0.20,0.0000
2104,16,79,19.88,MEDIUM,3744,720,3792,768,48,48,   0,1.00,0.20,0.0000
2121,16,96,22.61,MEDIUM,4560,720,4608,768,48,48,  13,1.00,0.20,0.0620
2233,17,73,20.92,MEDIUM,3456,768,3504,816,48,48,   0,1.00,0.20,0.0011
2238,17,78,22.83,MEDIUM,3696,768,3744,816,48,48,   4,1.00,0.20,0.0286
2245,17,85,17.97,MEDIUM,4032,768,4080,816,48,48,   0,1.00,0.20,0.0000
2256,17,96,16.28,MEDIUM,4560,768,4608,816,48,48,   0,1.00,0.20,0.0000
2487,19,57,19.40,MEDIUM,2688,864,2736,912,48,48,  76,1.00,0.20,0.0949
2488,19,58,38.54,MEDIUM,2736,864,2784,912,48,48,  18,1.00,0.20,0.1835
2489,19,59,33.42,MEDIUM,2784,864,2832,912,48,48,   3,1.00,0.20,0.0525
2490,19,60,16.36,MEDIUM,2832,864,2880,912,48,48,   1,1.00,0.20,0.0041
2509,19,79,23.61,MEDIUM,3744,864,3792,912,48,48,   0,1.00,0.20,0.0000
2619,20,54,13.59,MEDIUM,2544,912,2592,960,48,48,  40,1.00,0.20,0.0391
2620,20,55,35.29,MEDIUM,2592,912,2640,960,48,48,  19,1.00,0.20,0.1641
2621,20,56,60.72,MEDIUM,2640,912,2688,960,48,48,  13,1.00,0.20,0.3208
2622,20,57,26.09,MEDIUM,2688,912,2736,960,48,48,   2,1.00,0.20,0.0222
2640,20,75,14.11,MEDIUM,3552,912,3600,960,48,48,   0,1.00,0.20,0.0000
2683,20,118,27.91,MEDIUM,5616,912,5664,960,48,48,  84,1.00,0.20,0.1830
2752,21,52,51.52,MEDIUM,2448,960,2496,1008,48,48,  69,1.00,0.20,0.4174
2753,21,53,50.04,MEDIUM,2496,960,2544,1008,48,48,  23,1.00,0.20,0.3011
2754,21,54,54.73,MEDIUM,2544,960,2592,1008,48,48,   4,1.00,0.20,0.1467
2755,21,55,52.47,MEDIUM,2592,960,2640,1008,48,48,   5,1.00,0.20,0.1557
2756,21,56,63.06,MEDIUM,2640,960,2688,1008,48,48,  14,1.00,0.20,0.3468
2757,21,57,45.53,MEDIUM,2688,960,2736,1008,48,48,   9,1.00,0.20,0.1758
2770,21,70,14.97,MEDIUM,3312,960,3360,1008,48,48,   0,1.00,0.20,0.0000
2771,21,71,16.23,MEDIUM,3360,960,3408,1008,48,48,   7,1.00,0.20,0.0225
2772,21,72,22.22,MEDIUM,3408,960,3456,1008,48,48,   1,1.00,0.20,0.0081
2773,21,73,14.28,MEDIUM,3456,960,3504,1008,48,48,   1,1.00,0.20,0.0029
2777,21,77,17.80,MEDIUM,3648,960,3696,1008,48,48,   0,1.00,0.20,0.0000
2778,21,78,32.60,MEDIUM,3696,960,3744,1008,48,48,   1,1.00,0.20,0.0146
2779,21,79,26.69,MEDIUM,3744,960,3792,1008,48,48,  65,1.00,0.20,0.1586
2781,21,81,18.66,MEDIUM,3840,960,3888,1008,48,48,   2,1.00,0.20,0.0097
2788,21,88,14.37,MEDIUM,4176,960,4224,1008,48,48,   1,1.00,0.20,0.0037
2789,21,89,15.41,MEDIUM,4224,960,4272,1008,48,48,   1,1.00,0.20,0.0060
2853,22,18,45.49,MEDIUM,816,1008,864,1056,48,48,   8,1.00,0.20,0.1684
2876,22,41,61.81,MEDIUM,1920,1008,1968,1056,48,48, 800,1.00,0.20,0.6600
2877,22,42,49.18,MEDIUM,1968,1008,2016,1056,48,48,  71,1.00,0.20,0.3963
2878,22,43,71.09,MEDIUM,2016,1008,2064,1056,48,48,  23,1.00,0.20,0.4632
2879,22,44,30.99,MEDIUM,2064,1008,2112,1056,48,48, 159,1.00,0.20,0.2511
2880,22,45,83.72,HIGH,2112,1008,2160,1056,48,48,  29,1.00,1.00,0.7041
2881,22,46,73.57,MEDIUM,2160,1008,2208,1056,48,48,  20,1.00,0.20,0.4663
2882,22,47,68.19,MEDIUM,2208,1008,2256,1056,48,48, 110,1.00,0.20,0.5932
2883,22,48,42.45,MEDIUM,2256,1008,2304,1056,48,48,  87,1.00,0.20,0.3446
2886,22,51,58.25,MEDIUM,2400,1008,2448,1056,48,48,   7,1.00,0.20,0.2349
2890,22,55,36.59,MEDIUM,2592,1008,2640,1056,48,48,   3,1.00,0.20,0.0570
2902,22,67,21.79,MEDIUM,3168,1008,3216,1056,48,48, 121,1.00,0.20,0.1328
2908,22,73,33.55,MEDIUM,3456,1008,3504,1056,48,48,   8,1.00,0.20,0.0976
2912,22,77,17.49,MEDIUM,3648,1008,3696,1056,48,48,   0,1.00,0.20,0.0000
2917,22,82,15.32,MEDIUM,3888,1008,3936,1056,48,48,   0,1.00,0.20,0.0000
2919,22,84,25.65,MEDIUM,3984,1008,4032,1056,48,48,   1,1.00,0.20,0.0130
2920,22,85,15.45,MEDIUM,4032,1008,4080,1056,48,48,  12,1.00,0.20,0.0279
2921,22,86,14.58,MEDIUM,4080,1008,4128,1056,48,48,   1,1.00,0.20,0.0054
2924,22,89,21.96,MEDIUM,4224,1008,4272,1056,48,48,  14,1.00,0.20,0.0594
2925,22,90,19.62,MEDIUM,4272,1008,4320,1056,48,48,   0,1.00,0.20,0.0000
3008,23,38,36.46,MEDIUM,1776,1056,1824,1104,48,48, 264,1.00,0.20,0.3462
3009,23,39,39.80,MEDIUM,1824,1056,1872,1104,48,48, 305,1.00,0.20,0.3952
3010,23,40,69.66,MEDIUM,1872,1056,1920,1104,48,48, 105,1.00,0.20,0.5999
3011,23,41,81.29,HIGH,1920,1056,1968,1104,48,48, 451,1.00,1.00,0.8016
3012,23,42,76.78,MEDIUM,1968,1056,2016,1104,48,48, 312,1.00,0.20,0.7098
3013,23,43,97.57,HIGH,2016,1056,2064,1104,48,48, 215,1.00,1.00,0.8365
3014,23,44,84.68,HIGH,2064,1056,2112,1104,48,48, 132,1.00,1.00,0.7781
3015,23,45,77.13,MEDIUM,2112,1056,2160,1104,48,48, 343,1.00,0.20,0.7162
3016,23,46,55.82,MEDIUM,2160,1056,2208,1104,48,48, 308,1.00,0.20,0.5630
3017,23,47,98.39,HIGH,2208,1056,2256,1104,48,48, 240,1.00,1.00,0.8415
3018,23,48,97.92,HIGH,2256,1056,2304,1104,48,48,  42,1.00,1.00,0.7826
3019,23,49,42.19,MEDIUM,2304,1056,2352,1104,48,48, 329,1.00,0.20,0.4279
3020,23,50,74.44,MEDIUM,2352,1056,2400,1104,48,48,  76,1.00,0.20,0.6067
3021,23,51,35.11,MEDIUM,2400,1056,2448,1104,48,48,   0,1.00,0.20,0.0060
3022,23,52,31.86,MEDIUM,2448,1056,2496,1104,48,48,   9,1.00,0.20,0.0972
3046,23,76,17.88,MEDIUM,3600,1056,3648,1104,48,48,  14,1.00,0.20,0.0404
3047,23,77,45.23,MEDIUM,3648,1056,3696,1104,48,48,   0,1.00,0.20,0.0000
3052,23,82,40.58,MEDIUM,3888,1056,3936,1104,48,48,  30,1.00,0.20,0.2433
3054,23,84,20.66,MEDIUM,3984,1056,4032,1104,48,48,   9,1.00,0.20,0.0419
3055,23,85,18.97,MEDIUM,4032,1056,4080,1104,48,48,   2,1.00,0.20,0.0129
3058,23,88,20.66,MEDIUM,4176,1056,4224,1104,48,48,   7,1.00,0.20,0.0362
3059,23,89,31.42,MEDIUM,4224,1056,4272,1104,48,48,   0,1.00,0.20,0.0012
3061,23,91,26.43,MEDIUM,4320,1056,4368,1104,48,48,  42,1.00,0.20,0.1352
3062,23,92,17.27,MEDIUM,4368,1056,4416,1104,48,48,   1,1.00,0.20,0.0052
3064,23,94,20.18,MEDIUM,4464,1056,4512,1104,48,48,  53,1.00,0.20,0.0910
3143,24,38,33.85,MEDIUM,1776,1104,1824,1152,48,48, 389,1.00,0.20,0.3335
3144,24,39,63.63,MEDIUM,1824,1104,1872,1152,48,48,1541,1.00,0.20,0.6989
3145,24,40,61.28,MEDIUM,1872,1104,1920,1152,48,48, 786,1.00,0.20,0.6554
3146,24,41,86.89,HIGH,1920,1104,1968,1152,48,48, 398,1.00,1.00,0.8189
3147,24,42,84.29,HIGH,1968,1104,2016,1152,48,48,1084,1.00,1.00,0.8324
