Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x3680
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2560x3680
Scaled Tile Size: 48x48
Total Mask: 76.12%, Total Tissue: 23.88%
Tiles: 54x77 = 4158
   592 (14.24%) tiles >=80% tissue
   766 (18.42%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
81,2,27,21.79,MEDIUM,1248,48,1296,96,48,48,   0,1.00,0.20,0.0009
82,2,28,31.64,MEDIUM,1296,48,1344,96,48,48,   1,1.00,0.20,0.0155
83,2,29,33.85,MEDIUM,1344,48,1392,96,48,48,   0,1.00,0.20,0.0036
84,2,30,23.96,MEDIUM,1392,48,1440,96,48,48,   0,1.00,0.20,0.0000
133,3,25,51.04,MEDIUM,1152,96,1200,144,48,48,   5,1.00,0.20,0.1498
134,3,26,86.55,HIGH,1200,96,1248,144,48,48,  17,1.00,1.00,0.6847
135,3,27,92.06,HIGH,1248,96,1296,144,48,48,  24,1.00,1.00,0.7322
136,3,28,88.72,HIGH,1296,96,1344,144,48,48,  17,1.00,1.00,0.6966
137,3,29,87.89,HIGH,1344,96,1392,144,48,48,  11,1.00,1.00,0.6547
138,3,30,86.68,HIGH,1392,96,1440,144,48,48,   6,1.00,1.00,0.5971
139,3,31,88.63,HIGH,1440,96,1488,144,48,48,   8,1.00,1.00,0.6384
140,3,32,72.74,MEDIUM,1488,96,1536,144,48,48,   6,1.00,0.20,0.2991
141,3,33,43.84,MEDIUM,1536,96,1584,144,48,48,   4,1.00,0.20,0.1009
142,3,34,18.27,MEDIUM,1584,96,1632,144,48,48,   1,1.00,0.20,0.0046
186,4,24,87.80,HIGH,1104,144,1152,192,48,48,   7,1.00,1.00,0.6089
187,4,25,97.31,HIGH,1152,144,1200,192,48,48,  24,1.00,1.00,0.7538
188,4,26,97.96,HIGH,1200,144,1248,192,48,48,  28,0.16,1.00,0.6199
189,4,27,97.61,HIGH,1248,144,1296,192,48,48,  25,0.16,1.00,0.6049
190,4,28,97.31,HIGH,1296,144,1344,192,48,48,  15,0.16,1.00,0.5327
191,4,29,93.40,HIGH,1344,144,1392,192,48,48,  13,1.00,1.00,0.6975
192,4,30,75.22,MEDIUM,1392,144,1440,192,48,48,  10,1.00,0.20,0.3843
193,4,31,85.24,HIGH,1440,144,1488,192,48,48,  10,1.00,1.00,0.6396
194,4,32,91.45,HIGH,1488,144,1536,192,48,48,  12,1.00,1.00,0.6842
195,4,33,99.26,HIGH,1536,144,1584,192,48,48,   6,0.49,1.00,0.5840
196,4,34,93.23,HIGH,1584,144,1632,192,48,48,   5,1.00,1.00,0.5983
197,4,35,78.65,MEDIUM,1632,144,1680,192,48,48,   3,1.00,0.20,0.2091
198,4,36,50.82,MEDIUM,1680,144,1728,192,48,48,   1,1.00,0.20,0.0621
239,5,23,68.88,MEDIUM,1056,192,1104,240,48,48,   4,1.00,0.20,0.2120
240,5,24,98.96,HIGH,1104,192,1152,240,48,48,   9,0.49,1.00,0.6286
241,5,25,98.26,HIGH,1152,192,1200,240,48,48,  20,0.16,1.00,0.5805
242,5,26,98.44,HIGH,1200,192,1248,240,48,48,  14,0.16,1.00,0.5325
243,5,27,98.31,HIGH,1248,192,1296,240,48,48,  15,0.16,1.00,0.5445
244,5,28,99.09,HIGH,1296,192,1344,240,48,48,  14,0.16,1.00,0.5305
245,5,29,98.96,HIGH,1344,192,1392,240,48,48,  12,0.16,1.00,0.5173
246,5,30,99.13,HIGH,1392,192,1440,240,48,48,  18,0.16,1.00,0.5710
247,5,31,98.78,HIGH,1440,192,1488,240,48,48,  13,0.49,1.00,0.6609
248,5,32,98.52,HIGH,1488,192,1536,240,48,48,   8,1.00,1.00,0.6819
249,5,33,97.09,HIGH,1536,192,1584,240,48,48,  11,1.00,1.00,0.6972
250,5,34,99.57,HIGH,1584,192,1632,240,48,48,   7,0.49,1.00,0.5965
251,5,35,99.39,HIGH,1632,192,1680,240,48,48,   6,0.49,1.00,0.5798
252,5,36,98.74,HIGH,1680,192,1728,240,48,48,   7,1.00,1.00,0.6698
253,5,37,88.45,HIGH,1728,192,1776,240,48,48,   5,1.00,1.00,0.5817
254,5,38,48.18,MEDIUM,1776,192,1824,240,48,48,   1,1.00,0.20,0.0276
292,6,22,55.60,MEDIUM,1008,240,1056,288,48,48,   0,1.00,0.20,0.0250
293,6,23,99.00,HIGH,1056,240,1104,288,48,48,   5,1.00,1.00,0.6267
294,6,24,98.22,HIGH,1104,240,1152,288,48,48,   6,1.00,1.00,0.6546
295,6,25,98.78,HIGH,1152,240,1200,288,48,48,  16,0.49,1.00,0.6821
296,6,26,99.00,HIGH,1200,240,1248,288,48,48,  14,0.16,1.00,0.5404
297,6,27,99.48,HIGH,1248,240,1296,288,48,48,  13,0.16,1.00,0.5253
298,6,28,99.83,HIGH,1296,240,1344,288,48,48,  14,0.16,1.00,0.5444
299,6,29,99.70,HIGH,1344,240,1392,288,48,48,  11,0.16,1.00,0.5080
300,6,30,99.78,HIGH,1392,240,1440,288,48,48,  17,0.49,1.00,0.6890
301,6,31,99.48,HIGH,1440,240,1488,288,48,48,  13,0.16,1.00,0.5320
302,6,32,99.61,HIGH,1488,240,1536,288,48,48,  15,0.49,1.00,0.6779
303,6,33,99.52,HIGH,1536,240,1584,288,48,48,  13,0.16,1.00,0.5260
304,6,34,99.31,HIGH,1584,240,1632,288,48,48,   8,0.16,1.00,0.4532
305,6,35,99.39,HIGH,1632,240,1680,288,48,48,   9,0.16,1.00,0.4671
306,6,36,99.65,HIGH,1680,240,1728,288,48,48,  10,0.16,1.00,0.4942
307,6,37,99.65,HIGH,1728,240,1776,288,48,48,   7,0.16,1.00,0.4262
308,6,38,99.44,HIGH,1776,240,1824,288,48,48,   4,0.49,1.00,0.5333
309,6,39,73.57,MEDIUM,1824,240,1872,288,48,48,   4,1.00,0.20,0.2440
344,7,20,33.85,MEDIUM,912,288,960,336,48,48,   0,1.00,0.20,0.0083
345,7,21,53.04,MEDIUM,960,288,1008,336,48,48,   0,1.00,0.20,0.0072
346,7,22,87.46,HIGH,1008,288,1056,336,48,48,   2,1.00,1.00,0.4417
347,7,23,97.40,HIGH,1056,288,1104,336,48,48,   7,1.00,1.00,0.6589
348,7,24,98.13,HIGH,1104,288,1152,336,48,48,   8,0.49,1.00,0.5979
349,7,25,99.83,HIGH,1152,288,1200,336,48,48,  25,0.49,1.00,0.7193
350,7,26,99.44,HIGH,1200,288,1248,336,48,48,  13,0.16,1.00,0.5295
351,7,27,99.57,HIGH,1248,288,1296,336,48,48,  11,0.16,1.00,0.5023
352,7,28,99.61,HIGH,1296,288,1344,336,48,48,  15,0.49,1.00,0.6757
353,7,29,98.83,HIGH,1344,288,1392,336,48,48,  10,0.16,1.00,0.4764
354,7,30,99.09,HIGH,1392,288,1440,336,48,48,  13,0.16,1.00,0.5293
355,7,31,99.70,HIGH,1440,288,1488,336,48,48,  13,0.49,1.00,0.6622
356,7,32,99.78,HIGH,1488,288,1536,336,48,48,  11,0.16,1.00,0.5021
357,7,33,99.61,HIGH,1536,288,1584,336,48,48,  11,0.16,1.00,0.4986
358,7,34,98.74,HIGH,1584,288,1632,336,48,48,   6,1.00,1.00,0.6503
359,7,35,99.70,HIGH,1632,288,1680,336,48,48,   6,0.49,1.00,0.5859
360,7,36,99.87,HIGH,1680,288,1728,336,48,48,   9,0.16,1.00,0.4792
361,7,37,99.83,HIGH,1728,288,1776,336,48,48,   7,0.16,1.00,0.4300
362,7,38,99.83,HIGH,1776,288,1824,336,48,48,   6,0.16,1.00,0.4073
363,7,39,98.87,HIGH,1824,288,1872,336,48,48,   8,0.16,1.00,0.4548
364,7,40,67.23,MEDIUM,1872,288,1920,336,48,48,   5,1.00,0.20,0.2491
397,8,19,60.81,MEDIUM,864,336,912,384,48,48,   0,1.00,0.20,0.0100
398,8,20,37.20,MEDIUM,912,336,960,384,48,48,   0,1.00,0.20,0.0000
399,8,21,28.21,MEDIUM,960,336,1008,384,48,48,   0,1.00,0.20,0.0000
400,8,22,77.34,MEDIUM,1008,336,1056,384,48,48,   7,1.00,0.20,0.3377
401,8,23,94.92,HIGH,1056,336,1104,384,48,48,   4,1.00,1.00,0.5931
402,8,24,99.00,HIGH,1104,336,1152,384,48,48,   7,0.49,1.00,0.5891
403,8,25,99.31,HIGH,1152,336,1200,384,48,48,   7,0.49,1.00,0.5983
404,8,26,99.35,HIGH,1200,336,1248,384,48,48,  13,0.49,1.00,0.6616
405,8,27,98.70,HIGH,1248,336,1296,384,48,48,  11,0.49,1.00,0.6429
406,8,28,99.48,HIGH,1296,336,1344,384,48,48,  15,0.49,1.00,0.6751
407,8,29,99.22,HIGH,1344,336,1392,384,48,48,  17,0.49,1.00,0.6877
408,8,30,98.83,HIGH,1392,336,1440,384,48,48,  15,0.49,1.00,0.6749
409,8,31,99.26,HIGH,1440,336,1488,384,48,48,   7,0.49,1.00,0.6018
410,8,32,99.09,HIGH,1488,336,1536,384,48,48,   6,0.49,1.00,0.5788
411,8,33,98.91,HIGH,1536,336,1584,384,48,48,   8,0.49,1.00,0.6128
412,8,34,99.96,HIGH,1584,336,1632,384,48,48,   6,0.16,1.00,0.3971
413,8,35,99.96,HIGH,1632,336,1680,384,48,48,   6,0.16,1.00,0.3940
414,8,36,100.00,HIGH,1680,336,1728,384,48,48,   8,0.16,1.00,0.4436
415,8,37,99.87,HIGH,1728,336,1776,384,48,48,   7,0.16,1.00,0.4364
416,8,38,99.87,HIGH,1776,336,1824,384,48,48,   6,0.49,1.00,0.5733
417,8,39,99.52,HIGH,1824,336,1872,384,48,48,   8,0.16,1.00,0.4513
418,8,40,96.44,HIGH,1872,336,1920,384,48,48,  12,1.00,1.00,0.7041
419,8,41,40.19,MEDIUM,1920,336,1968,384,48,48,   1,1.00,0.20,0.0234
450,9,18,51.43,MEDIUM,816,384,864,432,48,48,   0,1.00,0.20,0.0021
451,9,19,63.63,MEDIUM,864,384,912,432,48,48,   0,1.00,0.20,0.0358
452,9,20,48.87,MEDIUM,912,384,960,432,48,48,   0,1.00,0.20,0.0000
453,9,21,28.78,MEDIUM,960,384,1008,432,48,48,   0,1.00,0.20,0.0000
454,9,22,87.46,HIGH,1008,384,1056,432,48,48,  14,1.00,1.00,0.6721
455,9,23,97.44,HIGH,1056,384,1104,432,48,48,   9,1.00,1.00,0.6829
456,9,24,97.74,HIGH,1104,384,1152,432,48,48,   1,0.49,1.00,0.3074
457,9,25,99.05,HIGH,1152,384,1200,432,48,48,   4,0.49,1.00,0.5321
458,9,26,99.13,HIGH,1200,384,1248,432,48,48,   7,0.49,1.00,0.5920
459,9,27,98.70,HIGH,1248,384,1296,432,48,48,  12,1.00,1.00,0.7121
460,9,28,98.48,HIGH,1296,384,1344,432,48,48,  10,1.00,1.00,0.6953
461,9,29,99.22,HIGH,1344,384,1392,432,48,48,   5,0.49,1.00,0.5436
462,9,30,99.09,HIGH,1392,384,1440,432,48,48,   6,0.49,1.00,0.5661
463,9,31,99.57,HIGH,1440,384,1488,432,48,48,  12,0.49,1.00,0.6561
464,9,32,99.87,HIGH,1488,384,1536,432,48,48,   7,0.16,1.00,0.4354
465,9,33,98.48,HIGH,1536,384,1584,432,48,48,   7,1.00,1.00,0.6717
