Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 48x48
Total Mask: 96.89%, Total Tissue: 3.11%
Tiles: 70x200 = 14000
   389 ( 2.78%) tiles >=80% tissue
   128 ( 0.91%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
3035,44,25,21.57,MEDIUM,1152,2064,1200,2112,48,48, 804,1.00,0.20,0.1914
3036,44,26,35.63,MEDIUM,1200,2064,1248,2112,48,48,1427,1.00,0.20,0.4180
3053,44,43,30.51,MEDIUM,2016,2064,2064,2112,48,48,  20,1.00,0.20,0.1295
3054,44,44,36.76,MEDIUM,2064,2064,2112,2112,48,48, 119,1.00,0.20,0.3027
3055,44,45,34.72,MEDIUM,2112,2064,2160,2112,48,48, 858,1.00,0.20,0.3831
3056,44,46,70.57,MEDIUM,2160,2064,2208,2112,48,48,1015,1.00,0.20,0.7259
3057,44,47,29.47,MEDIUM,2208,2064,2256,2112,48,48,3500,1.00,0.20,0.3627
3105,45,25,26.65,MEDIUM,1152,2112,1200,2160,48,48,   2,1.00,0.20,0.0231
3106,45,26,95.05,HIGH,1200,2112,1248,2160,48,48,  15,1.00,1.00,0.7160
3107,45,27,99.05,HIGH,1248,2112,1296,2160,48,48, 214,1.00,1.00,0.8405
3108,45,28,67.40,MEDIUM,1296,2112,1344,2160,48,48, 591,1.00,0.20,0.6847
3122,45,42,66.32,MEDIUM,1968,2112,2016,2160,48,48,   1,1.00,0.20,0.0939
3123,45,43,95.14,HIGH,2016,2112,2064,2160,48,48, 320,1.00,1.00,0.8393
3124,45,44,88.02,HIGH,2064,2112,2112,2160,48,48,   4,1.00,1.00,0.5525
3125,45,45,76.30,MEDIUM,2112,2112,2160,2160,48,48, 256,1.00,0.20,0.6973
3126,45,46,90.45,HIGH,2160,2112,2208,2160,48,48, 185,1.00,1.00,0.8104
3127,45,47,88.32,HIGH,2208,2112,2256,2160,48,48,1147,1.00,1.00,0.8461
3175,46,25,42.45,MEDIUM,1152,2160,1200,2208,48,48, 212,1.00,0.20,0.4045
3176,46,26,86.55,HIGH,1200,2160,1248,2208,48,48,  86,1.00,1.00,0.7697
3177,46,27,95.14,HIGH,1248,2160,1296,2208,48,48,  21,1.00,1.00,0.7377
3178,46,28,99.74,HIGH,1296,2160,1344,2208,48,48, 518,1.00,1.00,0.8615
3179,46,29,36.68,MEDIUM,1344,2160,1392,2208,48,48,2007,1.00,0.20,0.4465
3191,46,41,28.95,MEDIUM,1920,2160,1968,2208,48,48,   0,1.00,0.20,0.0000
3192,46,42,96.09,HIGH,1968,2160,2016,2208,48,48, 684,1.00,1.00,0.8577
3193,46,43,94.27,HIGH,2016,2160,2064,2208,48,48, 326,1.00,1.00,0.8373
3194,46,44,86.68,HIGH,2064,2160,2112,2208,48,48, 729,1.00,1.00,0.8320
3195,46,45,97.01,HIGH,2112,2160,2160,2208,48,48, 280,1.00,1.00,0.8415
3196,46,46,96.18,HIGH,2160,2160,2208,2208,48,48, 342,1.00,1.00,0.8437
3197,46,47,99.57,HIGH,2208,2160,2256,2208,48,48, 511,1.00,1.00,0.8608
3198,46,48,36.33,MEDIUM,2256,2160,2304,2208,48,48,3698,1.00,0.20,0.4658
3245,47,25,42.93,MEDIUM,1152,2208,1200,2256,48,48,  14,1.00,0.20,0.1947
3246,47,26,74.57,MEDIUM,1200,2208,1248,2256,48,48, 358,1.00,0.20,0.7043
3247,47,27,93.53,HIGH,1248,2208,1296,2256,48,48,1294,1.00,1.00,0.8624
3248,47,28,97.22,HIGH,1296,2208,1344,2256,48,48, 831,1.00,1.00,0.8640
3249,47,29,96.35,HIGH,1344,2208,1392,2256,48,48, 383,1.00,1.00,0.8468
3250,47,30,30.43,MEDIUM,1392,2208,1440,2256,48,48,1784,1.00,0.20,0.3525
3260,47,40,49.18,MEDIUM,1872,2208,1920,2256,48,48, 238,1.00,0.20,0.4844
3261,47,41,89.28,HIGH,1920,2208,1968,2256,48,48,   3,1.00,1.00,0.5236
3262,47,42,82.60,HIGH,1968,2208,2016,2256,48,48, 148,1.00,1.00,0.7734
3263,47,43,95.53,HIGH,2016,2208,2064,2256,48,48, 414,1.00,1.00,0.8462
