Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2976x2800
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2976x2800
Scaled Tile Size: 48x48
Total Mask: 84.16%, Total Tissue: 15.84%
Tiles: 62x59 = 3658
   389 (10.63%) tiles >=80% tissue
   457 (12.49%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
124,2,62,22.22,MEDIUM,2928,48,2976,96,48,48,   9,1.00,0.20,0.0477
173,3,49,27.13,MEDIUM,2304,96,2352,144,48,48,  41,1.00,0.20,0.1401
176,3,52,33.12,MEDIUM,2448,96,2496,144,48,48, 380,1.00,0.20,0.3226
186,3,62,19.14,MEDIUM,2928,96,2976,144,48,48,   3,1.00,0.20,0.0164
228,4,42,70.70,MEDIUM,1968,144,2016,192,48,48, 303,1.00,0.20,0.6732
229,4,43,70.05,MEDIUM,2016,144,2064,192,48,48, 311,1.00,0.20,0.6705
230,4,44,25.30,MEDIUM,2064,144,2112,192,48,48, 260,1.00,0.20,0.2027
234,4,48,33.59,MEDIUM,2256,144,2304,192,48,48,  80,1.00,0.20,0.2426
235,4,49,74.09,MEDIUM,2304,144,2352,192,48,48, 180,1.00,0.20,0.6647
238,4,52,53.99,MEDIUM,2448,144,2496,192,48,48, 127,1.00,0.20,0.4881
290,5,42,26.04,MEDIUM,1968,192,2016,240,48,48, 219,1.00,0.20,0.2050
291,5,43,35.94,MEDIUM,2016,192,2064,240,48,48, 125,1.00,0.20,0.2963
292,5,44,21.88,MEDIUM,2064,192,2112,240,48,48, 224,1.00,0.20,0.1547
293,5,45,30.90,MEDIUM,2112,192,2160,240,48,48, 103,1.00,0.20,0.2271
294,5,46,43.49,MEDIUM,2160,192,2208,240,48,48,  50,1.00,0.20,0.3125
