Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x4448
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x4448
Scaled Tile Size: 48x48
Total Mask: 66.49%, Total Tissue: 33.51%
Tiles: 59x93 = 5487
  1629 (29.69%) tiles >=80% tissue
   405 ( 7.38%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
106,2,47,27.86,MEDIUM,2208,48,2256,96,48,48,   0,1.00,0.20,0.0049
162,3,44,36.20,MEDIUM,2064,96,2112,144,48,48,   1,1.00,0.20,0.0296
163,3,45,51.30,MEDIUM,2112,96,2160,144,48,48,   0,1.00,0.20,0.0060
220,4,43,46.14,MEDIUM,2016,144,2064,192,48,48,   0,1.00,0.20,0.0153
221,4,44,83.03,HIGH,2064,144,2112,192,48,48,   0,1.00,1.00,0.0000
222,4,45,70.10,MEDIUM,2112,144,2160,192,48,48,   0,1.00,0.20,0.0335
223,4,46,28.56,MEDIUM,2160,144,2208,192,48,48,   0,1.00,0.20,0.0023
224,4,47,88.63,HIGH,2208,144,2256,192,48,48,   1,1.00,1.00,0.3359
225,4,48,82.90,HIGH,2256,144,2304,192,48,48,   1,1.00,1.00,0.3788
226,4,49,31.16,MEDIUM,2304,144,2352,192,48,48,   1,1.00,0.20,0.0228
276,5,40,39.02,MEDIUM,1872,192,1920,240,48,48,   1,1.00,0.20,0.0220
279,5,43,34.42,MEDIUM,2016,192,2064,240,48,48,   0,1.00,0.20,0.0018
280,5,44,79.30,MEDIUM,2064,192,2112,240,48,48,   1,1.00,0.20,0.1272
281,5,45,62.28,MEDIUM,2112,192,2160,240,48,48,   2,1.00,0.20,0.0975
283,5,47,71.66,MEDIUM,2208,192,2256,240,48,48,   3,1.00,0.20,0.1930
284,5,48,97.01,HIGH,2256,192,2304,240,48,48,   1,1.00,1.00,0.4584
285,5,49,96.22,HIGH,2304,192,2352,240,48,48,   1,1.00,1.00,0.4251
286,5,50,27.30,MEDIUM,2352,192,2400,240,48,48,   2,1.00,0.20,0.0207
333,6,38,34.11,MEDIUM,1776,240,1824,288,48,48,   4,1.00,0.20,0.0603
