Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1488x1256
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 1488x1256
Scaled Tile Size: 48x48
Total Mask: 75.72%, Total Tissue: 24.28%
Tiles: 31x27 = 837
   116 (13.86%) tiles >=80% tissue
   164 (19.59%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
39,2,8,18.58,MEDIUM,336,48,384,96,48,48,   3,1.00,0.20,0.0143
68,3,6,29.95,MEDIUM,240,96,288,144,48,48,  95,1.00,0.20,0.2118
69,3,7,88.06,HIGH,288,96,336,144,48,48, 471,1.00,1.00,0.8268
70,3,8,94.53,HIGH,336,96,384,144,48,48, 470,1.00,1.00,0.8461
98,4,5,28.95,MEDIUM,192,144,240,192,48,48,   0,0.49,0.20,0.0000
99,4,6,83.03,HIGH,240,144,288,192,48,48,  16,1.00,1.00,0.6612
100,4,7,96.53,HIGH,288,144,336,192,48,48,1006,1.00,1.00,0.8656
101,4,8,99.26,HIGH,336,144,384,192,48,48,1242,0.49,1.00,0.8634
102,4,9,74.13,MEDIUM,384,144,432,192,48,48, 695,1.00,0.20,0.7309
129,5,5,65.45,MEDIUM,192,192,240,240,48,48,   1,1.00,0.20,0.0820
130,5,6,78.21,MEDIUM,240,192,288,240,48,48,   0,0.49,0.20,0.0000
131,5,7,92.80,HIGH,288,192,336,240,48,48,  44,1.00,1.00,0.7662
132,5,8,98.57,HIGH,336,192,384,240,48,48,1364,1.00,1.00,0.8752
133,5,9,99.44,HIGH,384,192,432,240,48,48,1127,0.49,1.00,0.8620
134,5,10,50.30,MEDIUM,432,192,480,240,48,48, 567,1.00,0.20,0.5454
150,5,26,44.92,MEDIUM,1200,192,1248,240,48,48,  15,1.00,0.20,0.2164
151,5,27,69.70,MEDIUM,1248,192,1296,240,48,48,  38,1.00,0.20,0.5118
