Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x3392
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2816x3392
Scaled Tile Size: 48x48
Total Mask: 87.76%, Total Tissue: 12.24%
Tiles: 59x71 = 4189
   298 ( 7.11%) tiles >=80% tissue
   474 (11.32%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
129,3,11,17.27,MEDIUM,480,96,528,144,48,48,  11,1.00,0.20,0.0340
130,3,12,57.81,MEDIUM,528,96,576,144,48,48,   5,1.00,0.20,0.1857
131,3,13,70.57,MEDIUM,576,96,624,144,48,48,  12,1.00,0.20,0.3823
132,3,14,57.29,MEDIUM,624,96,672,144,48,48,   9,1.00,0.20,0.2476
133,3,15,42.10,MEDIUM,672,96,720,144,48,48,   6,1.00,0.20,0.1238
134,3,16,19.92,MEDIUM,720,96,768,144,48,48,   3,1.00,0.20,0.0193
187,4,10,40.28,MEDIUM,432,144,480,192,48,48,   4,1.00,0.20,0.0901
188,4,11,90.19,HIGH,480,144,528,192,48,48,  12,1.00,1.00,0.6750
189,4,12,98.87,HIGH,528,144,576,192,48,48,  44,0.49,1.00,0.7522
190,4,13,84.98,HIGH,576,144,624,192,48,48,  54,0.49,1.00,0.7056
191,4,14,69.70,MEDIUM,624,144,672,192,48,48, 291,1.00,0.20,0.6648
192,4,15,74.74,MEDIUM,672,144,720,192,48,48,  73,1.00,0.20,0.6050
193,4,16,86.94,HIGH,720,144,768,192,48,48, 105,1.00,1.00,0.7789
194,4,17,91.62,HIGH,768,144,816,192,48,48,  45,1.00,1.00,0.7632
195,4,18,87.46,HIGH,816,144,864,192,48,48,  16,1.00,1.00,0.6824
196,4,19,57.68,MEDIUM,864,144,912,192,48,48,  16,1.00,0.20,0.3252
197,4,20,27.04,MEDIUM,912,144,960,192,48,48,  10,1.00,0.20,0.0729
198,4,21,47.22,MEDIUM,960,144,1008,192,48,48,  17,1.00,0.20,0.2457
199,4,22,62.50,MEDIUM,1008,144,1056,192,48,48,  22,1.00,0.20,0.3956
200,4,23,80.30,HIGH,1056,144,1104,192,48,48,  30,1.00,1.00,0.6882
201,4,24,76.09,MEDIUM,1104,144,1152,192,48,48,  35,1.00,0.20,0.5452
202,4,25,45.53,MEDIUM,1152,144,1200,192,48,48,  34,1.00,0.20,0.2987
203,4,26,15.23,MEDIUM,1200,144,1248,192,48,48,   6,1.00,0.20,0.0181
204,4,27,32.03,MEDIUM,1248,144,1296,192,48,48,  28,1.00,0.20,0.1613
205,4,28,73.65,MEDIUM,1296,144,1344,192,48,48,  79,1.00,0.20,0.6047
206,4,29,85.68,HIGH,1344,144,1392,192,48,48,  66,1.00,1.00,0.7554
207,4,30,74.96,MEDIUM,1392,144,1440,192,48,48,  55,1.00,0.20,0.5832
208,4,31,64.28,MEDIUM,1440,144,1488,192,48,48,  41,1.00,0.20,0.4779
209,4,32,64.02,MEDIUM,1488,144,1536,192,48,48,  17,1.00,0.20,0.3745
210,4,33,66.28,MEDIUM,1536,144,1584,192,48,48,  14,1.00,0.20,0.3662
211,4,34,64.32,MEDIUM,1584,144,1632,192,48,48,  23,1.00,0.20,0.4178
212,4,35,51.43,MEDIUM,1632,144,1680,192,48,48,  31,1.00,0.20,0.3444
213,4,36,26.43,MEDIUM,1680,144,1728,192,48,48,  31,1.00,0.20,0.1217
214,4,37,26.69,MEDIUM,1728,144,1776,192,48,48,  33,1.00,0.20,0.1265
246,5,10,90.32,HIGH,432,192,480,240,48,48,  28,1.00,1.00,0.7337
247,5,11,89.67,HIGH,480,192,528,240,48,48, 146,0.49,1.00,0.7750
248,5,12,94.27,HIGH,528,192,576,240,48,48,   9,1.00,1.00,0.6752
249,5,13,81.68,HIGH,576,192,624,240,48,48,   6,1.00,1.00,0.5558
250,5,14,85.98,HIGH,624,192,672,240,48,48,   4,1.00,1.00,0.5373
251,5,15,72.27,MEDIUM,672,192,720,240,48,48,  48,1.00,0.20,0.5514
252,5,16,72.92,MEDIUM,720,192,768,240,48,48,  12,1.00,0.20,0.3931
253,5,17,85.33,HIGH,768,192,816,240,48,48,   4,1.00,1.00,0.5419
254,5,18,77.60,MEDIUM,816,192,864,240,48,48,  24,1.00,0.20,0.5165
255,5,19,93.53,HIGH,864,192,912,240,48,48, 215,0.49,1.00,0.8032
256,5,20,94.10,HIGH,912,192,960,240,48,48,  61,1.00,1.00,0.7849
257,5,21,98.13,HIGH,960,192,1008,240,48,48,  13,0.49,1.00,0.6606
258,5,22,96.22,HIGH,1008,192,1056,240,48,48,  16,0.49,1.00,0.6688
259,5,23,96.61,HIGH,1056,192,1104,240,48,48,  18,0.49,1.00,0.6786
260,5,24,85.72,HIGH,1104,192,1152,240,48,48,  98,1.00,1.00,0.7714
261,5,25,98.57,HIGH,1152,192,1200,240,48,48,  88,1.00,1.00,0.8134
262,5,26,98.78,HIGH,1200,192,1248,240,48,48,  53,1.00,1.00,0.7954
263,5,27,98.83,HIGH,1248,192,1296,240,48,48,  15,0.49,1.00,0.6767
264,5,28,94.79,HIGH,1296,192,1344,240,48,48,  79,0.49,1.00,0.7680
265,5,29,62.98,MEDIUM,1344,192,1392,240,48,48,  91,1.00,0.20,0.5398
266,5,30,53.65,MEDIUM,1392,192,1440,240,48,48,  39,1.00,0.20,0.3839
267,5,31,86.85,HIGH,1440,192,1488,240,48,48, 100,1.00,1.00,0.7769
