Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x4352
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 3072x4352
Scaled Tile Size: 48x48
Total Mask: 90.19%, Total Tissue: 9.81%
Tiles: 64x91 = 5824
   463 ( 7.95%) tiles >=80% tissue
   280 ( 4.81%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
94,2,30,18.49,MEDIUM,1392,48,1440,96,48,48,   4,1.00,0.20,0.0207
95,2,31,19.36,MEDIUM,1440,48,1488,96,48,48,   3,1.00,0.20,0.0181
157,3,29,27.69,MEDIUM,1344,96,1392,144,48,48,   3,1.00,0.20,0.0335
158,3,30,27.73,MEDIUM,1392,96,1440,144,48,48,   1,1.00,0.20,0.0136
160,3,32,26.17,MEDIUM,1488,96,1536,144,48,48,  16,1.00,0.20,0.0891
220,4,28,35.07,MEDIUM,1296,144,1344,192,48,48,   4,1.00,0.20,0.0635
223,4,31,16.80,MEDIUM,1440,144,1488,192,48,48,   5,1.00,0.20,0.0203
283,5,27,35.81,MEDIUM,1248,192,1296,240,48,48,   2,1.00,0.20,0.0454
346,6,26,19.84,MEDIUM,1200,240,1248,288,48,48,   2,1.00,0.20,0.0135
347,6,27,40.19,MEDIUM,1248,240,1296,288,48,48,   4,1.00,0.20,0.0921
403,7,19,32.29,MEDIUM,864,288,912,336,48,48,   8,1.00,0.20,0.0906
404,7,20,60.63,MEDIUM,912,288,960,336,48,48,  11,1.00,0.20,0.3049
405,7,21,59.90,MEDIUM,960,288,1008,336,48,48,   7,1.00,0.20,0.2450
406,7,22,37.54,MEDIUM,1008,288,1056,336,48,48,   4,1.00,0.20,0.0751
407,7,23,24.70,MEDIUM,1056,288,1104,336,48,48,   2,1.00,0.20,0.0179
410,7,26,20.27,MEDIUM,1200,288,1248,336,48,48,   5,1.00,0.20,0.0287
465,8,17,30.90,MEDIUM,768,336,816,384,48,48,   4,1.00,0.20,0.0486
466,8,18,88.11,HIGH,816,336,864,384,48,48,   8,1.00,1.00,0.6283
467,8,19,99.22,HIGH,864,336,912,384,48,48,  16,0.49,1.00,0.6804
468,8,20,99.48,HIGH,912,336,960,384,48,48,  35,0.49,1.00,0.7415
469,8,21,99.57,HIGH,960,336,1008,384,48,48,  27,0.49,1.00,0.7242
470,8,22,99.48,HIGH,1008,336,1056,384,48,48,  16,0.49,1.00,0.6812
471,8,23,98.44,HIGH,1056,336,1104,384,48,48,   6,1.00,1.00,0.6593
472,8,24,70.18,MEDIUM,1104,336,1152,384,48,48,   4,1.00,0.20,0.2397
473,8,25,28.65,MEDIUM,1152,336,1200,384,48,48,   3,1.00,0.20,0.0409
474,8,26,24.91,MEDIUM,1200,336,1248,384,48,48,   6,1.00,0.20,0.0447
528,9,16,57.73,MEDIUM,720,384,768,432,48,48,  14,1.00,0.20,0.3041
529,9,17,98.87,HIGH,768,384,816,432,48,48,  24,0.49,1.00,0.7131
530,9,18,99.35,HIGH,816,384,864,432,48,48,  40,0.49,1.00,0.7490
531,9,19,99.26,HIGH,864,384,912,432,48,48,  32,0.49,1.00,0.7358
532,9,20,99.31,HIGH,912,384,960,432,48,48,  32,0.49,1.00,0.7352
533,9,21,99.09,HIGH,960,384,1008,432,48,48,  22,0.49,1.00,0.7077
534,9,22,99.35,HIGH,1008,384,1056,432,48,48,  27,0.49,1.00,0.7226
535,9,23,99.13,HIGH,1056,384,1104,432,48,48,  13,0.49,1.00,0.6625
536,9,24,91.23,HIGH,1104,384,1152,432,48,48,  10,1.00,1.00,0.6676
537,9,25,47.66,MEDIUM,1152,384,1200,432,48,48,   4,1.00,0.20,0.1173
591,10,15,66.19,MEDIUM,672,432,720,480,48,48,  12,1.00,0.20,0.3477
592,10,16,99.52,HIGH,720,432,768,480,48,48,  33,0.49,1.00,0.7375
593,10,17,99.18,HIGH,768,432,816,480,48,48,  49,0.49,1.00,0.7600
594,10,18,98.91,HIGH,816,432,864,480,48,48,  45,0.49,1.00,0.7540
595,10,19,99.35,HIGH,864,432,912,480,48,48,  36,0.49,1.00,0.7433
596,10,20,99.26,HIGH,912,432,960,480,48,48,  43,0.49,1.00,0.7533
597,10,21,99.74,HIGH,960,432,1008,480,48,48,  36,0.49,1.00,0.7435
598,10,22,97.14,HIGH,1008,432,1056,480,48,48,  41,1.00,1.00,0.7787
599,10,23,99.13,HIGH,1056,432,1104,480,48,48,  28,0.49,1.00,0.7251
600,10,24,85.29,HIGH,1104,432,1152,480,48,48,  10,1.00,1.00,0.6374
601,10,25,39.67,MEDIUM,1152,432,1200,480,48,48,   5,1.00,0.20,0.0983
654,11,14,62.33,MEDIUM,624,480,672,528,48,48,  11,1.00,0.20,0.3116
655,11,15,99.57,HIGH,672,480,720,528,48,48,  61,0.49,1.00,0.7725
656,11,16,99.61,HIGH,720,480,768,528,48,48,  64,0.49,1.00,0.7752
657,11,17,98.91,HIGH,768,480,816,528,48,48,  93,0.49,1.00,0.7899
658,11,18,98.91,HIGH,816,480,864,528,48,48,  54,0.49,1.00,0.7644
659,11,19,98.87,HIGH,864,480,912,528,48,48,  53,0.49,1.00,0.7630
660,11,20,99.00,HIGH,912,480,960,528,48,48,  57,0.49,1.00,0.7674
661,11,21,99.48,HIGH,960,480,1008,528,48,48,  60,0.49,1.00,0.7714
662,11,22,99.87,HIGH,1008,480,1056,528,48,48,  74,0.49,1.00,0.7831
663,11,23,98.96,HIGH,1056,480,1104,528,48,48,  40,0.49,1.00,0.7478
664,11,24,88.45,HIGH,1104,480,1152,528,48,48,  17,1.00,1.00,0.6924
665,11,25,20.96,MEDIUM,1152,480,1200,528,48,48,  12,1.00,0.20,0.0500
678,11,38,14.32,MEDIUM,1776,480,1824,528,48,48,   0,1.00,0.20,0.0002
717,12,13,45.10,MEDIUM,576,528,624,576,48,48,  10,1.00,0.20,0.1797
718,12,14,99.26,HIGH,624,528,672,576,48,48,  70,0.49,1.00,0.7787
719,12,15,99.05,HIGH,672,528,720,576,48,48,  94,0.49,1.00,0.7907
720,12,16,99.18,HIGH,720,528,768,576,48,48,  99,0.49,1.00,0.7931
721,12,17,99.44,HIGH,768,528,816,576,48,48, 101,0.49,1.00,0.7950
722,12,18,99.09,HIGH,816,528,864,576,48,48,  74,0.49,1.00,0.7806
723,12,19,99.78,HIGH,864,528,912,576,48,48,  54,0.49,1.00,0.7674
724,12,20,99.87,HIGH,912,528,960,576,48,48,  33,0.49,1.00,0.7387
725,12,21,99.22,HIGH,960,528,1008,576,48,48,  68,0.49,1.00,0.7770
726,12,22,99.13,HIGH,1008,528,1056,576,48,48,  61,0.49,1.00,0.7715
727,12,23,98.78,HIGH,1056,528,1104,576,48,48,  59,0.49,1.00,0.7685
728,12,24,68.58,MEDIUM,1104,528,1152,576,48,48,  17,1.00,0.20,0.4080
780,13,12,22.48,MEDIUM,528,576,576,624,48,48,   3,1.00,0.20,0.0243
781,13,13,96.66,HIGH,576,576,624,624,48,48,  22,0.49,1.00,0.6989
782,13,14,97.92,HIGH,624,576,672,624,48,48, 113,0.49,1.00,0.7946
783,13,15,99.57,HIGH,672,576,720,624,48,48,  95,1.00,1.00,0.8189
784,13,16,99.44,HIGH,720,576,768,624,48,48, 109,0.49,1.00,0.7982
785,13,17,98.83,HIGH,768,576,816,624,48,48, 137,0.49,1.00,0.8049
