Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x3392
Original Tile Size: 48x48
Scale Factor: 1/1x
Scaled Dimensions: 2560x3392
Scaled Tile Size: 48x48
Total Mask: 73.74%, Total Tissue: 26.26%
Tiles: 54x71 = 3834
   707 (18.44%) tiles >=80% tissue
   593 (15.47%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
145,3,37,25.74,MEDIUM,1728,96,1776,144,48,48,  16,1.00,0.20,0.0871
146,3,38,68.71,MEDIUM,1776,96,1824,144,48,48,   8,1.00,0.20,0.3099
147,3,39,40.93,MEDIUM,1824,96,1872,144,48,48,   7,1.00,0.20,0.1326
199,4,37,27.52,MEDIUM,1728,144,1776,192,48,48,   0,1.00,0.20,0.0000
200,4,38,96.61,HIGH,1776,144,1824,192,48,48,   7,0.49,1.00,0.5817
201,4,39,97.79,HIGH,1824,144,1872,192,48,48,  15,0.49,1.00,0.6690
202,4,40,62.02,MEDIUM,1872,144,1920,192,48,48,  10,1.00,0.20,0.3001
253,5,37,58.59,MEDIUM,1728,192,1776,240,48,48, 108,1.00,0.20,0.5168
254,5,38,89.58,HIGH,1776,192,1824,240,48,48,   1,1.00,1.00,0.3206
255,5,39,95.57,HIGH,1824,192,1872,240,48,48,   4,0.49,1.00,0.4995
256,5,40,98.57,HIGH,1872,192,1920,240,48,48,   0,0.49,1.00,0.0428
257,5,41,77.60,MEDIUM,1920,192,1968,240,48,48,  10,1.00,0.20,0.4038
306,6,36,56.60,MEDIUM,1680,240,1728,288,48,48, 715,1.00,0.20,0.6142
307,6,37,86.81,HIGH,1728,240,1776,288,48,48,   1,1.00,1.00,0.2682
308,6,38,83.98,HIGH,1776,240,1824,288,48,48,  18,1.00,1.00,0.6766
309,6,39,89.71,HIGH,1824,240,1872,288,48,48,  45,1.00,1.00,0.7553
310,6,40,96.14,HIGH,1872,240,1920,288,48,48,   3,0.49,1.00,0.4429
311,6,41,98.22,HIGH,1920,240,1968,288,48,48,  18,0.49,1.00,0.6879
312,6,42,79.30,MEDIUM,1968,240,2016,288,48,48,  13,1.00,0.20,0.4425
358,7,34,22.66,MEDIUM,1584,288,1632,336,48,48,   3,1.00,0.20,0.0214
359,7,35,37.72,MEDIUM,1632,288,1680,336,48,48,   0,1.00,0.20,0.0000
360,7,36,72.96,MEDIUM,1680,288,1728,336,48,48,   0,1.00,0.20,0.0000
361,7,37,83.07,HIGH,1728,288,1776,336,48,48,   0,1.00,1.00,0.0000
362,7,38,79.34,MEDIUM,1776,288,1824,336,48,48,   2,1.00,0.20,0.1664
363,7,39,77.73,MEDIUM,1824,288,1872,336,48,48,   6,1.00,0.20,0.3337
364,7,40,93.36,HIGH,1872,288,1920,336,48,48,   0,1.00,1.00,0.0000
365,7,41,96.53,HIGH,1920,288,1968,336,48,48,  12,0.49,1.00,0.6453
366,7,42,96.74,HIGH,1968,288,2016,336,48,48,  73,0.49,1.00,0.7714
367,7,43,88.85,HIGH,2016,288,2064,336,48,48,  12,1.00,1.00,0.6671
368,7,44,32.94,MEDIUM,2064,288,2112,336,48,48,   3,1.00,0.20,0.0469
411,8,33,17.84,MEDIUM,1536,336,1584,384,48,48,   0,1.00,0.20,0.0029
412,8,34,65.23,MEDIUM,1584,336,1632,384,48,48,   0,1.00,0.20,0.0369
413,8,35,80.12,HIGH,1632,336,1680,384,48,48,   0,1.00,1.00,0.0000
414,8,36,70.83,MEDIUM,1680,336,1728,384,48,48,   0,1.00,0.20,0.0000
415,8,37,80.08,HIGH,1728,336,1776,384,48,48,   1,1.00,1.00,0.2614
416,8,38,74.74,MEDIUM,1776,336,1824,384,48,48,  70,1.00,0.20,0.6022
417,8,39,72.18,MEDIUM,1824,336,1872,384,48,48,   5,1.00,0.20,0.2746
418,8,40,88.93,HIGH,1872,336,1920,384,48,48,   0,1.00,1.00,0.0000
419,8,41,94.27,HIGH,1920,336,1968,384,48,48,   0,0.49,1.00,0.0108
420,8,42,95.23,HIGH,1968,336,2016,384,48,48,   1,0.49,1.00,0.3156
421,8,43,97.27,HIGH,2016,336,2064,384,48,48,  62,0.49,1.00,0.7652
422,8,44,72.09,MEDIUM,2064,336,2112,384,48,48,   5,1.00,0.20,0.2774
466,9,34,53.39,MEDIUM,1584,384,1632,432,48,48,   0,1.00,0.20,0.0000
467,9,35,79.64,MEDIUM,1632,384,1680,432,48,48,   0,1.00,0.20,0.0000
468,9,36,82.07,HIGH,1680,384,1728,432,48,48,   0,1.00,1.00,0.0000
469,9,37,78.78,MEDIUM,1728,384,1776,432,48,48,   0,1.00,0.20,0.0000
470,9,38,81.38,HIGH,1776,384,1824,432,48,48,  90,1.00,1.00,0.7491
471,9,39,72.18,MEDIUM,1824,384,1872,432,48,48,  30,1.00,0.20,0.5031
472,9,40,79.56,MEDIUM,1872,384,1920,432,48,48,   3,1.00,0.20,0.2131
473,9,41,90.49,HIGH,1920,384,1968,432,48,48,   5,1.00,1.00,0.5898
474,9,42,93.36,HIGH,1968,384,2016,432,48,48,   2,1.00,1.00,0.5187
475,9,43,97.66,HIGH,2016,384,2064,432,48,48,   4,0.49,1.00,0.5223
476,9,44,96.22,HIGH,2064,384,2112,432,48,48,  27,1.00,1.00,0.7561
477,9,45,26.78,MEDIUM,2112,384,2160,432,48,48,   2,1.00,0.20,0.0264
519,10,33,33.03,MEDIUM,1536,432,1584,480,48,48,   0,1.00,0.20,0.0000
520,10,34,64.41,MEDIUM,1584,432,1632,480,48,48,   0,1.00,0.20,0.0000
521,10,35,75.30,MEDIUM,1632,432,1680,480,48,48,   0,1.00,0.20,0.0000
522,10,36,83.68,HIGH,1680,432,1728,480,48,48,   0,1.00,1.00,0.0000
523,10,37,80.86,HIGH,1728,432,1776,480,48,48,   0,1.00,1.00,0.0000
524,10,38,74.13,MEDIUM,1776,432,1824,480,48,48,  13,1.00,0.20,0.4125
525,10,39,72.22,MEDIUM,1824,432,1872,480,48,48,  36,1.00,0.20,0.5244
526,10,40,77.34,MEDIUM,1872,432,1920,480,48,48, 225,1.00,0.20,0.6960
527,10,41,89.54,HIGH,1920,432,1968,480,48,48,   1,1.00,1.00,0.2868
528,10,42,93.97,HIGH,1968,432,2016,480,48,48,   3,1.00,1.00,0.5263
529,10,43,95.10,HIGH,2016,432,2064,480,48,48,  13,1.00,1.00,0.7030
530,10,44,93.84,HIGH,2064,432,2112,480,48,48,  39,1.00,1.00,0.7647
531,10,45,59.90,MEDIUM,2112,432,2160,480,48,48,  11,1.00,0.20,0.2969
572,11,32,28.12,MEDIUM,1488,480,1536,528,48,48,   0,1.00,0.20,0.0071
573,11,33,46.53,MEDIUM,1536,480,1584,528,48,48,   0,1.00,0.20,0.0015
575,11,35,41.97,MEDIUM,1632,480,1680,528,48,48,   4,1.00,0.20,0.0910
576,11,36,76.26,MEDIUM,1680,480,1728,528,48,48,   0,1.00,0.20,0.0497
577,11,37,64.41,MEDIUM,1728,480,1776,528,48,48,  15,1.00,0.20,0.3646
578,11,38,49.09,MEDIUM,1776,480,1824,528,48,48,   5,1.00,0.20,0.1482
579,11,39,75.00,MEDIUM,1824,480,1872,528,48,48,   0,1.00,0.20,0.0000
580,11,40,80.12,HIGH,1872,480,1920,528,48,48,   0,1.00,1.00,0.0000
581,11,41,86.15,HIGH,1920,480,1968,528,48,48,   1,1.00,1.00,0.3248
582,11,42,94.53,HIGH,1968,480,2016,528,48,48,   0,1.00,1.00,0.0000
583,11,43,96.57,HIGH,2016,480,2064,528,48,48,   4,0.49,1.00,0.4999
584,11,44,97.44,HIGH,2064,480,2112,528,48,48,  34,0.49,1.00,0.7320
585,11,45,97.27,HIGH,2112,480,2160,528,48,48,  29,1.00,1.00,0.7631
629,12,35,22.83,MEDIUM,1632,528,1680,576,48,48,   3,1.00,0.20,0.0252
630,12,36,57.94,MEDIUM,1680,528,1728,576,48,48,   2,1.00,0.20,0.1109
631,12,37,66.06,MEDIUM,1728,528,1776,576,48,48,   3,1.00,0.20,0.1602
632,12,38,71.01,MEDIUM,1776,528,1824,576,48,48,   7,1.00,0.20,0.3145
633,12,39,73.78,MEDIUM,1824,528,1872,576,48,48,   0,1.00,0.20,0.0000
634,12,40,83.07,HIGH,1872,528,1920,576,48,48,   5,1.00,1.00,0.5614
635,12,41,86.11,HIGH,1920,528,1968,576,48,48,   6,1.00,1.00,0.5887
636,12,42,94.66,HIGH,1968,528,2016,576,48,48,   0,0.49,1.00,0.0000
637,12,43,97.09,HIGH,2016,528,2064,576,48,48,   0,0.49,1.00,0.0000
638,12,44,98.00,HIGH,2064,528,2112,576,48,48,   1,0.49,1.00,0.3210
639,12,45,98.57,HIGH,2112,528,2160,576,48,48,  28,1.00,1.00,0.7660
640,12,46,34.77,MEDIUM,2160,528,2208,576,48,48,   3,1.00,0.20,0.0483
683,13,35,16.97,MEDIUM,1632,576,1680,624,48,48,   0,1.00,0.20,0.0000
684,13,36,48.09,MEDIUM,1680,576,1728,624,48,48,   0,1.00,0.20,0.0000
685,13,37,60.76,MEDIUM,1728,576,1776,624,48,48,   0,1.00,0.20,0.0000
686,13,38,73.44,MEDIUM,1776,576,1824,624,48,48,   0,1.00,0.20,0.0037
687,13,39,52.39,MEDIUM,1824,576,1872,624,48,48,   2,1.00,0.20,0.0951
688,13,40,73.74,MEDIUM,1872,576,1920,624,48,48,   2,1.00,0.20,0.1346
689,13,41,69.84,MEDIUM,1920,576,1968,624,48,48,   7,1.00,0.20,0.2980
690,13,42,78.73,MEDIUM,1968,576,2016,624,48,48,  15,1.00,0.20,0.4591
691,13,43,93.01,HIGH,2016,576,2064,624,48,48,   4,1.00,1.00,0.5850
692,13,44,97.48,HIGH,2064,576,2112,624,48,48,   1,0.49,1.00,0.1880
693,13,45,98.35,HIGH,2112,576,2160,624,48,48,  55,1.00,1.00,0.7957
694,13,46,35.59,MEDIUM,2160,576,2208,624,48,48,   3,1.00,0.20,0.0547
727,14,25,46.70,MEDIUM,1152,624,1200,672,48,48,   9,1.00,0.20,0.1884
728,14,26,40.06,MEDIUM,1200,624,1248,672,48,48,  14,1.00,0.20,0.1750
738,14,36,54.69,MEDIUM,1680,624,1728,672,48,48,   0,1.00,0.20,0.0000
739,14,37,55.03,MEDIUM,1728,624,1776,672,48,48,   0,1.00,0.20,0.0212
740,14,38,71.61,MEDIUM,1776,624,1824,672,48,48,   0,1.00,0.20,0.0000
741,14,39,59.90,MEDIUM,1824,624,1872,672,48,48,   3,1.00,0.20,0.1303
742,14,40,33.42,MEDIUM,1872,624,1920,672,48,48,   5,1.00,0.20,0.0734
743,14,41,47.14,MEDIUM,1920,624,1968,672,48,48,  18,1.00,0.20,0.2519
744,14,42,67.97,MEDIUM,1968,624,2016,672,48,48,   1,1.00,0.20,0.0875
745,14,43,93.36,HIGH,2016,624,2064,672,48,48,  91,1.00,1.00,0.7978
746,14,44,95.05,HIGH,2064,624,2112,672,48,48, 116,1.00,1.00,0.8115
747,14,45,99.39,HIGH,2112,624,2160,672,48,48,  45,1.00,1.00,0.7909
748,14,46,56.38,MEDIUM,2160,624,2208,672,48,48,  37,1.00,0.20,0.4044
780,15,24,18.71,MEDIUM,1104,672,1152,720,48,48,   0,1.00,0.20,0.0000
781,15,25,92.14,HIGH,1152,672,1200,720,48,48,   1,1.00,1.00,0.3566
782,15,26,98.91,HIGH,1200,672,1248,720,48,48,  17,0.49,1.00,0.6862
783,15,27,60.85,MEDIUM,1248,672,1296,720,48,48,  16,1.00,0.20,0.3497
792,15,36,41.75,MEDIUM,1680,672,1728,720,48,48,   0,1.00,0.20,0.0012
793,15,37,72.22,MEDIUM,1728,672,1776,720,48,48,   0,1.00,0.20,0.0000
794,15,38,74.70,MEDIUM,1776,672,1824,720,48,48,   2,1.00,0.20,0.1795
795,15,39,66.28,MEDIUM,1824,672,1872,720,48,48,   8,1.00,0.20,0.2870
796,15,40,81.81,HIGH,1872,672,1920,720,48,48,  54,1.00,1.00,0.7285
797,15,41,92.10,HIGH,1920,672,1968,720,48,48,  31,1.00,1.00,0.7468
798,15,42,92.27,HIGH,1968,672,2016,720,48,48,   3,1.00,1.00,0.5434
799,15,43,94.36,HIGH,2016,672,2064,720,48,48,   0,1.00,1.00,0.2064
800,15,44,98.13,HIGH,2064,672,2112,720,48,48,   5,0.49,1.00,0.5306
801,15,45,97.35,HIGH,2112,672,2160,720,48,48,  67,1.00,1.00,0.7999
802,15,46,77.91,MEDIUM,2160,672,2208,720,48,48,  14,1.00,0.20,0.4524
830,16,20,25.22,MEDIUM,912,720,960,768,48,48,   0,1.00,0.20,0.0000
831,16,21,36.68,MEDIUM,960,720,1008,768,48,48,   3,1.00,0.20,0.0556
832,16,22,38.80,MEDIUM,1008,720,1056,768,48,48,   3,1.00,0.20,0.0677
833,16,23,41.71,MEDIUM,1056,720,1104,768,48,48, 104,1.00,0.20,0.3489
834,16,24,81.86,HIGH,1104,720,1152,768,48,48, 253,1.00,1.00,0.7877
835,16,25,93.84,HIGH,1152,720,1200,768,48,48,  38,1.00,1.00,0.7631
836,16,26,95.40,HIGH,1200,720,1248,768,48,48,  52,1.00,1.00,0.7829
837,16,27,99.44,HIGH,1248,720,1296,768,48,48,   8,0.49,1.00,0.6075
838,16,28,41.58,MEDIUM,1296,720,1344,768,48,48,  10,1.00,0.20,0.1577
846,16,36,22.48,MEDIUM,1680,720,1728,768,48,48,   0,1.00,0.20,0.0000
847,16,37,77.78,MEDIUM,1728,720,1776,768,48,48,   0,1.00,0.20,0.0000
848,16,38,63.80,MEDIUM,1776,720,1824,768,48,48,  17,1.00,0.20,0.3777
849,16,39,85.89,HIGH,1824,720,1872,768,48,48,   0,1.00,1.00,0.0000
850,16,40,81.16,HIGH,1872,720,1920,768,48,48,  53,1.00,1.00,0.7242
851,16,41,82.29,HIGH,1920,720,1968,768,48,48,  16,1.00,1.00,0.6574
852,16,42,94.14,HIGH,1968,720,2016,768,48,48,   0,1.00,1.00,0.0000
853,16,43,95.79,HIGH,2016,720,2064,768,48,48,  10,0.49,1.00,0.6230
854,16,44,98.78,HIGH,2064,720,2112,768,48,48,   6,0.49,1.00,0.5736
855,16,45,98.52,HIGH,2112,720,2160,768,48,48,  19,1.00,1.00,0.7427
856,16,46,42.62,MEDIUM,2160,720,2208,768,48,48,   4,1.00,0.20,0.1003
881,17,17,14.63,MEDIUM,768,768,816,816,48,48,   2,1.00,0.20,0.0064
882,17,18,18.88,MEDIUM,816,768,864,816,48,48,   0,1.00,0.20,0.0000
883,17,19,67.53,MEDIUM,864,768,912,816,48,48,   0,1.00,0.20,0.0000
884,17,20,66.67,MEDIUM,912,768,960,816,48,48,   3,1.00,0.20,0.1843
885,17,21,72.40,MEDIUM,960,768,1008,816,48,48,   0,1.00,0.20,0.0000
