Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 93.48%, Total Tissue: 6.52%
Tiles: 52x150 = 7800
   403 ( 5.17%) tiles >=80% tissue
   213 ( 2.73%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
756,15,28,21.78,MEDIUM,1728,896,1792,960,64,64,   8,1.00,0.20,0.0428
757,15,29,86.06,HIGH,1792,896,1856,960,64,64, 786,1.00,1.00,0.8316
808,16,28,66.94,MEDIUM,1728,960,1792,1024,64,64,  28,1.00,0.20,0.4565
809,16,29,99.56,HIGH,1792,960,1856,1024,64,64, 177,1.00,1.00,0.8370
810,16,30,45.29,MEDIUM,1856,960,1920,1024,64,64, 754,1.00,0.20,0.5074
859,17,27,43.24,MEDIUM,1664,1024,1728,1088,64,64,   6,1.00,0.20,0.1243
860,17,28,95.90,HIGH,1728,1024,1792,1088,64,64,  53,1.00,1.00,0.7854
861,17,29,99.19,HIGH,1792,1024,1856,1088,64,64, 203,1.00,1.00,0.8396
862,17,30,88.35,HIGH,1856,1024,1920,1088,64,64, 351,1.00,1.00,0.8207
911,18,27,85.25,HIGH,1664,1088,1728,1152,64,64, 222,1.00,1.00,0.7972
912,18,28,99.15,HIGH,1728,1088,1792,1152,64,64,  79,1.00,1.00,0.8116
913,18,29,99.56,HIGH,1792,1088,1856,1152,64,64,  76,1.00,1.00,0.8117
914,18,30,99.29,HIGH,1856,1088,1920,1152,64,64, 107,1.00,1.00,0.8219
915,18,31,40.43,MEDIUM,1920,1088,1984,1152,64,64, 864,1.00,0.20,0.4575
924,18,40,52.12,MEDIUM,2496,1088,2560,1152,64,64,1059,1.00,0.20,0.5929
925,18,41,92.97,HIGH,2560,1088,2624,1152,64,64, 160,1.00,1.00,0.8145
962,19,26,45.87,MEDIUM,1600,1152,1664,1216,64,64,   3,1.00,0.20,0.0918
963,19,27,98.00,HIGH,1664,1152,1728,1216,64,64,  30,1.00,1.00,0.7669
964,19,28,99.46,HIGH,1728,1152,1792,1216,64,64,  54,1.00,1.00,0.7984
965,19,29,98.83,HIGH,1792,1152,1856,1216,64,64, 128,1.00,1.00,0.8261
966,19,30,99.88,HIGH,1856,1152,1920,1216,64,64, 221,1.00,1.00,0.8435
967,19,31,80.00,HIGH,1920,1152,1984,1216,64,64,2862,1.00,1.00,0.8359
976,19,40,81.10,HIGH,2496,1152,2560,1216,64,64, 591,1.00,1.00,0.8077
