Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5040x1944
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5040x1944
Scaled Tile Size: 64x64
Total Mask: 86.57%, Total Tissue: 13.43%
Tiles: 79x31 = 2449
   219 ( 8.94%) tiles >=80% tissue
   208 ( 8.49%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
217,3,59,38.09,MEDIUM,3712,128,3776,192,64,64,  49,1.00,0.20,0.2565
218,3,60,33.50,MEDIUM,3776,128,3840,192,64,64,  54,1.00,0.20,0.2172
294,4,57,20.75,MEDIUM,3584,192,3648,256,64,64,  34,1.00,0.20,0.0812
295,4,58,96.92,HIGH,3648,192,3712,256,64,64,  12,1.00,1.00,0.7054
296,4,59,97.44,HIGH,3712,192,3776,256,64,64,   2,1.00,1.00,0.4933
297,4,60,98.24,HIGH,3776,192,3840,256,64,64,   5,0.16,1.00,0.3480
298,4,61,80.86,HIGH,3840,192,3904,256,64,64,  65,1.00,1.00,0.7324
299,4,62,22.17,MEDIUM,3904,192,3968,256,64,64, 160,1.00,0.20,0.1466
374,5,58,73.56,MEDIUM,3648,256,3712,320,64,64,   0,1.00,0.20,0.0000
375,5,59,95.63,HIGH,3712,256,3776,320,64,64,   0,1.00,1.00,0.0000
376,5,60,83.89,HIGH,3776,256,3840,320,64,64,  29,1.00,1.00,0.7063
377,5,61,99.05,HIGH,3840,256,3904,320,64,64,   5,0.16,1.00,0.3498
378,5,62,99.98,HIGH,3904,256,3968,320,64,64,  16,0.16,1.00,0.5615
379,5,63,60.99,MEDIUM,3968,256,4032,320,64,64,  84,1.00,0.20,0.5169
454,6,59,81.35,HIGH,3712,320,3776,384,64,64,   0,1.00,1.00,0.0000
455,6,60,96.04,HIGH,3776,320,3840,384,64,64,   1,1.00,1.00,0.3538
456,6,61,98.44,HIGH,3840,320,3904,384,64,64,   3,0.16,1.00,0.2599
457,6,62,99.46,HIGH,3904,320,3968,384,64,64,   4,0.16,1.00,0.3319
458,6,63,99.46,HIGH,3968,320,4032,384,64,64,   9,0.16,1.00,0.4736
459,6,64,84.50,HIGH,4032,320,4096,384,64,64,  97,1.00,1.00,0.7658
460,6,65,16.43,MEDIUM,4096,320,4160,384,64,64, 149,1.00,0.20,0.0848
532,7,58,34.42,MEDIUM,3648,384,3712,448,64,64,  12,1.00,0.20,0.1248
533,7,59,94.04,HIGH,3712,384,3776,448,64,64,   6,0.49,1.00,0.5585
534,7,60,99.95,HIGH,3776,384,3840,448,64,64,   0,0.16,1.00,0.0000
535,7,61,99.41,HIGH,3840,384,3904,448,64,64,   0,0.16,1.00,0.0000
536,7,62,99.37,HIGH,3904,384,3968,448,64,64,   1,0.16,1.00,0.0756
537,7,63,99.68,HIGH,3968,384,4032,448,64,64,   1,0.16,1.00,0.1306
538,7,64,99.66,HIGH,4032,384,4096,448,64,64,   4,0.16,1.00,0.3295
539,7,65,93.21,HIGH,4096,384,4160,448,64,64,  79,1.00,1.00,0.7922
540,7,66,16.58,MEDIUM,4160,384,4224,448,64,64, 154,1.00,0.20,0.0868
612,8,59,38.09,MEDIUM,3712,448,3776,512,64,64,   0,1.00,0.20,0.0000
613,8,60,99.80,HIGH,3776,448,3840,512,64,64,   0,0.16,1.00,0.0000
614,8,61,99.49,HIGH,3840,448,3904,512,64,64,   0,0.16,1.00,0.0000
615,8,62,100.00,HIGH,3904,448,3968,512,64,64,   0,0.16,1.00,0.0000
616,8,63,99.93,HIGH,3968,448,4032,512,64,64,   1,0.16,1.00,0.1316
617,8,64,100.00,HIGH,4032,448,4096,512,64,64,   0,0.16,1.00,0.0000
618,8,65,96.92,HIGH,4096,448,4160,512,64,64,  51,0.16,1.00,0.6762
619,8,66,72.71,MEDIUM,4160,448,4224,512,64,64, 149,1.00,0.20,0.6444
636,9,4,15.77,MEDIUM,192,512,256,576,64,64,  49,1.00,0.20,0.0559
637,9,5,57.20,MEDIUM,256,512,320,576,64,64,  59,1.00,0.20,0.4546
