Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1488x2424
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1488x2424
Scaled Tile Size: 64x64
Total Mask: 68.42%, Total Tissue: 31.58%
Tiles: 24x38 = 912
   233 (25.55%) tiles >=80% tissue
   122 (13.38%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
28,2,4,28.56,MEDIUM,192,64,256,128,64,64,   3,1.00,0.20,0.0365
29,2,5,25.56,MEDIUM,256,64,320,128,64,64,   3,1.00,0.20,0.0261
30,2,6,27.39,MEDIUM,320,64,384,128,64,64,   3,1.00,0.20,0.0322
31,2,7,18.36,MEDIUM,384,64,448,128,64,64,   2,1.00,0.20,0.0126
51,3,3,85.91,HIGH,128,128,192,192,64,64,   2,1.00,1.00,0.4675
52,3,4,97.78,HIGH,192,128,256,192,64,64,   7,1.00,1.00,0.6697
53,3,5,97.83,HIGH,256,128,320,192,64,64,   2,1.00,1.00,0.4909
54,3,6,98.14,HIGH,320,128,384,192,64,64,   2,1.00,1.00,0.4926
55,3,7,99.05,HIGH,384,128,448,192,64,64,   4,1.00,1.00,0.6189
56,3,8,88.38,HIGH,448,128,512,192,64,64,   6,1.00,1.00,0.5976
57,3,9,89.45,HIGH,512,128,576,192,64,64,   3,1.00,1.00,0.5141
58,3,10,84.18,HIGH,576,128,640,192,64,64,  10,1.00,1.00,0.6295
59,3,11,76.49,MEDIUM,640,128,704,192,64,64,   3,1.00,0.20,0.2217
60,3,12,44.70,MEDIUM,704,128,768,192,64,64,   2,1.00,0.20,0.0741
61,3,13,38.75,MEDIUM,768,128,832,192,64,64,   2,1.00,0.20,0.0428
75,4,3,95.19,HIGH,128,192,192,256,64,64,   1,1.00,1.00,0.3670
76,4,4,98.05,HIGH,192,192,256,256,64,64,   0,1.00,1.00,0.0000
77,4,5,96.53,HIGH,256,192,320,256,64,64,   3,1.00,1.00,0.5418
78,4,6,93.70,HIGH,320,192,384,256,64,64,   2,1.00,1.00,0.4624
79,4,7,93.82,HIGH,384,192,448,256,64,64,   5,1.00,1.00,0.6189
80,4,8,94.78,HIGH,448,192,512,256,64,64,   8,1.00,1.00,0.6587
81,4,9,96.41,HIGH,512,192,576,256,64,64,  24,1.00,1.00,0.7490
82,4,10,97.58,HIGH,576,192,640,256,64,64, 116,1.00,1.00,0.8192
83,4,11,96.51,HIGH,640,192,704,256,64,64,   7,1.00,1.00,0.6550
84,4,12,98.80,HIGH,704,192,768,256,64,64,   4,1.00,1.00,0.6190
85,4,13,98.46,HIGH,768,192,832,256,64,64,   2,1.00,1.00,0.5346
86,4,14,97.00,HIGH,832,192,896,256,64,64,   4,1.00,1.00,0.6020
87,4,15,92.77,HIGH,896,192,960,256,64,64,   1,1.00,1.00,0.4375
88,4,16,58.74,MEDIUM,960,192,1024,256,64,64,   4,1.00,0.20,0.1594
89,4,17,51.71,MEDIUM,1024,192,1088,256,64,64,   3,1.00,0.20,0.0999
99,5,3,96.73,HIGH,128,256,192,320,64,64,   5,1.00,1.00,0.6212
100,5,4,94.80,HIGH,192,256,256,320,64,64,   2,1.00,1.00,0.4932
101,5,5,93.19,HIGH,256,256,320,320,64,64,   4,1.00,1.00,0.5812
102,5,6,92.92,HIGH,320,256,384,320,64,64,   6,1.00,1.00,0.6180
103,5,7,93.46,HIGH,384,256,448,320,64,64,   5,1.00,1.00,0.6094
104,5,8,96.58,HIGH,448,256,512,320,64,64,   0,1.00,1.00,0.0000
105,5,9,97.36,HIGH,512,256,576,320,64,64,  61,1.00,1.00,0.7963
