Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x2496
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2432x2496
Scaled Tile Size: 64x64
Total Mask: 67.24%, Total Tissue: 32.76%
Tiles: 38x39 = 1482
   396 (26.72%) tiles >=80% tissue
   214 (14.44%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
88,3,12,19.26,MEDIUM,704,128,768,192,64,64,   0,1.00,0.20,0.0000
89,3,13,32.25,MEDIUM,768,128,832,192,64,64,   0,1.00,0.20,0.0000
90,3,14,22.78,MEDIUM,832,128,896,192,64,64,  20,1.00,0.20,0.0773
124,4,10,17.75,MEDIUM,576,192,640,256,64,64,   0,1.00,0.20,0.0000
125,4,11,64.21,MEDIUM,640,192,704,256,64,64,   0,1.00,0.20,0.0000
126,4,12,75.63,MEDIUM,704,192,768,256,64,64,   0,1.00,0.20,0.0000
127,4,13,78.37,MEDIUM,768,192,832,256,64,64,   0,1.00,0.20,0.0000
128,4,14,86.28,HIGH,832,192,896,256,64,64,   5,1.00,1.00,0.5769
129,4,15,64.38,MEDIUM,896,192,960,256,64,64,  63,1.00,0.20,0.5202
130,4,16,55.49,MEDIUM,960,192,1024,256,64,64,  15,1.00,0.20,0.2999
131,4,17,24.61,MEDIUM,1024,192,1088,256,64,64,  23,1.00,0.20,0.0946
161,5,9,24.07,MEDIUM,512,256,576,320,64,64,   0,1.00,0.20,0.0000
162,5,10,79.35,MEDIUM,576,256,640,320,64,64,   2,1.00,0.20,0.1497
163,5,11,80.64,HIGH,640,256,704,320,64,64,   0,1.00,1.00,0.0000
164,5,12,75.98,MEDIUM,704,256,768,320,64,64,   0,1.00,0.20,0.0000
165,5,13,75.29,MEDIUM,768,256,832,320,64,64,   0,1.00,0.20,0.0000
166,5,14,80.91,HIGH,832,256,896,320,64,64,   0,1.00,1.00,0.0000
167,5,15,89.65,HIGH,896,256,960,320,64,64,  37,1.00,1.00,0.7452
168,5,16,51.25,MEDIUM,960,256,1024,320,64,64,   9,1.00,0.20,0.2076
169,5,17,71.73,MEDIUM,1024,256,1088,320,64,64,   9,1.00,0.20,0.3416
170,5,18,52.44,MEDIUM,1088,256,1152,320,64,64,   6,1.00,0.20,0.1714
199,6,9,30.76,MEDIUM,512,320,576,384,64,64,   0,1.00,0.20,0.0000
200,6,10,78.03,MEDIUM,576,320,640,384,64,64,   0,1.00,0.20,0.0000
201,6,11,80.03,HIGH,640,320,704,384,64,64,   0,1.00,1.00,0.0728
202,6,12,70.46,MEDIUM,704,320,768,384,64,64,   0,1.00,0.20,0.0126
203,6,13,79.54,MEDIUM,768,320,832,384,64,64,   0,1.00,0.20,0.0000
204,6,14,81.93,HIGH,832,320,896,384,64,64,   0,1.00,1.00,0.0000
205,6,15,89.23,HIGH,896,320,960,384,64,64,   0,1.00,1.00,0.2094
206,6,16,97.22,HIGH,960,320,1024,384,64,64,   4,1.00,1.00,0.6163
207,6,17,36.11,MEDIUM,1024,320,1088,384,64,64,   4,1.00,0.20,0.0760
237,7,9,77.00,MEDIUM,512,384,576,448,64,64,   0,1.00,0.20,0.0506
238,7,10,72.17,MEDIUM,576,384,640,448,64,64,   0,1.00,0.20,0.0132
239,7,11,78.59,MEDIUM,640,384,704,448,64,64,   0,1.00,0.20,0.0000
240,7,12,73.44,MEDIUM,704,384,768,448,64,64,   0,1.00,0.20,0.0000
241,7,13,82.69,HIGH,768,384,832,448,64,64,  14,1.00,1.00,0.6511
242,7,14,84.06,HIGH,832,384,896,448,64,64,   0,1.00,1.00,0.0000
243,7,15,89.60,HIGH,896,384,960,448,64,64,   0,1.00,1.00,0.0000
244,7,16,87.60,HIGH,960,384,1024,448,64,64,   3,1.00,1.00,0.5080
274,8,8,58.54,MEDIUM,448,448,512,512,64,64,   0,1.00,0.20,0.0000
275,8,9,74.49,MEDIUM,512,448,576,512,64,64,   0,1.00,0.20,0.0000
276,8,10,76.22,MEDIUM,576,448,640,512,64,64,   0,1.00,0.20,0.0000
277,8,11,72.97,MEDIUM,640,448,704,512,64,64,   0,1.00,0.20,0.0000
278,8,12,77.83,MEDIUM,704,448,768,512,64,64,   0,1.00,0.20,0.0000
279,8,13,81.40,HIGH,768,448,832,512,64,64,   0,1.00,1.00,0.0514
280,8,14,79.08,MEDIUM,832,448,896,512,64,64,   0,1.00,0.20,0.0000
281,8,15,89.18,HIGH,896,448,960,512,64,64,   0,1.00,1.00,0.1857
282,8,16,96.66,HIGH,960,448,1024,512,64,64,   2,1.00,1.00,0.5258
311,9,7,30.71,MEDIUM,384,512,448,576,64,64,   0,1.00,0.20,0.0000
312,9,8,70.97,MEDIUM,448,512,512,576,64,64,   0,1.00,0.20,0.0000
313,9,9,75.15,MEDIUM,512,512,576,576,64,64,   0,1.00,0.20,0.0000
314,9,10,77.61,MEDIUM,576,512,640,576,64,64,   0,1.00,0.20,0.0000
315,9,11,72.80,MEDIUM,640,512,704,576,64,64,   0,1.00,0.20,0.0000
316,9,12,78.98,MEDIUM,704,512,768,576,64,64,   0,1.00,0.20,0.0000
317,9,13,73.85,MEDIUM,768,512,832,576,64,64, 111,1.00,0.20,0.6318
318,9,14,87.89,HIGH,832,512,896,576,64,64,  45,1.00,1.00,0.7472
319,9,15,92.70,HIGH,896,512,960,576,64,64,  24,1.00,1.00,0.7351
320,9,16,70.92,MEDIUM,960,512,1024,576,64,64,   3,1.00,0.20,0.1905
336,9,32,52.44,MEDIUM,1984,512,2048,576,64,64,  31,1.00,0.20,0.3530
337,9,33,38.45,MEDIUM,2048,512,2112,576,64,64,  14,1.00,0.20,0.1669
348,10,6,54.30,MEDIUM,320,576,384,640,64,64,   0,1.00,0.20,0.0040
349,10,7,69.70,MEDIUM,384,576,448,640,64,64,   0,1.00,0.20,0.0000
350,10,8,80.64,HIGH,448,576,512,640,64,64,   0,1.00,1.00,0.0000
351,10,9,79.93,MEDIUM,512,576,576,640,64,64,   0,1.00,0.20,0.0000
352,10,10,79.54,MEDIUM,576,576,640,640,64,64,   0,1.00,0.20,0.0000
353,10,11,80.54,HIGH,640,576,704,640,64,64,   0,1.00,1.00,0.0000
354,10,12,75.68,MEDIUM,704,576,768,640,64,64,   0,1.00,0.20,0.0000
355,10,13,75.98,MEDIUM,768,576,832,640,64,64, 116,1.00,0.20,0.6478
356,10,14,92.07,HIGH,832,576,896,640,64,64,  46,1.00,1.00,0.7656
357,10,15,89.84,HIGH,896,576,960,640,64,64,  29,1.00,1.00,0.7323
358,10,16,62.43,MEDIUM,960,576,1024,640,64,64,   1,1.00,0.20,0.0658
374,10,32,81.93,HIGH,1984,576,2048,640,64,64,  16,1.00,1.00,0.6553
375,10,33,96.66,HIGH,2048,576,2112,640,64,64,   6,1.00,1.00,0.6441
376,10,34,75.61,MEDIUM,2112,576,2176,640,64,64,   5,1.00,0.20,0.2971
385,11,5,56.84,MEDIUM,256,640,320,704,64,64,   0,1.00,0.20,0.0282
386,11,6,80.81,HIGH,320,640,384,704,64,64,   0,1.00,1.00,0.0000
387,11,7,81.79,HIGH,384,640,448,704,64,64,   0,1.00,1.00,0.0000
388,11,8,80.57,HIGH,448,640,512,704,64,64,   0,1.00,1.00,0.0000
389,11,9,79.42,MEDIUM,512,640,576,704,64,64,   0,1.00,0.20,0.0000
390,11,10,76.07,MEDIUM,576,640,640,704,64,64,   0,1.00,0.20,0.0000
391,11,11,75.15,MEDIUM,640,640,704,704,64,64,   0,1.00,0.20,0.0000
392,11,12,78.32,MEDIUM,704,640,768,704,64,64,   0,1.00,0.20,0.0000
393,11,13,76.71,MEDIUM,768,640,832,704,64,64,   0,1.00,0.20,0.0000
394,11,14,81.47,HIGH,832,640,896,704,64,64,   0,1.00,1.00,0.0000
395,11,15,83.25,HIGH,896,640,960,704,64,64,   0,1.00,1.00,0.0000
396,11,16,68.53,MEDIUM,960,640,1024,704,64,64,   1,1.00,0.20,0.0758
412,11,32,47.39,MEDIUM,1984,640,2048,704,64,64, 425,1.00,0.20,0.5001
413,11,33,87.60,HIGH,2048,640,2112,704,64,64,   3,1.00,1.00,0.5275
414,11,34,96.29,HIGH,2112,640,2176,704,64,64,   1,1.00,1.00,0.4458
415,11,35,38.09,MEDIUM,2176,640,2240,704,64,64,   3,1.00,0.20,0.0580
422,12,4,45.70,MEDIUM,192,704,256,768,64,64,   6,1.00,0.20,0.1420
423,12,5,82.25,HIGH,256,704,320,768,64,64,   0,1.00,1.00,0.0000
424,12,6,75.73,MEDIUM,320,704,384,768,64,64,   0,1.00,0.20,0.0000
425,12,7,79.39,MEDIUM,384,704,448,768,64,64,   0,1.00,0.20,0.0000
426,12,8,72.41,MEDIUM,448,704,512,768,64,64,   0,1.00,0.20,0.0000
427,12,9,80.66,HIGH,512,704,576,768,64,64,   0,1.00,1.00,0.0000
428,12,10,84.59,HIGH,576,704,640,768,64,64,   3,1.00,1.00,0.5164
429,12,11,79.44,MEDIUM,640,704,704,768,64,64,   6,1.00,0.20,0.3233
430,12,12,81.20,HIGH,704,704,768,768,64,64,  20,1.00,1.00,0.6685
431,12,13,82.42,HIGH,768,704,832,768,64,64,   9,1.00,1.00,0.6148
432,12,14,85.99,HIGH,832,704,896,768,64,64,   0,1.00,1.00,0.0412
433,12,15,86.82,HIGH,896,704,960,768,64,64,   1,1.00,1.00,0.3924
434,12,16,53.66,MEDIUM,960,704,1024,768,64,64,   0,1.00,0.20,0.0145
444,12,26,16.38,MEDIUM,1600,704,1664,768,64,64,   2,1.00,0.20,0.0100
445,12,27,27.37,MEDIUM,1664,704,1728,768,64,64,   0,1.00,0.20,0.0000
449,12,31,68.33,MEDIUM,1920,704,1984,768,64,64,  91,1.00,0.20,0.5801
450,12,32,77.95,MEDIUM,1984,704,2048,768,64,64,   0,1.00,0.20,0.0000
451,12,33,83.35,HIGH,2048,704,2112,768,64,64,   1,1.00,1.00,0.2486
