Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 64x64
Total Mask: 96.24%, Total Tissue: 3.76%
Tiles: 102x51 = 5202
    88 ( 1.69%) tiles >=80% tissue
   275 ( 5.29%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
379,4,73,32.50,MEDIUM,4608,192,4672,256,64,64, 143,1.00,0.20,0.2634
380,4,74,24.56,MEDIUM,4672,192,4736,256,64,64, 138,1.00,0.20,0.1684
480,5,72,13.38,MEDIUM,4544,256,4608,320,64,64,  89,1.00,0.20,0.0498
482,5,74,13.99,MEDIUM,4672,256,4736,320,64,64,  84,1.00,0.20,0.0534
583,6,73,20.19,MEDIUM,4608,320,4672,384,64,64,  31,1.00,0.20,0.0743
584,6,74,17.58,MEDIUM,4672,320,4736,384,64,64,   7,1.00,0.20,0.0254
594,6,84,12.62,MEDIUM,5312,320,5376,384,64,64, 305,0.49,0.20,0.0518
686,7,74,15.01,MEDIUM,4672,384,4736,448,64,64,  31,1.00,0.20,0.0428
892,9,76,22.00,MEDIUM,4800,512,4864,576,64,64,  17,1.00,0.20,0.0670
893,9,77,30.05,MEDIUM,4864,512,4928,576,64,64,  34,1.00,0.20,0.1558
894,9,78,56.98,MEDIUM,4928,512,4992,576,64,64,  19,1.00,0.20,0.3378
895,9,79,62.28,MEDIUM,4992,512,5056,576,64,64,   6,1.00,0.20,0.2355
896,9,80,13.84,MEDIUM,5056,512,5120,576,64,64,  64,0.49,0.20,0.0367
997,10,79,57.71,MEDIUM,4992,576,5056,640,64,64,   9,1.00,0.20,0.2516
998,10,80,38.11,MEDIUM,5056,576,5120,640,64,64,  82,1.00,0.20,0.2935
1000,10,82,46.24,MEDIUM,5184,576,5248,640,64,64,2582,1.00,0.20,0.5719
1001,10,83,45.29,MEDIUM,5248,576,5312,640,64,64,2108,1.00,0.20,0.5536
1099,11,79,25.88,MEDIUM,4992,640,5056,704,64,64,   9,1.00,0.20,0.0635
1100,11,80,43.87,MEDIUM,5056,640,5120,704,64,64,1174,1.00,0.20,0.5126
1101,11,81,89.97,HIGH,5120,640,5184,704,64,64,1506,1.00,1.00,0.8556
1102,11,82,97.39,HIGH,5184,640,5248,704,64,64,3087,0.49,1.00,0.8741
1103,11,83,97.51,HIGH,5248,640,5312,704,64,64,2601,0.49,1.00,0.8718
1104,11,84,76.00,MEDIUM,5312,640,5376,704,64,64,1506,1.00,0.20,0.7674
1106,11,86,19.68,MEDIUM,5440,640,5504,704,64,64, 956,1.00,0.20,0.1692
1136,12,14,17.36,MEDIUM,832,704,896,768,64,64, 349,1.00,0.20,0.1137
1202,12,80,83.01,HIGH,5056,704,5120,768,64,64,1849,1.00,1.00,0.8383
1203,12,81,92.82,HIGH,5120,704,5184,768,64,64,1863,1.00,1.00,0.8665
1204,12,82,97.83,HIGH,5184,704,5248,768,64,64,2586,0.49,1.00,0.8724
1205,12,83,98.41,HIGH,5248,704,5312,768,64,64,2973,0.49,1.00,0.8759
1206,12,84,93.19,HIGH,5312,704,5376,768,64,64,2814,1.00,1.00,0.8734
1207,12,85,81.25,HIGH,5376,704,5440,768,64,64,3179,1.00,1.00,0.8419
1208,12,86,87.43,HIGH,5440,704,5504,768,64,64,2751,1.00,1.00,0.8582
1209,12,87,35.55,MEDIUM,5504,704,5568,768,64,64,2221,1.00,0.20,0.4352
1210,12,88,16.82,MEDIUM,5568,704,5632,768,64,64,1551,1.00,0.20,0.1397
1211,12,89,77.34,MEDIUM,5632,704,5696,768,64,64,2757,1.00,0.20,0.7907
1212,12,90,86.87,HIGH,5696,704,5760,768,64,64,2832,1.00,1.00,0.8571
1213,12,91,27.86,MEDIUM,5760,704,5824,768,64,64, 626,1.00,0.20,0.2729
1238,13,14,24.85,MEDIUM,832,768,896,832,64,64, 264,1.00,0.20,0.1975
1239,13,15,47.92,MEDIUM,896,768,960,832,64,64, 182,1.00,0.20,0.4542
1240,13,16,12.65,MEDIUM,960,768,1024,832,64,64, 327,1.00,0.20,0.0629
1249,13,25,16.48,MEDIUM,1536,768,1600,832,64,64, 504,1.00,0.20,0.1116
1304,13,80,54.93,MEDIUM,5056,768,5120,832,64,64, 685,1.00,0.20,0.5979
1305,13,81,94.97,HIGH,5120,768,5184,832,64,64,1470,1.00,1.00,0.8680
1306,13,82,97.56,HIGH,5184,768,5248,832,64,64,2087,0.49,1.00,0.8684
1307,13,83,98.24,HIGH,5248,768,5312,832,64,64,2708,0.49,1.00,0.8741
1308,13,84,97.29,HIGH,5312,768,5376,832,64,64,3379,0.49,1.00,0.8753
1309,13,85,95.78,HIGH,5376,768,5440,832,64,64,3459,1.00,1.00,0.8820
1310,13,86,98.44,HIGH,5440,768,5504,832,64,64,4946,0.49,1.00,0.8831
1311,13,87,81.62,HIGH,5504,768,5568,832,64,64,2070,1.00,1.00,0.8357
1312,13,88,71.70,MEDIUM,5568,768,5632,832,64,64,2239,1.00,0.20,0.7584
1313,13,89,84.79,HIGH,5632,768,5696,832,64,64,1900,1.00,1.00,0.8444
1314,13,90,92.14,HIGH,5696,768,5760,832,64,64,2108,1.00,1.00,0.8666
1315,13,91,66.36,MEDIUM,5760,768,5824,832,64,64,1400,1.00,0.20,0.7129
1316,13,92,23.78,MEDIUM,5824,768,5888,832,64,64,1278,1.00,0.20,0.2388
1317,13,93,43.77,MEDIUM,5888,768,5952,832,64,64, 132,1.00,0.20,0.3882
1318,13,94,38.04,MEDIUM,5952,768,6016,832,64,64,   5,1.00,0.20,0.0918
1319,13,95,26.73,MEDIUM,6016,768,6080,832,64,64,   5,1.00,0.20,0.0475
1320,13,96,12.67,MEDIUM,6080,768,6144,832,64,64,  10,1.00,0.20,0.0175
1340,14,14,17.65,MEDIUM,832,832,896,896,64,64, 202,1.00,0.20,0.1039
1353,14,27,12.13,MEDIUM,1664,832,1728,896,64,64, 391,1.00,0.20,0.0605
1407,14,81,34.50,MEDIUM,5120,832,5184,896,64,64, 411,1.00,0.20,0.3447
1408,14,82,87.06,HIGH,5184,832,5248,896,64,64, 707,1.00,1.00,0.8326
1409,14,83,98.19,HIGH,5248,832,5312,896,64,64,1761,0.49,1.00,0.8670
1410,14,84,95.24,HIGH,5312,832,5376,896,64,64,2155,1.00,1.00,0.8744
1411,14,85,91.94,HIGH,5376,832,5440,896,64,64,2416,1.00,1.00,0.8682
1412,14,86,90.97,HIGH,5440,832,5504,896,64,64,2197,1.00,1.00,0.8643
1413,14,87,84.18,HIGH,5504,832,5568,896,64,64,1702,1.00,1.00,0.8406
1414,14,88,81.71,HIGH,5568,832,5632,896,64,64,2088,1.00,1.00,0.8362
1415,14,89,72.66,MEDIUM,5632,832,5696,896,64,64,1153,1.00,0.20,0.7419
1416,14,90,87.48,HIGH,5696,832,5760,896,64,64,1769,1.00,1.00,0.8513
1417,14,91,66.38,MEDIUM,5760,832,5824,896,64,64,1556,1.00,0.20,0.7168
1418,14,92,70.02,MEDIUM,5824,832,5888,896,64,64, 966,1.00,0.20,0.7209
1419,14,93,21.70,MEDIUM,5888,832,5952,896,64,64, 146,1.00,0.20,0.1384
1443,15,15,28.22,MEDIUM,896,896,960,960,64,64,  82,1.00,0.20,0.1854
1444,15,16,48.19,MEDIUM,960,896,1024,960,64,64,  32,1.00,0.20,0.3170
1469,15,41,41.36,MEDIUM,2560,896,2624,960,64,64, 343,1.00,0.20,0.4205
1470,15,42,15.01,MEDIUM,2624,896,2688,960,64,64, 424,1.00,0.20,0.0912
1511,15,83,25.83,MEDIUM,5248,896,5312,960,64,64, 581,1.00,0.20,0.2412
1512,15,84,43.95,MEDIUM,5312,896,5376,960,64,64, 843,1.00,0.20,0.4979
1513,15,85,67.07,MEDIUM,5376,896,5440,960,64,64,1073,1.00,0.20,0.7073
1514,15,86,88.13,HIGH,5440,896,5504,960,64,64, 336,1.00,1.00,0.8189
1515,15,87,86.30,HIGH,5504,896,5568,960,64,64, 395,1.00,1.00,0.8167
1516,15,88,77.17,MEDIUM,5568,896,5632,960,64,64, 739,1.00,0.20,0.7487
1517,15,89,69.36,MEDIUM,5632,896,5696,960,64,64, 513,1.00,0.20,0.6907
1518,15,90,62.01,MEDIUM,5696,896,5760,960,64,64,1027,1.00,0.20,0.6721
1519,15,91,42.90,MEDIUM,5760,896,5824,960,64,64, 539,1.00,0.20,0.4632
1546,16,16,13.57,MEDIUM,960,960,1024,1024,64,64, 138,1.00,0.20,0.0582
1547,16,17,31.27,MEDIUM,1024,960,1088,1024,64,64,  62,1.00,0.20,0.2029
1550,16,20,23.32,MEDIUM,1216,960,1280,1024,64,64, 156,1.00,0.20,0.1588
1551,16,21,24.29,MEDIUM,1280,960,1344,1024,64,64, 949,1.00,0.20,0.2366
1570,16,40,16.50,MEDIUM,2496,960,2560,1024,64,64,  36,1.00,0.20,0.0544
1571,16,41,37.04,MEDIUM,2560,960,2624,1024,64,64, 187,1.00,0.20,0.3335
1649,17,17,22.19,MEDIUM,1024,1024,1088,1088,64,64,  71,1.00,0.20,0.1183
1650,17,18,53.52,MEDIUM,1088,1024,1152,1088,64,64,  41,1.00,0.20,0.3876
1651,17,19,54.61,MEDIUM,1152,1024,1216,1088,64,64,  74,1.00,0.20,0.4514
1652,17,20,59.57,MEDIUM,1216,1024,1280,1088,64,64, 212,1.00,0.20,0.5724
1653,17,21,89.48,HIGH,1280,1024,1344,1088,64,64,1143,1.00,1.00,0.8494
1654,17,22,58.57,MEDIUM,1344,1024,1408,1088,64,64, 610,1.00,0.20,0.6228
1656,17,24,46.09,MEDIUM,1472,1024,1536,1088,64,64,2444,1.00,0.20,0.5682
1657,17,25,55.05,MEDIUM,1536,1024,1600,1088,64,64,2025,1.00,0.20,0.6455
1658,17,26,19.87,MEDIUM,1600,1024,1664,1088,64,64, 505,1.00,0.20,0.1545
1663,17,31,27.59,MEDIUM,1920,1024,1984,1088,64,64, 822,1.00,0.20,0.2800
1664,17,32,31.47,MEDIUM,1984,1024,2048,1088,64,64, 834,1.00,0.20,0.3366
1666,17,34,12.33,MEDIUM,2112,1024,2176,1088,64,64,  39,0.49,0.20,0.0233
1671,17,39,28.34,MEDIUM,2432,1024,2496,1088,64,64,  24,1.00,0.20,0.1246
1672,17,40,39.60,MEDIUM,2496,1024,2560,1088,64,64, 162,1.00,0.20,0.3551
1755,18,21,57.59,MEDIUM,1280,1088,1344,1152,64,64, 212,1.00,0.20,0.5557
1756,18,22,39.62,MEDIUM,1344,1088,1408,1152,64,64, 562,1.00,0.20,0.4262
1757,18,23,87.70,HIGH,1408,1088,1472,1152,64,64,1138,1.00,1.00,0.8440
1758,18,24,97.75,HIGH,1472,1088,1536,1152,64,64,2777,0.49,1.00,0.8734
1759,18,25,99.10,HIGH,1536,1088,1600,1152,64,64,2809,0.49,1.00,0.8765
1760,18,26,87.33,HIGH,1600,1088,1664,1152,64,64,1657,1.00,1.00,0.8497
1761,18,27,45.58,MEDIUM,1664,1088,1728,1152,64,64,1791,1.00,0.20,0.5500
1762,18,28,77.03,MEDIUM,1728,1088,1792,1152,64,64,2096,1.00,0.20,0.7818
1763,18,29,35.50,MEDIUM,1792,1088,1856,1152,64,64,1748,1.00,0.20,0.4247
1764,18,30,21.80,MEDIUM,1856,1088,1920,1152,64,64,1687,1.00,0.20,0.2168
1765,18,31,91.97,HIGH,1920,1088,1984,1152,64,64,2806,1.00,1.00,0.8704
1766,18,32,98.95,HIGH,1984,1088,2048,1152,64,64,3140,0.49,1.00,0.8778
1767,18,33,80.18,HIGH,2048,1088,2112,1152,64,64,1182,1.00,1.00,0.8198
1768,18,34,28.25,MEDIUM,2112,1088,2176,1152,64,64, 659,1.00,0.20,0.2806
1769,18,35,50.05,MEDIUM,2176,1088,2240,1152,64,64, 533,1.00,0.20,0.5396
1770,18,36,61.52,MEDIUM,2240,1088,2304,1152,64,64, 266,1.00,0.20,0.6019
1771,18,37,52.69,MEDIUM,2304,1088,2368,1152,64,64,  66,1.00,0.20,0.4242
1772,18,38,47.31,MEDIUM,2368,1088,2432,1152,64,64,  22,1.00,0.20,0.2744
1773,18,39,24.54,MEDIUM,2432,1088,2496,1152,64,64,  39,1.00,0.20,0.1160
