Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x12696
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x12696
Scaled Tile Size: 64x64
Total Mask: 97.30%, Total Tissue: 2.70%
Tiles: 87x199 = 17313
    50 ( 0.29%) tiles >=80% tissue
  1131 ( 6.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2978,35,20,18.55,MEDIUM,1216,2176,1280,2240,64,64, 974,0.49,0.20,0.1359
2979,35,21,20.02,MEDIUM,1280,2176,1344,2240,64,64,23830,0.49,0.20,0.2371
3066,36,21,30.88,MEDIUM,1280,2240,1344,2304,64,64,2996,1.00,0.20,0.3789
3153,37,21,23.05,MEDIUM,1280,2304,1344,2368,64,64, 199,0.49,0.20,0.1382
3154,37,22,59.55,MEDIUM,1344,2304,1408,2368,64,64,2987,1.00,0.20,0.6939
3241,38,22,70.09,MEDIUM,1344,2368,1408,2432,64,64, 178,1.00,0.20,0.6389
3242,38,23,91.09,HIGH,1408,2368,1472,2432,64,64,1141,1.00,1.00,0.8538
3243,38,24,80.20,HIGH,1472,2368,1536,2432,64,64,1558,1.00,1.00,0.8254
3322,39,16,18.12,MEDIUM,960,2432,1024,2496,64,64,   1,0.49,0.20,0.0024
3327,39,21,20.09,MEDIUM,1280,2432,1344,2496,64,64,   6,0.49,0.20,0.0187
3328,39,22,47.85,MEDIUM,1344,2432,1408,2496,64,64,  16,1.00,0.20,0.2477
3329,39,23,16.06,MEDIUM,1408,2432,1472,2496,64,64,  25,0.49,0.20,0.0310
3330,39,24,36.77,MEDIUM,1472,2432,1536,2496,64,64, 109,1.00,0.20,0.2973
3331,39,25,59.96,MEDIUM,1536,2432,1600,2496,64,64,1536,1.00,0.20,0.6732
