Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3864x7768
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3864x7768
Scaled Tile Size: 64x64
Total Mask: 94.86%, Total Tissue: 5.14%
Tiles: 61x122 = 7442
    69 ( 0.93%) tiles >=80% tissue
   561 ( 7.54%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
792,13,60,24.54,MEDIUM,3776,768,3840,832,64,64,   0,1.00,0.20,0.0000
951,16,36,29.66,MEDIUM,2240,960,2304,1024,64,64,   0,1.00,0.20,0.0000
952,16,37,27.91,MEDIUM,2304,960,2368,1024,64,64,   0,1.00,0.20,0.0000
1318,22,37,29.88,MEDIUM,2304,1344,2368,1408,64,64,   0,1.00,0.20,0.0005
1705,28,58,26.83,MEDIUM,3648,1728,3712,1792,64,64,   0,1.00,0.20,0.0000
1828,30,59,21.73,MEDIUM,3712,1856,3776,1920,64,64,   0,1.00,0.20,0.0000
2072,34,59,30.91,MEDIUM,3712,2112,3776,2176,64,64,   0,1.00,0.20,0.0000
2256,37,60,32.32,MEDIUM,3776,2304,3840,2368,64,64,   0,1.00,0.20,0.0000
2468,41,28,24.49,MEDIUM,1728,2560,1792,2624,64,64,   0,1.00,0.20,0.0000
2470,41,30,28.88,MEDIUM,1856,2560,1920,2624,64,64,   0,1.00,0.20,0.0000
2526,42,25,23.46,MEDIUM,1536,2624,1600,2688,64,64,   0,1.00,0.20,0.0000
2527,42,26,27.81,MEDIUM,1600,2624,1664,2688,64,64,   0,1.00,0.20,0.0000
2528,42,27,60.91,MEDIUM,1664,2624,1728,2688,64,64,   0,1.00,0.20,0.0003
2529,42,28,54.79,MEDIUM,1728,2624,1792,2688,64,64,   2,1.00,0.20,0.0863
2530,42,29,40.89,MEDIUM,1792,2624,1856,2688,64,64,   0,1.00,0.20,0.0000
2531,42,30,22.22,MEDIUM,1856,2624,1920,2688,64,64,   0,1.00,0.20,0.0000
2533,42,32,23.73,MEDIUM,1984,2624,2048,2688,64,64,   0,1.00,0.20,0.0000
2534,42,33,36.11,MEDIUM,2048,2624,2112,2688,64,64,   0,1.00,0.20,0.0000
2587,43,25,37.77,MEDIUM,1536,2688,1600,2752,64,64,   0,1.00,0.20,0.0000
2588,43,26,54.57,MEDIUM,1600,2688,1664,2752,64,64,   0,1.00,0.20,0.0000
2589,43,27,68.48,MEDIUM,1664,2688,1728,2752,64,64,   0,1.00,0.20,0.0000
2590,43,28,67.68,MEDIUM,1728,2688,1792,2752,64,64,   0,1.00,0.20,0.0000
2591,43,29,60.25,MEDIUM,1792,2688,1856,2752,64,64,   0,1.00,0.20,0.0000
2592,43,30,45.83,MEDIUM,1856,2688,1920,2752,64,64,   0,1.00,0.20,0.0000
2593,43,31,26.00,MEDIUM,1920,2688,1984,2752,64,64,   0,1.00,0.20,0.0000
2594,43,32,30.62,MEDIUM,1984,2688,2048,2752,64,64,   0,1.00,0.20,0.0000
2595,43,33,14.60,MEDIUM,2048,2688,2112,2752,64,64,   0,1.00,0.20,0.0000
2596,43,34,14.16,MEDIUM,2112,2688,2176,2752,64,64,   0,1.00,0.20,0.0000
2648,44,25,37.35,MEDIUM,1536,2752,1600,2816,64,64,   0,1.00,0.20,0.0000
2649,44,26,64.55,MEDIUM,1600,2752,1664,2816,64,64,   0,1.00,0.20,0.0013
2650,44,27,74.10,MEDIUM,1664,2752,1728,2816,64,64,   0,1.00,0.20,0.0000
2651,44,28,69.48,MEDIUM,1728,2752,1792,2816,64,64,   0,1.00,0.20,0.0000
2652,44,29,66.16,MEDIUM,1792,2752,1856,2816,64,64,   0,1.00,0.20,0.0037
2653,44,30,59.81,MEDIUM,1856,2752,1920,2816,64,64,   0,1.00,0.20,0.0000
2654,44,31,20.61,MEDIUM,1920,2752,1984,2816,64,64,   0,1.00,0.20,0.0000
2655,44,32,41.92,MEDIUM,1984,2752,2048,2816,64,64,   0,1.00,0.20,0.0000
2709,45,25,34.40,MEDIUM,1536,2816,1600,2880,64,64,   0,1.00,0.20,0.0091
2710,45,26,66.60,MEDIUM,1600,2816,1664,2880,64,64,   0,1.00,0.20,0.0000
2711,45,27,78.88,MEDIUM,1664,2816,1728,2880,64,64,   0,1.00,0.20,0.0000
2712,45,28,67.77,MEDIUM,1728,2816,1792,2880,64,64,   0,1.00,0.20,0.0000
