Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x3488
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3072x3488
Scaled Tile Size: 64x64
Total Mask: 83.51%, Total Tissue: 16.49%
Tiles: 48x55 = 2640
   188 ( 7.12%) tiles >=80% tissue
   453 (17.16%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
70,2,22,42.07,MEDIUM,1344,64,1408,128,64,64,  22,1.00,0.20,0.2286
71,2,23,24.34,MEDIUM,1408,64,1472,128,64,64,  55,1.00,0.20,0.1285
118,3,22,47.56,MEDIUM,1344,128,1408,192,64,64,  12,1.00,0.20,0.2195
119,3,23,81.01,HIGH,1408,128,1472,192,64,64,   3,1.00,1.00,0.4865
166,4,22,65.92,MEDIUM,1344,192,1408,256,64,64,   2,1.00,0.20,0.1225
167,4,23,86.35,HIGH,1408,192,1472,256,64,64,   7,1.00,1.00,0.6057
168,4,24,75.63,MEDIUM,1472,192,1536,256,64,64,   0,1.00,0.20,0.0378
169,4,25,19.46,MEDIUM,1536,192,1600,256,64,64,   2,1.00,0.20,0.0123
212,5,20,23.83,MEDIUM,1216,256,1280,320,64,64,  13,1.00,0.20,0.0686
213,5,21,61.62,MEDIUM,1280,256,1344,320,64,64,  12,1.00,0.20,0.3208
214,5,22,71.56,MEDIUM,1344,256,1408,320,64,64,   1,1.00,0.20,0.1047
215,5,23,61.06,MEDIUM,1408,256,1472,320,64,64,  47,1.00,0.20,0.4660
216,5,24,81.32,HIGH,1472,256,1536,320,64,64,   7,1.00,1.00,0.5811
217,5,25,74.76,MEDIUM,1536,256,1600,320,64,64,   1,1.00,0.20,0.1016
259,6,19,47.51,MEDIUM,1152,320,1216,384,64,64,  12,1.00,0.20,0.2159
260,6,20,95.00,HIGH,1216,320,1280,384,64,64,  10,1.00,1.00,0.6842
261,6,21,85.28,HIGH,1280,320,1344,384,64,64,   7,1.00,1.00,0.6006
262,6,22,79.03,MEDIUM,1344,320,1408,384,64,64,   0,1.00,0.20,0.0052
263,6,23,81.57,HIGH,1408,320,1472,384,64,64,  20,1.00,1.00,0.6691
264,6,24,74.22,MEDIUM,1472,320,1536,384,64,64,  15,1.00,0.20,0.4323
265,6,25,81.57,HIGH,1536,320,1600,384,64,64,   0,1.00,1.00,0.0424
266,6,26,71.53,MEDIUM,1600,320,1664,384,64,64,   0,1.00,0.20,0.0328
267,6,27,21.24,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0016
307,7,19,83.91,HIGH,1152,384,1216,448,64,64,  11,1.00,1.00,0.6383
308,7,20,67.43,MEDIUM,1216,384,1280,448,64,64,   1,1.00,0.20,0.0601
309,7,21,77.81,MEDIUM,1280,384,1344,448,64,64,   5,1.00,0.20,0.2813
310,7,22,85.23,HIGH,1344,384,1408,448,64,64,   2,1.00,1.00,0.4367
311,7,23,84.77,HIGH,1408,384,1472,448,64,64,   6,1.00,1.00,0.5885
312,7,24,73.90,MEDIUM,1472,384,1536,448,64,64,   0,1.00,0.20,0.0328
313,7,25,60.91,MEDIUM,1536,384,1600,448,64,64,   1,1.00,0.20,0.0680
314,7,26,59.35,MEDIUM,1600,384,1664,448,64,64,   7,1.00,0.20,0.2335
316,7,28,32.08,MEDIUM,1728,384,1792,448,64,64,1571,1.00,0.20,0.3719
324,7,36,22.61,MEDIUM,2240,384,2304,448,64,64,   4,1.00,0.20,0.0308
325,7,37,18.75,MEDIUM,2304,384,2368,448,64,64,   2,1.00,0.20,0.0137
354,8,18,34.01,MEDIUM,1088,448,1152,512,64,64,   5,1.00,0.20,0.0756
355,8,19,70.56,MEDIUM,1152,448,1216,512,64,64,   2,1.00,0.20,0.1243
356,8,20,63.92,MEDIUM,1216,448,1280,512,64,64,   1,1.00,0.20,0.0558
357,8,21,70.73,MEDIUM,1280,448,1344,512,64,64,   5,1.00,0.20,0.2510
358,8,22,83.20,HIGH,1344,448,1408,512,64,64,   0,1.00,1.00,0.2114
359,8,23,89.09,HIGH,1408,448,1472,512,64,64,   0,1.00,1.00,0.1165
360,8,24,80.52,HIGH,1472,448,1536,512,64,64,   0,1.00,1.00,0.1481
361,8,25,65.55,MEDIUM,1536,448,1600,512,64,64,   5,1.00,0.20,0.2251
362,8,26,44.65,MEDIUM,1600,448,1664,512,64,64,2707,1.00,0.20,0.5566
363,8,27,38.13,MEDIUM,1664,448,1728,512,64,64,1437,1.00,0.20,0.4517
364,8,28,64.23,MEDIUM,1728,448,1792,512,64,64, 361,1.00,0.20,0.6391
372,8,36,29.39,MEDIUM,2240,448,2304,512,64,64, 243,1.00,0.20,0.2523
373,8,37,90.45,HIGH,2304,448,2368,512,64,64,   4,1.00,1.00,0.5553
374,8,38,85.23,HIGH,2368,448,2432,512,64,64,   2,1.00,1.00,0.4254
375,8,39,45.68,MEDIUM,2432,448,2496,512,64,64,   1,1.00,0.20,0.0335
402,9,18,73.14,MEDIUM,1088,512,1152,576,64,64,   3,1.00,0.20,0.2017
403,9,19,20.19,MEDIUM,1152,512,1216,576,64,64,   6,1.00,0.20,0.0310
404,9,20,52.03,MEDIUM,1216,512,1280,576,64,64,   0,1.00,0.20,0.0000
405,9,21,75.81,MEDIUM,1280,512,1344,576,64,64,   9,1.00,0.20,0.3648
406,9,22,87.57,HIGH,1344,512,1408,576,64,64,   0,1.00,1.00,0.1614
407,9,23,87.79,HIGH,1408,512,1472,576,64,64,   0,1.00,1.00,0.2023
408,9,24,87.43,HIGH,1472,512,1536,576,64,64,   4,1.00,1.00,0.5399
409,9,25,75.76,MEDIUM,1536,512,1600,576,64,64,  38,1.00,0.20,0.5523
410,9,26,50.98,MEDIUM,1600,512,1664,576,64,64, 209,1.00,0.20,0.4941
411,9,27,51.29,MEDIUM,1664,512,1728,576,64,64, 392,1.00,0.20,0.5350
412,9,28,79.37,MEDIUM,1728,512,1792,576,64,64,   3,1.00,0.20,0.2198
413,9,29,33.30,MEDIUM,1792,512,1856,576,64,64,1408,1.00,0.20,0.3850
420,9,36,51.10,MEDIUM,2240,512,2304,576,64,64,  20,1.00,0.20,0.2981
421,9,37,76.39,MEDIUM,2304,512,2368,576,64,64,  18,1.00,0.20,0.4741
422,9,38,77.73,MEDIUM,2368,512,2432,576,64,64,   9,1.00,0.20,0.3839
423,9,39,71.22,MEDIUM,2432,512,2496,576,64,64,   2,1.00,0.20,0.1203
424,9,40,71.75,MEDIUM,2496,512,2560,576,64,64,   0,1.00,0.20,0.0440
450,10,18,86.04,HIGH,1088,576,1152,640,64,64,   7,1.00,1.00,0.6083
451,10,19,72.63,MEDIUM,1152,576,1216,640,64,64,  10,1.00,0.20,0.3626
452,10,20,69.26,MEDIUM,1216,576,1280,640,64,64,   7,1.00,0.20,0.2870
453,10,21,79.86,MEDIUM,1280,576,1344,640,64,64,   5,1.00,0.20,0.3059
454,10,22,83.50,HIGH,1344,576,1408,640,64,64,  55,1.00,1.00,0.7375
455,10,23,88.87,HIGH,1408,576,1472,640,64,64,   0,1.00,1.00,0.0341
456,10,24,93.55,HIGH,1472,576,1536,640,64,64,   1,1.00,1.00,0.2813
457,10,25,93.14,HIGH,1536,576,1600,640,64,64,  51,1.00,1.00,0.7742
458,10,26,70.78,MEDIUM,1600,576,1664,640,64,64, 722,1.00,0.20,0.7138
459,10,27,63.94,MEDIUM,1664,576,1728,640,64,64,  49,1.00,0.20,0.4935
460,10,28,86.57,HIGH,1728,576,1792,640,64,64,   2,1.00,1.00,0.4602
461,10,29,73.14,MEDIUM,1792,576,1856,640,64,64, 508,1.00,0.20,0.7124
467,10,35,16.26,MEDIUM,2176,576,2240,640,64,64,   8,1.00,0.20,0.0246
468,10,36,54.83,MEDIUM,2240,576,2304,640,64,64,  28,1.00,0.20,0.3616
469,10,37,78.91,MEDIUM,2304,576,2368,640,64,64,   4,1.00,0.20,0.2665
470,10,38,83.50,HIGH,2368,576,2432,640,64,64,   5,1.00,1.00,0.5523
471,10,39,70.02,MEDIUM,2432,576,2496,640,64,64,   1,1.00,0.20,0.0850
472,10,40,88.01,HIGH,2496,576,2560,640,64,64,   3,1.00,1.00,0.5130
473,10,41,32.96,MEDIUM,2560,576,2624,640,64,64,   1,1.00,0.20,0.0211
498,11,18,92.72,HIGH,1088,640,1152,704,64,64,   5,1.00,1.00,0.6057
499,11,19,83.91,HIGH,1152,640,1216,704,64,64,   4,1.00,1.00,0.5362
500,11,20,79.47,MEDIUM,1216,640,1280,704,64,64,  16,1.00,0.20,0.4766
501,11,21,78.81,MEDIUM,1280,640,1344,704,64,64,   0,1.00,0.20,0.0380
502,11,22,85.47,HIGH,1344,640,1408,704,64,64,   7,1.00,1.00,0.5962
503,11,23,90.84,HIGH,1408,640,1472,704,64,64,   1,1.00,1.00,0.3182
504,11,24,90.16,HIGH,1472,640,1536,704,64,64,   0,1.00,1.00,0.2460
505,11,25,90.01,HIGH,1536,640,1600,704,64,64,   3,1.00,1.00,0.5316
506,11,26,82.03,HIGH,1600,640,1664,704,64,64, 154,1.00,1.00,0.7724
507,11,27,81.45,HIGH,1664,640,1728,704,64,64,   0,1.00,1.00,0.1680
508,11,28,88.43,HIGH,1728,640,1792,704,64,64,   1,1.00,1.00,0.2921
509,11,29,49.29,MEDIUM,1792,640,1856,704,64,64,  94,1.00,0.20,0.4206
514,11,34,56.25,MEDIUM,2112,640,2176,704,64,64, 147,1.00,0.20,0.5194
515,11,35,41.43,MEDIUM,2176,640,2240,704,64,64,   4,1.00,0.20,0.0909
516,11,36,74.15,MEDIUM,2240,640,2304,704,64,64,   3,1.00,0.20,0.2210
517,11,37,77.08,MEDIUM,2304,640,2368,704,64,64,   7,1.00,0.20,0.3338
518,11,38,80.03,HIGH,2368,640,2432,704,64,64,   0,1.00,1.00,0.0000
519,11,39,71.12,MEDIUM,2432,640,2496,704,64,64,   3,1.00,0.20,0.1790
520,11,40,88.89,HIGH,2496,640,2560,704,64,64,   7,1.00,1.00,0.6164
521,11,41,46.90,MEDIUM,2560,640,2624,704,64,64,   3,1.00,0.20,0.0985
545,12,17,31.93,MEDIUM,1024,704,1088,768,64,64,  11,1.00,0.20,0.1046
546,12,18,85.91,HIGH,1088,704,1152,768,64,64,   2,1.00,1.00,0.4692
547,12,19,79.91,MEDIUM,1152,704,1216,768,64,64,   3,1.00,0.20,0.2476
548,12,20,84.64,HIGH,1216,704,1280,768,64,64,   9,1.00,1.00,0.6238
549,12,21,82.35,HIGH,1280,704,1344,768,64,64,   0,1.00,1.00,0.1950
550,12,22,86.57,HIGH,1344,704,1408,768,64,64,   1,1.00,1.00,0.3580
551,12,23,84.47,HIGH,1408,704,1472,768,64,64,  26,1.00,1.00,0.7018
552,12,24,75.71,MEDIUM,1472,704,1536,768,64,64,   1,1.00,0.20,0.1207
553,12,25,82.28,HIGH,1536,704,1600,768,64,64,   2,1.00,1.00,0.4381
554,12,26,37.40,MEDIUM,1600,704,1664,768,64,64,   0,1.00,0.20,0.0060
555,12,27,76.59,MEDIUM,1664,704,1728,768,64,64,   1,1.00,0.20,0.0571
556,12,28,84.18,HIGH,1728,704,1792,768,64,64,  89,1.00,1.00,0.7614
557,12,29,37.52,MEDIUM,1792,704,1856,768,64,64, 242,1.00,0.20,0.3544
