Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3520
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2944x3520
Scaled Tile Size: 64x64
Total Mask: 87.59%, Total Tissue: 12.41%
Tiles: 46x55 = 2530
   139 ( 5.49%) tiles >=80% tissue
   365 (14.43%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
102,3,10,40.41,MEDIUM,576,128,640,192,64,64,   0,1.00,0.20,0.0093
103,3,11,40.75,MEDIUM,640,128,704,192,64,64,   0,1.00,0.20,0.0000
104,3,12,31.05,MEDIUM,704,128,768,192,64,64,1063,1.00,0.20,0.3409
105,3,13,16.46,MEDIUM,768,128,832,192,64,64,   0,1.00,0.20,0.0000
107,3,15,17.36,MEDIUM,896,128,960,192,64,64,   0,1.00,0.20,0.0000
148,4,10,75.17,MEDIUM,576,192,640,256,64,64,   1,1.00,0.20,0.0564
149,4,11,88.38,HIGH,640,192,704,256,64,64,  17,1.00,1.00,0.6944
150,4,12,82.91,HIGH,704,192,768,256,64,64,   8,1.00,1.00,0.6048
151,4,13,49.68,MEDIUM,768,192,832,256,64,64,  98,1.00,0.20,0.4273
152,4,14,13.72,MEDIUM,832,192,896,256,64,64,   0,1.00,0.20,0.0000
153,4,15,18.29,MEDIUM,896,192,960,256,64,64,   0,1.00,0.20,0.0000
164,4,26,37.79,MEDIUM,1600,192,1664,256,64,64,  26,1.00,0.20,0.2070
165,4,27,73.07,MEDIUM,1664,192,1728,256,64,64, 161,1.00,0.20,0.6515
166,4,28,59.35,MEDIUM,1728,192,1792,256,64,64,   0,1.00,0.20,0.0000
167,4,29,46.92,MEDIUM,1792,192,1856,256,64,64,   0,1.00,0.20,0.0000
168,4,30,31.25,MEDIUM,1856,192,1920,256,64,64,   0,1.00,0.20,0.0000
194,5,10,70.19,MEDIUM,576,256,640,320,64,64,   1,1.00,0.20,0.0746
195,5,11,83.76,HIGH,640,256,704,320,64,64,   3,1.00,1.00,0.4902
196,5,12,80.42,HIGH,704,256,768,320,64,64,  39,1.00,1.00,0.7050
197,5,13,49.46,MEDIUM,768,256,832,320,64,64, 158,1.00,0.20,0.4602
210,5,26,80.54,HIGH,1600,256,1664,320,64,64,   8,1.00,1.00,0.5882
211,5,27,83.23,HIGH,1664,256,1728,320,64,64, 297,1.00,1.00,0.7978
212,5,28,86.79,HIGH,1728,256,1792,320,64,64,  54,1.00,1.00,0.7510
213,5,29,72.02,MEDIUM,1792,256,1856,320,64,64,   0,1.00,0.20,0.0000
214,5,30,58.03,MEDIUM,1856,256,1920,320,64,64,   0,1.00,0.20,0.0000
240,6,10,59.30,MEDIUM,576,320,640,384,64,64,   1,1.00,0.20,0.0657
241,6,11,87.04,HIGH,640,320,704,384,64,64,   1,1.00,1.00,0.3625
242,6,12,72.68,MEDIUM,704,320,768,384,64,64, 218,1.00,0.20,0.6674
243,6,13,19.63,MEDIUM,768,320,832,384,64,64,2622,1.00,0.20,0.1944
256,6,26,71.73,MEDIUM,1600,320,1664,384,64,64,  33,1.00,0.20,0.5094
257,6,27,88.70,HIGH,1664,320,1728,384,64,64, 340,1.00,1.00,0.8211
258,6,28,54.93,MEDIUM,1728,320,1792,384,64,64,   0,1.00,0.20,0.0000
286,7,10,84.52,HIGH,576,384,640,448,64,64,   7,1.00,1.00,0.5942
287,7,11,84.96,HIGH,640,384,704,448,64,64,   0,1.00,1.00,0.2263
288,7,12,74.90,MEDIUM,704,384,768,448,64,64,   0,1.00,0.20,0.0480
289,7,13,47.56,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0000
290,7,14,17.09,MEDIUM,832,384,896,448,64,64,   0,1.00,0.20,0.0000
302,7,26,76.76,MEDIUM,1600,384,1664,448,64,64,  64,1.00,0.20,0.6068
303,7,27,95.26,HIGH,1664,384,1728,448,64,64,  18,0.49,1.00,0.6734
304,7,28,71.31,MEDIUM,1728,384,1792,448,64,64,  15,1.00,0.20,0.4109
305,7,29,46.85,MEDIUM,1792,384,1856,448,64,64,   0,1.00,0.20,0.0000
306,7,30,24.44,MEDIUM,1856,384,1920,448,64,64, 190,1.00,0.20,0.1794
331,8,9,43.80,MEDIUM,512,448,576,512,64,64,   0,1.00,0.20,0.0107
332,8,10,81.88,HIGH,576,448,640,512,64,64,  35,1.00,1.00,0.7058
333,8,11,74.07,MEDIUM,640,448,704,512,64,64,   2,1.00,0.20,0.1564
334,8,12,37.01,MEDIUM,704,448,768,512,64,64, 183,1.00,0.20,0.3320
335,8,13,58.89,MEDIUM,768,448,832,512,64,64,   0,1.00,0.20,0.0000
336,8,14,13.40,MEDIUM,832,448,896,512,64,64,   0,1.00,0.20,0.0000
348,8,26,95.14,HIGH,1600,448,1664,512,64,64,  40,0.49,1.00,0.7326
349,8,27,87.28,HIGH,1664,448,1728,512,64,64,  58,1.00,1.00,0.7562
350,8,28,68.55,MEDIUM,1728,448,1792,512,64,64, 790,1.00,0.20,0.7044
351,8,29,32.30,MEDIUM,1792,448,1856,512,64,64,   0,1.00,0.20,0.0000
352,8,30,71.53,MEDIUM,1856,448,1920,512,64,64, 140,1.00,0.20,0.6326
353,8,31,26.71,MEDIUM,1920,448,1984,512,64,64,   0,1.00,0.20,0.0000
377,9,9,20.61,MEDIUM,512,512,576,576,64,64,   1,1.00,0.20,0.0078
378,9,10,80.57,HIGH,576,512,640,576,64,64,  15,1.00,1.00,0.6445
379,9,11,64.26,MEDIUM,640,512,704,576,64,64,   3,1.00,0.20,0.1478
394,9,26,78.05,MEDIUM,1600,512,1664,576,64,64,  51,1.00,0.20,0.5955
395,9,27,79.91,MEDIUM,1664,512,1728,576,64,64, 153,1.00,0.20,0.6879
396,9,28,66.21,MEDIUM,1728,512,1792,576,64,64, 662,1.00,0.20,0.6821
397,9,29,17.14,MEDIUM,1792,512,1856,576,64,64,   2,1.00,0.20,0.0107
398,9,30,73.07,MEDIUM,1856,512,1920,576,64,64,  33,1.00,0.20,0.5210
399,9,31,49.46,MEDIUM,1920,512,1984,576,64,64,   0,1.00,0.20,0.0000
423,10,9,23.44,MEDIUM,512,576,576,640,64,64,   0,1.00,0.20,0.0006
424,10,10,74.61,MEDIUM,576,576,640,640,64,64,   3,1.00,0.20,0.2263
425,10,11,81.93,HIGH,640,576,704,640,64,64,   2,1.00,1.00,0.4219
426,10,12,48.68,MEDIUM,704,576,768,640,64,64,   0,1.00,0.20,0.0000
440,10,26,55.88,MEDIUM,1600,576,1664,640,64,64,  63,1.00,0.20,0.4486
441,10,27,93.29,HIGH,1664,576,1728,640,64,64,  10,0.49,1.00,0.6071
442,10,28,86.72,HIGH,1728,576,1792,640,64,64,   0,1.00,1.00,0.0000
443,10,29,83.86,HIGH,1792,576,1856,640,64,64,   0,1.00,1.00,0.0000
444,10,30,71.26,MEDIUM,1856,576,1920,640,64,64,   0,1.00,0.20,0.0000
445,10,31,28.78,MEDIUM,1920,576,1984,640,64,64,   8,1.00,0.20,0.0755
448,10,34,15.16,MEDIUM,2112,576,2176,640,64,64,   0,1.00,0.20,0.0000
469,11,9,70.51,MEDIUM,512,640,576,704,64,64,   0,1.00,0.20,0.0049
470,11,10,80.35,HIGH,576,640,640,704,64,64,   3,1.00,1.00,0.4479
471,11,11,79.79,MEDIUM,640,640,704,704,64,64,   0,1.00,0.20,0.0356
472,11,12,45.14,MEDIUM,704,640,768,704,64,64,   0,1.00,0.20,0.0000
