Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x2272
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x2272
Scaled Tile Size: 64x64
Total Mask: 87.38%, Total Tissue: 12.62%
Tiles: 44x36 = 1584
   113 ( 7.13%) tiles >=80% tissue
   194 (12.25%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
74,2,30,18.95,MEDIUM,1856,64,1920,128,64,64, 928,1.00,0.20,0.1580
76,2,32,20.46,MEDIUM,1984,64,2048,128,64,64,1969,1.00,0.20,0.2001
97,3,9,22.29,MEDIUM,512,128,576,192,64,64, 177,1.00,0.20,0.1515
99,3,11,22.02,MEDIUM,640,128,704,192,64,64, 179,1.00,0.20,0.1488
100,3,12,14.55,MEDIUM,704,128,768,192,64,64, 597,1.00,0.20,0.0921
117,3,29,15.72,MEDIUM,1792,128,1856,192,64,64, 570,1.00,0.20,0.1050
166,4,34,22.17,MEDIUM,2112,192,2176,256,64,64,2122,1.00,0.20,0.2293
190,5,14,21.26,MEDIUM,832,256,896,320,64,64, 902,1.00,0.20,0.1904
211,5,35,16.63,MEDIUM,2176,256,2240,320,64,64,1675,1.00,0.20,0.1385
235,6,15,28.81,MEDIUM,896,320,960,384,64,64, 659,1.00,0.20,0.2886
255,6,35,16.31,MEDIUM,2176,320,2240,384,64,64,1164,1.00,0.20,0.1267
278,7,14,14.77,MEDIUM,832,384,896,448,64,64, 251,0.49,0.20,0.0661
279,7,15,43.29,MEDIUM,896,384,960,448,64,64, 128,1.00,0.20,0.3808
286,7,22,45.61,MEDIUM,1344,384,1408,448,64,64,  55,1.00,0.20,0.3411
287,7,23,70.17,MEDIUM,1408,384,1472,448,64,64,  47,1.00,0.20,0.5346
300,7,36,21.41,MEDIUM,2240,384,2304,448,64,64, 674,1.00,0.20,0.1838
322,8,14,14.18,MEDIUM,832,448,896,512,64,64,  60,0.49,0.20,0.0374
323,8,15,35.03,MEDIUM,896,448,960,512,64,64,  11,1.00,0.20,0.1223
324,8,16,58.81,MEDIUM,960,448,1024,512,64,64, 277,1.00,0.20,0.5824
330,8,22,42.53,MEDIUM,1344,448,1408,512,64,64,  31,1.00,0.20,0.2641
331,8,23,93.07,HIGH,1408,448,1472,512,64,64,  36,1.00,1.00,0.7581
345,8,37,15.53,MEDIUM,2304,448,2368,512,64,64,2552,1.00,0.20,0.1307
367,9,15,26.54,MEDIUM,896,512,960,576,64,64,   5,0.49,0.20,0.0278
368,9,16,67.48,MEDIUM,960,512,1024,576,64,64,  61,1.00,0.20,0.5406
369,9,17,22.88,MEDIUM,1024,512,1088,576,64,64, 911,1.00,0.20,0.2142
374,9,22,17.48,MEDIUM,1344,512,1408,576,64,64,  23,1.00,0.20,0.0502
375,9,23,98.41,HIGH,1408,512,1472,576,64,64,  23,0.49,1.00,0.7091
376,9,24,41.31,MEDIUM,1472,512,1536,576,64,64,  27,1.00,0.20,0.2419
378,9,26,15.48,MEDIUM,1600,512,1664,576,64,64,   0,1.00,0.20,0.0000
389,9,37,54.44,MEDIUM,2304,512,2368,576,64,64,1772,1.00,0.20,0.6352
390,9,38,37.13,MEDIUM,2368,512,2432,576,64,64,1065,1.00,0.20,0.4253
410,10,14,27.56,MEDIUM,832,576,896,640,64,64,   3,1.00,0.20,0.0346
411,10,15,48.88,MEDIUM,896,576,960,640,64,64,  24,1.00,0.20,0.2976
412,10,16,63.57,MEDIUM,960,576,1024,640,64,64,  24,1.00,0.20,0.4131
413,10,17,71.70,MEDIUM,1024,576,1088,640,64,64, 820,1.00,0.20,0.7241
414,10,18,21.24,MEDIUM,1088,576,1152,640,64,64,1940,1.00,0.20,0.2120
419,10,23,87.87,HIGH,1408,576,1472,640,64,64,  18,1.00,1.00,0.6936
420,10,24,76.49,MEDIUM,1472,576,1536,640,64,64,  40,1.00,0.20,0.5619
433,10,37,54.64,MEDIUM,2304,576,2368,640,64,64, 423,1.00,0.20,0.5705
434,10,38,87.26,HIGH,2368,576,2432,640,64,64, 787,1.00,1.00,0.8355
435,10,39,24.63,MEDIUM,2432,576,2496,640,64,64, 713,1.00,0.20,0.2316
454,11,14,20.14,MEDIUM,832,640,896,704,64,64,   4,1.00,0.20,0.0245
455,11,15,58.50,MEDIUM,896,640,960,704,64,64, 220,1.00,0.20,0.5657
456,11,16,51.61,MEDIUM,960,640,1024,704,64,64,  89,1.00,0.20,0.4388
457,11,17,82.30,HIGH,1024,640,1088,704,64,64,1348,1.00,1.00,0.8300
458,11,18,93.31,HIGH,1088,640,1152,704,64,64,1833,1.00,1.00,0.8674
463,11,23,54.93,MEDIUM,1408,640,1472,704,64,64,  13,1.00,0.20,0.2815
464,11,24,97.00,HIGH,1472,640,1536,704,64,64,  42,1.00,1.00,0.7797
476,11,36,37.74,MEDIUM,2240,640,2304,704,64,64,  43,1.00,0.20,0.2445
477,11,37,72.12,MEDIUM,2304,640,2368,704,64,64,  32,1.00,0.20,0.5108
478,11,38,92.29,HIGH,2368,640,2432,704,64,64, 380,0.49,1.00,0.8167
479,11,39,77.27,MEDIUM,2432,640,2496,704,64,64,1146,1.00,0.20,0.7646
498,12,14,15.48,MEDIUM,832,704,896,768,64,64,   4,0.49,0.20,0.0076
499,12,15,64.70,MEDIUM,896,704,960,768,64,64,  47,1.00,0.20,0.4940
500,12,16,82.98,HIGH,960,704,1024,768,64,64, 342,1.00,1.00,0.8008
501,12,17,94.38,HIGH,1024,704,1088,768,64,64,1361,1.00,1.00,0.8654
502,12,18,98.58,HIGH,1088,704,1152,768,64,64, 884,1.00,1.00,0.8683
503,12,19,56.71,MEDIUM,1152,704,1216,768,64,64, 489,1.00,0.20,0.5963
507,12,23,24.76,MEDIUM,1408,704,1472,768,64,64,  12,1.00,0.20,0.0691
508,12,24,97.75,HIGH,1472,704,1536,768,64,64,  34,0.49,1.00,0.7335
509,12,25,30.54,MEDIUM,1536,704,1600,768,64,64,  50,1.00,0.20,0.1833
518,12,34,16.04,MEDIUM,2112,704,2176,768,64,64,   3,1.00,0.20,0.0116
519,12,35,33.18,MEDIUM,2176,704,2240,768,64,64,   3,1.00,0.20,0.0457
520,12,36,59.69,MEDIUM,2240,704,2304,768,64,64,  11,1.00,0.20,0.2895
521,12,37,79.71,MEDIUM,2304,704,2368,768,64,64,  36,1.00,0.20,0.5721
522,12,38,93.19,HIGH,2368,704,2432,768,64,64, 167,1.00,1.00,0.8165
523,12,39,98.00,HIGH,2432,704,2496,768,64,64, 992,0.49,1.00,0.8560
524,12,40,38.11,MEDIUM,2496,704,2560,768,64,64, 228,1.00,0.20,0.3581
542,13,14,19.43,MEDIUM,832,768,896,832,64,64,  12,1.00,0.20,0.0435
543,13,15,67.29,MEDIUM,896,768,960,832,64,64,  18,1.00,0.20,0.4105
544,13,16,78.12,MEDIUM,960,768,1024,832,64,64,  29,1.00,0.20,0.5375
545,13,17,96.44,HIGH,1024,768,1088,832,64,64,  51,1.00,1.00,0.7863
546,13,18,98.46,HIGH,1088,768,1152,832,64,64, 319,1.00,1.00,0.8483
547,13,19,66.63,MEDIUM,1152,768,1216,832,64,64, 348,1.00,0.20,0.6540
551,13,23,13.33,MEDIUM,1408,768,1472,832,64,64,   7,1.00,0.20,0.0152
552,13,24,92.11,HIGH,1472,768,1536,832,64,64,  20,1.00,1.00,0.7212
553,13,25,68.48,MEDIUM,1536,768,1600,832,64,64,  31,1.00,0.20,0.4798
563,13,35,35.47,MEDIUM,2176,768,2240,832,64,64, 187,1.00,0.20,0.3145
564,13,36,75.02,MEDIUM,2240,768,2304,832,64,64,  33,1.00,0.20,0.5314
565,13,37,89.18,HIGH,2304,768,2368,832,64,64,  15,1.00,1.00,0.6860
566,13,38,96.46,HIGH,2368,768,2432,832,64,64,  10,1.00,1.00,0.6935
567,13,39,98.02,HIGH,2432,768,2496,832,64,64,  79,1.00,1.00,0.8080
568,13,40,86.30,HIGH,2496,768,2560,832,64,64, 211,1.00,1.00,0.7996
587,14,15,42.19,MEDIUM,896,832,960,896,64,64,  11,1.00,0.20,0.1741
588,14,16,87.28,HIGH,960,832,1024,896,64,64,  18,1.00,1.00,0.6918
589,14,17,98.56,HIGH,1024,832,1088,896,64,64, 198,1.00,1.00,0.8372
590,14,18,99.19,HIGH,1088,832,1152,896,64,64, 293,1.00,1.00,0.8483
591,14,19,90.26,HIGH,1152,832,1216,896,64,64, 265,1.00,1.00,0.8197
596,14,24,81.20,HIGH,1472,832,1536,896,64,64,  13,1.00,1.00,0.6336
597,14,25,91.48,HIGH,1536,832,1600,896,64,64,  24,1.00,1.00,0.7299
607,14,35,44.07,MEDIUM,2176,832,2240,896,64,64, 107,1.00,0.20,0.3762
608,14,36,52.61,MEDIUM,2240,832,2304,896,64,64,   5,1.00,0.20,0.1557
609,14,37,94.70,HIGH,2304,832,2368,896,64,64,   5,1.00,1.00,0.6218
610,14,38,98.14,HIGH,2368,832,2432,896,64,64,   5,1.00,1.00,0.6305
611,14,39,97.14,HIGH,2432,832,2496,896,64,64,  12,1.00,1.00,0.7052
612,14,40,90.48,HIGH,2496,832,2560,896,64,64,  17,1.00,1.00,0.7010
613,14,41,47.29,MEDIUM,2560,832,2624,896,64,64, 169,1.00,0.20,0.4423
630,15,14,39.65,MEDIUM,832,896,896,960,64,64,  10,1.00,0.20,0.1437
631,15,15,22.85,MEDIUM,896,896,960,960,64,64,  47,1.00,0.20,0.1089
632,15,16,91.24,HIGH,960,896,1024,960,64,64,   6,1.00,1.00,0.6221
633,15,17,97.97,HIGH,1024,896,1088,960,64,64,  14,1.00,1.00,0.7218
634,15,18,98.44,HIGH,1088,896,1152,960,64,64,  13,1.00,1.00,0.7177
635,15,19,97.51,HIGH,1152,896,1216,960,64,64,  94,1.00,1.00,0.8125
640,15,24,30.88,MEDIUM,1472,896,1536,960,64,64,  10,1.00,0.20,0.0966
641,15,25,98.80,HIGH,1536,896,1600,960,64,64,  28,0.49,1.00,0.7245
642,15,26,18.33,MEDIUM,1600,896,1664,960,64,64,  61,1.00,0.20,0.0799
651,15,35,37.16,MEDIUM,2176,896,2240,960,64,64,   9,1.00,0.20,0.1269
652,15,36,63.65,MEDIUM,2240,896,2304,960,64,64,   4,1.00,0.20,0.2032
653,15,37,95.70,HIGH,2304,896,2368,960,64,64,   7,1.00,1.00,0.6538
654,15,38,98.58,HIGH,2368,896,2432,960,64,64,   4,1.00,1.00,0.5983
655,15,39,98.97,HIGH,2432,896,2496,960,64,64,   7,1.00,1.00,0.6726
656,15,40,89.38,HIGH,2496,896,2560,960,64,64,  72,1.00,1.00,0.7742
657,15,41,93.21,HIGH,2560,896,2624,960,64,64, 175,1.00,1.00,0.8179
674,16,14,63.53,MEDIUM,832,960,896,1024,64,64,  23,1.00,0.20,0.4101
675,16,15,58.06,MEDIUM,896,960,960,1024,64,64, 115,1.00,0.20,0.5169
676,16,16,90.06,HIGH,960,960,1024,1024,64,64,  13,1.00,1.00,0.6809
677,16,17,98.80,HIGH,1024,960,1088,1024,64,64,   7,1.00,1.00,0.6756
678,16,18,99.05,HIGH,1088,960,1152,1024,64,64,   4,1.00,1.00,0.6050
679,16,19,98.90,HIGH,1152,960,1216,1024,64,64, 148,1.00,1.00,0.8303
680,16,20,24.98,MEDIUM,1216,960,1280,1024,64,64,  13,1.00,0.20,0.0745
685,16,25,92.77,HIGH,1536,960,1600,1024,64,64,  26,1.00,1.00,0.7402
686,16,26,65.62,MEDIUM,1600,960,1664,1024,64,64,  39,1.00,0.20,0.4844
695,16,35,52.25,MEDIUM,2176,960,2240,1024,64,64,  55,1.00,0.20,0.4034
696,16,36,76.10,MEDIUM,2240,960,2304,1024,64,64,  27,1.00,0.20,0.5161
697,16,37,93.73,HIGH,2304,960,2368,1024,64,64,  16,1.00,1.00,0.7121
698,16,38,98.00,HIGH,2368,960,2432,1024,64,64,   6,1.00,1.00,0.6551
699,16,39,99.12,HIGH,2432,960,2496,1024,64,64,   3,1.00,1.00,0.5707
700,16,40,97.49,HIGH,2496,960,2560,1024,64,64,  42,1.00,1.00,0.7819
701,16,41,93.31,HIGH,2560,960,2624,1024,64,64,  60,1.00,1.00,0.7815
702,16,42,30.20,MEDIUM,2624,960,2688,1024,64,64,   2,1.00,0.20,0.0307
718,17,14,65.38,MEDIUM,832,1024,896,1088,64,64,  45,1.00,0.20,0.4958
719,17,15,74.24,MEDIUM,896,1024,960,1088,64,64,  68,1.00,0.20,0.5966
720,17,16,85.82,HIGH,960,1024,1024,1088,64,64,  30,1.00,1.00,0.7159
721,17,17,98.32,HIGH,1024,1024,1088,1088,64,64,  22,1.00,1.00,0.7522
722,17,18,99.41,HIGH,1088,1024,1152,1088,64,64,   9,1.00,1.00,0.6901
723,17,19,98.80,HIGH,1152,1024,1216,1088,64,64, 116,1.00,1.00,0.8230
724,17,20,27.98,MEDIUM,1216,1024,1280,1088,64,64,  20,1.00,0.20,0.1124
729,17,25,65.09,MEDIUM,1536,1024,1600,1088,64,64,  18,1.00,0.20,0.3959
730,17,26,66.53,MEDIUM,1600,1024,1664,1088,64,64,  69,1.00,0.20,0.5438
739,17,35,69.70,MEDIUM,2176,1024,2240,1088,64,64,  20,1.00,0.20,0.4400
740,17,36,78.20,MEDIUM,2240,1024,2304,1088,64,64,  38,1.00,0.20,0.5692
741,17,37,93.95,HIGH,2304,1024,2368,1088,64,64,   7,1.00,1.00,0.6426
742,17,38,98.88,HIGH,2368,1024,2432,1088,64,64,   4,1.00,1.00,0.6080
743,17,39,99.37,HIGH,2432,1024,2496,1088,64,64,  52,1.00,1.00,0.7965
744,17,40,96.73,HIGH,2496,1024,2560,1088,64,64,  44,1.00,1.00,0.7804
745,17,41,90.80,HIGH,2560,1024,2624,1088,64,64,  29,1.00,1.00,0.7378
746,17,42,39.84,MEDIUM,2624,1024,2688,1088,64,64,   1,1.00,0.20,0.0334
761,18,13,14.87,MEDIUM,768,1088,832,1152,64,64,   8,0.49,0.20,0.0131
762,18,14,60.69,MEDIUM,832,1088,896,1152,64,64,   5,1.00,0.20,0.2005
763,18,15,73.63,MEDIUM,896,1088,960,1152,64,64,  23,1.00,0.20,0.4837
764,18,16,89.50,HIGH,960,1088,1024,1152,64,64,  13,1.00,1.00,0.6806
765,18,17,99.17,HIGH,1024,1088,1088,1152,64,64,  11,1.00,1.00,0.7071
766,18,18,99.05,HIGH,1088,1088,1152,1152,64,64,  41,1.00,1.00,0.7856
767,18,19,98.58,HIGH,1152,1088,1216,1152,64,64, 211,1.00,1.00,0.8388
768,18,20,26.42,MEDIUM,1216,1088,1280,1152,64,64,   2,1.00,0.20,0.0218
773,18,25,46.75,MEDIUM,1536,1088,1600,1152,64,64,  23,1.00,0.20,0.2718
774,18,26,92.97,HIGH,1600,1088,1664,1152,64,64,  53,1.00,1.00,0.7754
775,18,27,13.94,MEDIUM,1664,1088,1728,1152,64,64,  70,0.49,0.20,0.0386
783,18,35,54.54,MEDIUM,2176,1088,2240,1152,64,64,  16,1.00,0.20,0.3026
784,18,36,71.97,MEDIUM,2240,1088,2304,1152,64,64,   3,1.00,0.20,0.1847
785,18,37,91.19,HIGH,2304,1088,2368,1152,64,64,   3,1.00,1.00,0.5241
786,18,38,98.90,HIGH,2368,1088,2432,1152,64,64,   8,1.00,1.00,0.6785
787,18,39,99.41,HIGH,2432,1088,2496,1152,64,64,  87,1.00,1.00,0.8156
788,18,40,98.78,HIGH,2496,1088,2560,1152,64,64, 124,1.00,1.00,0.8248
789,18,41,98.83,HIGH,2560,1088,2624,1152,64,64,  10,1.00,1.00,0.7029
790,18,42,36.60,MEDIUM,2624,1088,2688,1152,64,64,   0,1.00,0.20,0.0096
805,19,13,26.76,MEDIUM,768,1152,832,1216,64,64,   4,1.00,0.20,0.0390
806,19,14,59.03,MEDIUM,832,1152,896,1216,64,64,   4,1.00,0.20,0.1645
