Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1920x3008
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1920x3008
Scaled Tile Size: 64x64
Total Mask: 75.58%, Total Tissue: 24.42%
Tiles: 30x47 = 1410
   285 (20.21%) tiles >=80% tissue
   130 ( 9.22%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
164,6,14,39.40,MEDIUM,832,320,896,384,64,64,   2,1.00,0.20,0.0436
165,6,15,63.38,MEDIUM,896,320,960,384,64,64,   2,1.00,0.20,0.1315
166,6,16,72.68,MEDIUM,960,320,1024,384,64,64,   2,1.00,0.20,0.1677
167,6,17,83.40,HIGH,1024,320,1088,384,64,64,   3,1.00,1.00,0.4811
168,6,18,76.68,MEDIUM,1088,320,1152,384,64,64,   3,1.00,0.20,0.2037
169,6,19,49.73,MEDIUM,1152,320,1216,384,64,64,   2,1.00,0.20,0.0883
193,7,13,78.22,MEDIUM,768,384,832,448,64,64,   2,1.00,0.20,0.1419
194,7,14,98.63,HIGH,832,384,896,448,64,64,   2,1.00,1.00,0.5395
195,7,15,99.93,HIGH,896,384,960,448,64,64,   2,0.16,1.00,0.2446
196,7,16,99.83,HIGH,960,384,1024,448,64,64,   2,0.16,1.00,0.2443
197,7,17,99.58,HIGH,1024,384,1088,448,64,64,   2,0.49,1.00,0.4387
198,7,18,99.83,HIGH,1088,384,1152,448,64,64,   2,0.16,1.00,0.2448
199,7,19,99.22,HIGH,1152,384,1216,448,64,64,   2,0.49,1.00,0.4376
200,7,20,88.38,HIGH,1216,384,1280,448,64,64,   3,1.00,1.00,0.5127
201,7,21,25.83,MEDIUM,1280,384,1344,448,64,64,   2,1.00,0.20,0.0261
222,8,12,77.69,MEDIUM,704,448,768,512,64,64,   2,1.00,0.20,0.1699
223,8,13,99.68,HIGH,768,448,832,512,64,64,   2,0.49,1.00,0.4291
224,8,14,99.85,HIGH,832,448,896,512,64,64,   2,0.16,1.00,0.2343
225,8,15,99.10,HIGH,896,448,960,512,64,64,   2,0.49,1.00,0.4275
226,8,16,99.07,HIGH,960,448,1024,512,64,64,   2,0.49,1.00,0.4240
227,8,17,100.00,HIGH,1024,448,1088,512,64,64,   2,0.16,1.00,0.2402
228,8,18,99.71,HIGH,1088,448,1152,512,64,64,   2,0.49,1.00,0.4298
229,8,19,100.00,HIGH,1152,448,1216,512,64,64,   2,0.16,1.00,0.2416
230,8,20,99.54,HIGH,1216,448,1280,512,64,64,   2,0.49,1.00,0.4324
231,8,21,96.63,HIGH,1280,448,1344,512,64,64,   2,1.00,1.00,0.5385
232,8,22,26.61,MEDIUM,1344,448,1408,512,64,64,   3,1.00,0.20,0.0283
251,9,11,33.84,MEDIUM,640,512,704,576,64,64,   2,1.00,0.20,0.0387
252,9,12,99.24,HIGH,704,512,768,576,64,64,   2,1.00,1.00,0.5416
