Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1920x2336
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1920x2336
Scaled Tile Size: 64x64
Total Mask: 64.20%, Total Tissue: 35.80%
Tiles: 30x37 = 1110
   274 (24.68%) tiles >=80% tissue
   264 (23.78%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
12,1,12,45.46,MEDIUM,704,0,768,64,64,64,   0,1.00,0.20,0.0000
13,1,13,98.39,HIGH,768,0,832,64,64,64,   0,0.49,1.00,0.0000
14,1,14,91.82,HIGH,832,0,896,64,64,64, 267,1.00,1.00,0.8250
15,1,15,16.43,MEDIUM,896,0,960,64,64,64, 762,1.00,0.20,0.1196
42,2,12,53.27,MEDIUM,704,64,768,128,64,64,   0,1.00,0.20,0.0000
43,2,13,97.46,HIGH,768,64,832,128,64,64,   0,1.00,1.00,0.0000
44,2,14,84.86,HIGH,832,64,896,128,64,64,   0,1.00,1.00,0.0000
45,2,15,32.54,MEDIUM,896,64,960,128,64,64,  20,1.00,0.20,0.1448
72,3,12,88.67,HIGH,704,128,768,192,64,64,   0,1.00,1.00,0.0000
73,3,13,98.68,HIGH,768,128,832,192,64,64,   0,1.00,1.00,0.0000
74,3,14,96.51,HIGH,832,128,896,192,64,64,   0,0.49,1.00,0.0000
75,3,15,79.93,MEDIUM,896,128,960,192,64,64,   0,1.00,0.20,0.0000
76,3,16,20.80,MEDIUM,960,128,1024,192,64,64,   0,1.00,0.20,0.0000
78,3,18,14.72,MEDIUM,1088,128,1152,192,64,64,   0,1.00,0.20,0.0011
101,4,11,62.84,MEDIUM,640,192,704,256,64,64,   0,1.00,0.20,0.0000
102,4,12,98.66,HIGH,704,192,768,256,64,64,  11,1.00,1.00,0.7053
103,4,13,98.46,HIGH,768,192,832,256,64,64,   1,0.49,1.00,0.2950
104,4,14,96.88,HIGH,832,192,896,256,64,64,   0,0.49,1.00,0.0000
105,4,15,93.65,HIGH,896,192,960,256,64,64,   4,1.00,1.00,0.5767
106,4,16,90.53,HIGH,960,192,1024,256,64,64,   1,1.00,1.00,0.2985
107,4,17,43.92,MEDIUM,1024,192,1088,256,64,64,   0,1.00,0.20,0.0009
115,4,25,38.40,MEDIUM,1536,192,1600,256,64,64,   0,1.00,0.20,0.0000
116,4,26,47.56,MEDIUM,1600,192,1664,256,64,64,   0,1.00,0.20,0.0000
117,4,27,15.38,MEDIUM,1664,192,1728,256,64,64,   0,1.00,0.20,0.0000
130,5,10,41.36,MEDIUM,576,256,640,320,64,64,   0,1.00,0.20,0.0000
131,5,11,93.95,HIGH,640,256,704,320,64,64,   2,1.00,1.00,0.4512
132,5,12,97.97,HIGH,704,256,768,320,64,64,   0,1.00,1.00,0.1757
133,5,13,96.02,HIGH,768,256,832,320,64,64,   0,1.00,1.00,0.0000
134,5,14,96.63,HIGH,832,256,896,320,64,64,   1,0.49,1.00,0.3194
135,5,15,84.72,HIGH,896,256,960,320,64,64,   1,1.00,1.00,0.3920
136,5,16,37.28,MEDIUM,960,256,1024,320,64,64,   2,1.00,0.20,0.0453
143,5,23,24.41,MEDIUM,1408,256,1472,320,64,64,   0,1.00,0.20,0.0000
144,5,24,88.48,HIGH,1472,256,1536,320,64,64,   0,1.00,1.00,0.0000
145,5,25,95.80,HIGH,1536,256,1600,320,64,64,   3,1.00,1.00,0.5401
146,5,26,96.26,HIGH,1600,256,1664,320,64,64,   0,1.00,1.00,0.0000
147,5,27,46.73,MEDIUM,1664,256,1728,320,64,64,   0,1.00,0.20,0.0000
160,6,10,84.59,HIGH,576,320,640,384,64,64,   6,1.00,1.00,0.5905
161,6,11,98.90,HIGH,640,320,704,384,64,64,  18,1.00,1.00,0.7418
162,6,12,98.41,HIGH,704,320,768,384,64,64,   0,1.00,1.00,0.1837
163,6,13,94.24,HIGH,768,320,832,384,64,64,   1,1.00,1.00,0.3757
164,6,14,77.69,MEDIUM,832,320,896,384,64,64,   2,1.00,0.20,0.1421
165,6,15,14.55,MEDIUM,896,320,960,384,64,64,   0,1.00,0.20,0.0007
167,6,17,14.33,MEDIUM,1024,320,1088,384,64,64,   0,1.00,0.20,0.0005
168,6,18,19.48,MEDIUM,1088,320,1152,384,64,64,   0,1.00,0.20,0.0000
169,6,19,77.29,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0000
172,6,22,32.20,MEDIUM,1344,320,1408,384,64,64,   0,1.00,0.20,0.0050
173,6,23,95.41,HIGH,1408,320,1472,384,64,64,   6,1.00,1.00,0.6324
174,6,24,96.48,HIGH,1472,320,1536,384,64,64,   1,1.00,1.00,0.4106
175,6,25,91.82,HIGH,1536,320,1600,384,64,64,   1,1.00,1.00,0.3689
176,6,26,90.26,HIGH,1600,320,1664,384,64,64,   0,1.00,1.00,0.0000
177,6,27,14.94,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0000
189,7,9,44.90,MEDIUM,512,384,576,448,64,64,   4,1.00,0.20,0.1033
190,7,10,99.78,HIGH,576,384,640,448,64,64,  11,1.00,1.00,0.7111
191,7,11,98.34,HIGH,640,384,704,448,64,64,   7,1.00,1.00,0.6707
192,7,12,97.17,HIGH,704,384,768,448,64,64,   6,1.00,1.00,0.6483
