Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1280x1536
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1280x1536
Scaled Tile Size: 64x64
Total Mask: 92.88%, Total Tissue: 7.12%
Tiles: 20x24 = 480
    14 ( 2.92%) tiles >=80% tissue
    53 (11.04%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
63,4,3,19.73,MEDIUM,128,192,192,256,64,64,   0,1.00,0.20,0.0001
84,5,4,36.13,MEDIUM,192,256,256,320,64,64,   0,1.00,0.20,0.0030
104,6,4,41.24,MEDIUM,192,320,256,384,64,64,   0,1.00,0.20,0.0000
125,7,5,60.62,MEDIUM,256,384,320,448,64,64,   0,1.00,0.20,0.0190
126,7,6,21.75,MEDIUM,320,384,384,448,64,64,   1,1.00,0.20,0.0067
146,8,6,46.48,MEDIUM,320,448,384,512,64,64,   0,1.00,0.20,0.0053
147,8,7,32.45,MEDIUM,384,448,448,512,64,64,   2,1.00,0.20,0.0312
167,9,7,18.51,MEDIUM,384,512,448,576,64,64,   2,1.00,0.20,0.0119
168,9,8,28.47,MEDIUM,448,512,512,576,64,64,   1,1.00,0.20,0.0143
191,10,11,32.45,MEDIUM,640,576,704,640,64,64,   3,1.00,0.20,0.0524
192,10,12,14.60,MEDIUM,704,576,768,640,64,64,   0,1.00,0.20,0.0013
211,11,11,80.76,HIGH,640,640,704,704,64,64,   3,1.00,1.00,0.4743
212,11,12,88.21,HIGH,704,640,768,704,64,64,   2,1.00,1.00,0.4934
213,11,13,53.27,MEDIUM,768,640,832,704,64,64,   2,1.00,0.20,0.0781
231,12,11,45.41,MEDIUM,640,704,704,768,64,64,   2,1.00,0.20,0.0566
232,12,12,97.53,HIGH,704,704,768,768,64,64,   1,1.00,1.00,0.4419
233,12,13,83.76,HIGH,768,704,832,768,64,64,   0,1.00,1.00,0.1938
234,12,14,47.92,MEDIUM,832,704,896,768,64,64,   0,1.00,0.20,0.0000
243,13,3,59.33,MEDIUM,128,768,192,832,64,64,   0,1.00,0.20,0.0051
244,13,4,30.52,MEDIUM,192,768,256,832,64,64,   0,1.00,0.20,0.0000
252,13,12,59.13,MEDIUM,704,768,768,832,64,64,   1,1.00,0.20,0.0486
253,13,13,95.95,HIGH,768,768,832,832,64,64,   2,1.00,1.00,0.4747
254,13,14,70.80,MEDIUM,832,768,896,832,64,64,   0,1.00,0.20,0.0000
255,13,15,40.01,MEDIUM,896,768,960,832,64,64,   1,1.00,0.20,0.0283
262,14,2,40.75,MEDIUM,64,832,128,896,64,64,   0,1.00,0.20,0.0000
263,14,3,40.48,MEDIUM,128,832,192,896,64,64,   0,1.00,0.20,0.0000
264,14,4,38.48,MEDIUM,192,832,256,896,64,64,   0,1.00,0.20,0.0000
273,14,13,21.41,MEDIUM,768,832,832,896,64,64,   1,1.00,0.20,0.0084
274,14,14,89.18,HIGH,832,832,896,896,64,64,   1,1.00,1.00,0.3615
275,14,15,94.43,HIGH,896,832,960,896,64,64,   2,1.00,1.00,0.5074
276,14,16,19.82,MEDIUM,960,832,1024,896,64,64,   3,1.00,0.20,0.0199
282,15,2,50.93,MEDIUM,64,896,128,960,64,64,   0,1.00,0.20,0.0000
283,15,3,28.05,MEDIUM,128,896,192,960,64,64,   0,1.00,0.20,0.0000
285,15,5,15.53,MEDIUM,256,896,320,960,64,64,   0,1.00,0.20,0.0011
295,15,15,23.12,MEDIUM,896,896,960,960,64,64,   1,1.00,0.20,0.0091
302,16,2,32.69,MEDIUM,64,960,128,1024,64,64,   0,1.00,0.20,0.0000
303,16,3,28.83,MEDIUM,128,960,192,1024,64,64,   0,1.00,0.20,0.0000
305,16,5,19.53,MEDIUM,256,960,320,1024,64,64,   1,1.00,0.20,0.0092
322,17,2,15.01,MEDIUM,64,1024,128,1088,64,64,   0,1.00,0.20,0.0000
323,17,3,71.02,MEDIUM,128,1024,192,1088,64,64,   3,1.00,0.20,0.1710
343,18,3,76.12,MEDIUM,128,1088,192,1152,64,64,   0,1.00,0.20,0.0281
344,18,4,46.29,MEDIUM,192,1088,256,1152,64,64,   0,1.00,0.20,0.0000
345,18,5,17.41,MEDIUM,256,1088,320,1152,64,64,   0,1.00,0.20,0.0016
351,18,11,18.55,MEDIUM,640,1088,704,1152,64,64,   1,1.00,0.20,0.0067
363,19,3,14.67,MEDIUM,128,1152,192,1216,64,64,   0,1.00,0.20,0.0000
364,19,4,92.46,HIGH,192,1152,256,1216,64,64,   2,1.00,1.00,0.4521
365,19,5,75.34,MEDIUM,256,1152,320,1216,64,64,   2,1.00,0.20,0.1805
366,19,6,21.14,MEDIUM,320,1152,384,1216,64,64,   2,1.00,0.20,0.0169
384,20,4,45.02,MEDIUM,192,1216,256,1280,64,64,   0,1.00,0.20,0.0114
385,20,5,96.29,HIGH,256,1216,320,1280,64,64,   2,1.00,1.00,0.4824
386,20,6,43.92,MEDIUM,320,1216,384,1280,64,64,   0,1.00,0.20,0.0057
405,21,5,70.09,MEDIUM,256,1280,320,1344,64,64,   1,1.00,0.20,0.0483
406,21,6,89.97,HIGH,320,1280,384,1344,64,64,   1,1.00,1.00,0.4097
407,21,7,60.77,MEDIUM,384,1280,448,1344,64,64,   2,1.00,0.20,0.1298
408,21,8,30.83,MEDIUM,448,1280,512,1344,64,64,   0,1.00,0.20,0.0006
409,21,9,28.22,MEDIUM,512,1280,576,1344,64,64,   0,1.00,0.20,0.0051
410,21,10,39.82,MEDIUM,576,1280,640,1344,64,64,  10,1.00,0.20,0.1447
411,21,11,16.21,MEDIUM,640,1280,704,1344,64,64,   0,1.00,0.20,0.0024
412,21,12,44.41,MEDIUM,704,1280,768,1344,64,64,   0,1.00,0.20,0.0179
413,21,13,21.78,MEDIUM,768,1280,832,1344,64,64,   1,1.00,0.20,0.0070
426,22,6,45.48,MEDIUM,320,1344,384,1408,64,64,   1,1.00,0.20,0.0486
427,22,7,84.59,HIGH,384,1344,448,1408,64,64,   1,1.00,1.00,0.3887
428,22,8,91.09,HIGH,448,1344,512,1408,64,64,   1,1.00,1.00,0.3476
429,22,9,86.55,HIGH,512,1344,576,1408,64,64,   1,1.00,1.00,0.3569
430,22,10,84.33,HIGH,576,1344,640,1408,64,64,   3,1.00,1.00,0.4973
431,22,11,60.55,MEDIUM,640,1344,704,1408,64,64,   1,1.00,0.20,0.0519
432,22,12,22.34,MEDIUM,704,1344,768,1408,64,64,   0,1.00,0.20,0.0027
