Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4831x2444
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 4831x2444
Scaled Tile Size: 64x64
Total Mask: 95.94%, Total Tissue: 4.06%
Tiles: 76x39 = 2964
    46 ( 1.55%) tiles >=80% tissue
   170 ( 5.74%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
449,6,69,20.02,MEDIUM,4352,320,4416,384,64,64,   0,1.00,0.20,0.0037
886,12,50,15.31,MEDIUM,3136,704,3200,768,64,64,   1,1.00,0.20,0.0024
887,12,51,41.02,MEDIUM,3200,704,3264,768,64,64,   4,1.00,0.20,0.0898
888,12,52,39.38,MEDIUM,3264,704,3328,768,64,64,  30,1.00,0.20,0.2330
889,12,53,14.33,MEDIUM,3328,704,3392,768,64,64,   3,1.00,0.20,0.0103
890,12,54,25.76,MEDIUM,3392,704,3456,768,64,64,  18,1.00,0.20,0.0922
891,12,55,29.15,MEDIUM,3456,704,3520,768,64,64,  27,0.49,0.20,0.0991
892,12,56,14.21,MEDIUM,3520,704,3584,768,64,64,  60,1.00,0.20,0.0491
893,12,57,21.22,MEDIUM,3584,704,3648,768,64,64,  45,1.00,0.20,0.0936
960,13,48,19.41,MEDIUM,3008,768,3072,832,64,64,   9,1.00,0.20,0.0365
961,13,49,44.63,MEDIUM,3072,768,3136,832,64,64,  34,1.00,0.20,0.2910
962,13,50,68.75,MEDIUM,3136,768,3200,832,64,64,  72,1.00,0.20,0.5637
963,13,51,61.33,MEDIUM,3200,768,3264,832,64,64, 209,1.00,0.20,0.5856
964,13,52,42.29,MEDIUM,3264,768,3328,832,64,64, 599,0.49,0.20,0.4223
965,13,53,80.03,HIGH,3328,768,3392,832,64,64, 573,0.49,1.00,0.7832
966,13,54,81.98,HIGH,3392,768,3456,832,64,64, 379,0.49,1.00,0.7785
967,13,55,90.89,HIGH,3456,768,3520,832,64,64, 354,0.49,1.00,0.8101
968,13,56,94.41,HIGH,3520,768,3584,832,64,64, 251,0.49,1.00,0.8112
969,13,57,84.28,HIGH,3584,768,3648,832,64,64, 232,0.49,1.00,0.7710
970,13,58,71.97,MEDIUM,3648,768,3712,832,64,64,  66,1.00,0.20,0.5784
998,14,10,20.39,MEDIUM,576,832,640,896,64,64,   2,1.00,0.20,0.0114
999,14,11,25.24,MEDIUM,640,832,704,896,64,64,   4,1.00,0.20,0.0337
1001,14,13,16.14,MEDIUM,768,832,832,896,64,64,   7,1.00,0.20,0.0221
1002,14,14,21.68,MEDIUM,832,832,896,896,64,64,  11,1.00,0.20,0.0523
1004,14,16,16.77,MEDIUM,960,832,1024,896,64,64,   8,1.00,0.20,0.0269
1038,14,50,20.46,MEDIUM,3136,832,3200,896,64,64, 714,0.49,0.20,0.1514
1039,14,51,37.28,MEDIUM,3200,832,3264,896,64,64, 982,0.49,0.20,0.3888
1040,14,52,42.04,MEDIUM,3264,832,3328,896,64,64,2524,0.49,0.20,0.4936
1041,14,53,65.16,MEDIUM,3328,832,3392,896,64,64,1631,0.49,0.20,0.6833
1042,14,54,87.82,HIGH,3392,832,3456,896,64,64, 985,0.49,1.00,0.8266
1043,14,55,86.55,HIGH,3456,832,3520,896,64,64, 687,0.49,1.00,0.8135
1044,14,56,92.41,HIGH,3520,832,3584,896,64,64, 335,0.49,1.00,0.8135
1045,14,57,82.96,HIGH,3584,832,3648,896,64,64, 229,0.49,1.00,0.7650
1046,14,58,77.08,MEDIUM,3648,832,3712,896,64,64, 189,0.49,0.20,0.6384
1047,14,59,54.91,MEDIUM,3712,832,3776,896,64,64,  86,1.00,0.20,0.4670
1048,14,60,36.67,MEDIUM,3776,832,3840,896,64,64,  68,1.00,0.20,0.2647
1072,15,8,30.59,MEDIUM,448,896,512,960,64,64,  43,1.00,0.20,0.1743
1073,15,9,44.12,MEDIUM,512,896,576,960,64,64,  53,1.00,0.20,0.3225
1074,15,10,57.79,MEDIUM,576,896,640,960,64,64, 100,1.00,0.20,0.5045
1075,15,11,63.92,MEDIUM,640,896,704,960,64,64, 818,0.49,0.20,0.6423
1076,15,12,73.61,MEDIUM,704,896,768,960,64,64, 496,0.49,0.20,0.6790
1077,15,13,86.94,HIGH,768,896,832,960,64,64, 398,0.49,1.00,0.7996
1078,15,14,84.16,HIGH,832,896,896,960,64,64, 207,0.49,1.00,0.7662
1079,15,15,78.52,MEDIUM,896,896,960,960,64,64, 162,1.00,0.20,0.6837
1080,15,16,88.96,HIGH,960,896,1024,960,64,64, 147,0.49,1.00,0.7725
1081,15,17,65.77,MEDIUM,1024,896,1088,960,64,64,  91,1.00,0.20,0.5608
1082,15,18,17.31,MEDIUM,1088,896,1152,960,64,64,  22,1.00,0.20,0.0485
1114,15,50,51.76,MEDIUM,3136,896,3200,960,64,64,1231,0.49,0.20,0.5626
1115,15,51,66.04,MEDIUM,3200,896,3264,960,64,64,1398,0.49,0.20,0.6824
1116,15,52,86.01,HIGH,3264,896,3328,960,64,64,1396,0.49,1.00,0.8285
1117,15,53,94.56,HIGH,3328,896,3392,960,64,64,1100,0.49,1.00,0.8491
1118,15,54,60.42,MEDIUM,3392,896,3456,960,64,64, 800,0.49,0.20,0.6150
1119,15,55,53.76,MEDIUM,3456,896,3520,960,64,64, 556,0.49,0.20,0.5372
1120,15,56,29.81,MEDIUM,3520,896,3584,960,64,64, 324,0.49,0.20,0.2367
1121,15,57,24.78,MEDIUM,3584,896,3648,960,64,64, 129,0.49,0.20,0.1381
1122,15,58,17.55,MEDIUM,3648,896,3712,960,64,64, 257,0.49,0.20,0.0914
1124,15,60,20.75,MEDIUM,3776,896,3840,960,64,64, 252,0.49,0.20,0.1227
1129,15,65,19.63,MEDIUM,4096,896,4160,960,64,64,   1,1.00,0.20,0.0038
1130,15,66,34.52,MEDIUM,4160,896,4224,960,64,64,   3,1.00,0.20,0.0518
1131,15,67,31.15,MEDIUM,4224,896,4288,960,64,64,   2,1.00,0.20,0.0328
1145,16,5,13.84,MEDIUM,256,960,320,1024,64,64,   3,0.49,0.20,0.0048
1146,16,6,21.70,MEDIUM,320,960,384,1024,64,64,  10,0.49,0.20,0.0312
1149,16,9,36.67,MEDIUM,512,960,576,1024,64,64,5183,0.49,0.20,0.4559
1150,16,10,54.91,MEDIUM,576,960,640,1024,64,64,4456,0.49,0.20,0.6471
1151,16,11,65.43,MEDIUM,640,960,704,1024,64,64,3945,0.49,0.20,0.7184
1152,16,12,81.71,HIGH,704,960,768,1024,64,64,2024,0.49,1.00,0.8217
1153,16,13,89.67,HIGH,768,960,832,1024,64,64, 990,0.49,1.00,0.8326
1154,16,14,82.15,HIGH,832,960,896,1024,64,64, 484,0.49,1.00,0.7870
1155,16,15,86.52,HIGH,896,960,960,1024,64,64, 223,0.49,1.00,0.7788
1156,16,16,79.49,MEDIUM,960,960,1024,1024,64,64, 162,0.49,0.20,0.6409
