Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x6144
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2432x6144
Scaled Tile Size: 64x64
Total Mask: 88.42%, Total Tissue: 11.58%
Tiles: 38x96 = 3648
    92 ( 2.52%) tiles >=80% tissue
   627 (17.19%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
167,5,15,16.53,MEDIUM,896,256,960,320,64,64, 162,1.00,0.20,0.0875
1044,28,18,30.37,MEDIUM,1088,1728,1152,1792,64,64,  48,1.00,0.20,0.1791
1045,28,19,25.44,MEDIUM,1152,1728,1216,1792,64,64,   1,1.00,0.20,0.0158
1046,28,20,21.97,MEDIUM,1216,1728,1280,1792,64,64,   1,1.00,0.20,0.0047
1047,28,21,24.10,MEDIUM,1280,1728,1344,1792,64,64,   2,1.00,0.20,0.0156
1048,28,22,23.80,MEDIUM,1344,1728,1408,1792,64,64,   3,1.00,0.20,0.0228
1081,29,17,30.35,MEDIUM,1024,1792,1088,1856,64,64,   3,1.00,0.20,0.0376
1082,29,18,28.39,MEDIUM,1088,1792,1152,1856,64,64,   1,1.00,0.20,0.0078
1083,29,19,47.71,MEDIUM,1152,1792,1216,1856,64,64,   1,1.00,0.20,0.0424
1084,29,20,22.71,MEDIUM,1216,1792,1280,1856,64,64,   0,1.00,0.20,0.0005
1085,29,21,46.12,MEDIUM,1280,1792,1344,1856,64,64,  79,1.00,0.20,0.3750
1086,29,22,56.88,MEDIUM,1344,1792,1408,1856,64,64,  35,1.00,0.20,0.4025
1087,29,23,40.09,MEDIUM,1408,1792,1472,1856,64,64,  35,1.00,0.20,0.2501
1088,29,24,14.01,MEDIUM,1472,1792,1536,1856,64,64,   0,1.00,0.20,0.0000
1089,29,25,18.41,MEDIUM,1536,1792,1600,1856,64,64,   0,1.00,0.20,0.0002
