Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1664x2720
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1664x2720
Scaled Tile Size: 64x64
Total Mask: 84.04%, Total Tissue: 15.96%
Tiles: 26x43 = 1118
   118 (10.55%) tiles >=80% tissue
   118 (10.55%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
115,5,11,23.66,MEDIUM,640,256,704,320,64,64,   7,1.00,0.20,0.0462
116,5,12,33.79,MEDIUM,704,256,768,320,64,64,   2,1.00,0.20,0.0408
120,5,16,25.37,MEDIUM,960,256,1024,320,64,64,4361,1.00,0.20,0.3035
137,6,7,38.43,MEDIUM,384,320,448,384,64,64,   0,1.00,0.20,0.0000
138,6,8,52.64,MEDIUM,448,320,512,384,64,64,   3,1.00,0.20,0.1151
139,6,9,63.72,MEDIUM,512,320,576,384,64,64,   1,1.00,0.20,0.0776
140,6,10,75.88,MEDIUM,576,320,640,384,64,64,   2,1.00,0.20,0.1651
141,6,11,64.53,MEDIUM,640,320,704,384,64,64,   0,1.00,0.20,0.0000
142,6,12,42.50,MEDIUM,704,320,768,384,64,64,   4,1.00,0.20,0.0957
143,6,13,51.34,MEDIUM,768,320,832,384,64,64,   6,1.00,0.20,0.1646
144,6,14,82.89,HIGH,832,320,896,384,64,64,   2,1.00,1.00,0.4468
145,6,15,62.99,MEDIUM,896,320,960,384,64,64,   2,1.00,0.20,0.0944
146,6,16,38.99,MEDIUM,960,320,1024,384,64,64,   0,1.00,0.20,0.0000
147,6,17,62.13,MEDIUM,1024,320,1088,384,64,64,  15,1.00,0.20,0.3485
162,7,6,77.17,MEDIUM,320,384,384,448,64,64,  18,1.00,0.20,0.4752
163,7,7,89.89,HIGH,384,384,448,448,64,64,  11,1.00,1.00,0.6685
164,7,8,78.10,MEDIUM,448,384,512,448,64,64,   0,1.00,0.20,0.0000
165,7,9,74.83,MEDIUM,512,384,576,448,64,64,   8,1.00,0.20,0.3562
166,7,10,90.99,HIGH,576,384,640,448,64,64,   2,1.00,1.00,0.4879
167,7,11,79.57,MEDIUM,640,384,704,448,64,64,   2,1.00,0.20,0.1592
168,7,12,50.63,MEDIUM,704,384,768,448,64,64,   1,1.00,0.20,0.0448
169,7,13,49.34,MEDIUM,768,384,832,448,64,64, 106,1.00,0.20,0.4300
170,7,14,80.79,HIGH,832,384,896,448,64,64,   0,1.00,1.00,0.0000
171,7,15,86.21,HIGH,896,384,960,448,64,64,  16,1.00,1.00,0.6778
173,7,17,52.49,MEDIUM,1024,384,1088,448,64,64, 150,1.00,0.20,0.4859
188,8,6,65.55,MEDIUM,320,448,384,512,64,64,  11,1.00,0.20,0.3379
189,8,7,92.68,HIGH,384,448,448,512,64,64,   4,1.00,1.00,0.5728
190,8,8,62.11,MEDIUM,448,448,512,512,64,64,  10,1.00,0.20,0.3005
191,8,9,85.06,HIGH,512,448,576,512,64,64,  10,1.00,1.00,0.6379
192,8,10,95.85,HIGH,576,448,640,512,64,64,   3,1.00,1.00,0.5685
193,8,11,80.71,HIGH,640,448,704,512,64,64,   1,1.00,1.00,0.2375
194,8,12,70.12,MEDIUM,704,448,768,512,64,64,   0,1.00,0.20,0.0423
195,8,13,89.97,HIGH,768,448,832,512,64,64,  35,1.00,1.00,0.7430
196,8,14,83.13,HIGH,832,448,896,512,64,64,   0,1.00,1.00,0.1534
197,8,15,87.52,HIGH,896,448,960,512,64,64,   3,1.00,1.00,0.4906
198,8,16,70.61,MEDIUM,960,448,1024,512,64,64,   9,1.00,0.20,0.3408
199,8,17,49.27,MEDIUM,1024,448,1088,512,64,64,   0,1.00,0.20,0.0000
