Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4588x2214
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 4588x2214
Scaled Tile Size: 64x64
Total Mask: 97.80%, Total Tissue: 2.20%
Tiles: 72x35 = 2520
     2 ( 0.08%) tiles >=80% tissue
   136 ( 5.40%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
295,5,7,21.70,MEDIUM,384,256,448,320,64,64,1481,1.00,0.20,0.2115
296,5,8,22.51,MEDIUM,448,256,512,320,64,64,3442,1.00,0.20,0.2488
335,5,47,13.26,MEDIUM,2944,256,3008,320,64,64,1452,1.00,0.20,0.0907
336,5,48,16.31,MEDIUM,3008,256,3072,320,64,64,1922,1.00,0.20,0.1367
337,5,49,13.82,MEDIUM,3072,256,3136,320,64,64,2002,1.00,0.20,0.1027
365,6,5,34.91,MEDIUM,256,320,320,384,64,64,2359,1.00,0.20,0.4288
366,6,6,30.27,MEDIUM,320,320,384,384,64,64, 515,1.00,0.20,0.2986
368,6,8,22.78,MEDIUM,448,320,512,384,64,64, 674,1.00,0.20,0.2031
369,6,9,25.93,MEDIUM,512,320,576,384,64,64,1682,1.00,0.20,0.2813
370,6,10,32.74,MEDIUM,576,320,640,384,64,64,1465,1.00,0.20,0.3786
371,6,11,29.54,MEDIUM,640,320,704,384,64,64,2373,1.00,0.20,0.3498
387,6,27,13.82,MEDIUM,1664,320,1728,384,64,64,1525,1.00,0.20,0.0985
405,6,45,19.78,MEDIUM,2816,320,2880,384,64,64,2445,1.00,0.20,0.1950
411,6,51,13.16,MEDIUM,3200,320,3264,384,64,64,2078,1.00,0.20,0.0946
418,6,58,33.01,MEDIUM,3648,320,3712,384,64,64,1234,1.00,0.20,0.3753
426,6,66,29.74,MEDIUM,4160,320,4224,384,64,64,2433,1.00,0.20,0.3537
436,7,4,19.56,MEDIUM,192,384,256,448,64,64,1352,1.00,0.20,0.1765
437,7,5,23.22,MEDIUM,256,384,320,448,64,64, 379,0.49,0.20,0.1641
443,7,11,34.91,MEDIUM,640,384,704,448,64,64,1918,1.00,0.20,0.4205
450,7,18,40.26,MEDIUM,1088,384,1152,448,64,64,2346,1.00,0.20,0.4993
454,7,22,19.63,MEDIUM,1344,384,1408,448,64,64,  60,1.00,0.20,0.0901
459,7,27,24.98,MEDIUM,1664,384,1728,448,64,64,1576,1.00,0.20,0.2642
490,7,58,14.89,MEDIUM,3648,384,3712,448,64,64,4874,1.00,0.20,0.1324
498,7,66,16.70,MEDIUM,4160,384,4224,448,64,64,5575,1.00,0.20,0.1637
508,8,4,34.50,MEDIUM,192,448,256,512,64,64,1909,1.00,0.20,0.4145
509,8,5,13.06,MEDIUM,256,448,320,512,64,64,  73,0.49,0.20,0.0345
515,8,11,16.50,MEDIUM,640,448,704,512,64,64, 663,0.49,0.20,0.1024
522,8,18,44.46,MEDIUM,1088,448,1152,512,64,64,2496,1.00,0.20,0.5513
523,8,19,54.03,MEDIUM,1152,448,1216,512,64,64, 382,1.00,0.20,0.5594
530,8,26,44.51,MEDIUM,1600,448,1664,512,64,64,1387,1.00,0.20,0.5272
548,8,44,17.16,MEDIUM,2752,448,2816,512,64,64,2131,1.00,0.20,0.1514
