Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 868x2040
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 868x2040
Scaled Tile Size: 64x64
Total Mask: 93.87%, Total Tissue: 6.13%
Tiles: 14x32 = 448
    13 ( 2.90%) tiles >=80% tissue
    26 ( 5.80%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
31,3,3,36.69,MEDIUM,128,128,192,192,64,64,   0,1.00,0.20,0.0000
32,3,4,63.23,MEDIUM,192,128,256,192,64,64,  26,1.00,0.20,0.4212
33,3,5,44.75,MEDIUM,256,128,320,192,64,64,  34,1.00,0.20,0.2925
34,3,6,77.49,MEDIUM,320,128,384,192,64,64,   1,1.00,0.20,0.1316
35,3,7,95.51,HIGH,384,128,448,192,64,64,  62,1.00,1.00,0.7905
45,4,3,79.74,MEDIUM,128,192,192,256,64,64,   2,1.00,0.20,0.1446
46,4,4,74.05,MEDIUM,192,192,256,256,64,64,   8,1.00,0.20,0.3414
47,4,5,35.84,MEDIUM,256,192,320,256,64,64,  33,1.00,0.20,0.2063
48,4,6,69.56,MEDIUM,320,192,384,256,64,64, 222,1.00,0.20,0.6485
49,4,7,96.17,HIGH,384,192,448,256,64,64, 120,1.00,1.00,0.8161
50,4,8,30.62,MEDIUM,448,192,512,256,64,64,   2,1.00,0.20,0.0289
58,5,2,20.14,MEDIUM,64,256,128,320,64,64,   2,1.00,0.20,0.0141
59,5,3,59.74,MEDIUM,128,256,192,320,64,64,   2,1.00,0.20,0.0931
60,5,4,77.59,MEDIUM,192,256,256,320,64,64,   2,1.00,0.20,0.1423
61,5,5,48.02,MEDIUM,256,256,320,320,64,64,   0,1.00,0.20,0.0009
62,5,6,80.49,HIGH,320,256,384,320,64,64,  67,1.00,1.00,0.7321
63,5,7,98.22,HIGH,384,256,448,320,64,64,  28,1.00,1.00,0.7642
64,5,8,25.42,MEDIUM,448,256,512,320,64,64,   1,1.00,0.20,0.0166
77,6,7,52.86,MEDIUM,384,320,448,384,64,64,   1,1.00,0.20,0.0460
375,27,11,28.05,MEDIUM,640,1664,704,1728,64,64,   1,1.00,0.20,0.0141
376,27,12,15.45,MEDIUM,704,1664,768,1728,64,64,   3,1.00,0.20,0.0098
386,28,8,62.99,MEDIUM,448,1728,512,1792,64,64,   1,1.00,0.20,0.0498
387,28,9,63.94,MEDIUM,512,1728,576,1792,64,64,   1,1.00,0.20,0.0777
388,28,10,86.23,HIGH,576,1728,640,1792,64,64,   0,1.00,1.00,0.2026
389,28,11,95.65,HIGH,640,1728,704,1792,64,64,  10,1.00,1.00,0.6880
390,28,12,75.73,MEDIUM,704,1728,768,1792,64,64,   6,1.00,0.20,0.3061
399,29,7,24.68,MEDIUM,384,1792,448,1856,64,64,   0,1.00,0.20,0.0055
400,29,8,91.09,HIGH,448,1792,512,1856,64,64,   0,1.00,1.00,0.1497
401,29,9,86.13,HIGH,512,1792,576,1856,64,64,   2,1.00,1.00,0.4142
402,29,10,92.31,HIGH,576,1792,640,1856,64,64,   7,1.00,1.00,0.6327
403,29,11,97.02,HIGH,640,1792,704,1856,64,64,  12,1.00,1.00,0.7046
404,29,12,96.70,HIGH,704,1792,768,1856,64,64,  24,1.00,1.00,0.7500
413,30,7,37.48,MEDIUM,384,1856,448,1920,64,64,   2,1.00,0.20,0.0431
414,30,8,74.78,MEDIUM,448,1856,512,1920,64,64,   1,1.00,0.20,0.0576
415,30,9,69.75,MEDIUM,512,1856,576,1920,64,64,   1,1.00,0.20,0.0678
416,30,10,45.39,MEDIUM,576,1856,640,1920,64,64,   0,1.00,0.20,0.0034
417,30,11,82.45,HIGH,640,1856,704,1920,64,64,   2,1.00,1.00,0.4581
418,30,12,96.73,HIGH,704,1856,768,1920,64,64,   3,1.00,1.00,0.5518
429,31,9,25.15,MEDIUM,512,1920,576,1984,64,64,   1,1.00,0.20,0.0156
