Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x3136
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2560x3136
Scaled Tile Size: 64x64
Total Mask: 87.13%, Total Tissue: 12.87%
Tiles: 40x49 = 1960
    64 ( 3.27%) tiles >=80% tissue
   407 (20.77%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
53,2,13,35.77,MEDIUM,768,64,832,128,64,64,   2,1.00,0.20,0.0489
54,2,14,38.33,MEDIUM,832,64,896,128,64,64,   5,1.00,0.20,0.0901
93,3,13,70.61,MEDIUM,768,128,832,192,64,64,   0,1.00,0.20,0.0000
94,3,14,86.52,HIGH,832,128,896,192,64,64,  21,1.00,1.00,0.6980
95,3,15,63.70,MEDIUM,896,128,960,192,64,64,   8,1.00,0.20,0.2812
132,4,12,19.75,MEDIUM,704,192,768,256,64,64,   0,1.00,0.20,0.0000
133,4,13,71.02,MEDIUM,768,192,832,256,64,64,   0,1.00,0.20,0.0000
134,4,14,75.51,MEDIUM,832,192,896,256,64,64,   0,1.00,0.20,0.0000
135,4,15,86.16,HIGH,896,192,960,256,64,64,   7,1.00,1.00,0.6051
136,4,16,22.49,MEDIUM,960,192,1024,256,64,64,   9,1.00,0.20,0.0495
172,5,12,44.63,MEDIUM,704,256,768,320,64,64,   6,1.00,0.20,0.1383
173,5,13,59.52,MEDIUM,768,256,832,320,64,64,   0,1.00,0.20,0.0000
174,5,14,68.14,MEDIUM,832,256,896,320,64,64,   0,1.00,0.20,0.0000
175,5,15,75.29,MEDIUM,896,256,960,320,64,64,   0,1.00,0.20,0.0000
176,5,16,76.29,MEDIUM,960,256,1024,320,64,64,  10,1.00,0.20,0.3915
189,5,29,56.74,MEDIUM,1792,256,1856,320,64,64,   3,1.00,0.20,0.1253
207,6,7,17.99,MEDIUM,384,320,448,384,64,64,   0,1.00,0.20,0.0000
208,6,8,33.35,MEDIUM,448,320,512,384,64,64,   0,1.00,0.20,0.0000
210,6,10,24.61,MEDIUM,576,320,640,384,64,64,   0,1.00,0.20,0.0000
211,6,11,23.68,MEDIUM,640,320,704,384,64,64,   0,1.00,0.20,0.0000
212,6,12,31.40,MEDIUM,704,320,768,384,64,64,   0,1.00,0.20,0.0000
213,6,13,55.83,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0536
214,6,14,59.74,MEDIUM,832,320,896,384,64,64,   0,1.00,0.20,0.0000
215,6,15,66.41,MEDIUM,896,320,960,384,64,64,   0,1.00,0.20,0.0000
216,6,16,84.08,HIGH,960,320,1024,384,64,64,   8,1.00,1.00,0.6105
217,6,17,27.39,MEDIUM,1024,320,1088,384,64,64,   7,1.00,0.20,0.0628
228,6,28,48.12,MEDIUM,1728,320,1792,384,64,64,   1,1.00,0.20,0.0292
229,6,29,76.20,MEDIUM,1792,320,1856,384,64,64,   5,1.00,0.20,0.3009
230,6,30,72.68,MEDIUM,1856,320,1920,384,64,64,   3,1.00,0.20,0.2079
231,6,31,17.55,MEDIUM,1920,320,1984,384,64,64,   1,1.00,0.20,0.0043
246,7,6,17.75,MEDIUM,320,384,384,448,64,64,   0,1.00,0.20,0.0000
247,7,7,39.50,MEDIUM,384,384,448,448,64,64,   0,1.00,0.20,0.0000
248,7,8,52.12,MEDIUM,448,384,512,448,64,64,   0,1.00,0.20,0.0239
249,7,9,32.74,MEDIUM,512,384,576,448,64,64,   0,1.00,0.20,0.0000
250,7,10,25.22,MEDIUM,576,384,640,448,64,64,   0,1.00,0.20,0.0000
251,7,11,36.45,MEDIUM,640,384,704,448,64,64,   0,1.00,0.20,0.0000
252,7,12,32.89,MEDIUM,704,384,768,448,64,64,   0,1.00,0.20,0.0000
253,7,13,19.92,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0000
254,7,14,48.22,MEDIUM,832,384,896,448,64,64,   2,1.00,0.20,0.0597
255,7,15,68.92,MEDIUM,896,384,960,448,64,64,   0,1.00,0.20,0.0410
256,7,16,79.93,MEDIUM,960,384,1024,448,64,64,   1,1.00,0.20,0.0714
257,7,17,31.93,MEDIUM,1024,384,1088,448,64,64,   7,1.00,0.20,0.0816
268,7,28,25.17,MEDIUM,1728,384,1792,448,64,64,   0,1.00,0.20,0.0000
269,7,29,68.75,MEDIUM,1792,384,1856,448,64,64,   6,1.00,0.20,0.2783
270,7,30,68.75,MEDIUM,1856,384,1920,448,64,64,  32,1.00,0.20,0.4876
271,7,31,81.76,HIGH,1920,384,1984,448,64,64,   3,1.00,1.00,0.4732
287,8,7,28.39,MEDIUM,384,448,448,512,64,64,   0,1.00,0.20,0.0000
288,8,8,44.80,MEDIUM,448,448,512,512,64,64,   0,1.00,0.20,0.0000
289,8,9,29.27,MEDIUM,512,448,576,512,64,64,   0,1.00,0.20,0.0000
290,8,10,51.44,MEDIUM,576,448,640,512,64,64,   6,1.00,0.20,0.1655
291,8,11,23.32,MEDIUM,640,448,704,512,64,64,   0,1.00,0.20,0.0000
293,8,13,32.50,MEDIUM,768,448,832,512,64,64,   0,1.00,0.20,0.0000
294,8,14,57.42,MEDIUM,832,448,896,512,64,64,  15,1.00,0.20,0.3131
295,8,15,63.45,MEDIUM,896,448,960,512,64,64,   8,1.00,0.20,0.2825
296,8,16,72.31,MEDIUM,960,448,1024,512,64,64,   7,1.00,0.20,0.3092
297,8,17,77.03,MEDIUM,1024,448,1088,512,64,64,  12,1.00,0.20,0.4151
307,8,27,19.04,MEDIUM,1664,448,1728,512,64,64,   0,1.00,0.20,0.0000
308,8,28,26.10,MEDIUM,1728,448,1792,512,64,64,   0,1.00,0.20,0.0000
309,8,29,50.54,MEDIUM,1792,448,1856,512,64,64,   3,1.00,0.20,0.1131
310,8,30,54.54,MEDIUM,1856,448,1920,512,64,64,   0,1.00,0.20,0.0000
311,8,31,74.05,MEDIUM,1920,448,1984,512,64,64,   4,1.00,0.20,0.2389
312,8,32,35.40,MEDIUM,1984,448,2048,512,64,64,   4,1.00,0.20,0.0691
327,9,7,16.72,MEDIUM,384,512,448,576,64,64,   0,1.00,0.20,0.0000
328,9,8,19.12,MEDIUM,448,512,512,576,64,64,   0,1.00,0.20,0.0000
329,9,9,51.78,MEDIUM,512,512,576,576,64,64,   0,1.00,0.20,0.0000
330,9,10,24.34,MEDIUM,576,512,640,576,64,64,   0,1.00,0.20,0.0000
331,9,11,14.04,MEDIUM,640,512,704,576,64,64,   0,0.49,0.20,0.0000
332,9,12,43.77,MEDIUM,704,512,768,576,64,64,  65,1.00,0.20,0.3358
333,9,13,60.23,MEDIUM,768,512,832,576,64,64,  15,1.00,0.20,0.3332
334,9,14,67.07,MEDIUM,832,512,896,576,64,64,   8,1.00,0.20,0.2961
335,9,15,73.56,MEDIUM,896,512,960,576,64,64,  10,1.00,0.20,0.3740
336,9,16,78.98,MEDIUM,960,512,1024,576,64,64,  14,1.00,0.20,0.4522
337,9,17,88.70,HIGH,1024,512,1088,576,64,64,  17,1.00,1.00,0.6926
347,9,27,16.43,MEDIUM,1664,512,1728,576,64,64,  32,1.00,0.20,0.0513
348,9,28,38.84,MEDIUM,1728,512,1792,576,64,64,  33,1.00,0.20,0.2336
349,9,29,50.44,MEDIUM,1792,512,1856,576,64,64,  11,1.00,0.20,0.2250
350,9,30,29.20,MEDIUM,1856,512,1920,576,64,64,   0,1.00,0.20,0.0000
351,9,31,43.29,MEDIUM,1920,512,1984,576,64,64,   0,1.00,0.20,0.0000
352,9,32,75.20,MEDIUM,1984,512,2048,576,64,64,   5,1.00,0.20,0.2735
368,10,8,17.70,MEDIUM,448,576,512,640,64,64,   0,1.00,0.20,0.0000
369,10,9,24.85,MEDIUM,512,576,576,640,64,64,   0,1.00,0.20,0.0000
370,10,10,27.34,MEDIUM,576,576,640,640,64,64,   0,1.00,0.20,0.0000
371,10,11,30.00,MEDIUM,640,576,704,640,64,64,   0,1.00,0.20,0.0080
372,10,12,52.37,MEDIUM,704,576,768,640,64,64,  13,1.00,0.20,0.2570
373,10,13,39.09,MEDIUM,768,576,832,640,64,64,   8,1.00,0.20,0.1256
374,10,14,60.99,MEDIUM,832,576,896,640,64,64,  10,1.00,0.20,0.2905
375,10,15,75.71,MEDIUM,896,576,960,640,64,64,  25,1.00,0.20,0.5074
376,10,16,76.17,MEDIUM,960,576,1024,640,64,64,  36,1.00,0.20,0.5502
377,10,17,67.70,MEDIUM,1024,576,1088,640,64,64,  13,1.00,0.20,0.3656
387,10,27,16.31,MEDIUM,1664,576,1728,640,64,64,   0,1.00,0.20,0.0000
388,10,28,18.70,MEDIUM,1728,576,1792,640,64,64,   0,1.00,0.20,0.0000
389,10,29,29.83,MEDIUM,1792,576,1856,640,64,64,   0,1.00,0.20,0.0035
391,10,31,33.45,MEDIUM,1920,576,1984,640,64,64,  35,1.00,0.20,0.1879
392,10,32,66.99,MEDIUM,1984,576,2048,640,64,64,   2,1.00,0.20,0.1394
393,10,33,47.44,MEDIUM,2048,576,2112,640,64,64,   2,1.00,0.20,0.0713
408,11,8,21.36,MEDIUM,448,640,512,704,64,64,   0,1.00,0.20,0.0000
409,11,9,29.20,MEDIUM,512,640,576,704,64,64,   0,1.00,0.20,0.0000
411,11,11,54.20,MEDIUM,640,640,704,704,64,64,   0,1.00,0.20,0.0000
412,11,12,54.05,MEDIUM,704,640,768,704,64,64,   0,1.00,0.20,0.0000
413,11,13,53.78,MEDIUM,768,640,832,704,64,64,   2,1.00,0.20,0.0976
414,11,14,80.30,HIGH,832,640,896,704,64,64,  38,1.00,1.00,0.7020
415,11,15,76.37,MEDIUM,896,640,960,704,64,64,   1,1.00,0.20,0.0665
416,11,16,76.98,MEDIUM,960,640,1024,704,64,64,  43,1.00,0.20,0.5726
417,11,17,90.33,HIGH,1024,640,1088,704,64,64,  21,1.00,1.00,0.7153
418,11,18,22.34,MEDIUM,1088,640,1152,704,64,64,  14,1.00,0.20,0.0618
424,11,24,24.27,MEDIUM,1472,640,1536,704,64,64,   0,1.00,0.20,0.0000
425,11,25,16.97,MEDIUM,1536,640,1600,704,64,64,   0,1.00,0.20,0.0000
427,11,27,16.14,MEDIUM,1664,640,1728,704,64,64,   0,1.00,0.20,0.0000
428,11,28,44.63,MEDIUM,1728,640,1792,704,64,64,   0,1.00,0.20,0.0000
429,11,29,33.35,MEDIUM,1792,640,1856,704,64,64,   0,1.00,0.20,0.0099
430,11,30,23.95,MEDIUM,1856,640,1920,704,64,64,   4,1.00,0.20,0.0333
431,11,31,41.36,MEDIUM,1920,640,1984,704,64,64,   2,1.00,0.20,0.0503
432,11,32,54.35,MEDIUM,1984,640,2048,704,64,64,   0,1.00,0.20,0.0075
433,11,33,80.57,HIGH,2048,640,2112,704,64,64,   4,1.00,1.00,0.5070
