Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x4448
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x4448
Scaled Tile Size: 64x64
Total Mask: 93.16%, Total Tissue: 6.84%
Tiles: 42x70 = 2940
   113 ( 3.84%) tiles >=80% tissue
   192 ( 6.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
217,6,7,14.82,MEDIUM,384,320,448,384,64,64,   3,1.00,0.20,0.0090
218,6,8,55.57,MEDIUM,448,320,512,384,64,64,   2,1.00,0.20,0.0890
219,6,9,58.96,MEDIUM,512,320,576,384,64,64,   5,1.00,0.20,0.1891
220,6,10,35.64,MEDIUM,576,320,640,384,64,64,   8,1.00,0.20,0.1116
221,6,11,21.22,MEDIUM,640,320,704,384,64,64,  12,1.00,0.20,0.0510
259,7,7,89.62,HIGH,384,384,448,448,64,64,   2,1.00,1.00,0.5007
260,7,8,95.00,HIGH,448,384,512,448,64,64,   1,0.49,1.00,0.3161
261,7,9,82.23,HIGH,512,384,576,448,64,64,   1,1.00,1.00,0.3385
262,7,10,59.50,MEDIUM,576,384,640,448,64,64,   5,1.00,0.20,0.1929
263,7,11,25.81,MEDIUM,640,384,704,448,64,64,   6,1.00,0.20,0.0482
300,8,6,69.09,MEDIUM,320,448,384,512,64,64,   3,1.00,0.20,0.1994
301,8,7,99.27,HIGH,384,448,448,512,64,64,   2,0.49,1.00,0.3549
302,8,8,97.73,HIGH,448,448,512,512,64,64,   1,0.49,1.00,0.2919
303,8,9,75.15,MEDIUM,512,448,576,512,64,64,   1,1.00,0.20,0.0789
304,8,10,17.58,MEDIUM,576,448,640,512,64,64,   0,1.00,0.20,0.0008
341,9,5,62.74,MEDIUM,256,512,320,576,64,64,   3,1.00,0.20,0.1398
342,9,6,99.44,HIGH,320,512,384,576,64,64,   0,0.49,1.00,0.1439
343,9,7,98.71,HIGH,384,512,448,576,64,64,   1,0.49,1.00,0.1831
344,9,8,93.12,HIGH,448,512,512,576,64,64,   2,0.49,1.00,0.3751
345,9,9,64.92,MEDIUM,512,512,576,576,64,64,   1,1.00,0.20,0.0510
347,9,11,20.87,MEDIUM,640,512,704,576,64,64,   0,1.00,0.20,0.0003
383,10,5,91.19,HIGH,256,576,320,640,64,64,   2,1.00,1.00,0.4638
384,10,6,99.51,HIGH,320,576,384,640,64,64,   1,0.49,1.00,0.2444
385,10,7,96.68,HIGH,384,576,448,640,64,64,   1,1.00,1.00,0.4549
386,10,8,84.69,HIGH,448,576,512,640,64,64,   3,1.00,1.00,0.4896
387,10,9,40.41,MEDIUM,512,576,576,640,64,64,   1,1.00,0.20,0.0269
389,10,11,28.96,MEDIUM,640,576,704,640,64,64,   0,1.00,0.20,0.0000
414,10,36,26.51,MEDIUM,2240,576,2304,640,64,64,   7,1.00,0.20,0.0603
415,10,37,16.60,MEDIUM,2304,576,2368,640,64,64,   4,1.00,0.20,0.0161
424,11,4,23.36,MEDIUM,192,640,256,704,64,64,   2,1.00,0.20,0.0156
425,11,5,97.56,HIGH,256,640,320,704,64,64,   1,1.00,1.00,0.3930
426,11,6,98.39,HIGH,320,640,384,704,64,64,   1,0.49,1.00,0.2919
427,11,7,96.19,HIGH,384,640,448,704,64,64,   4,0.49,1.00,0.4959
428,11,8,70.53,MEDIUM,448,640,512,704,64,64,   3,1.00,0.20,0.2025
429,11,9,20.51,MEDIUM,512,640,576,704,64,64,   0,1.00,0.20,0.0000
430,11,10,49.44,MEDIUM,576,640,640,704,64,64,   0,1.00,0.20,0.0000
431,11,11,50.39,MEDIUM,640,640,704,704,64,64,   0,1.00,0.20,0.0000
454,11,34,40.50,MEDIUM,2112,640,2176,704,64,64,   5,1.00,0.20,0.1039
455,11,35,97.00,HIGH,2176,640,2240,704,64,64,   2,1.00,1.00,0.5069
456,11,36,95.46,HIGH,2240,640,2304,704,64,64,   2,0.49,1.00,0.3907
457,11,37,77.27,MEDIUM,2304,640,2368,704,64,64,   5,1.00,0.20,0.2835
