Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x2496
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x2496
Scaled Tile Size: 64x64
Total Mask: 87.85%, Total Tissue: 12.15%
Tiles: 44x39 = 1716
    73 ( 4.25%) tiles >=80% tissue
   286 (16.67%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
249,6,29,20.09,MEDIUM,1792,320,1856,384,64,64,   1,1.00,0.20,0.0090
291,7,27,30.66,MEDIUM,1664,384,1728,448,64,64, 301,1.00,0.20,0.2790
292,7,28,37.40,MEDIUM,1728,384,1792,448,64,64,  10,1.00,0.20,0.1346
293,7,29,90.43,HIGH,1792,384,1856,448,64,64,   2,1.00,1.00,0.4826
294,7,30,82.18,HIGH,1856,384,1920,448,64,64,   2,1.00,1.00,0.4091
295,7,31,26.71,MEDIUM,1920,384,1984,448,64,64,   1,1.00,0.20,0.0086
333,8,25,41.41,MEDIUM,1536,448,1600,512,64,64,  32,1.00,0.20,0.2550
334,8,26,25.98,MEDIUM,1600,448,1664,512,64,64,   2,1.00,0.20,0.0198
335,8,27,56.18,MEDIUM,1664,448,1728,512,64,64,   1,1.00,0.20,0.0338
336,8,28,72.46,MEDIUM,1728,448,1792,512,64,64,   1,1.00,0.20,0.0663
337,8,29,70.75,MEDIUM,1792,448,1856,512,64,64,   0,1.00,0.20,0.0356
338,8,30,84.86,HIGH,1856,448,1920,512,64,64,   3,1.00,1.00,0.5025
339,8,31,91.67,HIGH,1920,448,1984,512,64,64,   2,1.00,1.00,0.5003
371,9,19,25.12,MEDIUM,1152,512,1216,576,64,64,   0,1.00,0.20,0.0000
377,9,25,13.82,MEDIUM,1536,512,1600,576,64,64,  76,1.00,0.20,0.0504
379,9,27,38.45,MEDIUM,1664,512,1728,576,64,64,   0,1.00,0.20,0.0000
380,9,28,68.48,MEDIUM,1728,512,1792,576,64,64,   0,1.00,0.20,0.0067
381,9,29,51.37,MEDIUM,1792,512,1856,576,64,64,   0,1.00,0.20,0.0000
382,9,30,65.09,MEDIUM,1856,512,1920,576,64,64,   0,1.00,0.20,0.0000
383,9,31,89.72,HIGH,1920,512,1984,576,64,64,   4,1.00,1.00,0.5502
384,9,32,68.31,MEDIUM,1984,512,2048,576,64,64,   0,1.00,0.20,0.0366
412,10,16,20.36,MEDIUM,960,576,1024,640,64,64,   1,1.00,0.20,0.0053
413,10,17,56.98,MEDIUM,1024,576,1088,640,64,64,   0,1.00,0.20,0.0014
414,10,18,65.11,MEDIUM,1088,576,1152,640,64,64,   0,1.00,0.20,0.0000
415,10,19,66.92,MEDIUM,1152,576,1216,640,64,64,   0,1.00,0.20,0.0000
416,10,20,77.42,MEDIUM,1216,576,1280,640,64,64,   0,1.00,0.20,0.0436
424,10,28,32.42,MEDIUM,1728,576,1792,640,64,64,   1,1.00,0.20,0.0164
425,10,29,32.18,MEDIUM,1792,576,1856,640,64,64,   0,1.00,0.20,0.0000
426,10,30,52.49,MEDIUM,1856,576,1920,640,64,64,   0,1.00,0.20,0.0000
427,10,31,83.96,HIGH,1920,576,1984,640,64,64,   1,1.00,1.00,0.3193
428,10,32,98.17,HIGH,1984,576,2048,640,64,64,   2,1.00,1.00,0.5013
456,11,16,77.12,MEDIUM,960,640,1024,704,64,64,   4,1.00,0.20,0.2510
457,11,17,78.47,MEDIUM,1024,640,1088,704,64,64,   5,1.00,0.20,0.3065
458,11,18,76.46,MEDIUM,1088,640,1152,704,64,64,   0,1.00,0.20,0.0069
459,11,19,91.80,HIGH,1152,640,1216,704,64,64,   0,1.00,1.00,0.2261
460,11,20,75.51,MEDIUM,1216,640,1280,704,64,64,   1,1.00,0.20,0.0872
461,11,21,35.47,MEDIUM,1280,640,1344,704,64,64,   1,1.00,0.20,0.0299
468,11,28,24.98,MEDIUM,1728,640,1792,704,64,64,   0,1.00,0.20,0.0000
469,11,29,37.40,MEDIUM,1792,640,1856,704,64,64,   0,1.00,0.20,0.0000
470,11,30,58.96,MEDIUM,1856,640,1920,704,64,64,   1,1.00,0.20,0.0405
471,11,31,84.77,HIGH,1920,640,1984,704,64,64,   1,1.00,1.00,0.3946
472,11,32,96.02,HIGH,1984,640,2048,704,64,64,   2,1.00,1.00,0.5141
473,11,33,70.14,MEDIUM,2048,640,2112,704,64,64,   0,1.00,0.20,0.0284
498,12,14,24.63,MEDIUM,832,704,896,768,64,64,   7,1.00,0.20,0.0483
