Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x4096
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x4096
Scaled Tile Size: 64x64
Total Mask: 81.55%, Total Tissue: 18.45%
Tiles: 42x64 = 2688
   128 ( 4.76%) tiles >=80% tissue
   742 (27.60%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
4,1,4,19.04,MEDIUM,192,0,256,64,64,64,   0,1.00,0.20,0.0009
234,6,24,16.72,MEDIUM,1472,320,1536,384,64,64,   0,1.00,0.20,0.0004
274,7,22,48.90,MEDIUM,1344,384,1408,448,64,64,   0,1.00,0.20,0.0021
275,7,23,94.60,HIGH,1408,384,1472,448,64,64,   7,0.49,1.00,0.5784
276,7,24,79.05,MEDIUM,1472,384,1536,448,64,64,   4,1.00,0.20,0.2791
315,8,21,51.49,MEDIUM,1280,448,1344,512,64,64,   0,1.00,0.20,0.0246
316,8,22,77.81,MEDIUM,1344,448,1408,512,64,64,   1,1.00,0.20,0.0721
317,8,23,72.17,MEDIUM,1408,448,1472,512,64,64,   1,1.00,0.20,0.0600
318,8,24,66.26,MEDIUM,1472,448,1536,512,64,64,   2,1.00,0.20,0.1321
357,9,21,63.60,MEDIUM,1280,512,1344,576,64,64,   2,1.00,0.20,0.0980
358,9,22,79.86,MEDIUM,1344,512,1408,576,64,64,   2,1.00,0.20,0.1717
359,9,23,79.03,MEDIUM,1408,512,1472,576,64,64,   0,1.00,0.20,0.0092
360,9,24,73.73,MEDIUM,1472,512,1536,576,64,64,   0,1.00,0.20,0.0000
398,10,20,31.69,MEDIUM,1216,576,1280,640,64,64,   1,1.00,0.20,0.0131
399,10,21,75.17,MEDIUM,1280,576,1344,640,64,64,   1,1.00,0.20,0.1055
400,10,22,38.65,MEDIUM,1344,576,1408,640,64,64,   3,1.00,0.20,0.0681
401,10,23,80.22,HIGH,1408,576,1472,640,64,64,   4,1.00,1.00,0.4949
402,10,24,64.70,MEDIUM,1472,576,1536,640,64,64,   0,1.00,0.20,0.0021
403,10,25,43.73,MEDIUM,1536,576,1600,640,64,64,   0,1.00,0.20,0.0000
407,10,29,85.99,HIGH,1792,576,1856,640,64,64,   0,1.00,1.00,0.1303
408,10,30,65.14,MEDIUM,1856,576,1920,640,64,64,   0,1.00,0.20,0.0000
409,10,31,57.13,MEDIUM,1920,576,1984,640,64,64,   1,1.00,0.20,0.0440
410,10,32,53.83,MEDIUM,1984,576,2048,640,64,64,   4,1.00,0.20,0.1441
411,10,33,54.76,MEDIUM,2048,576,2112,640,64,64,   3,1.00,0.20,0.1362
412,10,34,53.10,MEDIUM,2112,576,2176,640,64,64,   0,1.00,0.20,0.0000
413,10,35,19.31,MEDIUM,2176,576,2240,640,64,64,   0,1.00,0.20,0.0000
440,11,20,67.46,MEDIUM,1216,640,1280,704,64,64,   1,1.00,0.20,0.0468
441,11,21,67.48,MEDIUM,1280,640,1344,704,64,64,   0,1.00,0.20,0.0316
442,11,22,77.91,MEDIUM,1344,640,1408,704,64,64,   4,1.00,0.20,0.2527
443,11,23,66.02,MEDIUM,1408,640,1472,704,64,64,   4,1.00,0.20,0.1979
444,11,24,67.55,MEDIUM,1472,640,1536,704,64,64,   2,1.00,0.20,0.1339
445,11,25,47.02,MEDIUM,1536,640,1600,704,64,64,   0,1.00,0.20,0.0000
448,11,28,32.81,MEDIUM,1728,640,1792,704,64,64,   1,1.00,0.20,0.0132
449,11,29,78.81,MEDIUM,1792,640,1856,704,64,64,   2,1.00,0.20,0.1520
450,11,30,58.25,MEDIUM,1856,640,1920,704,64,64,   3,1.00,0.20,0.1285
451,11,31,18.95,MEDIUM,1920,640,1984,704,64,64,   0,1.00,0.20,0.0000
452,11,32,53.10,MEDIUM,1984,640,2048,704,64,64,   4,1.00,0.20,0.1445
453,11,33,47.24,MEDIUM,2048,640,2112,704,64,64,   8,1.00,0.20,0.1778
455,11,35,18.87,MEDIUM,2176,640,2240,704,64,64,   0,1.00,0.20,0.0004
482,12,20,66.14,MEDIUM,1216,704,1280,768,64,64,   1,1.00,0.20,0.0871
483,12,21,80.47,HIGH,1280,704,1344,768,64,64,   1,1.00,1.00,0.2362
484,12,22,79.15,MEDIUM,1344,704,1408,768,64,64,   0,1.00,0.20,0.0391
485,12,23,73.61,MEDIUM,1408,704,1472,768,64,64,   3,1.00,0.20,0.2099
486,12,24,66.77,MEDIUM,1472,704,1536,768,64,64,   4,1.00,0.20,0.1946
487,12,25,32.03,MEDIUM,1536,704,1600,768,64,64,   0,1.00,0.20,0.0000
490,12,28,59.11,MEDIUM,1728,704,1792,768,64,64,   1,1.00,0.20,0.0512
491,12,29,66.97,MEDIUM,1792,704,1856,768,64,64,   0,1.00,0.20,0.0028
492,12,30,54.57,MEDIUM,1856,704,1920,768,64,64,   0,1.00,0.20,0.0242
