Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 64x64
Total Mask: 95.23%, Total Tissue: 4.77%
Tiles: 102x51 = 5202
   154 ( 2.96%) tiles >=80% tissue
   210 ( 4.04%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1268,13,44,38.09,MEDIUM,2752,768,2816,832,64,64, 131,1.00,0.20,0.3239
1269,13,45,14.28,MEDIUM,2816,768,2880,832,64,64, 248,1.00,0.20,0.0741
1363,14,37,38.45,MEDIUM,2304,832,2368,896,64,64,  88,1.00,0.20,0.3017
1364,14,38,63.60,MEDIUM,2368,832,2432,896,64,64,  45,1.00,0.20,0.4824
1365,14,39,40.89,MEDIUM,2432,832,2496,896,64,64,  24,1.00,0.20,0.2255
1368,14,42,67.50,MEDIUM,2624,832,2688,896,64,64,  28,1.00,0.20,0.4629
1369,14,43,87.30,HIGH,2688,832,2752,896,64,64,  38,1.00,1.00,0.7359
1370,14,44,87.21,HIGH,2752,832,2816,896,64,64,  41,1.00,1.00,0.7396
1371,14,45,86.67,HIGH,2816,832,2880,896,64,64,  54,1.00,1.00,0.7508
1372,14,46,77.51,MEDIUM,2880,832,2944,896,64,64,  93,1.00,0.20,0.6416
1373,14,47,60.82,MEDIUM,2944,832,3008,896,64,64, 181,1.00,0.20,0.5723
1463,15,35,23.56,MEDIUM,2176,896,2240,960,64,64,  63,1.00,0.20,0.1266
1464,15,36,39.40,MEDIUM,2240,896,2304,960,64,64,  17,1.00,0.20,0.1878
1465,15,37,72.07,MEDIUM,2304,896,2368,960,64,64,  29,1.00,0.20,0.4994
1466,15,38,83.18,HIGH,2368,896,2432,960,64,64,  59,1.00,1.00,0.7393
1467,15,39,89.21,HIGH,2432,896,2496,960,64,64,  96,1.00,1.00,0.7843
1468,15,40,61.11,MEDIUM,2496,896,2560,960,64,64,   8,1.00,0.20,0.2601
1469,15,41,45.87,MEDIUM,2560,896,2624,960,64,64,  16,1.00,0.20,0.2293
1470,15,42,86.79,HIGH,2624,896,2688,960,64,64,  19,1.00,1.00,0.6917
1471,15,43,65.89,MEDIUM,2688,896,2752,960,64,64,  25,1.00,0.20,0.4359
1472,15,44,72.27,MEDIUM,2752,896,2816,960,64,64, 217,1.00,0.20,0.6645
1473,15,45,86.11,HIGH,2816,896,2880,960,64,64, 109,1.00,1.00,0.7770
1474,15,46,91.65,HIGH,2880,896,2944,960,64,64,  31,1.00,1.00,0.7451
1475,15,47,90.53,HIGH,2944,896,3008,960,64,64, 266,1.00,1.00,0.8207
1476,15,48,29.83,MEDIUM,3008,896,3072,960,64,64,  93,1.00,0.20,0.2091
1564,16,34,23.41,MEDIUM,2112,960,2176,1024,64,64,  58,1.00,0.20,0.1218
1565,16,35,81.67,HIGH,2176,960,2240,1024,64,64,  92,1.00,1.00,0.7514
1566,16,36,68.07,MEDIUM,2240,960,2304,1024,64,64,  20,1.00,0.20,0.4279
1567,16,37,77.17,MEDIUM,2304,960,2368,1024,64,64,  12,1.00,0.20,0.4180
1568,16,38,76.88,MEDIUM,2368,960,2432,1024,64,64,  65,1.00,0.20,0.6092
1569,16,39,79.35,MEDIUM,2432,960,2496,1024,64,64,  16,1.00,0.20,0.4772
1570,16,40,71.66,MEDIUM,2496,960,2560,1024,64,64, 122,1.00,0.20,0.6241
1571,16,41,82.69,HIGH,2560,960,2624,1024,64,64, 239,1.00,1.00,0.7893
1572,16,42,76.22,MEDIUM,2624,960,2688,1024,64,64,  56,1.00,0.20,0.5923
1573,16,43,78.98,MEDIUM,2688,960,2752,1024,64,64,  34,1.00,0.20,0.5621
1574,16,44,90.55,HIGH,2752,960,2816,1024,64,64, 126,1.00,1.00,0.7990
1575,16,45,88.92,HIGH,2816,960,2880,1024,64,64, 203,1.00,1.00,0.8079
1576,16,46,89.06,HIGH,2880,960,2944,1024,64,64,  30,1.00,1.00,0.7311
1577,16,47,86.62,HIGH,2944,960,3008,1024,64,64, 107,1.00,1.00,0.7785
1578,16,48,48.66,MEDIUM,3008,960,3072,1024,64,64,  71,1.00,0.20,0.3915
1665,17,33,19.70,MEDIUM,2048,1024,2112,1088,64,64, 208,1.00,0.20,0.1271
1666,17,34,81.91,HIGH,2112,1024,2176,1088,64,64,  77,1.00,1.00,0.7450
1667,17,35,80.62,HIGH,2176,1024,2240,1088,64,64,  40,1.00,1.00,0.7067
1668,17,36,67.26,MEDIUM,2240,1024,2304,1088,64,64,  17,1.00,0.20,0.3997
1669,17,37,69.58,MEDIUM,2304,1024,2368,1088,64,64,  62,1.00,0.20,0.5566
1670,17,38,84.03,HIGH,2368,1024,2432,1088,64,64, 216,1.00,1.00,0.7916
1671,17,39,86.62,HIGH,2432,1024,2496,1088,64,64, 375,1.00,1.00,0.8165
1672,17,40,84.30,HIGH,2496,1024,2560,1088,64,64, 156,1.00,1.00,0.7823
1673,17,41,89.11,HIGH,2560,1024,2624,1088,64,64, 336,1.00,1.00,0.8221
1674,17,42,89.84,HIGH,2624,1024,2688,1088,64,64,  28,1.00,1.00,0.7319
