Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 95.39%, Total Tissue: 4.61%
Tiles: 52x150 = 7800
   302 ( 3.87%) tiles >=80% tissue
   129 ( 1.65%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1213,24,17,26.54,MEDIUM,1024,1472,1088,1536,64,64,1115,1.00,0.20,0.2760
1264,25,16,17.29,MEDIUM,960,1536,1024,1600,64,64,  63,1.00,0.20,0.0722
1265,25,17,99.68,HIGH,1024,1536,1088,1600,64,64,  86,1.00,1.00,0.8160
1266,25,18,42.09,MEDIUM,1088,1536,1152,1600,64,64,1548,1.00,0.20,0.5041
1317,26,17,96.07,HIGH,1024,1600,1088,1664,64,64,  82,1.00,1.00,0.8031
1318,26,18,87.11,HIGH,1088,1600,1152,1664,64,64, 361,1.00,1.00,0.8172
1368,27,16,46.53,MEDIUM,960,1664,1024,1728,64,64,   3,1.00,0.20,0.0840
1369,27,17,94.34,HIGH,1024,1664,1088,1728,64,64,  58,1.00,1.00,0.7837
1370,27,18,99.88,HIGH,1088,1664,1152,1728,64,64,1999,1.00,1.00,0.8835
1371,27,19,73.90,MEDIUM,1152,1664,1216,1728,64,64,3187,1.00,0.20,0.7791
1387,27,35,93.24,HIGH,2176,1664,2240,1728,64,64,   8,1.00,1.00,0.6556
1388,27,36,84.99,HIGH,2240,1664,2304,1728,64,64, 342,1.00,1.00,0.8083
1419,28,15,60.11,MEDIUM,896,1728,960,1792,64,64,  38,1.00,0.20,0.4380
1420,28,16,90.41,HIGH,960,1728,1024,1792,64,64,  59,1.00,1.00,0.7699
1421,28,17,98.07,HIGH,1024,1728,1088,1792,64,64,  57,1.00,1.00,0.7963
1422,28,18,99.80,HIGH,1088,1728,1152,1792,64,64,2132,1.00,1.00,0.8842
1423,28,19,97.46,HIGH,1152,1728,1216,1792,64,64,2592,1.00,1.00,0.8819
1436,28,32,18.63,MEDIUM,1984,1728,2048,1792,64,64,   3,1.00,0.20,0.0169
1437,28,33,37.70,MEDIUM,2048,1728,2112,1792,64,64, 278,1.00,0.20,0.3645
1438,28,34,71.31,MEDIUM,2112,1728,2176,1792,64,64,   3,1.00,0.20,0.1995
1439,28,35,94.68,HIGH,2176,1728,2240,1792,64,64,  21,1.00,1.00,0.7362
1440,28,36,99.37,HIGH,2240,1728,2304,1792,64,64,  16,1.00,1.00,0.7371
1441,28,37,75.63,MEDIUM,2304,1728,2368,1792,64,64,1092,1.00,0.20,0.7552
1470,29,14,56.30,MEDIUM,832,1792,896,1856,64,64,   8,1.00,0.20,0.2256
1471,29,15,90.38,HIGH,896,1792,960,1856,64,64,   4,1.00,1.00,0.5661
1472,29,16,91.50,HIGH,960,1792,1024,1856,64,64,   1,1.00,1.00,0.4089
1473,29,17,97.27,HIGH,1024,1792,1088,1856,64,64,  55,1.00,1.00,0.7921
1474,29,18,97.39,HIGH,1088,1792,1152,1856,64,64,1990,1.00,1.00,0.8781
1475,29,19,99.78,HIGH,1152,1792,1216,1856,64,64,2389,1.00,1.00,0.8856
1486,29,30,44.21,MEDIUM,1856,1792,1920,1856,64,64,  25,1.00,0.20,0.2610
1487,29,31,47.68,MEDIUM,1920,1792,1984,1856,64,64,  11,1.00,0.20,0.2123
1488,29,32,82.28,HIGH,1984,1792,2048,1856,64,64, 180,1.00,1.00,0.7786
1489,29,33,89.11,HIGH,2048,1792,2112,1856,64,64,  26,1.00,1.00,0.7241
1490,29,34,91.02,HIGH,2112,1792,2176,1856,64,64,   2,1.00,1.00,0.4838
1491,29,35,96.00,HIGH,2176,1792,2240,1856,64,64,   1,1.00,1.00,0.3875
1492,29,36,98.95,HIGH,2240,1792,2304,1856,64,64, 282,1.00,1.00,0.8468
1493,29,37,99.88,HIGH,2304,1792,2368,1856,64,64,4271,1.00,1.00,0.8929
1494,29,38,52.71,MEDIUM,2368,1792,2432,1856,64,64,3827,1.00,0.20,0.6485
1521,30,13,16.41,MEDIUM,768,1856,832,1920,64,64,   0,1.00,0.20,0.0002
1522,30,14,68.24,MEDIUM,832,1856,896,1920,64,64,  42,1.00,0.20,0.5107
1523,30,15,90.19,HIGH,896,1856,960,1920,64,64, 128,1.00,1.00,0.7981
1524,30,16,94.63,HIGH,960,1856,1024,1920,64,64, 205,1.00,1.00,0.8268
1525,30,17,97.29,HIGH,1024,1856,1088,1920,64,64,   5,1.00,1.00,0.6302
1526,30,18,99.49,HIGH,1088,1856,1152,1920,64,64,1725,1.00,1.00,0.8806
1527,30,19,99.88,HIGH,1152,1856,1216,1920,64,64,1965,1.00,1.00,0.8832
1537,30,29,59.28,MEDIUM,1792,1856,1856,1920,64,64,  56,1.00,0.20,0.4675
1538,30,30,80.35,HIGH,1856,1856,1920,1920,64,64,  44,1.00,1.00,0.7110
1539,30,31,77.66,MEDIUM,1920,1856,1984,1920,64,64,  95,1.00,0.20,0.6437
1540,30,32,92.87,HIGH,1984,1856,2048,1920,64,64,   5,1.00,1.00,0.6075
1541,30,33,94.21,HIGH,2048,1856,2112,1920,64,64, 257,1.00,1.00,0.8313
1542,30,34,95.46,HIGH,2112,1856,2176,1920,64,64,  41,1.00,1.00,0.7736
1543,30,35,97.19,HIGH,2176,1856,2240,1920,64,64,   0,1.00,1.00,0.2592
1544,30,36,99.22,HIGH,2240,1856,2304,1920,64,64, 633,1.00,1.00,0.8640
1545,30,37,99.63,HIGH,2304,1856,2368,1920,64,64,3867,1.00,1.00,0.8913
1546,30,38,57.98,MEDIUM,2368,1856,2432,1920,64,64,1626,1.00,0.20,0.6605
1574,31,14,78.78,MEDIUM,832,1920,896,1984,64,64, 237,1.00,0.20,0.7065
1575,31,15,71.80,MEDIUM,896,1920,960,1984,64,64, 193,1.00,0.20,0.6548
1576,31,16,90.87,HIGH,960,1920,1024,1984,64,64,  60,1.00,1.00,0.7724
1577,31,17,98.41,HIGH,1024,1920,1088,1984,64,64, 167,1.00,1.00,0.8322
1578,31,18,99.66,HIGH,1088,1920,1152,1984,64,64,1330,1.00,1.00,0.8772
1579,31,19,99.71,HIGH,1152,1920,1216,1984,64,64,2079,1.00,1.00,0.8837
1580,31,20,39.99,MEDIUM,1216,1920,1280,1984,64,64,1630,1.00,0.20,0.4808
1589,31,29,88.60,HIGH,1792,1920,1856,1984,64,64,   8,1.00,1.00,0.6314
1590,31,30,82.91,HIGH,1856,1920,1920,1984,64,64,   5,1.00,1.00,0.5596
1591,31,31,89.55,HIGH,1920,1920,1984,1984,64,64,   5,1.00,1.00,0.5865
1592,31,32,91.94,HIGH,1984,1920,2048,1984,64,64,   3,1.00,1.00,0.5453
1593,31,33,92.65,HIGH,2048,1920,2112,1984,64,64, 235,1.00,1.00,0.8243
1594,31,34,94.41,HIGH,2112,1920,2176,1984,64,64, 128,1.00,1.00,0.8126
1595,31,35,98.32,HIGH,2176,1920,2240,1984,64,64, 169,1.00,1.00,0.8324
1596,31,36,99.73,HIGH,2240,1920,2304,1984,64,64, 848,1.00,1.00,0.8703
1597,31,37,99.54,HIGH,2304,1920,2368,1984,64,64,1465,1.00,1.00,0.8784
1598,31,38,66.53,MEDIUM,2368,1920,2432,1984,64,64,1656,1.00,0.20,0.7199
1625,32,13,48.71,MEDIUM,768,1984,832,2048,64,64,   8,1.00,0.20,0.1801
1626,32,14,47.85,MEDIUM,832,1984,896,2048,64,64, 597,1.00,0.20,0.5231
1627,32,15,60.45,MEDIUM,896,1984,960,2048,64,64, 147,1.00,0.20,0.5549
1628,32,16,86.40,HIGH,960,1984,1024,2048,64,64,   5,1.00,1.00,0.5676
1629,32,17,98.75,HIGH,1024,1984,1088,2048,64,64,   4,1.00,1.00,0.6175
1630,32,18,99.83,HIGH,1088,1984,1152,2048,64,64, 921,1.00,1.00,0.8719
1631,32,19,99.85,HIGH,1152,1984,1216,2048,64,64,1160,1.00,1.00,0.8756
1632,32,20,39.50,MEDIUM,1216,1984,1280,2048,64,64, 939,1.00,0.20,0.4499
1641,32,29,86.47,HIGH,1792,1984,1856,2048,64,64,  13,1.00,1.00,0.6620
1642,32,30,34.40,MEDIUM,1856,1984,1920,2048,64,64,  19,1.00,0.20,0.1581
1643,32,31,91.28,HIGH,1920,1984,1984,2048,64,64,   3,1.00,1.00,0.5442
1644,32,32,90.67,HIGH,1984,1984,2048,2048,64,64,   2,1.00,1.00,0.4922
1645,32,33,93.36,HIGH,2048,1984,2112,2048,64,64, 551,1.00,1.00,0.8462
1646,32,34,97.46,HIGH,2112,1984,2176,2048,64,64,  22,1.00,1.00,0.7493
1647,32,35,99.10,HIGH,2176,1984,2240,2048,64,64,  17,1.00,1.00,0.7399
1648,32,36,99.63,HIGH,2240,1984,2304,2048,64,64, 610,1.00,1.00,0.8643
1649,32,37,99.78,HIGH,2304,1984,2368,2048,64,64, 665,1.00,1.00,0.8662
1650,32,38,74.22,MEDIUM,2368,1984,2432,2048,64,64,1077,1.00,0.20,0.7476
1677,33,13,72.61,MEDIUM,768,2048,832,2112,64,64,  46,1.00,0.20,0.5499
1678,33,14,92.16,HIGH,832,2048,896,2112,64,64,   5,1.00,1.00,0.5989
1679,33,15,94.53,HIGH,896,2048,960,2112,64,64,   1,1.00,1.00,0.3058
1680,33,16,95.73,HIGH,960,2048,1024,2112,64,64,   2,1.00,1.00,0.5271
1681,33,17,97.78,HIGH,1024,2048,1088,2112,64,64,  45,1.00,1.00,0.7858
1682,33,18,98.68,HIGH,1088,2048,1152,2112,64,64,1752,1.00,1.00,0.8791
1683,33,19,98.75,HIGH,1152,2048,1216,2112,64,64,1619,1.00,1.00,0.8782
1684,33,20,32.69,MEDIUM,1216,2048,1280,2112,64,64,1230,1.00,0.20,0.3706
1693,33,29,71.53,MEDIUM,1792,2048,1856,2112,64,64,  11,1.00,0.20,0.3717
1694,33,30,81.18,HIGH,1856,2048,1920,2112,64,64, 107,1.00,1.00,0.7551
1695,33,31,75.85,MEDIUM,1920,2048,1984,2112,64,64, 117,1.00,0.20,0.6478
1696,33,32,89.11,HIGH,1984,2048,2048,2112,64,64,  16,1.00,1.00,0.6930
1697,33,33,88.87,HIGH,2048,2048,2112,2112,64,64,   4,1.00,1.00,0.5660
1698,33,34,96.85,HIGH,2112,2048,2176,2112,64,64,  64,1.00,1.00,0.7963
1699,33,35,98.46,HIGH,2176,2048,2240,2112,64,64,  19,1.00,1.00,0.7433
