Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2944x3968
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2944x3968
Scaled Tile Size: 64x64
Total Mask: 88.62%, Total Tissue: 11.38%
Tiles: 46x62 = 2852
   149 ( 5.22%) tiles >=80% tissue
   386 (13.53%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
347,8,25,26.37,MEDIUM,1536,448,1600,512,64,64,   0,1.00,0.20,0.0000
348,8,26,22.63,MEDIUM,1600,448,1664,512,64,64,   0,1.00,0.20,0.0000
394,9,26,15.06,MEDIUM,1600,512,1664,576,64,64,   0,1.00,0.20,0.0000
395,9,27,41.65,MEDIUM,1664,512,1728,576,64,64,   0,1.00,0.20,0.0000
396,9,28,27.22,MEDIUM,1728,512,1792,576,64,64,   0,1.00,0.20,0.0000
398,9,30,17.38,MEDIUM,1856,512,1920,576,64,64,   0,1.00,0.20,0.0000
399,9,31,26.68,MEDIUM,1920,512,1984,576,64,64,   0,1.00,0.20,0.0000
405,9,37,59.42,MEDIUM,2304,512,2368,576,64,64,   5,1.00,0.20,0.1888
439,10,25,44.68,MEDIUM,1536,576,1600,640,64,64,   0,1.00,0.20,0.0000
440,10,26,20.97,MEDIUM,1600,576,1664,640,64,64,   0,1.00,0.20,0.0000
445,10,31,18.85,MEDIUM,1920,576,1984,640,64,64,   0,1.00,0.20,0.0000
451,10,37,44.09,MEDIUM,2304,576,2368,640,64,64,  12,1.00,0.20,0.1954
452,10,38,23.41,MEDIUM,2368,576,2432,640,64,64,   3,1.00,0.20,0.0241
485,11,25,22.88,MEDIUM,1536,640,1600,704,64,64,   0,1.00,0.20,0.0000
488,11,28,27.56,MEDIUM,1728,640,1792,704,64,64,   0,1.00,0.20,0.0000
489,11,29,39.33,MEDIUM,1792,640,1856,704,64,64,   0,1.00,0.20,0.0000
491,11,31,14.62,MEDIUM,1920,640,1984,704,64,64,   0,1.00,0.20,0.0000
495,11,35,17.72,MEDIUM,2176,640,2240,704,64,64,   0,1.00,0.20,0.0000
497,11,37,48.68,MEDIUM,2304,640,2368,704,64,64,  14,1.00,0.20,0.2390
520,12,14,34.08,MEDIUM,832,704,896,768,64,64,   2,1.00,0.20,0.0391
521,12,15,25.44,MEDIUM,896,704,960,768,64,64,   0,1.00,0.20,0.0017
532,12,26,23.17,MEDIUM,1600,704,1664,768,64,64,   9,1.00,0.20,0.0536
541,12,35,13.96,MEDIUM,2176,704,2240,768,64,64,   0,1.00,0.20,0.0000
542,12,36,14.26,MEDIUM,2240,704,2304,768,64,64,   2,1.00,0.20,0.0077
543,12,37,64.79,MEDIUM,2304,704,2368,768,64,64,   8,1.00,0.20,0.2815
566,13,14,18.92,MEDIUM,832,768,896,832,64,64,   0,1.00,0.20,0.0000
568,13,16,36.35,MEDIUM,960,768,1024,832,64,64,   1,1.00,0.20,0.0246
569,13,17,21.75,MEDIUM,1024,768,1088,832,64,64,   0,1.00,0.20,0.0000
576,13,24,13.67,MEDIUM,1472,768,1536,832,64,64,   0,1.00,0.20,0.0000
577,13,25,33.62,MEDIUM,1536,768,1600,832,64,64,   0,1.00,0.20,0.0000
578,13,26,16.33,MEDIUM,1600,768,1664,832,64,64,   0,1.00,0.20,0.0000
579,13,27,25.78,MEDIUM,1664,768,1728,832,64,64,  12,1.00,0.20,0.0750
580,13,28,15.48,MEDIUM,1728,768,1792,832,64,64,   0,1.00,0.20,0.0000
588,13,36,28.93,MEDIUM,2240,768,2304,832,64,64,   4,1.00,0.20,0.0483
589,13,37,70.14,MEDIUM,2304,768,2368,832,64,64,   7,1.00,0.20,0.2919
613,14,15,57.06,MEDIUM,896,832,960,896,64,64,   1,1.00,0.20,0.0556
614,14,16,15.60,MEDIUM,960,832,1024,896,64,64,   0,1.00,0.20,0.0000
616,14,18,19.24,MEDIUM,1088,832,1152,896,64,64,   0,1.00,0.20,0.0000
617,14,19,24.85,MEDIUM,1152,832,1216,896,64,64,   0,1.00,0.20,0.0000
618,14,20,24.19,MEDIUM,1216,832,1280,896,64,64,   0,1.00,0.20,0.0000
622,14,24,38.62,MEDIUM,1472,832,1536,896,64,64,   2,1.00,0.20,0.0453
623,14,25,25.20,MEDIUM,1536,832,1600,896,64,64,   0,1.00,0.20,0.0000
624,14,26,15.60,MEDIUM,1600,832,1664,896,64,64,   0,1.00,0.20,0.0000
625,14,27,13.53,MEDIUM,1664,832,1728,896,64,64,   0,1.00,0.20,0.0000
627,14,29,16.09,MEDIUM,1792,832,1856,896,64,64,   0,1.00,0.20,0.0000
634,14,36,43.09,MEDIUM,2240,832,2304,896,64,64,  66,1.00,0.20,0.3296
635,14,37,47.41,MEDIUM,2304,832,2368,896,64,64,  88,1.00,0.20,0.3961
660,15,16,65.01,MEDIUM,960,896,1024,960,64,64,   0,1.00,0.20,0.0319
661,15,17,47.27,MEDIUM,1024,896,1088,960,64,64,   0,1.00,0.20,0.0023
668,15,24,26.51,MEDIUM,1472,896,1536,960,64,64,   0,1.00,0.20,0.0000
669,15,25,30.96,MEDIUM,1536,896,1600,960,64,64,   0,1.00,0.20,0.0000
670,15,26,34.40,MEDIUM,1600,896,1664,960,64,64,   0,1.00,0.20,0.0000
671,15,27,29.91,MEDIUM,1664,896,1728,960,64,64,  35,1.00,0.20,0.1569
672,15,28,29.27,MEDIUM,1728,896,1792,960,64,64,   0,1.00,0.20,0.0000
679,15,35,17.97,MEDIUM,2176,896,2240,960,64,64,   0,1.00,0.20,0.0000
680,15,36,48.22,MEDIUM,2240,896,2304,960,64,64,   7,1.00,0.20,0.1720
681,15,37,33.54,MEDIUM,2304,896,2368,960,64,64,  13,1.00,0.20,0.1259
707,16,17,26.07,MEDIUM,1024,960,1088,1024,64,64,   0,1.00,0.20,0.0000
708,16,18,52.47,MEDIUM,1088,960,1152,1024,64,64,   0,1.00,0.20,0.0190
709,16,19,27.51,MEDIUM,1152,960,1216,1024,64,64,   0,1.00,0.20,0.0019
714,16,24,44.95,MEDIUM,1472,960,1536,1024,64,64,   0,1.00,0.20,0.0000
715,16,25,55.86,MEDIUM,1536,960,1600,1024,64,64,   0,1.00,0.20,0.0000
716,16,26,52.91,MEDIUM,1600,960,1664,1024,64,64,   0,1.00,0.20,0.0000
717,16,27,50.20,MEDIUM,1664,960,1728,1024,64,64,   4,1.00,0.20,0.1186
723,16,33,21.39,MEDIUM,2048,960,2112,1024,64,64,   0,1.00,0.20,0.0000
725,16,35,37.18,MEDIUM,2176,960,2240,1024,64,64,   0,1.00,0.20,0.0123
726,16,36,78.88,MEDIUM,2240,960,2304,1024,64,64,  13,1.00,0.20,0.4462
760,17,24,50.00,MEDIUM,1472,1024,1536,1088,64,64,   0,1.00,0.20,0.0000
761,17,25,57.23,MEDIUM,1536,1024,1600,1088,64,64,   0,1.00,0.20,0.0000
762,17,26,59.06,MEDIUM,1600,1024,1664,1088,64,64,   0,1.00,0.20,0.0000
763,17,27,20.80,MEDIUM,1664,1024,1728,1088,64,64,   0,1.00,0.20,0.0000
770,17,34,30.59,MEDIUM,2112,1024,2176,1088,64,64,   0,1.00,0.20,0.0000
771,17,35,67.36,MEDIUM,2176,1024,2240,1088,64,64,  38,1.00,0.20,0.4938
772,17,36,82.98,HIGH,2240,1024,2304,1088,64,64,   8,1.00,1.00,0.6067
806,18,24,59.64,MEDIUM,1472,1088,1536,1152,64,64,   0,1.00,0.20,0.0000
807,18,25,57.62,MEDIUM,1536,1088,1600,1152,64,64,   0,1.00,0.20,0.0000
808,18,26,68.26,MEDIUM,1600,1088,1664,1152,64,64,   0,1.00,0.20,0.0000
809,18,27,50.32,MEDIUM,1664,1088,1728,1152,64,64,   0,1.00,0.20,0.0000
810,18,28,30.05,MEDIUM,1728,1088,1792,1152,64,64,   0,1.00,0.20,0.0000
811,18,29,19.43,MEDIUM,1792,1088,1856,1152,64,64,   0,1.00,0.20,0.0000
812,18,30,16.19,MEDIUM,1856,1088,1920,1152,64,64,   0,1.00,0.20,0.0000
815,18,33,46.07,MEDIUM,2048,1088,2112,1152,64,64,   0,1.00,0.20,0.0000
816,18,34,68.70,MEDIUM,2112,1088,2176,1152,64,64,   0,1.00,0.20,0.0000
