Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3600x1152
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3600x1152
Scaled Tile Size: 64x64
Total Mask: 90.89%, Total Tissue: 9.11%
Tiles: 57x18 = 1026
    46 ( 4.48%) tiles >=80% tissue
    94 ( 9.16%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
121,3,7,51.95,MEDIUM,384,128,448,192,64,64,  24,1.00,0.20,0.3224
177,4,6,80.05,HIGH,320,192,384,256,64,64,  32,1.00,1.00,0.6919
178,4,7,81.40,HIGH,384,192,448,256,64,64,   3,1.00,1.00,0.4711
187,4,16,17.60,MEDIUM,960,192,1024,256,64,64,  28,1.00,0.20,0.0550
188,4,17,19.21,MEDIUM,1024,192,1088,256,64,64,   4,1.00,0.20,0.0224
233,5,5,72.88,MEDIUM,256,256,320,320,64,64,  20,1.00,0.20,0.4609
234,5,6,80.93,HIGH,320,256,384,320,64,64,   3,1.00,1.00,0.4687
235,5,7,69.14,MEDIUM,384,256,448,320,64,64,   1,1.00,0.20,0.1101
236,5,8,27.25,MEDIUM,448,256,512,320,64,64,   2,1.00,0.20,0.0215
243,5,15,21.26,MEDIUM,896,256,960,320,64,64,  73,1.00,0.20,0.1107
244,5,16,88.75,HIGH,960,256,1024,320,64,64,   7,1.00,1.00,0.6248
245,5,17,65.41,MEDIUM,1024,256,1088,320,64,64,   1,1.00,0.20,0.0762
289,6,4,43.55,MEDIUM,192,320,256,384,64,64,   6,1.00,0.20,0.1323
290,6,5,98.93,HIGH,256,320,320,384,64,64,  10,1.00,1.00,0.6978
291,6,6,71.12,MEDIUM,320,320,384,384,64,64,   1,1.00,0.20,0.0857
292,6,7,68.12,MEDIUM,384,320,448,384,64,64,   6,1.00,0.20,0.2754
293,6,8,41.48,MEDIUM,448,320,512,384,64,64,   2,1.00,0.20,0.0466
300,6,15,76.03,MEDIUM,896,320,960,384,64,64,   8,1.00,0.20,0.3550
301,6,16,78.83,MEDIUM,960,320,1024,384,64,64,   3,1.00,0.20,0.2328
302,6,17,64.67,MEDIUM,1024,320,1088,384,64,64,   1,1.00,0.20,0.0978
346,7,4,73.68,MEDIUM,192,384,256,448,64,64,   4,1.00,0.20,0.2491
347,7,5,95.07,HIGH,256,384,320,448,64,64,  25,1.00,1.00,0.7467
348,7,6,83.13,HIGH,320,384,384,448,64,64,   8,1.00,1.00,0.6044
349,7,7,81.47,HIGH,384,384,448,448,64,64,   4,1.00,1.00,0.5212
350,7,8,31.23,MEDIUM,448,384,512,448,64,64,   2,1.00,0.20,0.0272
356,7,14,23.36,MEDIUM,832,384,896,448,64,64,   9,1.00,0.20,0.0525
357,7,15,97.05,HIGH,896,384,960,448,64,64,  40,1.00,1.00,0.7782
358,7,16,79.27,MEDIUM,960,384,1024,448,64,64,   2,1.00,0.20,0.1965
359,7,17,60.82,MEDIUM,1024,384,1088,448,64,64,   2,1.00,0.20,0.1078
383,7,41,24.54,MEDIUM,2560,384,2624,448,64,64,  51,1.00,0.20,0.1269
384,7,42,26.07,MEDIUM,2624,384,2688,448,64,64,  13,1.00,0.20,0.0788
393,7,51,63.62,MEDIUM,3200,384,3264,448,64,64,  17,1.00,0.20,0.3771
394,7,52,22.66,MEDIUM,3264,384,3328,448,64,64,   4,1.00,0.20,0.0287
