Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 95.33%, Total Tissue: 4.67%
Tiles: 52x150 = 7800
   304 ( 3.90%) tiles >=80% tissue
   145 ( 1.86%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1225,24,29,21.92,MEDIUM,1792,1472,1856,1536,64,64,1280,1.00,0.20,0.2105
1226,24,30,20.58,MEDIUM,1856,1472,1920,1536,64,64,1684,1.00,0.20,0.1978
1227,24,31,36.57,MEDIUM,1920,1472,1984,1536,64,64,1743,1.00,0.20,0.4393
1228,24,32,51.17,MEDIUM,1984,1472,2048,1536,64,64,1445,1.00,0.20,0.5975
1229,24,33,32.52,MEDIUM,2048,1472,2112,1536,64,64,1878,1.00,0.20,0.3855
1230,24,34,29.49,MEDIUM,2112,1472,2176,1536,64,64,1977,1.00,0.20,0.3423
1231,24,35,30.88,MEDIUM,2176,1472,2240,1536,64,64,1578,1.00,0.20,0.3545
1275,25,27,43.48,MEDIUM,1664,1536,1728,1600,64,64,2195,1.00,0.20,0.5351
1276,25,28,81.52,HIGH,1728,1536,1792,1600,64,64,1952,1.00,1.00,0.8343
1277,25,29,96.29,HIGH,1792,1536,1856,1600,64,64,2418,1.00,1.00,0.8784
1278,25,30,93.58,HIGH,1856,1536,1920,1600,64,64,3555,1.00,1.00,0.8775
1279,25,31,91.85,HIGH,1920,1536,1984,1600,64,64,2870,1.00,1.00,0.8704
1280,25,32,94.34,HIGH,1984,1536,2048,1600,64,64,2556,1.00,1.00,0.8747
1281,25,33,97.56,HIGH,2048,1536,2112,1600,64,64,2235,1.00,1.00,0.8801
1282,25,34,95.68,HIGH,2112,1536,2176,1600,64,64,1335,1.00,1.00,0.8682
1283,25,35,95.24,HIGH,2176,1536,2240,1600,64,64,2226,1.00,1.00,0.8749
1284,25,36,41.70,MEDIUM,2240,1536,2304,1600,64,64,2445,1.00,0.20,0.5186
1285,25,37,83.06,HIGH,2304,1536,2368,1600,64,64,1782,1.00,1.00,0.8378
1286,25,38,71.48,MEDIUM,2368,1536,2432,1600,64,64,1772,1.00,0.20,0.7501
1287,25,39,57.25,MEDIUM,2432,1536,2496,1600,64,64,1419,1.00,0.20,0.6494
1288,25,40,39.38,MEDIUM,2496,1536,2560,1600,64,64,1003,1.00,0.20,0.4514
1321,26,21,24.34,MEDIUM,1280,1600,1344,1664,64,64,1309,1.00,0.20,0.2482
1322,26,22,42.02,MEDIUM,1344,1600,1408,1664,64,64,1173,1.00,0.20,0.4909
1323,26,23,36.30,MEDIUM,1408,1600,1472,1664,64,64,1583,1.00,0.20,0.4316
1324,26,24,22.31,MEDIUM,1472,1600,1536,1664,64,64,1902,1.00,0.20,0.2284
1325,26,25,69.17,MEDIUM,1536,1600,1600,1664,64,64,2174,1.00,0.20,0.7441
1326,26,26,89.58,HIGH,1600,1600,1664,1664,64,64,1799,1.00,1.00,0.8574
1327,26,27,96.75,HIGH,1664,1600,1728,1664,64,64,2331,1.00,1.00,0.8789
1328,26,28,95.21,HIGH,1728,1600,1792,1664,64,64,3049,1.00,1.00,0.8791
1329,26,29,98.00,HIGH,1792,1600,1856,1664,64,64,3986,1.00,1.00,0.8884
1330,26,30,97.88,HIGH,1856,1600,1920,1664,64,64,4768,1.00,1.00,0.8903
1331,26,31,97.27,HIGH,1920,1600,1984,1664,64,64,3408,1.00,1.00,0.8850
1332,26,32,99.02,HIGH,1984,1600,2048,1664,64,64,3031,1.00,1.00,0.8871
1333,26,33,99.22,HIGH,2048,1600,2112,1664,64,64,3954,1.00,1.00,0.8908
1334,26,34,99.15,HIGH,2112,1600,2176,1664,64,64,2101,1.00,1.00,0.8826
1335,26,35,99.39,HIGH,2176,1600,2240,1664,64,64,5265,1.00,1.00,0.8943
1336,26,36,92.33,HIGH,2240,1600,2304,1664,64,64,2500,1.00,1.00,0.8696
1337,26,37,98.61,HIGH,2304,1600,2368,1664,64,64,2016,1.00,1.00,0.8809
1338,26,38,99.07,HIGH,2368,1600,2432,1664,64,64,2201,1.00,1.00,0.8831
1339,26,39,99.37,HIGH,2432,1600,2496,1664,64,64,2359,1.00,1.00,0.8846
1340,26,40,98.97,HIGH,2496,1600,2560,1664,64,64,1891,1.00,1.00,0.8808
1341,26,41,94.02,HIGH,2560,1600,2624,1664,64,64,1099,1.00,1.00,0.8609
1342,26,42,54.69,MEDIUM,2624,1600,2688,1664,64,64,1155,1.00,0.20,0.6196
1371,27,19,49.95,MEDIUM,1152,1664,1216,1728,64,64, 509,1.00,0.20,0.5361
1372,27,20,88.96,HIGH,1216,1664,1280,1728,64,64, 262,1.00,1.00,0.8152
1373,27,21,99.80,HIGH,1280,1664,1344,1728,64,64, 131,1.00,1.00,0.8294
1374,27,22,99.66,HIGH,1344,1664,1408,1728,64,64, 124,1.00,1.00,0.8274
1375,27,23,99.73,HIGH,1408,1664,1472,1728,64,64, 190,1.00,1.00,0.8393
1376,27,24,99.83,HIGH,1472,1664,1536,1728,64,64, 386,1.00,1.00,0.8559
1377,27,25,99.63,HIGH,1536,1664,1600,1728,64,64, 550,1.00,1.00,0.8624
1378,27,26,99.27,HIGH,1600,1664,1664,1728,64,64, 845,1.00,1.00,0.8691
1379,27,27,99.22,HIGH,1664,1664,1728,1728,64,64,1544,1.00,1.00,0.8785
