Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x2976
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x2976
Scaled Tile Size: 64x64
Total Mask: 80.75%, Total Tissue: 19.25%
Tiles: 44x47 = 2068
   279 (13.49%) tiles >=80% tissue
   261 (12.62%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
104,3,16,94.63,HIGH,960,128,1024,192,64,64,   2,1.00,1.00,0.4847
105,3,17,62.26,MEDIUM,1024,128,1088,192,64,64,   3,1.00,0.20,0.1611
106,3,18,17.07,MEDIUM,1088,128,1152,192,64,64,   0,1.00,0.20,0.0000
114,3,26,56.15,MEDIUM,1600,128,1664,192,64,64,   0,1.00,0.20,0.0024
115,3,27,48.14,MEDIUM,1664,128,1728,192,64,64,   4,1.00,0.20,0.1255
116,3,28,21.12,MEDIUM,1728,128,1792,192,64,64,   0,1.00,0.20,0.0000
120,3,32,24.83,MEDIUM,1984,128,2048,192,64,64,   0,1.00,0.20,0.0000
148,4,16,98.49,HIGH,960,192,1024,256,64,64,   3,1.00,1.00,0.5922
149,4,17,95.07,HIGH,1024,192,1088,256,64,64,   5,1.00,1.00,0.6207
150,4,18,85.28,HIGH,1088,192,1152,256,64,64,   5,1.00,1.00,0.5601
151,4,19,44.19,MEDIUM,1152,192,1216,256,64,64,   0,1.00,0.20,0.0000
157,4,25,67.90,MEDIUM,1536,192,1600,256,64,64,   3,1.00,0.20,0.1950
158,4,26,92.24,HIGH,1600,192,1664,256,64,64,   5,1.00,1.00,0.5921
159,4,27,71.22,MEDIUM,1664,192,1728,256,64,64,   0,1.00,0.20,0.0129
160,4,28,55.15,MEDIUM,1728,192,1792,256,64,64,   5,1.00,0.20,0.1820
161,4,29,24.44,MEDIUM,1792,192,1856,256,64,64,   0,1.00,0.20,0.0053
192,5,16,94.09,HIGH,960,256,1024,320,64,64,   2,1.00,1.00,0.4937
193,5,17,97.31,HIGH,1024,256,1088,320,64,64,   2,1.00,1.00,0.4989
194,5,18,93.51,HIGH,1088,256,1152,320,64,64,   4,1.00,1.00,0.5752
195,5,19,67.82,MEDIUM,1152,256,1216,320,64,64,   3,1.00,0.20,0.1779
196,5,20,22.24,MEDIUM,1216,256,1280,320,64,64,   0,1.00,0.20,0.0000
201,5,25,83.52,HIGH,1536,256,1600,320,64,64,   7,1.00,1.00,0.5918
202,5,26,94.43,HIGH,1600,256,1664,320,64,64,   3,1.00,1.00,0.5722
203,5,27,85.64,HIGH,1664,256,1728,320,64,64,   6,1.00,1.00,0.5844
204,5,28,81.15,HIGH,1728,256,1792,320,64,64,   0,1.00,1.00,0.0751
205,5,29,63.89,MEDIUM,1792,256,1856,320,64,64,   7,1.00,0.20,0.2685
236,6,16,53.93,MEDIUM,960,320,1024,384,64,64,   1,1.00,0.20,0.0625
237,6,17,98.61,HIGH,1024,320,1088,384,64,64,   3,1.00,1.00,0.5755
238,6,18,97.68,HIGH,1088,320,1152,384,64,64,   6,1.00,1.00,0.6421
239,6,19,76.17,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0420
241,6,21,28.34,MEDIUM,1280,320,1344,384,64,64,   0,1.00,0.20,0.0000
245,6,25,42.99,MEDIUM,1536,320,1600,384,64,64,   6,1.00,0.20,0.1318
246,6,26,94.09,HIGH,1600,320,1664,384,64,64,   2,1.00,1.00,0.5105
247,6,27,82.69,HIGH,1664,320,1728,384,64,64,   2,1.00,1.00,0.4534
248,6,28,79.61,MEDIUM,1728,320,1792,384,64,64,   5,1.00,0.20,0.2898
249,6,29,73.41,MEDIUM,1792,320,1856,384,64,64,   1,1.00,0.20,0.0818
250,6,30,31.98,MEDIUM,1856,320,1920,384,64,64,   0,1.00,0.20,0.0000
278,7,14,56.71,MEDIUM,832,384,896,448,64,64,   7,1.00,0.20,0.2193
279,7,15,96.31,HIGH,896,384,960,448,64,64,   5,1.00,1.00,0.6327
280,7,16,46.29,MEDIUM,960,384,1024,448,64,64,   3,1.00,0.20,0.0874
281,7,17,96.19,HIGH,1024,384,1088,448,64,64,   2,1.00,1.00,0.4823
282,7,18,98.36,HIGH,1088,384,1152,448,64,64,   2,0.49,1.00,0.3874
283,7,19,88.33,HIGH,1152,384,1216,448,64,64,   2,1.00,1.00,0.4793
284,7,20,74.63,MEDIUM,1216,384,1280,448,64,64,   2,1.00,0.20,0.1428
285,7,21,68.99,MEDIUM,1280,384,1344,448,64,64,   0,1.00,0.20,0.0000
289,7,25,27.32,MEDIUM,1536,384,1600,448,64,64,  42,1.00,0.20,0.1438
290,7,26,93.21,HIGH,1600,384,1664,448,64,64,   5,1.00,1.00,0.6001
291,7,27,92.43,HIGH,1664,384,1728,448,64,64,   2,1.00,1.00,0.4591
292,7,28,88.11,HIGH,1728,384,1792,448,64,64,  11,1.00,1.00,0.6605
293,7,29,75.27,MEDIUM,1792,384,1856,448,64,64,  32,1.00,0.20,0.5306
294,7,30,54.91,MEDIUM,1856,384,1920,448,64,64,   0,1.00,0.20,0.0000
295,7,31,20.56,MEDIUM,1920,384,1984,448,64,64,   0,1.00,0.20,0.0000
316,8,8,37.28,MEDIUM,448,448,512,512,64,64,   2,1.00,0.20,0.0443
317,8,9,85.33,HIGH,512,448,576,512,64,64,   3,1.00,1.00,0.5140
318,8,10,41.80,MEDIUM,576,448,640,512,64,64,   3,1.00,0.20,0.0743
322,8,14,84.74,HIGH,832,448,896,512,64,64,   1,1.00,1.00,0.3759
323,8,15,98.80,HIGH,896,448,960,512,64,64,   5,1.00,1.00,0.6291
324,8,16,92.97,HIGH,960,448,1024,512,64,64,   5,1.00,1.00,0.6109
325,8,17,51.64,MEDIUM,1024,448,1088,512,64,64,   3,1.00,0.20,0.1043
326,8,18,97.58,HIGH,1088,448,1152,512,64,64,   1,1.00,1.00,0.3854
327,8,19,96.85,HIGH,1152,448,1216,512,64,64,   4,1.00,1.00,0.5980
328,8,20,97.49,HIGH,1216,448,1280,512,64,64,   0,1.00,1.00,0.0000
329,8,21,59.72,MEDIUM,1280,448,1344,512,64,64,   0,1.00,0.20,0.0325
333,8,25,22.24,MEDIUM,1536,448,1600,512,64,64,   0,1.00,0.20,0.0000
334,8,26,50.17,MEDIUM,1600,448,1664,512,64,64,   3,1.00,0.20,0.1153
335,8,27,98.32,HIGH,1664,448,1728,512,64,64,   3,1.00,1.00,0.5899
336,8,28,89.89,HIGH,1728,448,1792,512,64,64,   4,1.00,1.00,0.5579
