Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1408x1280
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1408x1280
Scaled Tile Size: 64x64
Total Mask: 82.56%, Total Tissue: 17.44%
Tiles: 22x20 = 440
    49 (11.14%) tiles >=80% tissue
    69 (15.68%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
29,2,7,15.67,MEDIUM,384,64,448,128,64,64,   0,1.00,0.20,0.0002
48,3,4,26.81,MEDIUM,192,128,256,192,64,64,   0,1.00,0.20,0.0013
52,3,8,33.54,MEDIUM,448,128,512,192,64,64,   5,1.00,0.20,0.0679
70,4,4,30.83,MEDIUM,192,192,256,256,64,64,   5,1.00,0.20,0.0594
74,4,8,77.29,MEDIUM,448,192,512,256,64,64, 296,1.00,0.20,0.7100
75,4,9,23.90,MEDIUM,512,192,576,256,64,64, 175,1.00,0.20,0.1700
79,4,13,21.58,MEDIUM,768,192,832,256,64,64,   0,1.00,0.20,0.0000
91,5,3,66.55,MEDIUM,128,256,192,320,64,64,  75,1.00,0.20,0.5516
92,5,4,20.68,MEDIUM,192,256,256,320,64,64, 116,0.49,0.20,0.0970
96,5,8,94.38,HIGH,448,256,512,320,64,64,1149,0.49,1.00,0.8495
97,5,9,88.28,HIGH,512,256,576,320,64,64, 406,1.00,1.00,0.8240
101,5,13,61.38,MEDIUM,768,256,832,320,64,64, 378,1.00,0.20,0.6205
113,6,3,89.84,HIGH,128,320,192,384,64,64, 264,1.00,1.00,0.8183
117,6,7,24.61,MEDIUM,384,320,448,384,64,64, 720,0.49,0.20,0.2055
118,6,8,97.07,HIGH,448,320,512,384,64,64,2155,0.49,1.00,0.8677
119,6,9,97.95,HIGH,512,320,576,384,64,64,1859,0.49,1.00,0.8674
120,6,10,44.04,MEDIUM,576,320,640,384,64,64, 488,1.00,0.20,0.4711
122,6,12,14.36,MEDIUM,704,320,768,384,64,64,1242,0.49,0.20,0.0902
123,6,13,96.97,HIGH,768,320,832,384,64,64,1470,0.49,1.00,0.8609
124,6,14,28.61,MEDIUM,832,320,896,384,64,64, 167,1.00,0.20,0.2245
128,6,18,37.87,MEDIUM,1088,320,1152,384,64,64,   3,1.00,0.20,0.0637
134,7,2,20.24,MEDIUM,64,384,128,448,64,64,   4,1.00,0.20,0.0251
135,7,3,87.65,HIGH,128,384,192,448,64,64, 283,1.00,1.00,0.8127
139,7,7,27.20,MEDIUM,384,384,448,448,64,64, 122,1.00,0.20,0.1931
140,7,8,98.27,HIGH,448,384,512,448,64,64, 726,0.49,1.00,0.8502
141,7,9,99.05,HIGH,512,384,576,448,64,64,1610,0.49,1.00,0.8675
142,7,10,71.53,MEDIUM,576,384,640,448,64,64, 474,1.00,0.20,0.7001
144,7,12,30.71,MEDIUM,704,384,768,448,64,64,2953,0.49,0.20,0.3485
145,7,13,97.24,HIGH,768,384,832,448,64,64,1231,0.49,1.00,0.8583
146,7,14,40.14,MEDIUM,832,384,896,448,64,64, 354,1.00,0.20,0.4078
149,7,17,50.61,MEDIUM,1024,384,1088,448,64,64, 602,1.00,0.20,0.5514
150,7,18,87.45,HIGH,1088,384,1152,448,64,64, 440,1.00,1.00,0.8232
156,8,2,42.63,MEDIUM,64,448,128,512,64,64,  62,1.00,0.20,0.3205
157,8,3,66.92,MEDIUM,128,448,192,512,64,64, 504,1.00,0.20,0.6743
161,8,7,34.84,MEDIUM,384,448,448,512,64,64,  37,1.00,0.20,0.2049
162,8,8,98.93,HIGH,448,448,512,512,64,64, 182,0.49,1.00,0.8151
163,8,9,98.83,HIGH,512,448,576,512,64,64,1003,0.49,1.00,0.8583
164,8,10,75.85,MEDIUM,576,448,640,512,64,64, 196,1.00,0.20,0.6801
166,8,12,23.12,MEDIUM,704,448,768,512,64,64,2358,0.49,0.20,0.2255
167,8,13,98.22,HIGH,768,448,832,512,64,64,1620,0.49,1.00,0.8656
168,8,14,53.81,MEDIUM,832,448,896,512,64,64, 311,1.00,0.20,0.5456
171,8,17,66.02,MEDIUM,1024,448,1088,512,64,64,1855,0.49,0.20,0.6942
172,8,18,95.90,HIGH,1088,448,1152,512,64,64,1235,0.49,1.00,0.8549
173,8,19,38.84,MEDIUM,1152,448,1216,512,64,64, 232,1.00,0.20,0.3680
178,9,2,91.11,HIGH,64,512,128,576,64,64, 259,1.00,1.00,0.8219
179,9,3,47.90,MEDIUM,128,512,192,576,64,64, 420,1.00,0.20,0.5048
183,9,7,37.23,MEDIUM,384,512,448,576,64,64,  65,1.00,0.20,0.2678
184,9,8,99.27,HIGH,448,512,512,576,64,64,  91,0.49,1.00,0.7899
185,9,9,98.85,HIGH,512,512,576,576,64,64, 830,0.49,1.00,0.8545
186,9,10,60.38,MEDIUM,576,512,640,576,64,64, 503,1.00,0.20,0.6275
188,9,12,22.83,MEDIUM,704,512,768,576,64,64,2038,0.49,0.20,0.2165
189,9,13,98.19,HIGH,768,512,832,576,64,64,1540,0.49,1.00,0.8647
190,9,14,49.32,MEDIUM,832,512,896,576,64,64, 337,1.00,0.20,0.5068
193,9,17,85.89,HIGH,1024,512,1088,576,64,64,2479,0.49,1.00,0.8397
194,9,18,98.29,HIGH,1088,512,1152,576,64,64, 753,1.00,1.00,0.8649
195,9,19,60.25,MEDIUM,1152,512,1216,576,64,64, 165,1.00,0.20,0.5614
200,10,2,93.29,HIGH,64,576,128,640,64,64, 254,1.00,1.00,0.8282
201,10,3,25.10,MEDIUM,128,576,192,640,64,64, 292,1.00,0.20,0.2046
205,10,7,46.39,MEDIUM,384,576,448,640,64,64, 622,1.00,0.20,0.5097
206,10,8,98.51,HIGH,448,576,512,640,64,64,1195,0.49,1.00,0.8608
207,10,9,98.75,HIGH,512,576,576,640,64,64,1039,0.49,1.00,0.8588
208,10,10,48.90,MEDIUM,576,576,640,640,64,64, 192,1.00,0.20,0.4678
210,10,12,19.48,MEDIUM,704,576,768,640,64,64,1149,0.49,0.20,0.1523
211,10,13,96.34,HIGH,768,576,832,640,64,64,1132,0.49,1.00,0.8543
212,10,14,50.93,MEDIUM,832,576,896,640,64,64, 217,1.00,0.20,0.4961
215,10,17,64.21,MEDIUM,1024,576,1088,640,64,64,1259,1.00,0.20,0.6952
216,10,18,97.36,HIGH,1088,576,1152,640,64,64, 913,0.49,1.00,0.8527
217,10,19,71.26,MEDIUM,1152,576,1216,640,64,64, 277,1.00,0.20,0.6719
222,11,2,53.10,MEDIUM,64,640,128,704,64,64,  24,1.00,0.20,0.3308
227,11,7,49.29,MEDIUM,384,640,448,704,64,64, 142,1.00,0.20,0.4512
228,11,8,98.46,HIGH,448,640,512,704,64,64,1141,0.49,1.00,0.8598
229,11,9,99.54,HIGH,512,640,576,704,64,64,1219,0.49,1.00,0.8637
230,11,10,31.23,MEDIUM,576,640,640,704,64,64,  58,1.00,0.20,0.1980
232,11,12,47.85,MEDIUM,704,640,768,704,64,64,1906,1.00,0.20,0.5765
233,11,13,98.00,HIGH,768,640,832,704,64,64,1071,0.49,1.00,0.8575
234,11,14,41.94,MEDIUM,832,640,896,704,64,64, 193,1.00,0.20,0.3928
237,11,17,84.67,HIGH,1024,640,1088,704,64,64, 646,0.49,1.00,0.8051
238,11,18,95.48,HIGH,1088,640,1152,704,64,64,1086,0.49,1.00,0.8513
239,11,19,72.27,MEDIUM,1152,640,1216,704,64,64, 266,1.00,0.20,0.6759
244,12,2,31.98,MEDIUM,64,704,128,768,64,64,   0,1.00,0.20,0.0016
249,12,7,55.62,MEDIUM,384,704,448,768,64,64, 681,1.00,0.20,0.6035
250,12,8,97.90,HIGH,448,704,512,768,64,64, 859,0.49,1.00,0.8528
251,12,9,90.41,HIGH,512,704,576,768,64,64, 371,1.00,1.00,0.8287
254,12,12,52.66,MEDIUM,704,704,768,768,64,64,2520,1.00,0.20,0.6332
255,12,13,98.61,HIGH,768,704,832,768,64,64, 625,0.49,1.00,0.8478
