Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5552x12704
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5552x12704
Scaled Tile Size: 64x64
Total Mask: 96.12%, Total Tissue: 3.88%
Tiles: 87x199 = 17313
   413 ( 2.39%) tiles >=80% tissue
   642 ( 3.71%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
3357,39,51,26.17,MEDIUM,3200,2432,3264,2496,64,64,  65,1.00,0.20,0.1530
3358,39,52,26.27,MEDIUM,3264,2432,3328,2496,64,64,  73,1.00,0.20,0.1595
3359,39,53,22.66,MEDIUM,3328,2432,3392,2496,64,64, 201,1.00,0.20,0.1604
3360,39,54,14.14,MEDIUM,3392,2432,3456,2496,64,64, 342,1.00,0.20,0.0781
3444,40,51,13.33,MEDIUM,3200,2496,3264,2560,64,64, 289,1.00,0.20,0.0675
3445,40,52,40.97,MEDIUM,3264,2496,3328,2560,64,64, 192,1.00,0.20,0.3812
3448,40,55,22.95,MEDIUM,3456,2496,3520,2560,64,64, 418,1.00,0.20,0.1895
3531,41,51,38.16,MEDIUM,3200,2560,3264,2624,64,64, 789,1.00,0.20,0.4246
3532,41,52,75.95,MEDIUM,3264,2560,3328,2624,64,64,1779,1.00,0.20,0.7722
3536,41,56,22.34,MEDIUM,3520,2560,3584,2624,64,64, 296,1.00,0.20,0.1698
3537,41,57,30.42,MEDIUM,3584,2560,3648,2624,64,64, 963,1.00,0.20,0.3276
3619,42,52,25.83,MEDIUM,3264,2624,3328,2688,64,64,2194,1.00,0.20,0.2888
3625,42,58,24.27,MEDIUM,3648,2624,3712,2688,64,64,1978,1.00,0.20,0.2605
3626,42,59,14.28,MEDIUM,3712,2624,3776,2688,64,64,1475,1.00,0.20,0.1040
3705,43,51,18.04,MEDIUM,3200,2688,3264,2752,64,64, 200,1.00,0.20,0.1078
3713,43,59,12.87,MEDIUM,3712,2688,3776,2752,64,64,1161,1.00,0.20,0.0828
3714,43,60,49.85,MEDIUM,3776,2688,3840,2752,64,64,1248,1.00,0.20,0.5786
3792,44,51,23.12,MEDIUM,3200,2752,3264,2816,64,64,   1,1.00,0.20,0.0080
3793,44,52,32.20,MEDIUM,3264,2752,3328,2816,64,64,   2,1.00,0.20,0.0290
3794,44,53,41.48,MEDIUM,3328,2752,3392,2816,64,64,  82,1.00,0.20,0.3294
3802,44,61,34.86,MEDIUM,3840,2752,3904,2816,64,64, 567,1.00,0.20,0.3655
3876,45,48,19.80,MEDIUM,3008,2816,3072,2880,64,64,   4,1.00,0.20,0.0218
3877,45,49,23.44,MEDIUM,3072,2816,3136,2880,64,64,   2,1.00,0.20,0.0145
3881,45,53,37.57,MEDIUM,3328,2816,3392,2880,64,64,1611,1.00,0.20,0.4493
3889,45,61,59.35,MEDIUM,3840,2816,3904,2880,64,64,1661,1.00,0.20,0.6717
3890,45,62,67.68,MEDIUM,3904,2816,3968,2880,64,64,1432,1.00,0.20,0.7216
3891,45,63,78.44,MEDIUM,3968,2816,4032,2880,64,64,1152,1.00,0.20,0.7701
3892,45,64,88.55,HIGH,4032,2816,4096,2880,64,64,1229,1.00,1.00,0.8480
3893,45,65,83.28,HIGH,4096,2816,4160,2880,64,64, 959,1.00,1.00,0.8265
3894,45,66,56.86,MEDIUM,4160,2816,4224,2880,64,64, 290,1.00,0.20,0.5686
3964,46,49,20.53,MEDIUM,3072,2880,3136,2944,64,64,   1,1.00,0.20,0.0080
3965,46,50,27.51,MEDIUM,3136,2880,3200,2944,64,64,   1,1.00,0.20,0.0090
3966,46,51,13.01,MEDIUM,3200,2880,3264,2944,64,64,   2,1.00,0.20,0.0053
3976,46,61,16.26,MEDIUM,3840,2880,3904,2944,64,64,1483,1.00,0.20,0.1309
3977,46,62,70.61,MEDIUM,3904,2880,3968,2944,64,64,4717,1.00,0.20,0.7735
3978,46,63,75.05,MEDIUM,3968,2880,4032,2944,64,64,2608,1.00,0.20,0.7790
3979,46,64,81.18,HIGH,4032,2880,4096,2944,64,64,1154,1.00,1.00,0.8229
3980,46,65,89.40,HIGH,4096,2880,4160,2944,64,64, 684,1.00,1.00,0.8392
3981,46,66,93.80,HIGH,4160,2880,4224,2944,64,64, 348,1.00,1.00,0.8374
3982,46,67,76.10,MEDIUM,4224,2880,4288,2944,64,64, 315,1.00,0.20,0.7066
4050,47,48,14.43,MEDIUM,3008,2944,3072,3008,64,64,   2,1.00,0.20,0.0065
4064,47,62,36.18,MEDIUM,3904,2944,3968,3008,64,64,6807,1.00,0.20,0.4858
4065,47,63,72.88,MEDIUM,3968,2944,4032,3008,64,64,3388,1.00,0.20,0.7759
4066,47,64,91.80,HIGH,4032,2944,4096,3008,64,64,1151,1.00,1.00,0.8559
4067,47,65,97.00,HIGH,4096,2944,4160,3008,64,64, 437,0.49,1.00,0.8348
4068,47,66,93.65,HIGH,4160,2944,4224,3008,64,64, 628,1.00,1.00,0.8497
4069,47,67,93.63,HIGH,4224,2944,4288,3008,64,64, 449,1.00,1.00,0.8427
4070,47,68,54.13,MEDIUM,4288,2944,4352,3008,64,64, 191,1.00,0.20,0.5180
4138,48,49,23.68,MEDIUM,3072,3008,3136,3072,64,64,   4,1.00,0.20,0.0316
4152,48,63,48.07,MEDIUM,3968,3008,4032,3072,64,64, 925,1.00,0.20,0.5470
4153,48,64,99.22,HIGH,4032,3008,4096,3072,64,64, 926,0.49,1.00,0.8576
4154,48,65,91.16,HIGH,4096,3008,4160,3072,64,64,1235,1.00,1.00,0.8554
4155,48,66,83.35,HIGH,4160,3008,4224,3072,64,64, 550,1.00,1.00,0.8143
4156,48,67,77.17,MEDIUM,4224,3008,4288,3072,64,64, 667,1.00,0.20,0.7448
4157,48,68,79.32,MEDIUM,4288,3008,4352,3072,64,64, 308,1.00,0.20,0.7224
4158,48,69,50.37,MEDIUM,4352,3008,4416,3072,64,64, 485,1.00,0.20,0.5377
4232,49,56,15.45,MEDIUM,3520,3072,3584,3136,64,64,   2,1.00,0.20,0.0093
4239,49,63,39.97,MEDIUM,3968,3072,4032,3136,64,64, 139,1.00,0.20,0.3493
4240,49,64,63.21,MEDIUM,4032,3072,4096,3136,64,64, 792,1.00,0.20,0.6696
4241,49,65,74.56,MEDIUM,4096,3072,4160,3136,64,64, 684,1.00,0.20,0.7325
4242,49,66,80.59,HIGH,4160,3072,4224,3136,64,64, 181,1.00,1.00,0.7717
4243,49,67,85.21,HIGH,4224,3072,4288,3136,64,64, 454,1.00,1.00,0.8163
4244,49,68,94.31,HIGH,4288,3072,4352,3136,64,64,1027,1.00,1.00,0.8605
4245,49,69,75.54,MEDIUM,4352,3072,4416,3136,64,64, 562,1.00,0.20,0.7297
4246,49,70,14.40,MEDIUM,4416,3072,4480,3136,64,64, 246,1.00,0.20,0.0752
4314,50,51,13.99,MEDIUM,3200,3136,3264,3200,64,64,   1,1.00,0.20,0.0026
4328,50,65,54.03,MEDIUM,4096,3136,4160,3200,64,64,2088,1.00,0.20,0.6380
4329,50,66,81.64,HIGH,4160,3136,4224,3200,64,64, 494,1.00,1.00,0.8053
4330,50,67,88.31,HIGH,4224,3136,4288,3200,64,64, 549,1.00,1.00,0.8311
4331,50,68,86.72,HIGH,4288,3136,4352,3200,64,64, 833,1.00,1.00,0.8349
4332,50,69,77.54,MEDIUM,4352,3136,4416,3200,64,64, 481,1.00,0.20,0.7335
4333,50,70,56.76,MEDIUM,4416,3136,4480,3200,64,64, 135,1.00,0.20,0.5178
4381,51,31,12.84,MEDIUM,1920,3200,1984,3264,64,64,  42,1.00,0.20,0.0358
4382,51,32,21.85,MEDIUM,1984,3200,2048,3264,64,64,  50,1.00,0.20,0.1026
4383,51,33,28.83,MEDIUM,2048,3200,2112,3264,64,64, 164,1.00,0.20,0.2263
4401,51,51,16.85,MEDIUM,3200,3200,3264,3264,64,64,   6,1.00,0.20,0.0230
4415,51,65,28.20,MEDIUM,4096,3200,4160,3264,64,64,2411,1.00,0.20,0.3295
4416,51,66,85.08,HIGH,4160,3200,4224,3264,64,64, 897,1.00,1.00,0.8312
4417,51,67,87.72,HIGH,4224,3200,4288,3264,64,64, 189,1.00,1.00,0.8015
4418,51,68,80.40,HIGH,4288,3200,4352,3264,64,64, 562,1.00,1.00,0.8037
4419,51,69,72.12,MEDIUM,4352,3200,4416,3264,64,64, 645,1.00,0.20,0.7168
4420,51,70,80.30,HIGH,4416,3200,4480,3264,64,64, 291,1.00,1.00,0.7854
4421,51,71,31.98,MEDIUM,4480,3200,4544,3264,64,64,  38,1.00,0.20,0.1804
4471,52,34,25.73,MEDIUM,2112,3264,2176,3328,64,64, 349,1.00,0.20,0.2200
4472,52,35,16.11,MEDIUM,2176,3264,2240,3328,64,64, 830,1.00,0.20,0.1173
4503,52,66,64.18,MEDIUM,4160,3264,4224,3328,64,64, 372,1.00,0.20,0.6404
4504,52,67,84.35,HIGH,4224,3264,4288,3328,64,64, 718,1.00,1.00,0.8240
4505,52,68,82.42,HIGH,4288,3264,4352,3328,64,64, 684,1.00,1.00,0.8160
4506,52,69,95.85,HIGH,4352,3264,4416,3328,64,64, 582,1.00,1.00,0.8540
4507,52,70,85.16,HIGH,4416,3264,4480,3328,64,64, 755,1.00,1.00,0.8278
4508,52,71,42.24,MEDIUM,4480,3264,4544,3328,64,64, 200,1.00,0.20,0.3985
4509,52,72,14.14,MEDIUM,4544,3264,4608,3328,64,64,  40,1.00,0.20,0.0422
4559,53,35,18.82,MEDIUM,2176,3328,2240,3392,64,64, 765,1.00,0.20,0.1514
4560,53,36,33.42,MEDIUM,2240,3328,2304,3392,64,64, 207,1.00,0.20,0.2951
4561,53,37,47.19,MEDIUM,2304,3328,2368,3392,64,64,  72,1.00,0.20,0.3790
4562,53,38,30.37,MEDIUM,2368,3328,2432,3392,64,64,  72,1.00,0.20,0.2011
4563,53,39,18.19,MEDIUM,2432,3328,2496,3392,64,64,  50,1.00,0.20,0.0735
4588,53,64,17.94,MEDIUM,4032,3328,4096,3392,64,64, 417,1.00,0.20,0.1250
4590,53,66,36.74,MEDIUM,4160,3328,4224,3392,64,64,1019,1.00,0.20,0.4181
4591,53,67,83.45,HIGH,4224,3328,4288,3392,64,64, 417,1.00,1.00,0.8078
4592,53,68,94.07,HIGH,4288,3328,4352,3392,64,64, 987,1.00,1.00,0.8592
4593,53,69,97.61,HIGH,4352,3328,4416,3392,64,64,1053,1.00,1.00,0.8690
4594,53,70,82.81,HIGH,4416,3328,4480,3392,64,64, 848,1.00,1.00,0.8222
4595,53,71,86.43,HIGH,4480,3328,4544,3392,64,64, 658,1.00,1.00,0.8290
4596,53,72,55.76,MEDIUM,4544,3328,4608,3392,64,64,  89,1.00,0.20,0.4770
4650,54,39,18.33,MEDIUM,2432,3392,2496,3456,64,64,  19,1.00,0.20,0.0503
4651,54,40,24.80,MEDIUM,2496,3392,2560,3456,64,64,  99,1.00,0.20,0.1574
4668,54,57,15.99,MEDIUM,3584,3392,3648,3456,64,64,   2,1.00,0.20,0.0078
4669,54,58,16.50,MEDIUM,3648,3392,3712,3456,64,64,   3,1.00,0.20,0.0125
4677,54,66,16.02,MEDIUM,4160,3392,4224,3456,64,64,  75,1.00,0.20,0.0665
4678,54,67,73.88,MEDIUM,4224,3392,4288,3456,64,64, 972,1.00,0.20,0.7422
4679,54,68,91.11,HIGH,4288,3392,4352,3456,64,64,6217,1.00,1.00,0.8788
4680,54,69,95.68,HIGH,4352,3392,4416,3456,64,64, 901,1.00,1.00,0.8617
4681,54,70,77.91,MEDIUM,4416,3392,4480,3456,64,64, 576,1.00,0.20,0.7427
4682,54,71,84.55,HIGH,4480,3392,4544,3456,64,64, 924,1.00,1.00,0.8300
4683,54,72,48.90,MEDIUM,4544,3392,4608,3456,64,64, 306,1.00,0.20,0.4969
4730,55,32,13.09,MEDIUM,1984,3456,2048,3520,64,64,   1,1.00,0.20,0.0017
4738,55,40,45.00,MEDIUM,2496,3456,2560,3520,64,64,  52,1.00,0.20,0.3302
4739,55,41,13.84,MEDIUM,2560,3456,2624,3520,64,64, 354,1.00,0.20,0.0757
4765,55,67,30.86,MEDIUM,4224,3456,4288,3520,64,64, 544,1.00,0.20,0.3092
4766,55,68,74.93,MEDIUM,4288,3456,4352,3520,64,64,4708,1.00,0.20,0.7936
4767,55,69,92.99,HIGH,4352,3456,4416,3520,64,64,1467,1.00,1.00,0.8631
4768,55,70,84.72,HIGH,4416,3456,4480,3520,64,64, 442,1.00,1.00,0.8139
4769,55,71,81.81,HIGH,4480,3456,4544,3520,64,64, 824,1.00,1.00,0.8180
4770,55,72,56.96,MEDIUM,4544,3456,4608,3520,64,64, 278,1.00,0.20,0.5670
4825,56,40,30.62,MEDIUM,2496,3520,2560,3584,64,64, 154,1.00,0.20,0.2449
4826,56,41,73.97,MEDIUM,2560,3520,2624,3584,64,64, 145,1.00,0.20,0.6503
4827,56,42,66.09,MEDIUM,2624,3520,2688,3584,64,64, 408,1.00,0.20,0.6585
4828,56,43,15.09,MEDIUM,2688,3520,2752,3584,64,64, 470,1.00,0.20,0.0939
4853,56,68,69.70,MEDIUM,4288,3520,4352,3584,64,64,2280,1.00,0.20,0.7485
4854,56,69,86.94,HIGH,4352,3520,4416,3584,64,64, 712,1.00,1.00,0.8324
4855,56,70,86.99,HIGH,4416,3520,4480,3584,64,64, 492,1.00,1.00,0.8243
4856,56,71,72.02,MEDIUM,4480,3520,4544,3584,64,64, 298,1.00,0.20,0.6804
4857,56,72,77.66,MEDIUM,4544,3520,4608,3584,64,64,  77,1.00,0.20,0.6275
4913,57,41,21.58,MEDIUM,2560,3584,2624,3648,64,64,1651,1.00,0.20,0.2128
4914,57,42,65.31,MEDIUM,2624,3584,2688,3648,64,64,1088,1.00,0.20,0.6968
