Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5086x2221
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5086x2221
Scaled Tile Size: 64x64
Total Mask: 98.25%, Total Tissue: 1.75%
Tiles: 80x35 = 2800
    10 ( 0.36%) tiles >=80% tissue
    99 ( 3.54%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
327,5,7,27.61,MEDIUM,384,256,448,320,64,64,  98,1.00,0.20,0.1875
328,5,8,58.52,MEDIUM,448,256,512,320,64,64, 224,1.00,0.20,0.5669
329,5,9,66.85,MEDIUM,512,256,576,320,64,64, 420,1.00,0.20,0.6650
330,5,10,72.53,MEDIUM,576,256,640,320,64,64, 295,1.00,0.20,0.6830
331,5,11,62.60,MEDIUM,640,256,704,320,64,64, 395,1.00,0.20,0.6320
332,5,12,19.41,MEDIUM,704,256,768,320,64,64, 109,1.00,0.20,0.1053
333,5,13,16.53,MEDIUM,768,256,832,320,64,64, 200,1.00,0.20,0.0921
353,5,33,17.75,MEDIUM,2048,256,2112,320,64,64,  24,1.00,0.20,0.0526
354,5,34,26.98,MEDIUM,2112,256,2176,320,64,64,  77,1.00,0.20,0.1690
355,5,35,33.45,MEDIUM,2176,256,2240,320,64,64, 132,1.00,0.20,0.2701
356,5,36,20.12,MEDIUM,2240,256,2304,320,64,64, 103,1.00,0.20,0.1106
385,5,65,14.67,MEDIUM,4096,256,4160,320,64,64, 143,1.00,0.20,0.0680
386,5,66,42.63,MEDIUM,4160,256,4224,320,64,64, 159,1.00,0.20,0.3881
387,5,67,57.59,MEDIUM,4224,256,4288,320,64,64, 188,1.00,0.20,0.5479
388,5,68,47.63,MEDIUM,4288,256,4352,320,64,64, 121,1.00,0.20,0.4229
389,5,69,24.00,MEDIUM,4352,256,4416,320,64,64, 113,1.00,0.20,0.1541
390,5,70,22.36,MEDIUM,4416,256,4480,320,64,64,  67,1.00,0.20,0.1175
406,6,6,17.11,MEDIUM,320,320,384,384,64,64,  99,1.00,0.20,0.0816
407,6,7,46.85,MEDIUM,384,320,448,384,64,64, 466,1.00,0.20,0.4995
408,6,8,43.14,MEDIUM,448,320,512,384,64,64, 932,1.00,0.20,0.4934
409,6,9,42.43,MEDIUM,512,320,576,384,64,64,2124,1.00,0.20,0.5215
410,6,10,29.69,MEDIUM,576,320,640,384,64,64,2172,1.00,0.20,0.3488
411,6,11,24.07,MEDIUM,640,320,704,384,64,64,1922,1.00,0.20,0.2565
414,6,14,22.02,MEDIUM,832,320,896,384,64,64, 218,1.00,0.20,0.1556
432,6,32,74.24,MEDIUM,1984,320,2048,384,64,64, 255,1.00,0.20,0.6853
433,6,33,81.25,HIGH,2048,320,2112,384,64,64, 573,1.00,1.00,0.8075
434,6,34,79.88,MEDIUM,2112,320,2176,384,64,64, 717,1.00,0.20,0.7604
435,6,35,59.91,MEDIUM,2176,320,2240,384,64,64, 763,1.00,0.20,0.6437
436,6,36,24.56,MEDIUM,2240,320,2304,384,64,64, 531,1.00,0.20,0.2200
438,6,38,20.39,MEDIUM,2368,320,2432,384,64,64,  50,1.00,0.20,0.0906
439,6,39,20.21,MEDIUM,2432,320,2496,384,64,64,  97,1.00,0.20,0.1097
465,6,65,85.38,HIGH,4096,320,4160,384,64,64, 417,1.00,1.00,0.8148
466,6,66,74.24,MEDIUM,4160,320,4224,384,64,64, 686,1.00,0.20,0.7310
467,6,67,54.54,MEDIUM,4224,320,4288,384,64,64, 547,1.00,0.20,0.5832
468,6,68,12.77,MEDIUM,4288,320,4352,384,64,64, 404,0.49,0.20,0.0569
470,6,70,32.13,MEDIUM,4416,320,4480,384,64,64, 185,1.00,0.20,0.2730
471,6,71,21.29,MEDIUM,4480,320,4544,384,64,64,  92,1.00,0.20,0.1183
472,6,72,14.50,MEDIUM,4544,320,4608,384,64,64,  64,1.00,0.20,0.0524
485,7,5,16.77,MEDIUM,256,384,320,448,64,64,  65,1.00,0.20,0.0693
