Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1612x2264
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1612x2264
Scaled Tile Size: 64x64
Total Mask: 76.15%, Total Tissue: 23.85%
Tiles: 26x36 = 936
    94 (10.04%) tiles >=80% tissue
   238 (25.43%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
39,2,13,22.44,MEDIUM,768,64,832,128,64,64,   0,1.00,0.20,0.0021
40,2,14,29.44,MEDIUM,832,64,896,128,64,64,   0,1.00,0.20,0.0010
41,2,15,23.93,MEDIUM,896,64,960,128,64,64,   0,1.00,0.20,0.0014
63,3,11,50.85,MEDIUM,640,128,704,192,64,64,   1,1.00,0.20,0.0300
64,3,12,91.02,HIGH,704,128,768,192,64,64,   2,1.00,1.00,0.4800
65,3,13,97.02,HIGH,768,128,832,192,64,64,   4,1.00,1.00,0.5870
66,3,14,86.60,HIGH,832,128,896,192,64,64,   3,1.00,1.00,0.5292
67,3,15,83.01,HIGH,896,128,960,192,64,64,   1,1.00,1.00,0.3148
68,3,16,55.79,MEDIUM,960,128,1024,192,64,64,   3,1.00,0.20,0.1348
69,3,17,77.61,MEDIUM,1024,128,1088,192,64,64,   3,1.00,0.20,0.1974
70,3,18,37.79,MEDIUM,1088,128,1152,192,64,64,   1,1.00,0.20,0.0244
87,4,9,27.44,MEDIUM,512,192,576,256,64,64,   1,1.00,0.20,0.0141
88,4,10,49.22,MEDIUM,576,192,640,256,64,64,   1,1.00,0.20,0.0469
90,4,12,39.43,MEDIUM,704,192,768,256,64,64,   4,1.00,0.20,0.0787
91,4,13,58.33,MEDIUM,768,192,832,256,64,64,   3,1.00,0.20,0.1460
92,4,14,52.12,MEDIUM,832,192,896,256,64,64,   5,1.00,0.20,0.1540
93,4,15,98.95,HIGH,896,192,960,256,64,64,   5,1.00,1.00,0.6309
94,4,16,82.98,HIGH,960,192,1024,256,64,64,   5,1.00,1.00,0.5566
95,4,17,95.51,HIGH,1024,192,1088,256,64,64,   3,1.00,1.00,0.5510
96,4,18,90.82,HIGH,1088,192,1152,256,64,64,   4,1.00,1.00,0.5584
97,4,19,65.53,MEDIUM,1152,192,1216,256,64,64,   1,1.00,0.20,0.0854
98,4,20,18.60,MEDIUM,1216,192,1280,256,64,64,   1,1.00,0.20,0.0068
112,5,8,33.06,MEDIUM,448,256,512,320,64,64,   1,1.00,0.20,0.0167
113,5,9,93.02,HIGH,512,256,576,320,64,64,   2,1.00,1.00,0.4911
114,5,10,76.73,MEDIUM,576,256,640,320,64,64,   3,1.00,0.20,0.2266
115,5,11,17.26,MEDIUM,640,256,704,320,64,64,   4,1.00,0.20,0.0164
116,5,12,47.68,MEDIUM,704,256,768,320,64,64,   3,1.00,0.20,0.0950
117,5,13,84.50,HIGH,768,256,832,320,64,64,   3,1.00,1.00,0.5009
118,5,14,88.67,HIGH,832,256,896,320,64,64,   5,1.00,1.00,0.5778
119,5,15,92.68,HIGH,896,256,960,320,64,64,   6,1.00,1.00,0.6178
120,5,16,89.21,HIGH,960,256,1024,320,64,64,   5,1.00,1.00,0.5909
121,5,17,86.84,HIGH,1024,256,1088,320,64,64,   5,1.00,1.00,0.5755
122,5,18,86.62,HIGH,1088,256,1152,320,64,64,   6,1.00,1.00,0.5978
123,5,19,95.80,HIGH,1152,256,1216,320,64,64,   4,1.00,1.00,0.5963
124,5,20,90.41,HIGH,1216,256,1280,320,64,64,   4,1.00,1.00,0.5618
137,6,7,55.42,MEDIUM,384,320,448,384,64,64,   0,1.00,0.20,0.0062
138,6,8,88.50,HIGH,448,320,512,384,64,64,   1,1.00,1.00,0.2423
139,6,9,90.50,HIGH,512,320,576,384,64,64,   3,1.00,1.00,0.5509
140,6,10,85.18,HIGH,576,320,640,384,64,64,   3,1.00,1.00,0.5178
141,6,11,83.76,HIGH,640,320,704,384,64,64,   3,0.49,1.00,0.4088
142,6,12,79.00,MEDIUM,704,320,768,384,64,64,   1,0.49,0.20,0.0374
143,6,13,78.66,MEDIUM,768,320,832,384,64,64,   0,0.49,0.20,0.0037
144,6,14,72.66,MEDIUM,832,320,896,384,64,64,   2,0.49,0.20,0.0885
145,6,15,72.12,MEDIUM,896,320,960,384,64,64,   0,0.49,0.20,0.0000
146,6,16,71.00,MEDIUM,960,320,1024,384,64,64,   0,0.49,0.20,0.0037
147,6,17,66.19,MEDIUM,1024,320,1088,384,64,64,   0,0.49,0.20,0.0057
148,6,18,65.01,MEDIUM,1088,320,1152,384,64,64,   4,0.49,0.20,0.1221
149,6,19,74.27,MEDIUM,1152,320,1216,384,64,64,   1,0.49,0.20,0.0299
150,6,20,87.55,HIGH,1216,320,1280,384,64,64,   3,1.00,1.00,0.4932
151,6,21,67.72,MEDIUM,1280,320,1344,384,64,64,   2,1.00,0.20,0.1477
152,6,22,20.68,MEDIUM,1344,320,1408,384,64,64,   1,1.00,0.20,0.0052
162,7,6,32.57,MEDIUM,320,384,384,448,64,64,   0,1.00,0.20,0.0043
163,7,7,90.84,HIGH,384,384,448,448,64,64,   1,1.00,1.00,0.2861
164,7,8,81.01,HIGH,448,384,512,448,64,64,   1,0.49,1.00,0.1772
165,7,9,77.91,MEDIUM,512,384,576,448,64,64,   0,0.49,0.20,0.0022
166,7,10,73.00,MEDIUM,576,384,640,448,64,64,   0,0.49,0.20,0.0000
167,7,11,71.02,MEDIUM,640,384,704,448,64,64,   1,0.49,0.20,0.0461
168,7,12,65.80,MEDIUM,704,384,768,448,64,64,   0,0.49,0.20,0.0000
169,7,13,64.01,MEDIUM,768,384,832,448,64,64,   0,1.00,0.20,0.0000
170,7,14,62.30,MEDIUM,832,384,896,448,64,64,   3,0.49,0.20,0.0982
171,7,15,61.45,MEDIUM,896,384,960,448,64,64,   0,0.49,0.20,0.0000
172,7,16,60.25,MEDIUM,960,384,1024,448,64,64,   3,0.49,0.20,0.0760
173,7,17,65.06,MEDIUM,1024,384,1088,448,64,64,   2,1.00,0.20,0.1148
174,7,18,51.17,MEDIUM,1088,384,1152,448,64,64,  18,1.00,0.20,0.2834
175,7,19,66.48,MEDIUM,1152,384,1216,448,64,64,   5,1.00,0.20,0.2317
176,7,20,73.51,MEDIUM,1216,384,1280,448,64,64,   0,0.49,0.20,0.0000
177,7,21,75.71,MEDIUM,1280,384,1344,448,64,64,   0,0.49,0.20,0.0000
178,7,22,75.39,MEDIUM,1344,384,1408,448,64,64,   1,1.00,0.20,0.0756
179,7,23,44.80,MEDIUM,1408,384,1472,448,64,64,   1,1.00,0.20,0.0298
188,8,6,80.79,HIGH,320,448,384,512,64,64,   0,1.00,1.00,0.1925
189,8,7,87.87,HIGH,384,448,448,512,64,64,  19,1.00,1.00,0.6978
190,8,8,50.85,MEDIUM,448,448,512,512,64,64,   3,1.00,0.20,0.1121
191,8,9,73.29,MEDIUM,512,448,576,512,64,64,   1,0.49,0.20,0.0635
192,8,10,65.70,MEDIUM,576,448,640,512,64,64,   0,0.49,0.20,0.0000
193,8,11,57.98,MEDIUM,640,448,704,512,64,64,   1,1.00,0.20,0.0638
194,8,12,44.82,MEDIUM,704,448,768,512,64,64,   2,1.00,0.20,0.0522
195,8,13,61.52,MEDIUM,768,448,832,512,64,64,   0,1.00,0.20,0.0000
196,8,14,43.73,MEDIUM,832,448,896,512,64,64,   2,1.00,0.20,0.0647
197,8,15,36.40,MEDIUM,896,448,960,512,64,64,   0,0.49,0.20,0.0000
198,8,16,63.11,MEDIUM,960,448,1024,512,64,64,   0,1.00,0.20,0.0027
199,8,17,64.45,MEDIUM,1024,448,1088,512,64,64,   3,1.00,0.20,0.1545
200,8,18,68.12,MEDIUM,1088,448,1152,512,64,64,   7,1.00,0.20,0.2832
201,8,19,33.79,MEDIUM,1152,448,1216,512,64,64,   3,1.00,0.20,0.0504
202,8,20,70.26,MEDIUM,1216,448,1280,512,64,64,   0,0.49,0.20,0.0000
203,8,21,67.92,MEDIUM,1280,448,1344,512,64,64,   3,0.49,0.20,0.1196
204,8,22,74.15,MEDIUM,1344,448,1408,512,64,64,   0,1.00,0.20,0.0010
205,8,23,78.96,MEDIUM,1408,448,1472,512,64,64,   1,1.00,0.20,0.1284
206,8,24,16.53,MEDIUM,1472,448,1536,512,64,64,   1,1.00,0.20,0.0032
214,9,6,84.89,HIGH,320,512,384,576,64,64,   0,1.00,1.00,0.1847
215,9,7,84.18,HIGH,384,512,448,576,64,64,   0,0.49,1.00,0.0047
216,9,8,74.61,MEDIUM,448,512,512,576,64,64,   0,0.49,0.20,0.0000
217,9,9,71.80,MEDIUM,512,512,576,576,64,64,   0,0.49,0.20,0.0000
218,9,10,46.75,MEDIUM,576,512,640,576,64,64,   0,0.49,0.20,0.0000
219,9,11,47.05,MEDIUM,640,512,704,576,64,64,   0,1.00,0.20,0.0000
220,9,12,22.22,MEDIUM,704,512,768,576,64,64,   0,0.49,0.20,0.0000
221,9,13,37.26,MEDIUM,768,512,832,576,64,64,   0,0.49,0.20,0.0000
222,9,14,43.46,MEDIUM,832,512,896,576,64,64,   0,0.49,0.20,0.0000
223,9,15,23.49,MEDIUM,896,512,960,576,64,64,   0,0.49,0.20,0.0000
224,9,16,50.61,MEDIUM,960,512,1024,576,64,64,   0,1.00,0.20,0.0000
225,9,17,68.99,MEDIUM,1024,512,1088,576,64,64,   0,0.49,0.20,0.0000
226,9,18,62.30,MEDIUM,1088,512,1152,576,64,64,   0,1.00,0.20,0.0000
227,9,19,38.38,MEDIUM,1152,512,1216,576,64,64,   1,1.00,0.20,0.0286
228,9,20,44.14,MEDIUM,1216,512,1280,576,64,64,   3,1.00,0.20,0.0914
229,9,21,70.53,MEDIUM,1280,512,1344,576,64,64,   0,0.49,0.20,0.0000
230,9,22,70.29,MEDIUM,1344,512,1408,576,64,64,   0,1.00,0.20,0.0000
231,9,23,78.49,MEDIUM,1408,512,1472,576,64,64,   0,1.00,0.20,0.0156
232,9,24,28.39,MEDIUM,1472,512,1536,576,64,64,   1,1.00,0.20,0.0148
240,10,6,68.41,MEDIUM,320,576,384,640,64,64,   0,1.00,0.20,0.0328
241,10,7,83.03,HIGH,384,576,448,640,64,64,   0,1.00,1.00,0.0000
242,10,8,58.13,MEDIUM,448,576,512,640,64,64,   0,1.00,0.20,0.0000
243,10,9,63.92,MEDIUM,512,576,576,640,64,64,   0,1.00,0.20,0.0000
253,10,19,14.60,MEDIUM,1152,576,1216,640,64,64,   0,0.49,0.20,0.0000
254,10,20,25.66,MEDIUM,1216,576,1280,640,64,64,   0,0.49,0.20,0.0000
255,10,21,47.61,MEDIUM,1280,576,1344,640,64,64,   0,1.00,0.20,0.0000
