Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4241x1752
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 4241x1752
Scaled Tile Size: 64x64
Total Mask: 99.43%, Total Tissue: 0.57%
Tiles: 67x28 = 1876
     0 ( 0.00%) tiles >=80% tissue
    26 ( 1.39%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
324,5,56,14.53,MEDIUM,3520,256,3584,320,64,64,  19,0.49,0.20,0.0216
325,5,57,13.99,MEDIUM,3584,256,3648,320,64,64,  20,0.49,0.20,0.0211
345,6,10,23.41,MEDIUM,576,320,640,384,64,64,1475,1.00,0.20,0.2378
347,6,12,11.84,MEDIUM,704,320,768,384,64,64,  62,0.49,0.20,0.0267
388,6,53,18.26,MEDIUM,3328,320,3392,384,64,64,1227,1.00,0.20,0.1552
389,6,54,14.50,MEDIUM,3392,320,3456,384,64,64, 619,1.00,0.20,0.0921
391,6,56,42.29,MEDIUM,3520,320,3584,384,64,64, 120,1.00,0.20,0.3651
544,9,8,20.56,MEDIUM,448,512,512,576,64,64, 838,1.00,0.20,0.1781
611,10,8,13.09,MEDIUM,448,576,512,640,64,64,1098,0.49,0.20,0.0743
612,10,9,13.40,MEDIUM,512,576,576,640,64,64,1480,0.49,0.20,0.0822
613,10,10,14.45,MEDIUM,576,576,640,640,64,64, 736,0.49,0.20,0.0823
683,11,13,16.41,MEDIUM,768,640,832,704,64,64, 172,0.49,0.20,0.0719
684,11,14,13.75,MEDIUM,832,640,896,704,64,64,  40,0.49,0.20,0.0292
725,11,55,20.02,MEDIUM,3456,640,3520,704,64,64,1045,1.00,0.20,0.1765
790,12,53,16.16,MEDIUM,3328,704,3392,768,64,64, 661,0.49,0.20,0.0986
792,12,55,13.87,MEDIUM,3456,704,3520,768,64,64,3406,0.49,0.20,0.1006
795,12,58,16.26,MEDIUM,3648,704,3712,768,64,64, 173,1.00,0.20,0.0862
858,13,54,12.72,MEDIUM,3392,768,3456,832,64,64,1685,0.49,0.20,0.0764
866,13,62,13.40,MEDIUM,3904,768,3968,832,64,64, 382,0.49,0.20,0.0615
1011,16,6,16.72,MEDIUM,320,960,384,1024,64,64, 788,0.49,0.20,0.1087
1012,16,7,16.36,MEDIUM,384,960,448,1024,64,64, 406,0.49,0.20,0.0902
1014,16,9,15.72,MEDIUM,512,960,576,1024,64,64, 117,0.49,0.20,0.0586
1078,17,6,14.23,MEDIUM,320,1024,384,1088,64,64, 579,0.49,0.20,0.0759
1123,17,51,14.92,MEDIUM,3200,1024,3264,1088,64,64, 720,0.49,0.20,0.0868
1124,17,52,16.72,MEDIUM,3264,1024,3328,1088,64,64,1188,0.49,0.20,0.1176
1190,18,51,16.75,MEDIUM,3200,1088,3264,1152,64,64, 431,0.49,0.20,0.0956
