Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x2816
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x2816
Scaled Tile Size: 64x64
Total Mask: 96.97%, Total Tissue: 3.03%
Tiles: 44x44 = 1936
     4 ( 0.21%) tiles >=80% tissue
   128 ( 6.61%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
100,3,12,26.64,MEDIUM,704,128,768,192,64,64,  13,1.00,0.20,0.0834
144,4,12,53.56,MEDIUM,704,192,768,256,64,64,  62,1.00,0.20,0.4266
181,5,5,18.97,MEDIUM,256,256,320,320,64,64,  79,0.49,0.20,0.0725
188,5,12,49.39,MEDIUM,704,256,768,320,64,64,  98,1.00,0.20,0.4243
215,5,39,26.44,MEDIUM,2432,256,2496,320,64,64, 435,1.00,0.20,0.2384
232,6,12,52.15,MEDIUM,704,320,768,384,64,64, 149,1.00,0.20,0.4825
241,6,21,25.29,MEDIUM,1280,320,1344,384,64,64, 142,1.00,0.20,0.1778
242,6,22,54.22,MEDIUM,1344,320,1408,384,64,64, 216,1.00,0.20,0.5271
243,6,23,15.14,MEDIUM,1408,320,1472,384,64,64, 132,1.00,0.20,0.0705
259,6,39,45.85,MEDIUM,2432,320,2496,384,64,64,1426,1.00,0.20,0.5432
260,6,40,32.01,MEDIUM,2496,320,2560,384,64,64, 300,1.00,0.20,0.2964
276,7,12,39.21,MEDIUM,704,384,768,448,64,64,  86,1.00,0.20,0.3088
287,7,23,68.31,MEDIUM,1408,384,1472,448,64,64, 102,1.00,0.20,0.5885
288,7,24,15.60,MEDIUM,1472,384,1536,448,64,64,  98,1.00,0.20,0.0687
303,7,39,22.63,MEDIUM,2432,384,2496,448,64,64, 586,0.49,0.20,0.1725
304,7,40,50.49,MEDIUM,2496,384,2560,448,64,64, 154,1.00,0.20,0.4684
319,8,11,19.36,MEDIUM,640,448,704,512,64,64, 111,1.00,0.20,0.1054
320,8,12,16.77,MEDIUM,704,448,768,512,64,64, 138,1.00,0.20,0.0863
332,8,24,43.77,MEDIUM,1472,448,1536,512,64,64, 110,1.00,0.20,0.3754
348,8,40,62.40,MEDIUM,2496,448,2560,512,64,64,  66,1.00,0.20,0.5087
363,9,11,25.68,MEDIUM,640,512,704,576,64,64, 144,1.00,0.20,0.1829
376,9,24,23.07,MEDIUM,1472,512,1536,576,64,64,  86,1.00,0.20,0.1338
377,9,25,27.03,MEDIUM,1536,512,1600,576,64,64, 161,1.00,0.20,0.2038
392,9,40,67.50,MEDIUM,2496,512,2560,576,64,64,  84,1.00,0.20,0.5676
407,10,11,53.34,MEDIUM,640,576,704,640,64,64, 142,1.00,0.20,0.4902
421,10,25,22.88,MEDIUM,1536,576,1600,640,64,64, 155,1.00,0.20,0.1535
436,10,40,49.63,MEDIUM,2496,576,2560,640,64,64,  97,1.00,0.20,0.4261
450,11,10,15.48,MEDIUM,576,640,640,704,64,64,  14,0.49,0.20,0.0202
451,11,11,61.91,MEDIUM,640,640,704,704,64,64, 276,1.00,0.20,0.6070
454,11,14,28.08,MEDIUM,832,640,896,704,64,64,  25,1.00,0.20,0.1235
455,11,15,38.40,MEDIUM,896,640,960,704,64,64,  35,1.00,0.20,0.2340
465,11,25,18.70,MEDIUM,1536,640,1600,704,64,64,  91,0.49,0.20,0.0743
466,11,26,24.15,MEDIUM,1600,640,1664,704,64,64, 131,1.00,0.20,0.1615
476,11,36,19.92,MEDIUM,2240,640,2304,704,64,64,   0,1.00,0.20,0.0003
480,11,40,66.36,MEDIUM,2496,640,2560,704,64,64, 150,1.00,0.20,0.6021
494,12,10,32.62,MEDIUM,576,704,640,768,64,64, 159,1.00,0.20,0.2707
495,12,11,24.41,MEDIUM,640,704,704,768,64,64, 177,1.00,0.20,0.1763
498,12,14,58.64,MEDIUM,832,704,896,768,64,64,  22,1.00,0.20,0.3678
499,12,15,48.68,MEDIUM,896,704,960,768,64,64,  26,1.00,0.20,0.3004
509,12,25,47.41,MEDIUM,1536,704,1600,768,64,64,  91,1.00,0.20,0.3987
520,12,36,27.37,MEDIUM,2240,704,2304,768,64,64,   0,1.00,0.20,0.0031
523,12,39,12.67,MEDIUM,2432,704,2496,768,64,64,  43,0.49,0.20,0.0257
524,12,40,71.66,MEDIUM,2496,704,2560,768,64,64,  52,1.00,0.20,0.5546
538,13,10,42.33,MEDIUM,576,768,640,832,64,64, 100,1.00,0.20,0.3530
551,13,23,20.90,MEDIUM,1408,768,1472,832,64,64,  15,0.49,0.20,0.0376
553,13,25,67.53,MEDIUM,1536,768,1600,832,64,64, 310,1.00,0.20,0.6539
564,13,36,20.56,MEDIUM,2240,768,2304,832,64,64,   0,1.00,0.20,0.0039
568,13,40,71.88,MEDIUM,2496,768,2560,832,64,64,  42,1.00,0.20,0.5368
569,13,41,26.07,MEDIUM,2560,768,2624,832,64,64, 129,1.00,0.20,0.1828
581,14,9,32.57,MEDIUM,512,832,576,896,64,64,   9,1.00,0.20,0.0988
597,14,25,70.56,MEDIUM,1536,832,1600,896,64,64,  87,1.00,0.20,0.5916
612,14,40,54.44,MEDIUM,2496,832,2560,896,64,64,  34,1.00,0.20,0.3772
613,14,41,20.09,MEDIUM,2560,832,2624,896,64,64, 147,1.00,0.20,0.1211
640,15,24,15.82,MEDIUM,1472,896,1536,960,64,64,  43,0.49,0.20,0.0399
641,15,25,61.50,MEDIUM,1536,896,1600,960,64,64, 109,1.00,0.20,0.5420
656,15,40,61.13,MEDIUM,2496,896,2560,960,64,64, 135,1.00,0.20,0.5549
685,16,25,56.23,MEDIUM,1536,960,1600,1024,64,64,  97,1.00,0.20,0.4879
