Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x4224
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2432x4224
Scaled Tile Size: 64x64
Total Mask: 76.46%, Total Tissue: 23.54%
Tiles: 38x66 = 2508
   353 (14.07%) tiles >=80% tissue
   539 (21.49%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
125,4,11,44.73,MEDIUM,640,192,704,256,64,64,   0,1.00,0.20,0.0174
139,4,25,79.86,MEDIUM,1536,192,1600,256,64,64,   1,1.00,0.20,0.1106
162,5,10,54.83,MEDIUM,576,256,640,320,64,64,   1,1.00,0.20,0.0295
163,5,11,98.00,HIGH,640,256,704,320,64,64,   1,1.00,1.00,0.3832
164,5,12,43.58,MEDIUM,704,256,768,320,64,64,   0,1.00,0.20,0.0120
176,5,24,57.25,MEDIUM,1472,256,1536,320,64,64,   0,1.00,0.20,0.0156
177,5,25,93.75,HIGH,1536,256,1600,320,64,64,   0,1.00,1.00,0.2480
178,5,26,58.89,MEDIUM,1600,256,1664,320,64,64,   0,1.00,0.20,0.0302
179,5,27,19.29,MEDIUM,1664,256,1728,320,64,64,   1,1.00,0.20,0.0047
200,6,10,72.71,MEDIUM,576,320,640,384,64,64,   0,1.00,0.20,0.0251
201,6,11,99.44,HIGH,640,320,704,384,64,64,   0,0.16,1.00,0.0416
202,6,12,93.38,HIGH,704,320,768,384,64,64,   1,1.00,1.00,0.2991
203,6,13,34.77,MEDIUM,768,320,832,384,64,64,   1,1.00,0.20,0.0117
213,6,23,21.19,MEDIUM,1408,320,1472,384,64,64,   0,1.00,0.20,0.0003
214,6,24,88.23,HIGH,1472,320,1536,384,64,64,   1,1.00,1.00,0.2965
215,6,25,94.48,HIGH,1536,320,1600,384,64,64,   1,1.00,1.00,0.3416
216,6,26,87.52,HIGH,1600,320,1664,384,64,64,   1,1.00,1.00,0.2426
217,6,27,21.46,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0011
238,7,10,25.15,MEDIUM,576,384,640,448,64,64,   0,1.00,0.20,0.0002
239,7,11,98.88,HIGH,640,384,704,448,64,64,   0,0.16,1.00,0.0000
240,7,12,98.07,HIGH,704,384,768,448,64,64,   0,0.16,1.00,0.0658
241,7,13,65.09,MEDIUM,768,384,832,448,64,64,   1,1.00,0.20,0.0616
242,7,14,28.10,MEDIUM,832,384,896,448,64,64,   0,1.00,0.20,0.0007
251,7,23,20.68,MEDIUM,1408,384,1472,448,64,64,   1,1.00,0.20,0.0091
252,7,24,69.31,MEDIUM,1472,384,1536,448,64,64,   0,1.00,0.20,0.0333
253,7,25,94.65,HIGH,1536,384,1600,448,64,64,   1,1.00,1.00,0.3307
254,7,26,96.68,HIGH,1600,384,1664,448,64,64,   0,1.00,1.00,0.2567
255,7,27,34.94,MEDIUM,1664,384,1728,448,64,64,   1,1.00,0.20,0.0150
277,8,11,76.44,MEDIUM,640,448,704,512,64,64,   1,1.00,0.20,0.0630
278,8,12,98.97,HIGH,704,448,768,512,64,64,   1,0.16,1.00,0.0904
279,8,13,88.89,HIGH,768,448,832,512,64,64,   1,1.00,1.00,0.2704
280,8,14,37.87,MEDIUM,832,448,896,512,64,64,   0,1.00,0.20,0.0124
288,8,22,18.95,MEDIUM,1344,448,1408,512,64,64,   0,1.00,0.20,0.0000
289,8,23,48.19,MEDIUM,1408,448,1472,512,64,64,   1,1.00,0.20,0.0466
290,8,24,79.76,MEDIUM,1472,448,1536,512,64,64,   1,1.00,0.20,0.0752
291,8,25,95.26,HIGH,1536,448,1600,512,64,64,   1,1.00,1.00,0.4206
292,8,26,97.71,HIGH,1600,448,1664,512,64,64,   1,1.00,1.00,0.2800
314,9,10,20.21,MEDIUM,576,512,640,576,64,64,  46,1.00,0.20,0.0864
315,9,11,88.38,HIGH,640,512,704,576,64,64,  19,1.00,1.00,0.7009
316,9,12,98.22,HIGH,704,512,768,576,64,64,   0,1.00,1.00,0.1226
317,9,13,98.12,HIGH,768,512,832,576,64,64,   1,1.00,1.00,0.3276
318,9,14,41.82,MEDIUM,832,512,896,576,64,64,   0,1.00,0.20,0.0119
327,9,23,31.37,MEDIUM,1408,512,1472,576,64,64,   0,1.00,0.20,0.0010
328,9,24,81.76,HIGH,1472,512,1536,576,64,64,   0,1.00,1.00,0.0578
329,9,25,95.61,HIGH,1536,512,1600,576,64,64,   1,0.49,1.00,0.1991
330,9,26,97.95,HIGH,1600,512,1664,576,64,64,   1,1.00,1.00,0.4268
331,9,27,31.13,MEDIUM,1664,512,1728,576,64,64,   0,1.00,0.20,0.0072
353,10,11,58.62,MEDIUM,640,576,704,640,64,64,   2,1.00,0.20,0.0981
354,10,12,97.19,HIGH,704,576,768,640,64,64,   1,1.00,1.00,0.2946
355,10,13,99.32,HIGH,768,576,832,640,64,64,   0,0.16,1.00,0.0441
356,10,14,61.50,MEDIUM,832,576,896,640,64,64,   1,1.00,0.20,0.0359
362,10,20,16.50,MEDIUM,1216,576,1280,640,64,64,   0,1.00,0.20,0.0016
363,10,21,62.40,MEDIUM,1280,576,1344,640,64,64,   0,1.00,0.20,0.0065
364,10,22,48.90,MEDIUM,1344,576,1408,640,64,64,   1,1.00,0.20,0.0355
365,10,23,68.87,MEDIUM,1408,576,1472,640,64,64,   1,1.00,0.20,0.0696
366,10,24,89.31,HIGH,1472,576,1536,640,64,64,   1,1.00,1.00,0.2820
367,10,25,97.19,HIGH,1536,576,1600,640,64,64,   0,0.49,1.00,0.0986
368,10,26,96.66,HIGH,1600,576,1664,640,64,64,   2,1.00,1.00,0.4900
369,10,27,34.79,MEDIUM,1664,576,1728,640,64,64,   1,1.00,0.20,0.0175
390,11,10,15.31,MEDIUM,576,640,640,704,64,64, 539,1.00,0.20,0.0990
391,11,11,85.21,HIGH,640,640,704,704,64,64,   1,1.00,1.00,0.3328
392,11,12,93.77,HIGH,704,640,768,704,64,64,   1,1.00,1.00,0.2992
393,11,13,99.05,HIGH,768,640,832,704,64,64,   0,0.49,1.00,0.0753
394,11,14,75.51,MEDIUM,832,640,896,704,64,64,   1,1.00,0.20,0.0869
395,11,15,25.54,MEDIUM,896,640,960,704,64,64,   0,1.00,0.20,0.0061
402,11,22,49.85,MEDIUM,1344,640,1408,704,64,64,   0,1.00,0.20,0.0142
403,11,23,85.74,HIGH,1408,640,1472,704,64,64,   1,1.00,1.00,0.3021
404,11,24,93.77,HIGH,1472,640,1536,704,64,64,   1,1.00,1.00,0.3657
405,11,25,98.27,HIGH,1536,640,1600,704,64,64,   2,0.49,1.00,0.4114
406,11,26,96.31,HIGH,1600,640,1664,704,64,64,   2,1.00,1.00,0.5328
407,11,27,28.93,MEDIUM,1664,640,1728,704,64,64,   0,1.00,0.20,0.0069
428,12,10,60.35,MEDIUM,576,704,640,768,64,64,   3,1.00,0.20,0.1376
429,12,11,83.69,HIGH,640,704,704,768,64,64,   0,1.00,1.00,0.2183
430,12,12,97.58,HIGH,704,704,768,768,64,64,   1,0.49,1.00,0.2409
431,12,13,99.44,HIGH,768,704,832,768,64,64,   1,0.49,1.00,0.2488
432,12,14,83.67,HIGH,832,704,896,768,64,64,   0,1.00,1.00,0.2095
433,12,15,22.00,MEDIUM,896,704,960,768,64,64,   0,1.00,0.20,0.0012
440,12,22,22.00,MEDIUM,1344,704,1408,768,64,64,   1,1.00,0.20,0.0089
441,12,23,74.90,MEDIUM,1408,704,1472,768,64,64,   0,1.00,0.20,0.0032
442,12,24,95.58,HIGH,1472,704,1536,768,64,64,   1,1.00,1.00,0.3773
