Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 98.03%, Total Tissue: 1.97%
Tiles: 52x150 = 7800
   120 ( 1.54%) tiles >=80% tissue
    78 ( 1.00%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2008,39,32,57.30,MEDIUM,1984,2432,2048,2496,64,64,  23,1.00,0.20,0.3626
2009,39,33,59.55,MEDIUM,2048,2432,2112,2496,64,64,  12,1.00,0.20,0.3003
2010,39,34,15.21,MEDIUM,2112,2432,2176,2496,64,64,  56,1.00,0.20,0.0547
2042,40,14,38.06,MEDIUM,832,2496,896,2560,64,64,  12,1.00,0.20,0.1516
2043,40,15,58.35,MEDIUM,896,2496,960,2560,64,64,   8,1.00,0.20,0.2507
2044,40,16,66.67,MEDIUM,960,2496,1024,2560,64,64,  22,1.00,0.20,0.4287
2045,40,17,65.45,MEDIUM,1024,2496,1088,2560,64,64,  11,1.00,0.20,0.3275
2058,40,30,34.06,MEDIUM,1856,2496,1920,2560,64,64,  14,1.00,0.20,0.1338
2059,40,31,80.25,HIGH,1920,2496,1984,2560,64,64,  15,1.00,1.00,0.6384
2060,40,32,89.60,HIGH,1984,2496,2048,2560,64,64,   6,1.00,1.00,0.6135
2061,40,33,88.96,HIGH,2048,2496,2112,2560,64,64,   7,1.00,1.00,0.6193
2062,40,34,82.81,HIGH,2112,2496,2176,2560,64,64,  17,1.00,1.00,0.6629
2063,40,35,19.43,MEDIUM,2176,2496,2240,2560,64,64,  32,1.00,0.20,0.0701
2092,41,12,38.38,MEDIUM,704,2560,768,2624,64,64,  16,1.00,0.20,0.1726
2093,41,13,82.59,HIGH,768,2560,832,2624,64,64,  33,1.00,1.00,0.7059
2094,41,14,86.57,HIGH,832,2560,896,2624,64,64,  36,1.00,1.00,0.7297
2095,41,15,85.33,HIGH,896,2560,960,2624,64,64,  56,1.00,1.00,0.7460
2096,41,16,90.67,HIGH,960,2560,1024,2624,64,64,  19,1.00,1.00,0.7099
2097,41,17,83.54,HIGH,1024,2560,1088,2624,64,64,  39,1.00,1.00,0.7199
2098,41,18,74.37,MEDIUM,1088,2560,1152,2624,64,64,  27,1.00,0.20,0.5079
2109,41,29,15.14,MEDIUM,1792,2560,1856,2624,64,64,   7,1.00,0.20,0.0201
2110,41,30,87.70,HIGH,1856,2560,1920,2624,64,64,  27,1.00,1.00,0.7203
2111,41,31,90.55,HIGH,1920,2560,1984,2624,64,64,  14,1.00,1.00,0.6919
2112,41,32,87.67,HIGH,1984,2560,2048,2624,64,64,  23,1.00,1.00,0.7084
2113,41,33,88.60,HIGH,2048,2560,2112,2624,64,64,  19,1.00,1.00,0.7004
2114,41,34,86.55,HIGH,2112,2560,2176,2624,64,64,  26,1.00,1.00,0.7107
2115,41,35,53.49,MEDIUM,2176,2560,2240,2624,64,64,  15,1.00,0.20,0.2846
2142,42,10,49.76,MEDIUM,576,2624,640,2688,64,64,  27,1.00,0.20,0.3139
2143,42,11,82.89,HIGH,640,2624,704,2688,64,64,  47,1.00,1.00,0.7268
2144,42,12,92.70,HIGH,704,2624,768,2688,64,64,  40,1.00,1.00,0.7609
2145,42,13,92.46,HIGH,768,2624,832,2688,64,64,  50,1.00,1.00,0.7709
2146,42,14,93.16,HIGH,832,2624,896,2688,64,64,  35,1.00,1.00,0.7563
2147,42,15,90.67,HIGH,896,2624,960,2688,64,64,  33,1.00,1.00,0.7434
2148,42,16,91.21,HIGH,960,2624,1024,2688,64,64,  36,1.00,1.00,0.7504
