Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1116x1296
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1116x1296
Scaled Tile Size: 64x64
Total Mask: 68.33%, Total Tissue: 31.67%
Tiles: 18x21 = 378
    86 (22.75%) tiles >=80% tissue
    65 (17.20%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
25,2,7,13.35,MEDIUM,384,64,448,128,64,64,   0,0.49,0.20,0.0000
26,2,8,20.31,MEDIUM,448,64,512,128,64,64,   0,0.49,0.20,0.0000
27,2,9,26.34,MEDIUM,512,64,576,128,64,64,   0,1.00,0.20,0.0000
28,2,10,35.06,MEDIUM,576,64,640,128,64,64,   0,1.00,0.20,0.0000
29,2,11,43.70,MEDIUM,640,64,704,128,64,64,   0,1.00,0.20,0.0000
30,2,12,44.51,MEDIUM,704,64,768,128,64,64,  19,1.00,0.20,0.2351
43,3,7,48.39,MEDIUM,384,128,448,192,64,64,  23,1.00,0.20,0.2880
44,3,8,56.76,MEDIUM,448,128,512,192,64,64,  16,1.00,0.20,0.3176
45,3,9,55.08,MEDIUM,512,128,576,192,64,64,   1,1.00,0.20,0.0509
46,3,10,70.39,MEDIUM,576,128,640,192,64,64,   3,1.00,0.20,0.1730
47,3,11,93.68,HIGH,640,128,704,192,64,64,  15,0.49,1.00,0.6477
48,3,12,99.51,HIGH,704,128,768,192,64,64, 119,1.00,1.00,0.8257
49,3,13,77.56,MEDIUM,768,128,832,192,64,64,  59,1.00,0.20,0.6048
50,3,14,28.56,MEDIUM,832,128,896,192,64,64,   8,1.00,0.20,0.0718
51,3,15,40.99,MEDIUM,896,128,960,192,64,64,   3,1.00,0.20,0.0672
52,3,16,33.33,MEDIUM,960,128,1024,192,64,64,   4,1.00,0.20,0.0580
