Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2912x2688
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2912x2688
Scaled Tile Size: 64x64
Total Mask: 64.37%, Total Tissue: 35.63%
Tiles: 46x42 = 1932
   552 (28.57%) tiles >=80% tissue
   337 (17.44%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
125,3,33,17.72,MEDIUM,2048,128,2112,192,64,64,1734,1.00,0.20,0.1553
126,3,34,72.73,MEDIUM,2112,128,2176,192,64,64, 679,1.00,0.20,0.7224
150,4,12,52.34,MEDIUM,704,192,768,256,64,64, 657,1.00,0.20,0.5724
151,4,13,62.33,MEDIUM,768,192,832,256,64,64, 760,1.00,0.20,0.6615
159,4,21,42.72,MEDIUM,1280,192,1344,256,64,64, 775,1.00,0.20,0.4797
160,4,22,41.75,MEDIUM,1344,192,1408,256,64,64, 599,1.00,0.20,0.4552
171,4,33,36.52,MEDIUM,2048,192,2112,256,64,64, 938,1.00,0.20,0.4114
172,4,34,94.90,HIGH,2112,192,2176,256,64,64, 375,1.00,1.00,0.8423
173,4,35,55.37,MEDIUM,2176,192,2240,256,64,64, 315,1.00,0.20,0.5604
194,5,10,49.54,MEDIUM,576,256,640,320,64,64, 513,1.00,0.20,0.5324
195,5,11,90.06,HIGH,640,256,704,320,64,64, 991,1.00,1.00,0.8484
196,5,12,90.58,HIGH,704,256,768,320,64,64, 713,1.00,1.00,0.8435
197,5,13,89.21,HIGH,768,256,832,320,64,64, 412,1.00,1.00,0.8274
198,5,14,38.50,MEDIUM,832,256,896,320,64,64,1188,1.00,0.20,0.4480
205,5,21,80.54,HIGH,1280,256,1344,320,64,64, 476,1.00,1.00,0.8000
206,5,22,92.50,HIGH,1344,256,1408,320,64,64, 186,1.00,1.00,0.8174
207,5,23,44.21,MEDIUM,1408,256,1472,320,64,64,  64,1.00,0.20,0.3387
217,5,33,81.10,HIGH,2048,256,2112,320,64,64, 823,1.00,1.00,0.8154
218,5,34,91.19,HIGH,2112,256,2176,320,64,64, 298,1.00,1.00,0.8257
219,5,35,85.45,HIGH,2176,256,2240,320,64,64,  47,1.00,1.00,0.7390
220,5,36,21.92,MEDIUM,2240,256,2304,320,64,64,  97,1.00,0.20,0.1266
239,6,9,36.77,MEDIUM,512,320,576,384,64,64, 814,1.00,0.20,0.4080
240,6,10,94.04,HIGH,576,320,640,384,64,64, 458,1.00,1.00,0.8443
241,6,11,95.14,HIGH,640,320,704,384,64,64, 407,1.00,1.00,0.8448
242,6,12,95.12,HIGH,704,320,768,384,64,64, 303,1.00,1.00,0.8380
243,6,13,96.46,HIGH,768,320,832,384,64,64, 368,1.00,1.00,0.8461
244,6,14,70.12,MEDIUM,832,320,896,384,64,64, 224,1.00,0.20,0.6528
251,6,21,89.26,HIGH,1280,320,1344,384,64,64, 478,1.00,1.00,0.8310
252,6,22,94.02,HIGH,1344,320,1408,384,64,64, 142,1.00,1.00,0.8144
253,6,23,87.57,HIGH,1408,320,1472,384,64,64, 138,1.00,1.00,0.7910
254,6,24,65.53,MEDIUM,1472,320,1536,384,64,64,  49,1.00,0.20,0.5044
