Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5152x2520
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5152x2520
Scaled Tile Size: 64x64
Total Mask: 76.91%, Total Tissue: 23.09%
Tiles: 81x40 = 3240
   472 (14.57%) tiles >=80% tissue
   603 (18.61%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
181,3,19,30.86,MEDIUM,1152,128,1216,192,64,64,   2,1.00,0.20,0.0252
182,3,20,24.19,MEDIUM,1216,128,1280,192,64,64,   1,1.00,0.20,0.0118
231,3,69,17.14,MEDIUM,4352,128,4416,192,64,64,   1,1.00,0.20,0.0061
234,3,72,15.01,MEDIUM,4544,128,4608,192,64,64,   0,1.00,0.20,0.0010
260,4,17,24.73,MEDIUM,1024,192,1088,256,64,64,   0,1.00,0.20,0.0043
261,4,18,35.18,MEDIUM,1088,192,1152,256,64,64,   1,1.00,0.20,0.0228
262,4,19,58.52,MEDIUM,1152,192,1216,256,64,64,   1,1.00,0.20,0.0736
263,4,20,63.33,MEDIUM,1216,192,1280,256,64,64,   1,1.00,0.20,0.0871
264,4,21,29.10,MEDIUM,1280,192,1344,256,64,64,   0,1.00,0.20,0.0072
310,4,67,38.50,MEDIUM,4224,192,4288,256,64,64,   3,1.00,0.20,0.0577
311,4,68,83.42,HIGH,4288,192,4352,256,64,64,   2,1.00,1.00,0.3931
312,4,69,81.86,HIGH,4352,192,4416,256,64,64,   1,1.00,1.00,0.3379
313,4,70,60.86,MEDIUM,4416,192,4480,256,64,64,   1,1.00,0.20,0.0789
314,4,71,45.31,MEDIUM,4480,192,4544,256,64,64,   2,1.00,0.20,0.0569
315,4,72,20.80,MEDIUM,4544,192,4608,256,64,64,   1,1.00,0.20,0.0085
316,4,73,15.36,MEDIUM,4608,192,4672,256,64,64,   0,1.00,0.20,0.0011
317,4,74,18.60,MEDIUM,4672,192,4736,256,64,64,   0,1.00,0.20,0.0026
341,5,17,29.66,MEDIUM,1024,256,1088,320,64,64,   0,1.00,0.20,0.0062
342,5,18,15.72,MEDIUM,1088,256,1152,320,64,64,   0,1.00,0.20,0.0006
344,5,20,35.79,MEDIUM,1216,256,1280,320,64,64,   1,1.00,0.20,0.0234
345,5,21,72.97,MEDIUM,1280,256,1344,320,64,64,   2,1.00,0.20,0.1675
346,5,22,48.27,MEDIUM,1344,256,1408,320,64,64,   2,1.00,0.20,0.0675
347,5,23,46.97,MEDIUM,1408,256,1472,320,64,64,   2,1.00,0.20,0.0709
348,5,24,16.09,MEDIUM,1472,256,1536,320,64,64,   0,1.00,0.20,0.0022
390,5,66,72.56,MEDIUM,4160,256,4224,320,64,64,   2,1.00,0.20,0.1277
391,5,67,90.58,HIGH,4224,256,4288,320,64,64,   2,1.00,1.00,0.4981
392,5,68,48.44,MEDIUM,4288,256,4352,320,64,64,   2,1.00,0.20,0.0667
415,6,10,14.14,MEDIUM,576,320,640,384,64,64,   1,1.00,0.20,0.0021
416,6,11,69.58,MEDIUM,640,320,704,384,64,64,   2,1.00,0.20,0.1543
417,6,12,74.19,MEDIUM,704,320,768,384,64,64,   3,1.00,0.20,0.1913
418,6,13,83.76,HIGH,768,320,832,384,64,64,   4,1.00,1.00,0.5308
419,6,14,79.08,MEDIUM,832,320,896,384,64,64,   4,1.00,0.20,0.2506
420,6,15,56.47,MEDIUM,896,320,960,384,64,64,   4,1.00,0.20,0.1523
421,6,16,15.99,MEDIUM,960,320,1024,384,64,64,   3,1.00,0.20,0.0117
425,6,20,25.10,MEDIUM,1216,320,1280,384,64,64,   1,1.00,0.20,0.0066
426,6,21,41.65,MEDIUM,1280,320,1344,384,64,64,   3,1.00,0.20,0.0787
427,6,22,89.14,HIGH,1344,320,1408,384,64,64,   3,1.00,1.00,0.5114
428,6,23,97.05,HIGH,1408,320,1472,384,64,64,   3,1.00,1.00,0.5539
429,6,24,91.82,HIGH,1472,320,1536,384,64,64,   2,1.00,1.00,0.4947
430,6,25,55.44,MEDIUM,1536,320,1600,384,64,64,   2,1.00,0.20,0.0973
438,6,33,20.80,MEDIUM,2048,320,2112,384,64,64,   0,1.00,0.20,0.0008
470,6,65,16.99,MEDIUM,4096,320,4160,384,64,64,   1,1.00,0.20,0.0050
471,6,66,25.66,MEDIUM,4160,320,4224,384,64,64,   5,1.00,0.20,0.0461
472,6,67,83.62,HIGH,4224,320,4288,384,64,64,  13,1.00,1.00,0.6454
495,7,9,17.19,MEDIUM,512,384,576,448,64,64,   1,1.00,0.20,0.0062
496,7,10,85.11,HIGH,576,384,640,448,64,64,   3,1.00,1.00,0.4969
497,7,11,96.09,HIGH,640,384,704,448,64,64,   2,1.00,1.00,0.5319
498,7,12,95.17,HIGH,704,384,768,448,64,64,   3,1.00,1.00,0.5586
499,7,13,97.56,HIGH,768,384,832,448,64,64,   4,1.00,1.00,0.5902
500,7,14,98.22,HIGH,832,384,896,448,64,64,   6,0.49,1.00,0.5606
501,7,15,98.58,HIGH,896,384,960,448,64,64,   4,0.49,1.00,0.5040
502,7,16,98.83,HIGH,960,384,1024,448,64,64,   3,0.49,1.00,0.4734
503,7,17,68.51,MEDIUM,1024,384,1088,448,64,64,   4,1.00,0.20,0.1998
506,7,20,49.46,MEDIUM,1216,384,1280,448,64,64,   0,1.00,0.20,0.0180
507,7,21,62.18,MEDIUM,1280,384,1344,448,64,64,   1,1.00,0.20,0.0418
508,7,22,57.52,MEDIUM,1344,384,1408,448,64,64,   2,1.00,0.20,0.1165
509,7,23,79.69,MEDIUM,1408,384,1472,448,64,64,   3,1.00,0.20,0.2419
510,7,24,91.94,HIGH,1472,384,1536,448,64,64,   4,1.00,1.00,0.5665
511,7,25,99.54,HIGH,1536,384,1600,448,64,64,   4,0.49,1.00,0.5052
512,7,26,76.88,MEDIUM,1600,384,1664,448,64,64,   2,1.00,0.20,0.1840
548,7,62,17.16,MEDIUM,3904,384,3968,448,64,64,   0,1.00,0.20,0.0017
576,8,9,54.54,MEDIUM,512,448,576,512,64,64,   2,1.00,0.20,0.0811
577,8,10,90.21,HIGH,576,448,640,512,64,64,   3,1.00,1.00,0.5351
578,8,11,99.05,HIGH,640,448,704,512,64,64,   2,0.49,1.00,0.3836
579,8,12,97.31,HIGH,704,448,768,512,64,64,   4,1.00,1.00,0.6112
580,8,13,99.39,HIGH,768,448,832,512,64,64,   5,0.49,1.00,0.5409
581,8,14,98.88,HIGH,832,448,896,512,64,64,   5,0.49,1.00,0.5546
582,8,15,99.05,HIGH,896,448,960,512,64,64,   2,0.49,1.00,0.4160
583,8,16,98.68,HIGH,960,448,1024,512,64,64,   4,0.49,1.00,0.5019
584,8,17,98.34,HIGH,1024,448,1088,512,64,64,   2,0.49,1.00,0.4288
