Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3917x2755
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3917x2755
Scaled Tile Size: 64x64
Total Mask: 85.61%, Total Tissue: 14.39%
Tiles: 62x44 = 2728
   115 ( 4.22%) tiles >=80% tissue
   513 (18.80%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
10,1,10,15.58,MEDIUM,576,0,640,64,64,64,   4,1.00,0.20,0.0131
11,1,11,24.46,MEDIUM,640,0,704,64,64,64,   4,1.00,0.20,0.0336
12,1,12,34.01,MEDIUM,704,0,768,64,64,64,   2,1.00,0.20,0.0442
75,2,13,41.14,MEDIUM,768,64,832,128,64,64,  29,1.00,0.20,0.2454
76,2,14,15.36,MEDIUM,832,64,896,128,64,64,  10,1.00,0.20,0.0259
138,3,14,56.67,MEDIUM,832,128,896,192,64,64,  17,1.00,0.20,0.3247
139,3,15,20.58,MEDIUM,896,128,960,192,64,64,   6,1.00,0.20,0.0323
200,4,14,64.28,MEDIUM,832,192,896,256,64,64,  26,1.00,0.20,0.4303
201,4,15,23.88,MEDIUM,896,192,960,256,64,64,  16,1.00,0.20,0.0757
262,5,14,40.80,MEDIUM,832,256,896,320,64,64,  34,1.00,0.20,0.2541
263,5,15,22.71,MEDIUM,896,256,960,320,64,64,  14,1.00,0.20,0.0638
264,5,16,69.92,MEDIUM,960,256,1024,320,64,64,  62,1.00,0.20,0.5594
265,5,17,27.49,MEDIUM,1024,256,1088,320,64,64, 106,1.00,0.20,0.1900
287,5,39,26.83,MEDIUM,2432,256,2496,320,64,64,   1,1.00,0.20,0.0109
324,6,14,49.00,MEDIUM,832,320,896,384,64,64,  61,1.00,0.20,0.3828
325,6,15,88.92,HIGH,896,320,960,384,64,64,  65,1.00,1.00,0.7682
326,6,16,53.76,MEDIUM,960,320,1024,384,64,64,  30,1.00,0.20,0.3595
327,6,17,58.01,MEDIUM,1024,320,1088,384,64,64,  35,1.00,0.20,0.4103
328,6,18,20.78,MEDIUM,1088,320,1152,384,64,64,   4,1.00,0.20,0.0265
331,6,21,18.31,MEDIUM,1280,320,1344,384,64,64,   5,1.00,0.20,0.0220
332,6,22,23.63,MEDIUM,1344,320,1408,384,64,64,   3,1.00,0.20,0.0266
336,6,26,27.22,MEDIUM,1600,320,1664,384,64,64,  15,1.00,0.20,0.0937
337,6,27,15.45,MEDIUM,1664,320,1728,384,64,64,  24,0.49,0.20,0.0284
338,6,28,15.75,MEDIUM,1728,320,1792,384,64,64,  21,0.49,0.20,0.0270
341,6,31,18.19,MEDIUM,1920,320,1984,384,64,64,   0,1.00,0.20,0.0019
343,6,33,31.81,MEDIUM,2048,320,2112,384,64,64,   1,1.00,0.20,0.0175
344,6,34,18.55,MEDIUM,2112,320,2176,384,64,64,   3,1.00,0.20,0.0177
348,6,38,19.34,MEDIUM,2368,320,2432,384,64,64,   1,1.00,0.20,0.0060
349,6,39,21.61,MEDIUM,2432,320,2496,384,64,64,   3,1.00,0.20,0.0196
363,6,53,37.38,MEDIUM,3328,320,3392,384,64,64,   3,1.00,0.20,0.0584
383,7,11,14.45,MEDIUM,640,384,704,448,64,64,   3,1.00,0.20,0.0105
387,7,15,79.81,MEDIUM,896,384,960,448,64,64,  35,1.00,0.20,0.5694
388,7,16,67.55,MEDIUM,960,384,1024,448,64,64,  30,1.00,0.20,0.4699
389,7,17,62.62,MEDIUM,1024,384,1088,448,64,64,  32,1.00,0.20,0.4395
390,7,18,33.20,MEDIUM,1088,384,1152,448,64,64,  22,1.00,0.20,0.1571
392,7,20,15.09,MEDIUM,1216,384,1280,448,64,64,   6,1.00,0.20,0.0181
410,7,38,27.95,MEDIUM,2368,384,2432,448,64,64,   1,1.00,0.20,0.0118
425,7,53,24.44,MEDIUM,3328,384,3392,448,64,64,  20,1.00,0.20,0.0872
445,8,11,19.73,MEDIUM,640,448,704,512,64,64,   0,1.00,0.20,0.0030
447,8,13,33.74,MEDIUM,768,448,832,512,64,64,   3,1.00,0.20,0.0532
451,8,17,31.49,MEDIUM,1024,448,1088,512,64,64,  44,1.00,0.20,0.1843
452,8,18,22.75,MEDIUM,1088,448,1152,512,64,64,   6,1.00,0.20,0.0399
471,8,37,30.86,MEDIUM,2304,448,2368,512,64,64,   1,1.00,0.20,0.0147
472,8,38,19.24,MEDIUM,2368,448,2432,512,64,64,   2,1.00,0.20,0.0117
486,8,52,15.60,MEDIUM,3264,448,3328,512,64,64,  47,1.00,0.20,0.0540
487,8,53,46.02,MEDIUM,3328,448,3392,512,64,64,   8,1.00,0.20,0.1676
503,9,7,44.48,MEDIUM,384,512,448,576,64,64,  10,1.00,0.20,0.1823
510,9,14,16.02,MEDIUM,832,512,896,576,64,64,   7,1.00,0.20,0.0224
511,9,15,15.11,MEDIUM,896,512,960,576,64,64,  15,1.00,0.20,0.0302
514,9,18,15.28,MEDIUM,1088,512,1152,576,64,64,   6,1.00,0.20,0.0182
533,9,37,14.43,MEDIUM,2304,512,2368,576,64,64,   0,0.49,0.20,0.0001
534,9,38,21.07,MEDIUM,2368,512,2432,576,64,64,   0,1.00,0.20,0.0008
554,9,58,17.09,MEDIUM,3648,512,3712,576,64,64,   1,1.00,0.20,0.0043
565,10,7,41.87,MEDIUM,384,576,448,640,64,64,   2,1.00,0.20,0.0617
575,10,17,18.43,MEDIUM,1024,576,1088,640,64,64,   6,1.00,0.20,0.0267
607,10,49,20.19,MEDIUM,3072,576,3136,640,64,64,   9,0.49,0.20,0.0255
1031,17,39,15.80,MEDIUM,2432,1024,2496,1088,64,64,  21,1.00,0.20,0.0395
1077,18,23,17.02,MEDIUM,1408,1088,1472,1152,64,64,   2,1.00,0.20,0.0084
1083,18,29,16.04,MEDIUM,1792,1088,1856,1152,64,64,   2,1.00,0.20,0.0101
1084,18,30,17.16,MEDIUM,1856,1088,1920,1152,64,64,   0,1.00,0.20,0.0018
1105,18,51,20.26,MEDIUM,3200,1088,3264,1152,64,64,   2,1.00,0.20,0.0157
1141,19,25,17.38,MEDIUM,1536,1152,1600,1216,64,64,   5,1.00,0.20,0.0215
1163,19,47,21.07,MEDIUM,2944,1152,3008,1216,64,64,  12,1.00,0.20,0.0505
1214,20,36,19.51,MEDIUM,2240,1216,2304,1280,64,64,   1,1.00,0.20,0.0048
1283,21,43,27.22,MEDIUM,2688,1280,2752,1344,64,64,   1,1.00,0.20,0.0160
1288,21,48,15.70,MEDIUM,3008,1280,3072,1344,64,64,   0,1.00,0.20,0.0010
1329,22,27,15.94,MEDIUM,1664,1344,1728,1408,64,64,   0,1.00,0.20,0.0004
1345,22,43,18.29,MEDIUM,2688,1344,2752,1408,64,64,   0,1.00,0.20,0.0004
1346,22,44,15.21,MEDIUM,2752,1344,2816,1408,64,64,   0,1.00,0.20,0.0018
1373,23,9,36.99,MEDIUM,512,1408,576,1472,64,64,   4,1.00,0.20,0.0776
1374,23,10,26.71,MEDIUM,576,1408,640,1472,64,64,   7,1.00,0.20,0.0607
1391,23,27,16.75,MEDIUM,1664,1408,1728,1472,64,64,   0,1.00,0.20,0.0017
1395,23,31,15.55,MEDIUM,1920,1408,1984,1472,64,64,   1,1.00,0.20,0.0037
1408,23,44,24.85,MEDIUM,2752,1408,2816,1472,64,64,   2,1.00,0.20,0.0172
1421,23,57,17.09,MEDIUM,3584,1408,3648,1472,64,64,   3,1.00,0.20,0.0150
1457,24,31,26.03,MEDIUM,1920,1472,1984,1536,64,64,   4,1.00,0.20,0.0405
1470,24,44,35.47,MEDIUM,2752,1472,2816,1536,64,64,   2,1.00,0.20,0.0333
1471,24,45,36.69,MEDIUM,2816,1472,2880,1536,64,64,   0,1.00,0.20,0.0085
1472,24,46,46.39,MEDIUM,2880,1472,2944,1536,64,64,   0,1.00,0.20,0.0097
1482,24,56,38.16,MEDIUM,3520,1472,3584,1536,64,64,   6,1.00,0.20,0.0987
1483,24,57,47.31,MEDIUM,3584,1472,3648,1536,64,64,   4,1.00,0.20,0.1244
1516,25,28,15.16,MEDIUM,1728,1536,1792,1600,64,64,   0,1.00,0.20,0.0013
1519,25,31,29.49,MEDIUM,1920,1536,1984,1600,64,64,   2,1.00,0.20,0.0250
1532,25,44,20.48,MEDIUM,2752,1536,2816,1600,64,64,   5,1.00,0.20,0.0282
